0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
41.649,26.592,5.778,42.809,4.889,57.11,0.729,-17.524,-30.079,58.923,44.962,12.873
45.149,35.686,-14.907,44.963,-12.178,-45.358,-4.249,-28.183,-16.09,0.656,-30.13,22.924
45.935,59.05,17.189,29.083,-17.426,-12.873,9.395,-15.888,-23.384,-7.385,-27.533,14.126
47.614,107.236,47.626,18.436,0.799,-12.365,20.462,1.814,-20.118,-8.903,39.376,7.062
52.328,77.948,-34.944,-18.095,-16.52,-45.909,12.864,-8.165,-22.981,18.407,15.655,10.065
53.855,64.23,-26.276,-5.085,4.413,-34.151,-1.798,13.869,-9.021,2.3,13.753,6.541
52.297,76.335,-36.298,-38.222,-33.035,-66.656,-6.384,7.405,3.212,7.233,-12.578,-5.823
52.29,79.786,-17.891,-39.43,-0.164,-26.324,8.835,0.396,-9.001,6.82,-24.061,-0.647
52.002,58.174,-26.136,-23.401,-28.329,-58.605,11.563,-1.743,-11.074,10.016,1.766,13.297
53.95,55.533,-35.224,-23.212,-7.793,-78.566,-18.422,24.543,-17.527,-14.247,-12.437,10.367
53.145,44.01,-40.753,-14.969,-5.259,-52.916,-21.117,5.135,-17.657,6.818,9.653,7.451
53.228,57.267,-41.159,-17.453,-3.362,-33.322,-11.461,-0.803,-11.882,4.115,14.639,3.703
52.666,75.577,-27.264,-27.178,-20.953,-57.321,8.099,-0.087,-15.946,-6.113,-8.757,7.002
51.765,58.717,-35.792,-12.55,-22.806,-57.594,11.82,-1.677,-15.309,16.206,-3.947,6.244
53.676,59.616,-27.497,-13.401,-4.444,-34.827,3.427,11.89,-9.234,1.495,23.575,15.712
51.78,73.691,-32.276,-24.151,-23.376,-70.417,5.474,7.041,-16.399,7.25,-7.954,4.3
53.635,55.097,-38.655,0.824,6.491,-43.319,-2.351,20.238,-21.449,15.341,15.219,6.737
51.923,58.857,-29.506,-28.007,-33.786,-57.587,8.585,2.194,-14.035,10.56,-8.283,5.4
54.195,56.74,-28.202,-10.142,-6.077,-41.386,-9.344,19.581,-16.202,4.991,22.604,12.354
53.54,51.405,-32.006,-17.022,1.475,-51.872,-13.274,15.285,-15.489,9.42,16.623,12.922
52.992,44.049,-24.692,-20.546,2.689,-68.335,-10.277,3.174,-9.376,0.014,-8.104,16.675
52.556,84.669,-24.346,-31.132,-27.297,-61.224,12.43,13.509,-6.881,-6.575,-8.351,4.544
53.237,63.96,-32.345,-4.645,0.29,-26.517,2.926,16.127,-8.08,4.636,6.901,1.08
50.98,40.606,-35.969,-17.68,-31.467,-70.087,-0.234,2.981,-12.833,20.225,-3.048,-1.824
53.615,60.101,-27.118,3.275,-0.737,-25.495,0.1,8.426,-9.606,0.633,16.73,2.04
51.845,70.172,-33.358,-24.478,-24.346,-65.386,2.731,12.568,-10.249,2.405,0.415,-12.377
51.959,63.251,-21.01,-23.762,-7.115,-25.515,8.673,16.871,-12.317,11.754,-1.419,7.668
51.469,64.802,-33.67,-25.883,-26.492,-21.821,14.745,4.761,-8.473,0.166,-6.413,9.665
53.759,57.05,-38.131,-16.06,-5.472,-48.653,-17.855,17.042,-8.532,8.362,13.125,-0.714
53.05,58.802,-34.228,-10.787,-6.514,-71.326,-8.961,-4.965,-17.715,10.001,-6.346,14.156
53.428,47.011,-35.557,-14.365,-6.871,-32.791,-15.39,4.173,-13.003,6.402,13.865,6.241
52.196,79.132,-40.518,-28.534,-20.544,-65.802,10.759,12.32,-17.352,-4.03,-7.839,5.95
52.068,75.34,-27.477,-35.474,10.075,-35.323,9.763,-1.347,-17.34,11.402,-10.171,6.209
51.266,55.779,-21.613,-21.213,-24.03,-63.716,4.217,0.829,-13.703,13.796,-10.45,5.795
53.797,60.153,-34.046,-12.012,2.075,-28.256,-16.67,21.619,-4.145,5.261,20.804,-4.576
52.269,75.492,2.058,-23.648,2.227,-36.948,28.969,2.798,-11.292,6.676,-12.377,1.956
52.06,75.681,-34.851,-17.649,-29.884,-58.657,14.298,5.566,-20.307,5.974,-15.889,18.177
52.256,98.302,-7.991,-28.666,-7.175,-27.253,29.139,-2.535,-5.875,5.463,-2.869,13.964
54.005,54.331,-21.587,-18.136,-6.952,-67.432,-21.673,5.876,-5.473,-5.958,-2.964,13.511
52.874,66.139,-24.359,-17.774,-4.158,-30.341,13.157,-10.6,-5.311,-8.192,-12.096,11.968
51.992,47.71,-48.854,-31.921,-32.821,-26.775,5.523,0.935,6.997,-2.671,-10.525,5.919
51.967,45.905,-11.054,-50.066,-14.869,-20.002,10.661,7.85,-4.745,7.748,-24.177,18.489
53.946,46.485,-24.604,-26.133,-7.922,-69.213,-17.743,-5.327,-7.878,-5.308,-9.905,21.317
54.962,30.95,-4.028,-43.283,1.424,-27.39,6.847,1.814,-8.149,-16.395,1.686,7.616
55.898,47.922,22.246,-15.127,22.277,-50.427,11.54,10.637,-19.409,-6.866,-10.358,12.643
56.532,59.417,36.717,-17.029,33.384,-47.102,29.047,35.516,3.255,-0.084,-5.148,-7.587
57.372,126.806,23.311,-4.093,37.374,-59.131,22.887,43.961,16.4,-5.15,12.499,23.941
56.665,103.097,28.588,-11.405,2.227,-44.364,41.51,2.589,-4.291,16.744,-9.52,8.562
56.59,98.401,-4.762,-6.778,-9.424,-42.801,-22.212,24.949,-17.226,-1.469,0.743,-4.609
54.118,55.425,-21.16,-35.411,-7.38,-36.835,-2.55,-1.271,-27.752,12.487,-21.687,-3.484
54.117,36.794,-21.049,-45.656,1.681,-28.233,-40.598,1.174,-10.905,-8.264,8.428,11.836
56.597,82.718,14.11,-37.167,5.026,-35.391,20.798,12.825,-11.221,-12.519,-10.563,-13.981
56.238,82.352,-10.206,-21.945,41.405,-44.706,26.348,17.25,-5.628,9.699,-14.25,19.441
55.684,105.939,-9.144,-27.466,20.659,-27.898,-24.397,4.384,-11.503,-2.59,3.864,-10.831
54.395,125.311,-10.778,-26.439,7.435,-60.789,3.324,35.04,1.74,-13.831,4.616,-4.404
54.425,166.559,50.61,-5.169,27.468,-47.29,4.693,2.42,-36.727,-6.099,-5.91,15.113
55.622,140.098,31.457,-31.365,29.222,-30.07,15.52,-12.993,-19.034,11.306,-17.493,2.01
56.465,93.158,-32.096,-14.883,8.973,-53.493,-11.263,13.974,-1.008,7.735,2.684,11.823
55.533,82.922,-24.027,-21.772,40.77,-40.073,22.043,-19.999,15.844,30.568,-16.114,4.802
54.877,57.889,-18.088,-0.013,19.015,-42.502,2.482,23.302,2.916,15.928,-2.984,3.748
51.901,63.796,-46.105,-20.505,-9.964,-60.896,6.303,7.57,-13.735,14.783,-2.169,0.051
53.274,44.263,-24.747,-23.173,11.59,-12.347,-0.912,12.612,1.409,14.687,4.093,1.471
55.281,76.555,-18.747,-26.087,-0.401,-39.872,33.371,13.202,-2.473,14.021,-20.02,19.212
54.957,82.499,5.477,-42.705,17.034,-10.832,2.104,30.968,-25.53,-3.619,30.476,9.531
55.72,102.016,12.543,-0.635,5.622,-39.275,36.884,17.735,-41.24,8.397,5.383,20.855
54.306,50.754,13.602,23.118,20.159,-47.399,10.899,19.646,-19.449,6.471,-6.001,17.69
55.363,75.44,26.932,-34.73,-3.667,-12.896,5.697,25.436,-22.63,0.128,-7.061,9.427
54.942,91.991,-20.522,-46.872,-24.521,-31.376,-1.297,4.891,-19.118,1.706,-16.691,1.563
54.857,42.193,-4.621,-26.194,8.156,-61.872,-0.756,-1.458,-33.139,-13.137,-4.874,21.107
55.492,113.415,14.95,-35.536,-11.497,-21.706,-11.306,24.963,-27.017,-16.439,1.056,-1.821
55.325,106.617,-24.203,-14.874,-25.958,-24.333,-12.807,-9.791,-10.13,5.512,-9.26,-4.456
54.819,49.849,11.329,-28.549,-20.068,-33.428,-5.827,2.892,-21.834,3.278,-14.566,-1.777
55.933,51.098,8.889,-19.297,7.969,-18.757,18.579,30.215,-11.589,-4.506,-4.478,16.99
55.87,57.766,35.207,-15.365,-2.581,-23.36,0.397,-13.985,-1.878,1.953,-5.834,-29.476
56.258,32.476,31.477,-6.177,41.943,-42.127,23.654,4.573,23.771,18.562,-17.08,-35.247
55.885,51.547,-5.552,-11.285,39.114,-73.368,4.001,13.658,21.249,3.708,-15.063,-7.872
56.076,40.77,18.466,-21.087,27.987,-46.663,27.52,-7.28,-2.951,18.766,-7.554,-37.574
56.334,41.023,4.956,-10.122,22.707,-40.502,-1.816,12.08,4.439,3.88,-5.891,-15.212
54.512,11.102,-8.527,-29.46,34.55,-38.197,16.375,-0.271,24.939,17.123,-24.906,-5.25
55.207,41.578,-23.249,-38.595,8.072,-40.996,-15.408,-18.898,-3.331,-19.188,11.871,4.387
55.61,37.712,14.761,-1.116,10.6,-34.717,5.487,9.931,-30.511,-8.515,-1.733,27.48
55.427,31.566,42.045,-3.801,15.965,-37.429,48.368,13.198,-28.169,-1.993,-13.155,37.392
56.391,53.17,18.748,-9.315,40.239,-66.447,7.737,28.23,1.807,-9.499,10.611,28.019
55.098,81.551,29.664,-31.426,19.694,-44.078,24.059,27.823,-36.007,12.834,3.91,11.547
55.906,103.433,29.52,-13.849,7.663,-39.519,51.828,8.547,-9.485,12.77,-13.478,6.744
54.729,49.325,10.746,-37.784,-10.729,-34.983,37.396,2.277,-30.945,21.612,-0.913,8.53
56.09,72.417,3.404,-30.373,2.339,-46.776,-5.236,42.272,-17.598,-3.045,27.467,15.505
55.48,126.863,-7.839,2.337,-18.578,-50.957,-6.063,0.847,-33.559,16.233,-23.959,3.845
54.612,93.976,-4.552,-52.492,-27.248,-40.908,-2.591,8.07,-13.896,3.88,-15.024,-7.773
54.542,88.256,8.241,-46.662,20.573,-22.753,3.995,-19.148,-4.389,22.693,-17.888,-3.566
54.902,110.831,32.141,-9.555,68.927,-39.164,-4.83,15.441,-2.67,2.355,1.241,-16.78
56.26,97.649,-6.219,-32.701,41.565,-54.007,9.481,4.379,-2.81,15.382,-10.007,-10.529
55.351,65.017,-21.83,24.008,6.696,-37.489,23.206,5.128,-4.437,-6.708,-17.258,31.869
54.28,61.147,-28.407,-20.087,-3.034,-75.725,-10.92,10.242,-10.929,-2.746,-2.507,8.686
55.272,30.717,-13.523,-33.566,22.93,-25.446,-35.744,-16.04,-13.641,6.348,-11.791,-10.396
55.651,50.317,17.985,-20.914,5.241,-35.156,25.714,19.945,-2.296,6.071,-18.197,-7.641
54.521,97.096,-37.138,-17.797,-27.12,-20.447,4.73,-10.758,-4.51,-9.571,-21.104,1.178
55.038,65.636,-20.519,-17.626,-17.202,-39.45,-20.228,13.252,-16.399,5.276,-7.456,0.265
54.582,42.323,20.198,-12.332,17.509,-32.631,22.89,-0.398,-8.913,27.095,-14.619,2.604
55.041,39.418,13.744,-21.041,24.661,-40.639,21.916,15.056,1.501,-0.93,-10.737,0.059
55.294,76.487,11.421,-9.565,6.202,-33.116,56.149,15.769,-7.644,3.581,-11.406,12.872
55.272,91.895,-13.567,-31.047,-9.748,-43.687,-17.394,24.949,-9.826,12.802,18.32,-10.534
55.749,57.614,9.688,-22.641,3.205,-54.279,24.589,5.007,10.468,24.38,-10.409,-28.437
56.142,40.131,18.744,-24.207,38.393,-66.776,48.707,16.788,40.753,10.871,-17.769,-4.496
56.58,44.747,-1.21,-10.712,38.719,-33.643,15.91,13.892,19.068,9.75,-14.646,3.886
55.822,40.256,-6.703,-15.145,38.419,-44.875,12.041,2.386,19.611,18.085,3.989,-6.635
55.675,57.16,1.766,-16.577,33.592,-36.309,20.36,11.312,20.843,10.956,-8.308,-10.062
55.758,79.666,-17.72,-24.601,9.135,-44.129,18.27,13.697,21.31,10.041,-6.83,-13.031
55.604,85.095,-11.67,-37.774,16.01,-38.753,9.609,1.661,10.94,15.716,-23.278,-9.5
55.716,83.672,-13.606,-26.652,15.495,-50.404,-4.194,10.381,10.58,10.099,-3.338,10.245
56.154,71.455,-1.919,-30.95,-2.104,-42.17,-1.446,7.193,-24.968,3.312,-4.311,-3.4
54.113,89.261,-53.704,-15.412,8.244,-43.381,-3.679,22.891,7.5,12.623,-21.861,7.409
52.032,71.302,-63.906,-38.973,-25.041,-52.145,-30.764,-36.994,12.19,13.34,-5.565,9.537
56.678,70.528,6.216,-15.151,-10.114,-41.404,1.528,5.195,-23.556,-17.673,-3.04,-7.368
55.483,65.577,-4.304,-16.416,15.422,-30.56,15.479,15.149,1.006,-5.558,-20.143,-0.098
53.973,32.799,42.477,-26.503,27.286,-38.92,31.819,27.986,-26.036,17.669,11.809,-5.225
55.883,103.286,19.095,5.984,5.037,-32.616,37.215,17.132,-27.202,4.234,-6.955,2.793
53.793,97.263,-27.713,-65.138,6.573,2.758,-10.246,-5.723,-13.618,9.892,-16.833,-17.577
54.588,118.762,-6.746,-39.565,-20.893,-7.643,-2.982,-37.626,-23.126,-2.903,-26.982,-18.687
51.996,91.063,-25.011,-65.444,-10.03,-3.109,-9.17,-14.738,-9.079,-7.192,-22.143,1.069
54.51,48.673,-12.906,-19.102,-18.499,14.552,-19.475,6.565,-25.299,18.924,-0.627,0.821
52.447,96.919,-60.712,-59.666,-1.555,-23.083,-11.517,-0.802,-18.988,-0.305,-10.758,4.977
53.985,100.214,-15.977,-15.607,-35.751,-10.146,-48.28,-14.746,-15.062,0.812,-32.527,-4.247
54.336,18.712,10.907,-18.271,54.515,-53.202,39.676,16.527,-11.078,20.548,-8.915,4.982
54.677,47.08,33.629,-12.522,55.86,-47.979,33.032,-12.893,41.56,24.491,-9.661,-7.314
54.391,38.891,19.824,9.236,31.323,-58.849,34.531,-2.43,42.904,12.467,-22.271,-14.243
55.011,23.317,6.172,-19.811,71.369,-17.941,13.561,10.252,37.914,12.878,0.615,-5.975
55.273,25.67,-4.471,-22.374,44.245,-65.169,13.378,-1.546,62.543,23.206,-20.09,-19.32
55.548,40.632,29.645,0.392,66.047,-52.494,20.405,-15.328,58.795,29.302,-16.575,-23.871
54.574,69.68,-25.603,28.774,-5.044,-48.363,4.924,49.699,-21.955,11.333,-11.158,-11.663
50.55,87.368,-49.211,-28.458,-8.041,-51.641,-10.478,-7.875,11.239,13.923,-16.057,-26.084
51.279,117.715,-65.303,-23.191,-15.802,-63.818,-5.403,-2.559,2.379,-5.761,-13.633,-3.592
56.247,78.102,-9.904,-18.106,-17.825,-35.299,-18.466,29.815,-27.852,-12.383,-17.162,6.268
50.895,120.38,-53.861,-46.245,4.637,-43.513,6.146,-14.139,-12.69,1.384,-10.962,7.623
54.591,62.072,61.093,-30.495,49.573,-24.374,16.371,39.865,-26.959,-0.571,3.609,-5.038
55.087,100.121,16.157,19.743,1.711,-22.276,34.853,-16.051,-17.291,7.42,-36.458,9.611
53.377,66.362,-1.655,-55.835,-8.0,27.638,9.324,43.542,-15.867,2.425,-11.627,10.879
53.807,106.628,-25.211,-53.798,-4.313,-23.316,-22.174,-0.509,-4.339,29.494,-10.689,-8.419
54.965,110.694,-17.568,-53.575,17.58,-23.633,-23.014,-25.834,1.959,24.835,-18.821,-27.786
55.892,75.176,-23.421,-17.249,23.33,-61.821,-22.939,19.008,24.042,-6.623,-9.678,-2.886
54.713,79.904,-22.034,-35.319,16.185,-35.886,-4.284,11.456,12.245,21.272,-4.376,-20.574
54.652,73.676,-26.61,-36.345,35.638,-46.291,10.405,3.192,28.941,2.338,-12.098,21.512
55.081,43.225,-25.17,4.965,25.572,-33.48,-8.761,-3.88,15.656,15.66,1.26,11.709
52.152,39.816,-47.148,-9.225,7.083,-35.902,-16.364,13.43,-6.244,13.985,17.632,3.246
50.788,75.244,-65.811,-31.063,-17.336,-44.962,-9.657,20.397,0.69,6.353,14.338,-6.68
50.564,75.639,-61.451,-23.632,-25.467,-29.789,-8.581,2.92,10.047,21.507,10.826,-1.996
55.392,94.606,-49.264,-2.496,-7.064,-45.995,-31.72,18.78,-20.457,-18.558,-8.452,-2.164
54.061,42.508,-16.666,-22.723,9.022,-18.586,22.1,0.342,-15.907,33.092,1.544,13.512
54.01,72.9,74.075,3.334,40.91,-47.528,30.965,26.068,15.529,-5.513,2.232,-1.431
55.342,91.308,49.647,0.952,-15.012,-38.199,42.216,13.985,-24.318,1.264,-0.95,10.981
54.042,99.153,-7.675,27.599,-41.868,-32.304,12.923,45.305,-42.678,-9.932,-18.888,12.948
55.453,63.764,-5.755,-46.138,-2.787,-59.123,-8.009,18.336,-21.888,-2.573,-4.73,-0.981
54.788,63.831,-10.777,-0.487,12.089,-45.263,17.26,18.06,-21.808,-3.682,-23.592,-20.321
53.349,106.929,-29.244,-55.469,-3.618,-19.438,-21.044,-32.713,-10.821,25.626,-24.277,-3.577
