0,1,2,3,4,5,6,7,8,9,10,11
0.021,170.843,9.988,-28.926,57.672,-50.374,15.326,4.725,-27.256,0.779,-10.025,-7.096
10.109,43.568,117.238,-0.808,93.98,-44.347,47.62,8.104,-68.695,-13.177,7.935,2.118
17.774,110.043,246.133,-32.132,48.386,-26.916,80.782,16.501,-28.79,-3.782,29.152,16.812
21.164,64.663,287.08,71.311,81.836,-16.242,112.068,27.607,-23.05,-5.751,-15.073,22.455
22.839,72.93,307.673,62.726,87.02,-10.647,123.213,22.772,-14.416,-5.391,-12.418,14.643
25.151,60.053,289.512,92.469,87.795,-16.72,108.273,18.735,-16.63,-10.639,-12.912,23.058
26.275,52.296,271.792,110.887,81.636,-34.706,99.512,3.465,-23.764,-6.215,-3.697,29.111
28.396,-11.565,216.262,82.377,76.951,-32.787,58.59,0.874,-34.565,-7.713,8.855,36.258
29.677,-64.997,188.112,66.494,78.862,-37.431,39.936,-3.17,-25.179,-4.916,7.937,15.302
33.473,-120.819,124.238,22.333,80.298,-5.831,33.24,-20.233,-24.429,6.114,-4.901,19.996
35.037,-152.54,85.03,23.765,53.893,-39.681,18.732,7.204,-23.545,-13.804,13.553,25.426
34.135,-161.831,84.811,18.66,50.643,-18.259,32.691,9.302,-10.344,-22.85,-6.201,16.83
34.393,-162.243,86.376,26.53,44.656,-51.039,27.96,2.526,-15.63,-10.2,-4.78,20.711
42.838,-114.766,61.934,-45.652,69.528,61.768,1.163,20.082,2.48,-25.047,9.092,7.79
47.936,-64.541,29.424,31.485,44.152,-55.24,-2.936,-2.774,-0.95,7.338,-1.246,16.588
48.891,-54.24,92.592,13.116,39.464,-27.829,-10.506,-2.4,-15.179,-29.456,-15.577,-6.171
49.294,-72.644,82.847,27.603,34.875,-20.445,-24.191,13.671,-37.007,-21.14,1.103,4.423
48.294,-61.102,47.626,64.644,44.357,-20.225,-18.974,0.076,-26.578,-19.766,-40.02,4.895
46.75,-22.132,16.061,115.444,69.609,10.138,-23.102,24.427,17.749,-18.878,-13.898,5.001
44.28,-76.777,35.763,62.24,41.211,-42.577,-50.117,21.229,-2.148,-25.073,-17.108,10.211
49.288,31.841,71.106,30.479,93.436,67.572,11.992,18.361,27.194,-5.066,14.886,2.375
43.608,82.559,27.45,48.937,41.736,-20.679,-9.843,-29.556,34.088,-2.025,-17.076,5.884
44.29,-60.8,26.359,66.041,56.908,-15.54,-49.909,24.323,7.023,-10.913,-22.411,4.977
38.25,-20.997,41.762,-24.368,2.584,-26.319,-19.827,-3.994,-9.427,18.666,3.354,-8.756
46.331,-106.425,45.438,7.387,48.102,-54.176,-34.492,8.021,-7.594,-6.49,2.475,-2.479
46.037,-109.777,12.29,46.352,38.52,-58.387,-20.477,-9.305,-18.198,-2.884,-11.759,12.863
47.902,-56.403,87.661,18.483,24.632,-29.661,-9.242,20.092,-34.764,-19.612,-3.81,9.005
48.065,-43.22,76.725,24.427,38.207,-35.96,-24.459,16.735,-31.172,-16.75,-3.933,8.497
47.311,-88.838,60.336,55.028,52.293,-31.59,-24.348,12.341,-18.291,-20.77,-41.827,0.177
45.261,15.456,76.025,16.276,82.436,66.695,14.457,64.684,22.779,-28.443,-32.825,16.463
36.195,-11.201,50.247,13.822,58.454,-40.792,28.868,-17.546,5.479,7.323,-2.438,25.817
45.055,-74.455,56.483,73.81,53.11,-19.355,-31.08,24.061,-18.284,-16.36,1.536,11.724
45.53,-69.429,57.9,-9.326,69.716,48.286,-21.508,27.206,2.029,3.89,29.806,7.938
46.581,-98.207,120.572,5.422,63.018,-17.233,26.075,3.58,-19.608,-8.302,-2.685,33.536
49.093,-52.257,9.176,18.415,47.932,-15.532,45.075,-4.313,5.713,-11.943,17.076,10.811
46.72,-110.852,33.632,23.988,35.313,-63.586,20.027,14.809,-6.87,-9.047,-8.38,27.959
49.248,-33.376,28.836,28.691,63.651,21.891,18.327,-3.67,-9.948,-37.567,23.103,-3.113
49.603,-54.226,77.205,1.372,28.555,-41.833,-10.189,-0.393,-46.045,-2.34,-10.039,6.354
52.24,23.618,23.624,102.391,65.156,-0.381,-8.388,-18.367,-16.825,-11.715,-4.58,0.164
49.09,12.206,33.112,-6.559,84.84,28.004,2.615,22.84,9.413,-0.044,-0.983,0.832
