0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
14.33,35.654,135.595,-81.989,57.074,9.335,-0.169,-35.14,-54.285,18.764,27.922,-36.23
25.65,-1.818,133.892,-14.018,25.1,-18.53,-28.438,-3.069,-24.561,-7.49,6.394,-28.158
29.213,9.627,134.371,-9.444,22.646,-17.442,-27.894,-4.113,-27.464,-8.741,5.145,-29.061
32.059,17.283,137.941,-8.51,20.363,-20.726,-26.293,-2.153,-30.3,-8.012,5.33,-24.776
35.408,38.637,144.344,-10.432,16.453,-20.31,-25.76,-0.115,-33.921,-8.104,8.426,-21.5
40.343,32.563,63.395,-22.572,-5.935,-3.145,-1.513,-24.443,-27.184,7.877,-33.931,-0.448
40.937,1.708,-31.593,-28.812,-26.152,-40.129,0.21,-8.587,-10.955,0.597,-10.936,-10.251
40.297,-15.938,-27.109,-18.622,-37.567,-44.456,3.807,-18.267,-32.559,1.73,-3.84,-12.792
41.793,24.056,4.928,-88.665,-45.493,-41.086,3.608,14.741,-19.855,-4.649,14.039,-28.0
45.384,63.008,17.26,-0.059,-52.954,-22.36,1.562,-6.717,2.334,1.775,-28.777,-5.09
42.681,48.701,-7.757,6.804,-43.986,-35.724,1.984,-30.262,-12.636,-2.354,6.27,-5.412
41.884,20.776,-0.549,-11.48,-30.624,-21.887,-2.092,-15.156,-17.283,-13.073,-2.98,-20.497
39.882,14.07,15.253,-1.678,-36.694,-57.979,0.761,-12.271,-19.431,21.687,-14.291,-5.012
41.785,-17.195,-48.185,-8.295,-24.49,-45.102,-11.62,-0.547,-12.787,15.331,-0.23,-11.056
40.147,2.619,44.69,-24.773,-16.977,-29.19,-28.854,-6.658,-10.716,1.671,0.419,-18.545
44.065,10.408,-37.695,14.296,-17.587,-0.09,6.197,-23.402,-14.052,6.386,-0.91,-5.32
39.348,0.149,-32.968,1.058,-17.629,-37.774,15.116,-16.104,-16.271,8.084,-10.98,-9.892
36.926,-50.113,-24.391,-8.531,-31.726,-41.214,8.875,-2.187,-23.214,10.505,-14.748,-18.614
43.521,-2.344,-42.003,0.803,-37.268,15.811,16.664,-7.944,-15.19,3.603,26.814,-12.046
42.364,8.818,14.57,-87.417,-45.213,-23.136,18.574,31.093,-1.566,-21.352,16.316,-6.591
45.909,74.018,-4.557,28.833,-37.114,-38.466,13.327,-13.313,-5.444,-3.863,-15.396,-4.64
42.782,38.406,-1.221,-9.524,-33.142,-42.578,0.316,-35.638,-9.356,22.775,-9.403,-15.857
41.966,10.344,-7.346,-3.876,-29.66,-43.17,8.826,-7.444,-10.84,12.426,-7.804,-15.577
41.45,-7.542,-36.127,-1.617,-24.221,-40.347,16.788,-8.171,-10.855,10.504,12.281,-18.971
44.381,28.565,-37.263,28.87,-6.905,-21.311,11.826,-0.492,-9.151,-7.6,-28.453,3.552
38.801,6.26,-46.772,-8.434,-4.289,-38.595,12.065,-29.711,-12.843,-3.479,-1.829,-15.162
44.98,-16.033,-43.733,3.756,-41.673,-58.497,3.66,-18.429,-16.556,10.42,-14.5,-15.378
41.74,-15.282,-19.782,-12.553,-29.78,-46.891,21.048,-15.496,-11.879,-9.93,-11.112,3.266
42.679,15.341,19.919,-89.449,-47.876,-20.163,20.329,25.075,-15.155,-8.841,4.088,-15.929
46.717,62.944,-3.899,26.044,-45.306,-24.871,8.421,-11.111,-13.09,-5.2,-10.032,-9.295
43.265,31.931,-17.406,-2.847,-49.891,-27.0,5.938,-31.23,-17.031,3.802,-2.147,-4.013
41.178,-12.113,-6.586,-13.956,-51.996,-22.28,4.666,8.986,-15.789,-5.028,-20.156,-9.811
42.057,-16.319,-39.275,-13.187,-30.981,-34.493,10.957,-5.474,-21.242,10.61,2.139,-7.004
39.998,22.973,20.225,-15.566,-15.389,-22.106,-26.002,12.149,-1.321,0.443,-2.155,-15.133
44.616,21.953,-44.073,21.133,-23.288,0.606,10.802,-23.077,-9.206,20.193,0.045,-1.903
39.499,-7.027,-31.067,-26.651,-34.427,-20.86,6.761,-14.439,-3.513,-24.387,-12.429,-18.344
38.458,-49.069,-39.225,-12.156,-38.124,-51.516,14.023,0.959,-14.465,-0.069,-0.403,-6.07
45.236,-0.39,-39.207,12.151,-38.694,-35.731,8.059,-2.743,-13.668,5.685,-4.5,-6.961
41.167,-28.079,-0.671,-14.54,-39.438,-29.995,27.834,2.634,-14.249,-10.504,-4.318,4.169
40.37,-43.413,1.128,-15.821,-20.267,-31.29,31.997,1.385,-16.065,-22.2,-15.369,1.498
40.731,-10.339,15.631,-72.421,-43.624,-29.337,23.27,27.678,-16.343,-17.57,9.881,-7.603
46.029,52.983,-18.194,46.416,-17.866,-22.355,8.779,-19.279,-9.97,-5.827,-13.591,1.934
41.279,3.548,-12.895,-14.634,-35.157,-15.375,8.496,-21.84,-15.142,-15.395,-6.193,-9.1
42.762,22.919,-23.171,14.399,-20.757,-11.667,22.965,-39.16,-6.283,-4.516,-0.425,-5.628
42.081,-19.772,-48.137,-4.021,-28.372,-49.844,21.083,-12.65,-13.286,0.822,-13.377,-11.162
41.644,25.881,19.38,-30.91,-44.712,-24.649,18.891,0.76,14.916,2.261,-3.745,-29.165
45.52,54.308,-9.115,13.715,-6.406,-25.997,18.787,1.874,-8.085,2.152,-16.867,-6.943
45.883,103.569,-11.731,-49.222,41.846,-12.457,-38.422,54.403,-6.355,-18.555,-6.884,-12.438
46.897,70.771,6.007,-81.423,28.983,-4.909,-33.496,3.162,41.772,3.71,0.419,5.537
48.641,12.539,-26.488,-14.078,-12.067,-57.536,-2.492,10.051,20.24,19.997,-11.976,0.344
44.607,13.971,-37.582,94.848,-31.465,-67.509,6.588,-38.879,-8.286,18.601,-45.966,8.56
45.476,29.211,21.309,-146.677,-11.27,30.822,11.745,23.447,-13.448,-32.436,5.7,-32.62
50.47,47.803,35.263,-9.513,14.167,-26.68,19.358,1.492,32.721,14.724,-25.751,-20.984
46.494,4.636,-23.785,31.074,16.528,-32.716,-19.545,12.922,-14.018,-4.726,-20.531,-1.922
44.846,204.745,-94.441,-89.902,50.746,-35.682,10.171,11.395,20.347,-22.02,6.721,16.295
47.759,102.47,-47.973,5.392,-8.867,6.008,-37.531,-6.742,-22.749,13.321,-44.075,10.018
44.794,199.873,-83.334,-66.723,20.523,2.879,13.281,17.535,21.248,-45.56,21.194,16.781
48.498,69.371,-45.931,-0.889,38.817,-3.648,-27.967,-13.272,17.506,23.203,-17.791,34.473
47.842,52.524,12.29,-49.055,78.436,-3.855,-25.1,-8.392,62.211,23.448,-6.104,12.629
46.43,40.933,-37.398,68.109,41.061,-21.422,-17.494,-7.886,31.538,19.38,-64.506,35.283
42.022,16.049,11.382,-176.641,11.326,-1.364,40.536,-2.603,16.93,23.953,7.506,-2.18
45.955,-17.927,-4.652,19.272,43.956,-10.856,7.81,-4.71,32.633,27.824,-48.719,3.383
46.086,78.332,-2.65,-92.41,23.64,45.591,26.885,-12.568,1.197,-11.052,-24.969,-8.06
43.359,166.512,-87.223,-92.373,37.961,-50.045,14.83,27.933,13.228,-10.474,-1.903,20.519
49.9,49.17,-5.653,48.567,41.867,-12.088,6.879,-22.91,38.425,23.146,-34.821,14.173
45.561,32.954,-47.441,-4.731,37.68,-40.317,-11.491,13.255,2.965,-7.195,-33.784,20.29
47.123,69.932,-21.022,-20.58,51.524,2.24,13.769,66.475,5.815,1.846,-10.747,2.037
48.422,68.052,-10.507,1.451,41.262,20.434,-7.737,9.063,12.803,14.66,-54.904,37.817
45.665,51.912,-17.646,-42.145,-4.721,-6.666,2.385,2.992,-31.268,-5.896,-5.7,-20.724
45.227,34.732,-17.817,70.612,-21.491,-17.889,-18.727,-6.311,-1.559,2.367,-60.231,-7.91
46.19,95.089,-28.259,-89.25,-0.811,9.813,27.321,-63.522,-21.378,8.403,2.714,-1.216
48.055,66.534,-5.534,9.769,-42.359,-8.588,-19.925,3.901,-1.951,-31.354,-49.743,0.264
44.693,40.487,-11.231,-81.403,-13.579,9.832,1.816,7.901,3.529,-31.693,-13.547,-7.166
46.71,65.305,-23.59,-71.605,-14.758,-8.461,-23.771,6.996,-11.84,-1.018,-0.214,-23.644
45.989,50.029,-51.302,49.991,-22.053,-32.762,-11.348,-11.542,-8.65,-4.598,-17.089,-3.63
41.156,37.756,-53.043,11.906,-49.895,-33.296,2.004,-39.99,-11.697,3.321,-8.733,-6.618
38.31,-3.369,-47.539,-19.726,-51.956,-47.107,10.173,-26.302,-44.782,14.354,-17.461,-6.062
36.932,-8.126,-57.42,-38.71,-41.796,-41.166,14.164,-15.334,-35.534,-8.363,-10.287,-7.571
38.552,-4.65,-81.012,28.585,-24.142,-49.092,-8.816,6.415,-23.712,-9.736,15.208,-17.074
43.075,26.441,-71.582,-5.424,6.819,50.274,27.773,-6.687,-14.357,17.163,16.388,9.351
45.308,38.385,-13.902,-37.313,9.416,44.197,18.482,29.505,38.711,-20.262,-24.534,4.32
44.867,34.857,-31.287,-129.548,61.632,-35.528,16.47,11.209,-6.558,28.914,4.003,-0.997
46.644,109.64,16.211,-94.197,-43.805,-11.602,-7.813,-2.863,-16.412,-15.148,-7.894,-12.102
48.555,92.066,-17.652,-3.126,-39.188,-6.099,-52.727,-12.97,-9.258,-13.842,-25.578,-28.706
45.542,67.592,-23.195,37.587,-27.736,-27.91,5.391,-12.592,1.751,-3.804,-11.103,-0.762
40.643,40.564,-3.911,-16.549,-57.106,-40.849,10.581,-8.29,-4.669,19.531,-10.532,-13.357
43.706,50.989,-29.058,17.653,-25.473,12.086,7.515,-11.181,10.402,-19.596,-6.771,-8.315
39.7,20.227,-36.459,0.294,-40.884,-38.15,10.393,-36.051,-18.566,6.195,-9.407,-19.294
40.033,-7.729,-62.139,-10.092,-15.751,-8.991,28.888,11.334,-12.758,-13.366,6.459,-11.785
42.315,50.343,-26.412,-35.319,4.23,43.639,40.874,11.073,0.774,-22.916,6.237,-5.673
44.632,110.742,-9.68,-64.109,45.65,-47.855,10.226,101.703,26.916,3.803,5.045,-2.924
47.575,110.874,9.458,-6.2,61.308,8.42,-6.233,-43.73,-14.543,59.696,-50.566,27.027
47.042,173.062,-8.37,-51.257,19.958,1.242,12.308,-102.086,-18.822,21.211,-31.633,5.044
50.603,63.9,-14.021,-45.482,-43.27,-12.997,-43.117,2.642,-9.594,-31.374,-14.371,-13.914
49.97,32.057,4.532,7.349,1.038,-16.754,7.979,11.256,24.644,-8.455,-38.637,-17.953
46.327,164.234,-101.74,-57.587,35.137,-41.984,9.63,-4.398,11.074,-17.322,-9.83,29.936
46.949,72.456,-15.356,-46.951,-55.69,-27.554,-28.074,-4.875,-13.344,0.404,-1.654,-7.895
46.745,43.975,-46.869,56.222,-14.652,-28.453,-3.964,-8.906,-11.506,-5.29,-31.768,14.721
41.08,16.009,-54.268,-13.004,4.625,-17.655,16.178,-0.827,-14.407,8.265,-12.261,4.862
46.307,63.624,4.562,-97.991,24.171,42.324,17.243,26.053,14.728,16.632,-28.649,2.431
47.712,86.939,-58.061,13.534,-20.039,-1.827,-27.583,-35.638,11.194,-13.858,-24.334,10.597
44.151,136.345,-42.246,-24.031,39.211,-29.862,-3.706,-43.358,-13.059,-2.154,-15.915,33.615
48.323,50.812,55.617,-28.734,37.854,-9.413,6.38,21.939,31.569,-6.683,1.807,-14.042
48.961,35.079,-34.886,33.655,-0.566,-31.011,3.857,7.321,21.129,15.84,-33.037,14.488
42.112,53.672,-83.151,-21.123,18.971,13.364,12.251,-45.325,14.69,-37.36,-32.194,15.726
43.694,-30.637,21.078,-120.12,25.169,22.407,42.944,-12.434,-17.561,5.2,-22.814,10.446
48.618,-34.425,-4.59,12.292,21.924,-16.527,25.942,14.946,-38.002,-28.646,-9.161,6.653
45.058,-31.733,-3.616,51.974,13.286,-3.512,25.626,19.64,-3.534,-20.801,-49.159,19.238
44.741,5.146,11.132,-97.948,32.529,25.702,52.113,5.996,-35.525,14.729,16.38,11.67
48.662,88.589,0.53,-7.799,-17.113,-20.899,-14.102,35.553,-6.264,1.221,-21.636,-11.593
48.736,129.472,-21.869,-5.285,-13.718,-28.4,-36.983,-17.24,20.232,-6.082,-4.156,4.546
47.677,35.781,-11.557,39.181,25.089,-43.85,1.991,-4.205,6.235,49.31,-31.204,18.933
47.164,53.892,-6.865,-49.384,35.732,15.236,7.399,32.974,31.152,26.184,-5.944,-1.703
47.092,108.146,-49.307,-19.013,-10.145,33.497,-17.734,-29.057,-5.442,4.314,-21.073,-5.651
49.808,95.233,34.605,-58.09,63.062,5.557,-6.2,-20.376,48.678,-5.887,19.918,13.144
49.365,56.228,9.912,51.83,28.724,-26.329,15.874,2.492,36.335,9.172,-44.989,12.799
40.895,-20.999,-43.164,-13.925,13.027,-22.916,2.85,-3.097,0.947,-12.611,-31.782,-2.309
44.517,26.869,-30.26,-111.511,26.296,36.434,0.649,29.361,13.098,-11.858,-22.511,-1.504
42.662,-17.281,-46.325,-2.352,-12.987,-62.008,-12.132,-15.351,-14.039,22.914,-12.456,4.897
45.604,40.325,-0.14,-61.186,-43.674,-0.528,-6.81,13.904,-13.057,-6.798,0.738,-26.329
47.202,60.102,-23.498,7.573,-30.561,-12.389,-2.589,-1.238,-26.97,-15.035,-20.283,-11.71
42.536,4.69,-9.729,-7.169,-45.03,-43.873,9.165,-13.483,-32.685,11.179,-17.808,-11.367
42.398,21.292,-33.441,0.234,-37.23,4.904,9.626,-14.064,-13.611,-19.031,-14.891,-11.309
41.813,-13.653,-58.384,-0.153,-35.365,-43.31,6.635,-20.311,-17.367,10.404,9.498,0.793
40.548,13.206,38.399,-39.03,-12.014,-18.078,-14.095,25.961,-11.673,-17.653,9.341,-9.622
47.064,34.345,-39.601,-28.676,-22.036,-31.771,6.545,-6.25,-24.352,20.543,0.478,-4.774
49.06,70.33,2.091,-29.507,-17.794,-27.187,-28.976,-5.82,7.853,11.269,-11.141,-38.215
48.83,90.952,-19.878,3.005,-25.029,-17.339,-41.552,5.888,-17.544,4.352,-15.019,-19.12
49.063,66.548,-25.935,-88.693,3.893,-15.688,-10.823,-58.097,-21.709,15.105,-15.373,-22.012
47.058,-21.512,-21.608,80.482,11.778,-64.193,-37.051,-3.27,-7.267,12.994,-26.4,-32.047
45.027,27.599,-41.011,-63.784,-13.325,-9.459,-11.353,0.486,-13.839,-11.959,15.385,6.177
50.218,79.784,-19.927,-14.343,-18.103,8.056,-44.714,-39.212,9.752,-11.672,8.102,-25.072
48.905,76.133,-36.426,20.776,-25.228,-21.033,-40.567,-19.728,-14.455,2.353,-3.541,-29.142
46.968,50.066,-36.861,32.938,-13.264,-34.802,7.399,-21.631,-20.415,-8.137,-22.749,5.94
41.143,8.18,-37.742,4.825,-27.964,-34.448,14.516,-9.624,-20.156,9.918,-8.639,-12.165
41.448,12.589,-29.978,-23.61,-6.235,32.44,28.988,-5.939,7.719,-33.611,-33.808,-10.61
39.151,0.596,-39.794,-41.621,4.467,-31.039,37.177,23.053,-13.455,-19.567,-9.269,-15.002
41.638,-23.262,-56.163,-3.806,-21.488,-16.626,35.317,-16.833,-17.092,6.333,5.362,-5.708
43.046,18.907,16.21,-89.112,-9.968,-43.409,34.716,31.772,-15.133,3.387,10.268,-7.024
47.601,69.763,2.122,-70.854,-9.43,-0.836,-21.497,28.434,-12.797,-5.529,-20.409,-8.67
45.952,88.695,-66.196,24.408,15.286,-3.02,2.763,-63.57,-22.274,34.492,-55.644,6.506
49.084,150.206,14.807,-92.499,-27.717,31.832,-23.188,10.342,-12.068,-19.921,-11.089,-12.818
51.366,98.969,-44.18,5.167,-25.99,-40.792,-21.797,-14.571,-21.256,13.635,-34.859,0.87
46.825,15.029,-45.991,-50.948,56.94,-9.826,4.031,-41.431,-8.229,20.804,-18.601,4.805
49.084,-29.195,5.389,-69.28,59.721,-32.946,-9.758,41.082,-9.932,-12.239,-4.713,2.728
48.507,187.455,-69.801,-56.2,40.425,-41.319,14.51,3.777,-0.613,-10.595,-11.54,-0.207
50.323,49.644,-16.782,20.568,22.864,-14.845,-5.177,-23.064,-3.073,25.398,-20.667,27.865
47.65,128.441,-17.345,-36.429,52.884,-36.003,14.981,-18.272,-12.921,-19.042,-12.342,-10.124
48.017,10.533,44.751,15.246,31.886,-60.849,-4.292,-18.271,1.227,24.789,-4.945,-2.065
49.483,7.347,7.05,-12.015,8.66,-12.409,20.86,23.505,28.03,-7.634,-41.638,7.487
46.637,101.287,-30.568,-70.122,43.654,-2.754,12.742,-66.161,11.378,13.321,-40.543,13.594
48.436,147.46,-57.153,-77.52,16.057,-27.412,11.132,-51.195,-10.277,8.203,-20.028,5.556
48.651,193.896,-84.122,-64.875,50.023,-48.659,-1.462,-4.51,1.507,-5.038,-6.914,-5.907
49.169,48.737,-29.731,10.586,23.199,1.947,-20.307,-20.918,6.719,3.698,-47.849,28.436
40.555,28.158,-70.872,-43.279,29.851,-27.962,17.75,-0.777,-5.836,-24.498,-12.06,-0.18
44.531,12.153,-50.294,-34.954,12.117,17.304,-21.407,12.594,-16.661,-10.138,-40.359,-7.752
