0,1,2,3,4,5,6,7,8,9,10,11
1.472,154.408,-20.866,-60.484,32.287,-56.756,31.848,0.822,-25.85,13.45,-1.76,-8.115
44.967,79.498,-73.389,-15.353,-7.149,21.085,-29.873,-17.675,-18.186,49.334,26.24,10.293
43.01,30.81,-65.625,-46.234,-3.188,-23.499,-40.039,-15.311,-10.4,8.868,-6.215,8.218
44.436,70.008,-48.638,-7.874,-5.777,-20.519,-59.692,15.138,4.03,2.748,2.099,3.616
44.8,78.602,-29.296,-49.863,0.798,-5.524,-28.695,-22.288,-13.003,9.296,-3.782,16.701
45.454,55.647,-70.941,-34.219,-7.394,-18.653,-48.469,10.087,9.498,-16.745,2.447,1.336
43.821,35.677,-84.309,-37.488,8.638,-24.232,-51.418,-11.68,2.378,26.341,-9.506,6.812
44.461,76.359,-45.278,-13.937,-13.88,-38.063,-48.958,-7.496,3.367,13.629,0.599,7.907
44.895,33.793,-68.916,-31.719,-3.037,-24.687,-53.968,-14.788,14.955,14.62,2.397,15.454
45.145,75.15,-72.052,-13.272,-16.349,-32.654,-54.365,-4.276,-12.497,22.029,-5.671,5.244
42.463,38.908,-57.66,-42.962,-9.365,-38.477,-43.234,16.04,-26.125,30.549,5.761,-3.176
45.691,86.537,-58.194,1.786,-27.43,-0.145,-33.005,-23.292,-14.238,6.343,-7.439,9.031
43.228,77.348,-39.257,-46.751,-18.41,-20.097,-37.139,1.006,-2.319,6.352,2.423,16.517
44.588,22.51,-70.981,-20.55,-14.347,-54.361,-38.493,-27.706,-23.52,47.401,3.709,13.482
43.284,13.737,-78.372,-65.391,-4.916,-19.951,-37.796,-17.511,8.839,-0.389,-12.228,15.888
45.572,99.619,-68.412,-26.502,-12.103,-25.159,-43.366,-19.373,-3.392,17.723,-1.88,11.42
44.854,16.57,-88.017,9.134,-9.021,-24.185,-46.319,-52.45,-9.167,36.827,-6.813,7.959
42.209,10.977,-80.48,-33.025,-19.27,-20.582,-43.37,-12.638,-12.29,4.809,-1.488,-3.32
45.029,86.37,-49.032,-8.411,3.692,-0.379,-32.738,-27.449,-14.793,10.43,-8.495,10.335
43.135,-4.767,-69.351,-50.464,-1.77,-33.605,-53.651,0.342,-9.138,17.687,1.98,2.905
44.59,40.66,-75.085,-47.612,2.118,-25.842,-60.581,-15.403,-1.364,20.589,-3.463,8.776
46.743,85.807,-63.429,-53.632,-0.659,-7.278,-47.872,-27.035,6.633,9.612,-9.677,5.275
45.193,58.918,-64.045,-25.811,-19.31,-41.517,-52.621,-23.224,3.103,1.703,-5.988,1.77
45.099,42.869,-83.908,-32.321,1.357,-27.684,-58.528,-8.229,15.948,18.848,-2.372,3.703
45.604,111.497,-54.362,-38.244,5.605,4.833,-39.429,-15.89,16.76,-18.36,-4.831,10.834
44.702,80.113,-39.872,-23.841,10.122,-17.387,-44.244,-16.128,21.745,5.423,-2.162,-17.426
46.136,78.976,-57.067,-35.249,-0.248,-31.772,-42.634,4.533,-8.672,12.401,-1.981,11.627
45.973,23.436,-76.238,-24.555,-3.895,-46.032,-56.861,-0.828,5.99,17.228,3.602,1.141
