0,1,2,3,4,5,6,7,8,9,10,11
1.646,135.857,-35.813,-47.622,32.949,-48.323,8.247,3.707,-34.831,-0.687,-5.765,5.817
29.883,-154.511,25.822,28.385,37.483,50.353,26.01,21.865,-37.828,54.693,61.025,4.422
29.272,-133.018,30.808,110.827,45.62,-42.125,-9.918,33.743,-20.46,-24.962,-24.175,8.858
23.481,-164.041,18.058,-83.997,55.997,-10.207,34.647,-15.437,-35.997,13.138,-8.488,1.487
29.571,-127.698,22.858,106.521,38.927,-25.871,-19.743,30.869,-23.621,-21.322,-19.514,0.467
30.354,-186.149,19.252,-6.21,22.565,-18.245,19.172,15.285,-13.928,10.378,16.174,0.331
28.085,-156.275,-12.515,70.103,22.533,-40.609,-10.447,46.671,-8.304,-13.981,-15.867,3.845
26.248,-185.569,3.716,-27.818,42.216,4.132,16.539,7.618,-31.513,25.236,11.667,-4.591
30.182,-133.868,16.668,110.239,44.013,-25.352,-19.495,25.75,-21.133,-18.139,-10.134,8.31
24.385,-140.828,49.085,-92.644,52.765,-3.891,33.323,-23.341,-32.63,16.296,-14.004,17.322
33.248,-135.399,71.422,11.958,41.847,-27.849,-11.914,-0.432,-14.237,-12.804,0.011,1.059
38.05,1.27,23.935,-142.625,64.824,-26.159,-36.845,117.964,11.742,-14.832,7.007,7.088
46.809,15.208,-2.635,-10.656,37.942,-3.261,-35.344,-36.999,-47.952,67.727,-31.117,7.631
46.171,-34.588,96.021,-4.55,68.573,-17.705,25.937,17.69,-32.747,-24.6,13.436,-22.417
44.32,-22.207,59.127,93.196,50.643,-13.109,10.297,-12.747,-3.419,1.818,-44.605,28.858
40.962,68.589,-58.663,-36.342,23.451,-25.355,-43.821,59.846,-24.738,32.051,-5.613,20.945
39.692,16.075,-60.177,86.963,58.634,26.851,-21.337,12.663,-42.949,25.522,-41.416,14.112
38.463,95.366,-13.282,105.176,35.258,3.363,-73.699,-34.214,-43.063,14.186,-57.99,-7.869
33.697,-80.624,-4.631,-32.437,44.373,52.691,-26.718,-6.33,-16.016,5.329,-48.263,3.706
26.977,-115.971,11.074,-35.37,28.977,-23.657,9.504,9.087,1.795,-23.594,-17.628,-0.815
32.117,-99.368,50.698,-70.331,71.583,47.242,16.78,-17.867,-22.378,-36.66,7.406,2.031
39.788,-72.682,37.694,-54.434,75.429,-37.89,-32.458,6.835,-48.051,-21.458,18.386,-16.271
43.164,-59.429,69.267,28.659,56.915,-16.708,-9.835,0.166,-23.259,-12.604,-34.961,-31.19
41.786,5.609,-21.857,10.555,34.454,13.927,-52.143,35.326,-0.72,-21.425,-35.569,-5.481
46.472,27.41,2.587,-10.696,41.435,53.563,-36.142,-42.65,-5.762,9.905,-10.811,-10.862
45.815,-11.166,32.28,-47.406,27.063,-40.895,-23.432,-15.22,-2.204,-28.396,20.902,-18.833
45.731,-0.592,130.264,56.361,56.709,-20.496,18.674,-6.488,-7.728,-6.6,-41.7,-1.799
38.017,15.716,-67.222,32.306,21.439,-35.932,-41.383,0.789,4.717,-29.991,1.849,-6.534
43.099,29.957,-4.051,-11.546,33.712,97.625,-30.359,-35.735,-8.911,4.726,-40.56,-5.709
34.878,85.831,-27.416,82.599,36.869,-37.695,-46.139,-55.71,-22.42,-39.309,-24.388,-11.606
37.171,-64.234,-35.899,29.917,21.156,53.408,-37.349,-37.499,-9.374,13.925,-26.251,-7.212
31.349,-145.329,2.005,-50.465,18.146,-43.545,6.284,27.787,-2.237,-10.158,9.627,1.271
31.138,-120.966,-20.46,-3.58,7.608,-52.025,2.021,-27.813,-4.498,8.489,-9.112,11.03
36.13,-129.022,23.063,-0.007,37.164,-16.495,10.074,-0.256,-13.483,2.993,26.85,-4.968
39.799,3.155,9.712,-9.534,82.997,-42.576,-7.582,-36.355,-22.976,-4.992,-5.78,-2.297
46.033,-67.795,66.376,17.862,58.2,-16.876,21.875,8.025,-32.58,-10.018,3.183,13.808
44.076,36.762,-19.272,-9.218,57.729,-36.399,-52.155,109.683,-7.386,-26.224,1.314,-0.812
46.539,-32.757,53.374,62.838,64.438,-4.247,-0.95,4.823,-39.13,0.779,-35.302,-12.97
37.325,-25.094,-70.665,73.483,20.603,-19.164,-41.629,-13.275,-9.42,-23.675,-23.198,-2.836
44.787,52.302,44.47,-4.906,34.989,15.476,-40.456,-23.032,-53.748,43.154,-12.603,-20.332
39.369,162.413,-23.577,-12.664,38.747,-16.32,-83.701,46.815,3.041,-1.044,-34.44,-7.702
46.127,34.999,7.58,11.272,46.381,61.101,-44.33,-12.2,-20.103,45.445,-18.252,-11.738
35.294,29.432,-59.602,47.135,14.839,-19.907,-59.184,18.298,-5.064,-39.98,-7.718,-20.501
27.863,-68.283,-50.949,-2.093,17.545,38.08,-11.879,-57.69,1.367,-6.996,-32.275,3.477
28.086,-136.6,21.298,107.152,52.709,-38.412,-23.436,33.176,-22.251,-21.313,-22.52,6.782
26.997,-138.101,64.519,-104.688,65.417,59.573,33.514,0.032,-33.622,22.786,-25.523,18.241
38.228,-46.461,58.703,-64.13,42.89,-3.571,-9.631,0.032,-30.336,11.502,-11.57,24.173
43.637,-17.772,68.994,-13.599,68.965,10.725,-10.473,-15.425,3.3,-12.274,-16.374,-16.68
41.834,7.523,-32.572,-40.281,47.917,3.876,-37.069,35.64,-23.54,-13.557,-29.219,2.971
49.355,72.118,13.497,-1.389,18.877,10.398,-46.371,-34.853,12.905,-12.122,-1.482,-7.819
48.046,40.413,45.978,30.608,22.134,-2.333,-7.388,-23.519,8.001,-43.746,-19.915,1.387
40.116,147.384,-30.514,-24.43,54.061,-30.203,-26.891,12.01,-10.603,29.521,0.934,20.929
43.594,-55.531,8.145,-3.62,67.226,63.717,2.203,13.649,16.721,-38.859,-34.487,10.94
38.292,-103.794,1.381,-70.635,50.357,19.178,-39.244,61.561,3.125,-21.95,-51.152,0.2
30.794,-197.437,24.33,-0.283,38.102,-52.066,3.676,4.016,-18.393,-2.196,-0.578,-0.569
