0,1,2,3,4,5,6,7,8,9,10,11
0.027,170.491,9.781,-29.199,58.044,-50.329,14.579,4.195,-27.007,0.86,-10.143,-7.869
31.375,12.844,216.751,1.156,144.619,94.587,58.382,-15.598,-37.757,28.179,81.804,-11.019
42.325,35.269,218.227,61.09,98.788,-4.27,1.415,-1.257,-13.347,-30.212,22.729,5.926
41.569,40.328,238.142,72.831,75.283,-11.058,23.02,6.505,-45.932,-10.306,-1.77,17.634
40.152,48.257,204.771,68.601,43.847,-17.698,23.494,21.378,-49.627,-28.875,-3.793,19.749
39.051,53.934,224.587,75.591,62.068,-6.003,23.02,-15.463,-61.228,-25.536,-4.289,15.093
38.023,-26.265,231.091,49.755,100.921,-20.509,22.976,19.51,-25.306,-10.86,20.863,13.272
42.27,46.589,231.09,100.328,84.867,-21.678,13.072,-6.989,-39.215,6.68,4.719,-6.303
40.445,30.468,253.551,64.866,86.45,-22.001,19.549,7.747,-43.83,-4.603,14.385,6.07
39.887,10.082,238.074,81.003,92.514,-19.162,10.97,-16.401,-45.261,-17.217,-4.398,13.217
42.312,61.627,201.893,80.472,62.609,-34.826,10.864,-4.499,-27.183,-10.07,-1.012,-7.657
41.846,29.399,188.865,55.42,30.631,-24.82,24.869,2.235,-50.898,-6.818,-7.519,-10.599
41.198,57.664,154.429,68.504,61.361,-26.319,43.442,6.698,-53.404,-22.359,-3.842,-26.429
41.568,58.995,229.277,42.407,64.441,14.947,25.494,4.287,-48.099,-21.956,-2.803,-5.989
40.598,17.961,195.559,65.873,44.352,-5.456,32.613,1.381,-58.975,-11.196,6.024,21.509
41.635,44.814,203.932,44.113,23.388,-14.275,52.013,24.141,-49.974,-16.031,-8.275,4.359
39.759,25.535,189.653,40.282,30.208,-14.142,11.098,8.239,-60.232,-23.879,-13.479,6.695
41.242,43.226,176.325,42.406,51.045,-26.227,15.441,20.76,-58.613,-24.129,-20.874,-12.77
39.307,-6.113,147.936,41.185,53.922,-46.324,38.784,-5.172,-37.636,2.893,-0.871,-31.605
40.183,6.668,183.527,79.452,37.714,-39.267,48.125,5.916,-39.321,-6.706,-25.212,6.645
37.245,-37.025,194.224,58.659,75.051,-23.34,35.485,10.169,-17.84,-9.487,10.312,-18.107
43.109,52.482,201.979,59.364,50.681,20.816,50.033,2.902,-30.009,-19.61,13.332,-11.766
51.802,-2.457,-2.784,30.322,-19.573,-56.689,15.408,-18.053,-19.259,19.899,18.128,3.861
49.393,-33.118,39.388,-3.215,0.687,-22.031,35.724,8.501,-6.297,1.44,-7.292,-3.061
50.412,-40.091,75.897,22.48,17.015,-17.639,32.736,18.865,-22.468,0.854,4.415,-4.022
49.898,-42.179,65.038,3.25,-14.648,-15.92,41.886,3.819,-28.269,-10.593,-6.837,0.218
50.053,-26.353,41.201,21.857,-40.615,-37.464,35.894,-8.388,-33.97,-14.95,-10.806,-5.503
48.884,-18.574,51.594,0.025,-3.378,-37.833,36.749,-1.813,-20.07,-15.766,-0.954,-1.446
49.606,-23.748,55.025,-0.187,-6.737,-39.051,31.8,9.415,-17.31,-23.79,13.549,6.326
51.03,-36.878,46.824,22.689,-20.341,-55.337,40.121,15.992,-30.712,-2.166,-13.913,15.953
