0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
38.616,0.2,23.448,-7.841,3.089,122.053,52.253,-2.927,-27.991,40.037,96.434,0.573
44.275,8.731,51.826,30.147,-9.802,-27.363,-16.333,-29.907,-48.492,4.723,3.172,2.024
44.126,1.0,63.742,18.303,8.336,-22.521,-23.683,-6.28,-24.006,-8.942,9.158,3.017
42.77,4.245,19.789,32.533,-18.314,-38.754,-28.537,-18.954,-32.233,-0.376,-7.771,-1.578
39.263,-2.547,37.079,48.015,-28.204,-61.581,-14.586,-30.837,-48.015,34.729,4.721,-2.454
38.099,-59.412,15.824,24.978,5.423,20.464,18.791,-7.76,-13.088,-17.649,1.2,14.702
41.099,-25.094,16.03,44.801,-9.459,-37.222,-14.843,-25.984,-38.673,5.871,20.187,14.686
46.0,32.759,64.11,34.09,1.662,-32.776,-20.684,-5.679,-10.797,10.149,-1.277,-8.556
43.743,9.239,28.633,18.722,-14.196,-39.226,-39.789,-21.58,-29.075,-1.027,-14.234,-7.675
42.433,5.385,42.592,30.562,-15.128,-59.068,-20.335,-11.054,-33.596,0.744,-10.58,22.713
42.83,6.455,28.776,40.329,-12.837,-17.751,11.564,-27.91,-28.822,-5.516,4.513,12.346
39.512,-32.627,33.361,78.968,-24.322,-56.218,4.274,-37.858,-53.938,12.899,-9.716,11.558
38.431,-24.629,57.599,-88.34,-8.637,-10.434,28.909,33.141,-22.352,-19.888,-0.754,38.251
43.556,44.495,37.22,46.016,18.13,-21.641,13.133,-3.524,-12.845,-5.129,-4.07,34.382
40.045,6.758,31.154,17.447,-2.691,-5.514,15.25,-15.532,-18.109,-22.961,6.623,12.69
39.312,-25.627,1.632,12.106,6.422,-24.657,7.439,-18.211,-26.211,-13.655,-0.072,49.41
44.185,47.348,18.753,16.709,6.465,-19.067,0.822,-0.281,-6.627,-2.593,5.113,31.027
39.382,-17.006,-11.165,33.745,-16.091,8.58,12.526,-14.549,-12.288,-28.77,-46.581,14.068
30.028,-129.687,9.157,8.201,-27.466,-22.371,17.488,-1.53,-37.803,-19.148,-15.001,14.752
32.823,-10.357,-11.228,139.937,-17.613,-33.856,9.031,-79.756,-37.975,7.462,3.4,-14.228
32.348,-51.49,37.169,-168.266,11.776,-24.404,8.909,33.958,-7.848,-7.359,29.939,7.88
38.018,-64.157,-75.813,-59.763,77.032,-25.039,-16.623,29.402,-20.625,-19.497,14.627,-10.981
41.006,-21.389,-56.477,-39.655,42.254,14.466,-25.894,-14.976,-27.573,-31.305,-35.539,-3.247
45.866,-42.366,-26.775,39.078,2.756,64.883,-13.137,-33.101,-25.972,-11.852,-5.762,-3.702
44.896,-59.379,-17.036,-46.945,76.948,71.13,10.95,62.458,-6.617,-38.249,-5.281,14.995
44.883,76.979,-29.284,-20.908,13.375,10.846,-63.357,-25.103,-14.9,-24.763,36.581,-18.335
46.924,-35.218,-17.558,-25.221,12.385,-18.45,-38.603,-26.887,-47.923,3.965,-13.869,-24.964
42.857,-61.694,-58.803,-31.328,49.738,-35.563,4.253,12.24,-14.685,-0.187,-10.947,1.421
43.822,-67.112,-26.648,-22.932,73.216,-52.991,8.031,6.515,-21.411,1.814,2.713,-13.982
44.028,-60.801,-46.471,58.988,21.895,-26.577,-17.838,-11.832,-27.292,-2.841,-23.938,-15.169
38.8,-53.139,-30.044,-35.957,31.379,8.175,-29.727,-40.082,-13.153,-25.628,-21.764,30.139
37.784,-68.111,-24.841,-19.404,10.708,-6.313,-16.873,-16.726,-23.956,-41.642,-16.033,15.962
39.357,28.128,-32.052,-117.018,42.878,-13.335,-25.884,65.092,8.477,-49.405,17.564,17.267
42.006,-31.677,-44.532,36.845,-10.722,-19.575,-47.888,-58.571,-34.265,-11.395,-55.613,2.286
46.604,-2.667,-16.304,-10.534,6.822,20.154,-38.935,-4.418,-37.271,-10.397,-0.379,-15.654
42.306,-49.927,-53.269,-28.027,-8.833,-24.943,-21.755,-24.892,-25.321,-18.452,0.403,1.428
46.404,-18.715,-4.4,-10.667,11.04,-8.311,2.423,3.767,-3.066,-5.162,8.647,24.498
44.59,75.197,-30.889,-22.604,45.728,-30.164,6.269,-28.429,-33.445,-26.543,-6.192,33.095
44.786,-26.544,-11.39,-20.739,-0.773,-32.379,-18.797,-3.915,-24.718,-23.287,-17.295,-8.268
43.369,50.118,-57.282,-76.967,41.138,-16.056,0.549,33.189,-12.439,-61.852,4.858,25.479
45.143,-6.887,9.47,-48.674,16.004,-44.101,-24.141,-16.875,-60.253,24.581,-8.509,-13.728
44.259,-21.747,2.215,25.795,5.787,-68.518,-10.06,2.958,-43.32,-4.096,-26.782,4.24
39.372,-76.037,-9.991,-8.949,-0.238,-37.439,-4.416,-12.937,-48.711,-20.076,-2.098,18.842
42.18,-4.439,7.547,-65.55,5.958,8.339,-22.815,0.684,-10.184,-16.724,-12.338,15.247
44.931,36.867,9.053,-45.952,27.252,-13.482,-33.463,-35.758,-68.508,-5.952,-10.689,-8.738
49.058,-4.619,-5.355,17.051,35.281,-18.801,-27.388,-20.326,-44.559,-4.401,18.16,-8.934
46.692,-40.665,10.2,-6.933,49.42,-35.949,-5.947,-8.927,-11.915,-4.531,-2.536,-21.032
45.007,-54.593,-14.218,53.474,15.526,-31.4,-18.92,-17.573,-26.407,-14.404,-17.363,-17.093
45.567,-7.515,-40.705,37.196,54.775,-0.464,-19.297,-30.152,-60.405,4.534,-66.8,12.819
40.469,31.247,-51.992,-53.551,52.674,-2.289,-39.066,6.314,5.047,-38.268,2.707,29.399
38.28,-23.417,-59.019,1.863,7.092,-10.944,-49.004,-17.801,-29.406,-0.604,-39.413,1.515
39.969,10.725,-54.705,44.943,21.336,-30.322,-55.535,-87.587,-43.852,27.313,-55.495,20.103
34.496,-87.676,-66.677,-51.296,58.721,20.442,-45.482,-17.398,42.599,-59.466,1.326,22.968
44.366,-0.807,24.53,3.228,-5.455,-21.535,-37.866,0.196,-14.324,3.141,5.502,-3.281
44.377,-6.113,23.739,-40.6,1.35,-22.166,-41.426,9.032,-43.228,-0.258,9.934,15.584
45.957,-61.493,5.65,45.505,42.697,-32.03,-23.151,-2.153,-24.185,-4.735,-23.478,5.291
42.895,-25.161,-20.251,-38.914,15.975,-1.653,-3.686,-13.353,-24.426,-2.766,-14.826,14.555
41.743,29.876,-25.659,-19.959,38.283,4.525,-8.061,-9.718,24.134,-45.135,-25.708,44.736
41.314,-25.341,-16.079,-53.499,24.566,-29.397,-11.208,-18.304,-31.761,-8.449,-2.724,3.948
41.731,-24.114,-29.443,-25.25,17.081,-5.911,-3.853,-23.429,-42.906,-20.356,-20.358,2.626
40.477,-17.713,-22.367,-39.296,0.32,-8.78,-4.318,-2.345,-20.137,-46.134,-10.305,29.75
42.638,-11.552,31.399,-100.423,-0.718,12.852,-3.629,18.003,-16.076,-50.989,15.444,3.803
50.622,58.287,11.135,20.294,-1.512,7.339,-71.436,-24.285,-27.463,4.512,-36.393,-7.802
50.911,10.959,29.226,9.536,28.816,-27.545,-38.984,-12.915,-12.901,35.373,-17.122,-22.045
47.887,10.124,-7.356,-43.481,32.362,-21.143,-16.062,27.947,-13.918,2.802,-13.427,28.898
48.035,-28.554,27.084,-102.125,7.998,-10.739,-10.271,23.459,-22.805,-22.911,-11.546,-8.537
48.777,-57.851,8.858,-8.913,73.512,-38.374,3.279,1.991,-21.421,-19.814,1.019,14.376
48.323,-8.89,1.778,4.359,39.807,-19.244,-39.221,26.484,-45.806,-18.943,-29.024,-14.904
47.354,-15.999,30.983,-60.775,75.683,3.751,-35.708,-10.421,-22.386,-2.515,4.343,-13.878
46.718,76.358,-43.627,4.576,69.73,-55.406,-43.533,62.417,-8.346,-21.104,13.807,12.78
47.66,30.837,-48.077,-30.156,25.726,-3.133,-50.677,-26.401,-22.494,55.511,-11.19,9.654
46.635,70.665,-30.91,12.539,32.232,-13.025,-2.575,-28.844,-40.868,-23.625,-14.881,7.147
48.738,25.365,3.515,-28.724,31.125,-37.506,-2.945,-55.251,-48.516,32.577,-22.379,1.454
49.161,12.433,7.785,16.377,37.798,-41.611,-28.353,6.517,10.74,0.226,-2.108,20.553
47.174,-30.29,-18.822,27.207,44.629,-1.579,-41.902,9.542,-2.437,3.839,-24.329,11.214
41.612,-43.412,-23.749,-28.56,14.146,-54.361,-48.254,-21.325,-8.913,21.416,-5.798,13.639
45.724,-41.651,-1.228,-25.592,0.153,-10.453,-21.743,-9.352,-29.121,-5.191,19.96,-17.11
45.372,-6.155,-40.366,-3.127,26.892,-21.335,-15.719,-11.091,-4.739,-54.892,-27.692,14.017
42.707,-80.572,-36.873,-38.191,66.468,-45.938,13.167,9.667,-26.79,-10.478,-11.009,-4.848
45.235,-13.989,-4.051,-7.078,-2.737,-37.364,-10.487,2.315,-17.588,-9.758,-1.884,25.436
43.398,13.57,33.774,-55.815,7.017,-28.374,0.391,12.568,-14.668,-18.46,8.66,20.978
44.441,-25.01,-7.406,-4.992,6.876,-47.488,-11.277,-6.84,-18.126,11.257,-3.658,26.45
45.062,-41.057,-1.946,-4.186,16.165,-10.345,-24.562,0.154,-35.413,5.932,-15.728,0.35
41.347,-61.676,-31.987,14.746,25.766,-13.437,-21.272,4.755,-25.767,-2.404,-25.544,5.065
42.144,38.437,14.739,-87.052,8.674,0.018,-14.865,-12.983,-7.982,-7.128,-13.905,29.212
46.877,41.656,-38.92,-35.859,47.4,15.634,-45.957,46.947,-26.871,-26.818,-13.973,5.266
53.281,47.159,30.537,5.716,80.002,-6.458,3.872,-5.307,-31.563,48.544,2.009,4.29
