0,1,2,3,4,5,6,7,8,9,10,11
0.415,167.529,17.223,-39.083,55.219,-53.787,15.217,-5.087,-30.509,-1.887,0.49,-9.588
42.267,-35.041,-36.994,-18.184,28.294,125.518,10.989,-9.862,-29.249,55.224,67.141,-17.424
41.867,-80.75,-34.425,10.493,-14.726,-53.972,-21.661,-31.009,-32.545,9.946,-16.096,8.433
38.5,-105.908,-40.311,21.502,-16.272,-71.659,-21.414,-34.414,-32.238,37.407,-19.331,4.039
45.819,11.343,-2.004,-13.96,12.615,-25.386,-9.583,-9.269,-15.084,4.106,16.701,20.214
44.803,-28.945,0.842,-9.322,12.114,-46.935,-12.33,-1.105,-14.023,16.813,1.8,20.987
44.349,-7.03,-7.409,-0.656,-17.165,-24.46,9.977,-17.321,-8.474,-2.659,-6.811,32.355
44.659,-74.437,-33.253,16.316,1.742,-56.535,-13.859,-22.132,-18.666,29.953,-14.251,8.575
43.268,-24.756,-18.288,-25.84,-19.442,-32.059,5.889,-1.283,-5.776,-4.652,6.822,27.939
44.919,50.862,-2.806,-30.352,22.16,-58.147,-10.215,4.538,-31.567,8.394,-6.959,11.649
45.273,9.029,-48.261,6.595,-15.125,-35.883,3.79,-30.93,-14.078,4.233,-11.989,33.366
41.505,-50.29,-34.928,-13.814,-30.96,-48.175,1.439,-0.56,-22.401,14.508,-5.817,11.744
39.529,-71.631,-27.099,-5.089,-28.905,-50.154,3.242,-27.645,-33.284,20.014,-10.247,5.941
46.137,-1.202,-19.786,-14.202,20.947,-14.693,-4.095,-5.559,-3.685,9.089,18.632,21.298
44.201,-43.932,-9.66,-6.621,-24.085,-47.274,6.185,-4.902,-18.871,10.93,-11.9,19.135
43.279,-57.519,-13.729,4.999,-23.734,-59.744,14.159,-16.103,-38.714,17.771,-9.052,19.416
43.385,-24.444,-14.979,-26.628,-24.207,-46.149,18.389,-9.384,-26.833,17.577,-1.027,21.784
43.561,17.484,-46.639,41.388,-16.24,-28.236,14.555,-46.158,-13.43,-11.562,-21.608,31.603
41.462,-30.808,-35.406,-16.044,-24.43,-46.265,5.27,-17.887,-31.838,26.874,-1.206,4.504
40.683,-78.834,-30.599,-2.302,-10.953,-48.119,-10.78,-20.125,-20.647,23.576,-14.212,5.789
44.415,-50.129,-14.156,-3.978,18.976,7.102,-4.636,-13.603,-3.46,-6.494,17.642,-1.589
41.458,-68.146,-26.09,-1.453,-0.389,-36.754,0.286,-16.745,-4.908,16.516,-16.458,18.951
45.435,26.081,-41.472,21.102,11.505,-39.466,-12.473,-38.972,-16.554,9.92,-22.141,-7.733
44.549,12.752,-55.856,17.215,33.481,-49.848,-4.342,-47.256,-9.261,5.075,-28.757,3.002
43.856,-33.45,-35.22,-5.727,43.567,-48.194,-25.943,-24.293,-4.846,17.196,-12.572,16.966
44.116,-21.977,-10.604,-11.872,-10.009,-31.023,-17.848,-11.65,-9.818,5.62,-5.436,-4.117
43.142,-69.735,-31.138,0.322,-14.047,-49.844,-8.689,-29.645,-20.019,28.232,-12.995,10.137
42.849,-34.831,-28.177,-56.809,-2.308,-8.317,0.091,23.486,6.348,-27.708,-8.704,8.969
41.316,-88.132,-43.242,11.378,-15.581,-72.233,-9.92,-19.575,-24.937,36.565,-7.472,14.698
41.581,-35.436,-34.781,-17.259,-17.051,-48.746,-11.947,-11.15,-21.183,11.05,-6.16,9.025
40.758,-77.784,-47.758,9.459,-24.849,-50.664,-19.531,-29.992,-20.076,27.478,-9.861,4.622
42.881,-44.355,2.23,-101.301,14.952,11.11,-7.928,4.91,0.01,-27.892,-24.964,-4.512
44.351,-32.533,5.343,-2.583,-13.154,-39.224,-5.736,-8.453,-9.624,-0.735,-3.46,15.773
43.602,-93.205,-30.881,1.283,-18.467,-53.479,-9.229,-15.28,-18.82,27.39,-0.604,9.071
43.422,-56.03,-20.683,-25.527,-15.605,-43.88,-8.302,-2.593,-13.275,6.328,-5.929,11.141
43.546,26.561,-41.975,-4.467,-6.471,-57.769,6.022,-30.771,-19.826,26.351,-30.983,45.393
41.257,-40.758,-31.956,2.926,-35.852,-41.525,3.798,-17.401,-19.841,8.779,-21.899,13.649
45.017,-22.551,-20.199,-18.889,11.327,-33.814,-0.943,-6.891,-4.809,8.03,1.99,23.314
43.593,-34.139,-16.34,-0.575,-23.216,-52.915,5.051,-21.962,-27.738,28.563,-13.537,18.035
41.726,-66.689,-18.268,-6.023,-28.203,-48.189,13.362,-4.87,-35.28,17.056,-6.144,22.611
42.688,-46.242,-19.76,-29.832,-33.622,-49.366,9.628,-5.989,-33.076,14.978,-2.664,17.552
43.189,0.419,-40.36,26.265,-25.817,-8.491,10.968,-36.244,-8.131,-18.337,-10.118,19.037
41.478,-50.631,-36.315,10.773,-6.827,-41.531,-6.497,-31.841,-13.12,21.344,-21.327,15.349
41.626,-39.827,-39.403,-7.985,-21.709,-47.947,-4.329,-24.178,-27.588,25.834,-3.731,-0.412
39.474,-75.277,-38.783,3.02,-11.218,-46.045,-8.475,-40.573,-13.156,29.903,-15.461,10.528
