0,1,2,3,4,5,6,7,8,9,10,11
0.002,171.071,9.412,-28.556,57.452,-50.073,14.83,5.284,-27.246,0.964,-10.633,-7.177
34.863,77.911,81.606,-129.241,81.936,282.608,60.279,6.28,-9.034,73.162,45.022,-11.593
42.739,14.243,63.389,-49.334,34.669,41.65,-3.34,21.657,19.846,-24.098,36.029,-12.757
45.044,45.92,61.146,-6.444,39.681,-28.069,-29.337,-7.8,3.886,2.507,-4.842,8.82
44.595,49.319,58.932,24.801,34.955,-12.202,-14.104,-0.813,4.224,-10.478,-29.308,16.271
44.03,50.42,94.458,-23.707,47.018,5.158,5.578,11.18,19.34,-12.727,1.569,0.163
45.049,49.578,60.324,-4.023,38.527,-20.404,-33.666,-6.586,10.862,-7.808,-2.018,3.603
41.189,-14.54,26.129,67.098,32.573,-23.884,-40.901,-36.546,-11.589,-10.446,-8.909,13.579
41.54,-1.165,31.415,31.181,41.074,17.042,-34.735,-20.156,-0.43,-27.555,-1.072,3.429
40.887,-14.517,38.78,39.317,31.194,-39.801,-47.866,-43.095,-17.628,2.762,1.875,9.317
42.057,1.3,56.509,35.26,40.954,-38.71,-41.287,-28.474,-13.129,-1.128,5.421,12.698
41.176,-4.49,35.036,32.985,33.382,-40.49,-41.872,-29.858,-6.788,3.725,-13.951,15.939
53.66,58.859,-15.772,14.837,18.948,-22.833,-22.823,9.063,1.706,19.29,43.849,13.182
54.19,58.156,-14.729,5.727,13.109,-17.201,-17.161,-0.323,2.187,1.693,10.242,6.8
53.423,66.696,-26.741,-24.95,-30.155,-59.978,8.009,-2.434,2.066,21.978,-1.692,12.704
53.684,51.486,-34.068,-8.706,-16.411,-86.048,-23.619,7.068,0.566,-4.801,-11.839,9.857
52.571,59.246,-32.461,-19.938,-38.403,-56.174,4.885,-7.702,-6.096,21.596,2.396,11.164
53.847,61.663,8.507,-43.564,-21.092,-4.796,33.736,2.066,1.43,-5.823,-15.717,15.622
53.926,46.086,36.259,-0.952,-19.444,-49.941,62.706,-8.013,-14.092,17.247,4.091,28.462
54.112,28.989,6.064,-4.303,-17.927,-31.847,63.822,-3.587,-8.222,-8.811,4.139,39.811
54.826,49.898,30.367,-0.901,-5.459,-76.239,26.529,-0.91,-20.379,8.389,-5.341,46.511
53.361,48.708,27.361,3.252,-23.228,-74.164,55.043,8.763,-19.989,9.649,-9.721,49.199
