0,1,2,3,4,5,6,7,8,9,10,11
0.01,170.864,9.365,-28.793,57.505,-50.08,14.609,4.957,-27.378,0.853,-10.485,-6.974
6.656,73.02,37.673,-132.777,66.599,-29.36,-0.871,-78.514,-32.693,25.334,18.055,-14.952
19.743,-66.894,31.197,-64.353,39.33,-17.64,-38.589,-12.779,-9.613,-2.895,3.753,-7.743
24.265,-79.855,38.518,-24.003,27.326,-14.207,-25.361,-18.856,-3.474,-7.996,1.174,0.482
25.052,-131.5,38.086,-37.751,45.807,-40.113,-11.844,1.48,-2.321,-6.103,7.659,-0.313
27.051,-118.991,42.359,-21.016,40.059,-31.119,-18.394,-14.611,8.819,-0.334,-2.987,-5.906
28.386,-124.518,37.845,-18.66,57.563,-45.307,-12.057,-3.597,-15.641,-11.386,14.718,13.838
29.477,-130.383,33.081,-14.205,55.507,-36.373,-21.153,-3.825,-7.737,-5.07,1.748,20.721
46.533,-50.193,146.243,9.514,52.515,37.824,7.516,20.626,-29.977,-18.517,42.188,-10.62
46.43,-63.76,85.511,23.433,20.881,-21.014,-1.496,-29.444,-24.484,-27.441,-6.645,1.374
52.19,-13.153,-25.509,29.265,53.703,5.495,4.533,-14.49,-9.726,-27.876,29.195,16.855
53.552,27.066,32.4,-15.106,28.989,6.932,28.716,-2.073,-18.873,-22.932,32.957,-12.414
53.869,8.506,40.782,17.162,-11.353,-22.855,49.372,-7.025,-36.246,-21.385,8.673,7.578
54.549,15.672,-6.468,14.449,10.851,-34.299,9.104,-4.507,-31.717,-24.873,11.291,14.166
52.237,8.275,46.967,0.347,4.214,-18.209,29.404,-1.14,-50.398,-29.131,4.051,11.002
52.328,5.326,60.417,-6.413,-10.022,-21.922,23.305,6.738,-22.408,-17.317,-3.45,11.583
52.231,40.804,60.359,10.628,-8.107,-50.099,32.212,-1.007,-22.811,6.233,-10.48,-13.859
52.331,40.068,56.323,-12.337,-17.259,-41.25,11.367,0.666,-16.547,-5.241,3.24,0.655
52.349,47.39,1.42,-4.286,-20.978,-69.492,15.357,-8.396,-20.512,4.961,-24.789,15.321
55.16,22.107,-26.621,-26.307,26.886,-34.65,-5.822,-13.312,-4.293,2.772,6.607,-5.85
53.042,-6.492,6.322,9.233,9.108,-67.469,-4.36,-24.558,7.558,30.114,-10.971,-27.918
54.325,38.667,39.918,-17.73,51.693,-34.767,8.53,-23.704,12.144,-2.566,-11.843,-25.821
55.17,14.176,45.24,7.944,17.627,-63.398,15.293,-8.853,7.889,26.868,-15.758,-30.464
53.087,19.497,27.166,-6.824,29.969,-33.823,19.928,10.015,18.273,9.331,-14.918,3.777
53.853,20.68,-38.043,9.554,11.153,-52.008,0.453,-7.369,-5.037,-11.306,-12.596,6.644
50.388,28.585,30.773,0.803,4.836,-29.435,13.396,-1.271,-6.522,-8.144,1.134,-1.428
49.026,24.176,7.567,-4.311,7.213,-43.638,-1.988,-28.912,-10.989,12.226,-19.499,-14.856
49.43,9.758,27.186,-37.364,2.483,-23.272,3.199,-6.278,4.886,-3.61,5.497,-21.029
53.259,13.156,5.946,22.432,6.827,-34.312,24.429,-5.878,-23.56,12.916,14.965,-10.557
54.351,16.712,-8.637,-41.957,18.053,2.966,2.287,-2.955,-7.174,-16.529,15.575,5.239
53.281,-11.797,19.922,5.763,-14.013,-68.591,-4.316,-28.038,-17.642,24.85,-14.505,7.483
50.945,6.77,40.215,10.263,32.17,-43.52,9.726,-4.621,-20.993,-3.942,-2.286,-1.111
55.201,61.428,28.478,-12.6,11.134,-11.897,33.741,-4.552,-18.472,-14.305,25.293,3.38
54.137,13.472,34.337,19.037,-14.496,-27.812,42.974,-3.846,-41.279,-19.704,9.189,15.733
54.327,11.38,1.589,10.916,22.679,-17.462,15.623,4.263,-27.624,-30.862,9.012,12.973
51.117,-13.036,75.368,-25.247,-1.578,-19.152,26.08,26.28,-42.402,-15.424,-5.518,14.89
52.541,0.916,62.694,-3.6,-7.436,-31.533,33.415,-4.23,-16.625,-12.826,-4.889,14.723
52.448,15.918,56.125,4.221,-2.267,-32.923,23.633,15.581,-18.488,-23.113,-3.839,-16.484
52.291,28.294,70.899,-8.72,-11.219,-32.393,22.513,14.524,-12.001,-6.181,0.425,-3.617
53.305,40.039,47.655,7.34,-1.289,-33.33,10.829,7.597,-2.551,-9.606,-8.461,15.882
54.979,37.348,-30.555,-19.548,1.327,-43.92,-14.199,-6.506,-19.169,-8.523,1.383,10.92
51.523,8.194,6.852,15.817,-25.893,-76.35,12.185,-16.776,-7.73,28.43,-10.494,-6.902
53.874,73.225,40.801,-51.133,10.48,13.706,-0.27,22.458,14.941,-34.897,-3.647,11.233
55.669,79.627,62.646,-15.061,-16.958,-16.863,-8.919,-15.709,6.132,0.614,-15.572,3.691
55.416,31.835,40.458,2.803,-3.39,-27.95,0.436,-13.4,1.673,0.637,0.551,-21.791
55.562,31.455,68.857,25.59,17.972,-39.079,-16.285,-19.42,12.391,17.328,-17.049,-14.127
54.419,29.515,11.742,-3.024,22.136,-25.466,11.325,-10.786,15.521,11.988,-11.639,1.233
53.855,11.3,37.116,-26.901,6.43,-30.102,-19.619,18.953,14.405,3.81,-13.898,-32.226
51.139,27.79,44.124,3.926,7.031,-27.626,-6.427,-10.555,-5.892,2.633,-17.456,-34.21
54.548,30.77,-36.128,-15.564,1.647,-47.723,-11.661,2.983,-14.376,-9.944,-8.225,7.788
52.416,71.387,-5.691,-5.716,-17.934,-60.44,22.608,2.619,-30.32,2.4,-11.353,1.622
51.056,53.693,74.037,10.343,-7.076,-32.78,33.222,2.38,-29.213,5.631,-10.323,-13.361
51.69,30.799,14.031,0.747,-43.742,-51.102,29.438,-0.224,-56.447,15.368,-15.507,16.087
50.935,11.549,39.029,4.666,-37.698,-10.108,52.629,0.103,-25.141,-21.109,-9.458,11.705
49.005,12.832,69.589,39.271,-7.231,-42.445,23.346,14.922,-15.459,-10.914,0.186,3.232
48.475,12.972,62.879,40.376,34.196,1.706,-11.612,7.158,-46.325,-13.968,-13.495,15.135
43.572,-29.855,35.493,25.594,-0.524,-34.809,10.182,1.352,-43.223,-5.423,-7.308,28.052
40.485,-32.05,80.329,22.117,-2.765,-23.062,6.802,14.845,-42.417,-24.002,0.738,21.055
39.537,-29.673,62.323,23.382,-8.728,-24.336,27.705,5.592,-40.101,-30.299,-11.953,33.86
44.098,126.873,-37.961,-52.546,56.935,13.602,10.003,43.402,-7.356,-38.824,-8.656,29.124
49.548,141.637,11.16,-63.889,31.312,-3.261,1.886,-85.237,-15.921,35.14,-9.04,3.122
52.132,73.378,48.865,18.45,35.004,-23.602,-9.805,-12.502,9.267,-9.054,-22.276,-0.904
50.841,93.116,-13.112,28.089,5.65,-12.873,-59.612,-45.105,-0.394,-16.394,-19.259,5.294
51.603,11.042,-19.042,12.795,11.745,-27.044,-18.784,-3.049,2.536,-3.231,-27.993,-21.09
47.241,18.691,7.249,-42.841,2.337,-41.803,-34.142,-12.567,1.002,4.639,12.249,18.83
51.511,37.615,74.104,39.035,63.435,-35.986,4.583,-24.479,-10.53,-9.72,-7.752,-27.925
46.481,-65.072,-69.005,92.419,-0.601,-40.435,6.59,11.345,16.647,-17.945,-57.04,-10.947
45.961,141.686,13.408,22.647,22.778,-47.236,13.903,-5.19,-9.663,-18.388,-20.567,-0.742
47.681,-17.454,-3.674,-12.472,60.412,-33.413,-25.774,-16.594,-7.183,4.644,-5.535,0.844
39.414,-21.064,-83.637,85.98,-11.687,-22.736,-0.0,-20.671,7.391,-26.345,-43.875,1.473
29.352,-84.751,-17.614,-18.086,-13.708,-19.169,-28.713,-13.909,-0.769,-12.053,-9.687,-16.154
36.657,-8.35,-36.374,-59.766,26.192,24.195,-1.155,-38.655,-3.603,7.162,10.892,-0.09
42.773,-0.574,1.833,-119.695,39.972,-20.158,-18.498,4.784,-11.464,-25.216,31.016,1.428
45.122,10.587,-29.316,-55.269,18.489,-28.887,-44.342,20.347,13.391,-21.418,14.372,20.91
47.004,77.938,-56.945,5.445,-20.805,-3.112,-81.934,-29.109,7.259,-18.631,-24.698,-12.035
46.236,24.82,-39.105,-18.735,29.824,9.587,-55.625,-5.336,2.656,14.673,0.695,12.383
44.238,40.201,-40.831,-65.427,-17.284,-7.276,-77.323,-8.258,15.367,-16.289,1.516,-19.898
48.466,3.311,-38.471,-20.215,18.839,-52.157,-18.858,-12.614,-2.468,3.442,-18.686,-20.59
46.829,-22.719,53.068,0.465,55.302,-35.126,-12.206,-9.68,2.703,2.476,-8.213,-20.985
41.578,-58.07,-86.559,48.232,3.376,-65.32,-21.448,50.315,17.401,-41.262,-35.423,-11.232
28.517,59.261,-12.708,-1.048,72.824,-1.843,-22.983,-3.234,3.127,-42.279,-3.924,11.619
34.096,-100.243,-58.698,28.13,28.481,47.504,-2.486,-8.387,-9.32,48.66,3.536,-7.106
34.857,-37.158,22.127,-108.098,18.73,34.352,5.378,-1.408,-8.774,-38.585,-12.095,2.361
49.604,37.938,50.819,-36.917,13.091,13.727,-34.22,-39.351,-46.366,26.022,4.544,-22.664
50.155,1.678,93.649,28.388,49.102,-19.795,-12.731,23.255,-23.943,-7.204,-24.33,-18.909
42.72,38.545,-11.162,54.853,54.138,36.363,-15.743,-16.201,1.95,-16.742,-80.049,-11.229
48.915,32.871,33.831,-24.675,17.039,27.831,-54.612,-5.43,-46.642,35.909,9.043,-29.482
46.288,132.356,-60.27,-7.397,60.32,-61.887,-82.453,87.632,-2.894,-46.019,8.381,-7.883
48.761,27.955,-62.266,-47.056,49.931,-52.484,-23.718,-36.307,-18.644,17.886,-25.477,-10.089
50.913,48.358,65.001,-2.907,26.221,-9.102,-60.318,-41.24,-16.843,15.667,-0.464,-34.218
49.341,43.029,-7.481,43.797,74.059,-38.819,-29.479,89.502,24.067,24.233,-48.075,-8.858
42.586,78.129,-14.017,26.494,67.702,43.324,-27.675,-86.377,-24.59,57.025,-80.459,15.628
47.337,-31.598,-34.988,-62.386,26.893,28.85,3.009,-5.041,4.534,-11.224,25.31,-19.565
48.144,20.222,31.17,-30.014,-7.346,-18.507,-63.577,-21.986,-37.977,-16.901,2.768,-29.535
48.933,63.957,29.88,-9.746,-19.771,-20.184,-67.789,-3.569,-28.294,-14.928,4.106,-12.436
46.67,26.768,49.051,55.236,12.878,13.474,-42.632,-5.018,-23.457,-14.713,-77.508,-12.708
46.577,41.951,19.192,-33.579,24.654,63.167,-33.873,-26.632,-30.238,8.301,13.159,-6.505
46.304,31.471,-8.562,-3.621,-9.889,-4.405,-57.133,-5.889,-16.819,-32.07,-26.677,-2.636
