0,1,2,3,4,5,6,7,8,9,10,11
0.003,171.056,9.477,-28.562,57.537,-50.074,14.757,5.235,-27.254,0.95,-10.59,-7.226
5.393,85.019,51.441,-125.894,85.656,-33.309,7.431,-90.045,-36.861,27.094,10.406,-20.664
18.163,-47.693,33.059,-51.294,52.686,-32.988,-26.063,-4.748,-3.984,1.895,3.984,-23.65
21.169,-52.202,16.866,-38.673,16.386,-24.764,-36.145,-27.283,-20.28,-4.905,-7.77,-15.085
23.477,-90.425,19.645,-38.862,29.495,-31.546,-44.747,-15.526,0.534,-0.96,2.959,-20.608
24.393,-107.304,9.777,-30.089,28.664,-25.899,-22.503,-13.079,13.602,1.008,-2.587,-19.951
24.874,-114.889,-12.707,-42.336,15.639,-34.24,-49.336,-5.544,8.415,4.763,7.669,-21.26
25.539,-95.13,19.362,-23.265,11.446,-34.149,-18.718,-7.763,23.816,5.698,-2.102,-26.08
30.431,-8.233,-31.417,-34.29,100.446,-10.279,8.84,-25.983,7.734,-24.841,16.801,-33.367
31.33,-39.886,-22.246,-42.599,74.478,-33.163,-18.932,-5.919,-6.602,-1.433,-8.137,-27.99
32.715,18.688,-37.632,-2.563,86.612,-70.121,-21.209,-19.635,-9.555,15.858,-15.252,-23.555
32.82,21.614,-44.702,-32.983,89.576,-56.021,-18.37,-13.677,-5.412,5.624,0.911,-11.197
33.138,33.955,-31.37,-37.081,84.772,-58.008,-31.355,-29.683,-15.304,21.774,-16.979,-20.494
40.243,33.961,6.049,-3.015,-6.291,-43.847,24.032,-7.08,-21.061,7.48,-9.894,5.484
42.187,29.518,12.354,-10.071,9.487,-0.271,6.594,-15.371,-6.122,-3.963,-1.317,-29.661
46.2,107.601,0.331,4.63,28.416,36.077,26.949,-25.946,8.724,-51.632,3.941,-14.306
44.349,32.524,19.041,-26.884,9.061,-5.072,11.261,1.703,-9.576,-25.83,-14.301,2.902
43.18,27.942,23.826,-16.599,13.501,-18.234,10.749,6.82,1.245,-22.367,-13.673,-13.105
43.529,20.855,10.678,3.014,-17.461,-53.684,19.084,-21.478,-22.887,12.034,-10.453,1.329
45.647,24.658,5.155,-2.699,2.488,-36.412,-16.315,-29.122,-10.378,13.931,-7.049,-13.062
44.01,10.111,14.19,-2.245,-2.123,-45.924,-7.309,-19.84,-7.381,13.107,-17.329,-16.422
44.226,33.478,18.977,-11.648,15.587,-13.066,-6.758,-23.524,-2.182,-14.241,7.077,-20.308
43.413,13.436,-3.315,-2.441,-0.706,-56.794,-21.768,-17.347,-8.842,14.096,-16.316,-19.616
44.541,55.062,5.835,-0.538,-4.763,-47.771,-5.237,-30.042,-3.028,17.427,-21.026,-18.168
43.376,8.854,-24.721,-6.784,4.809,-17.446,3.675,-19.241,-5.862,-11.031,1.463,-7.158
43.491,35.905,-7.487,-5.292,-15.95,-10.313,-16.205,-25.05,-10.311,-4.807,0.955,-21.299
47.234,106.206,-25.81,20.534,29.088,-31.521,26.493,-50.546,-15.909,7.772,-23.019,3.368
