0,1,2,3,4,5,6,7,8,9,10,11
40.746,29.322,48.076,19.15,14.289,139.17,34.201,-17.893,-26.844,10.996,67.459,4.253
44.023,21.423,55.104,16.451,4.002,-32.64,-37.348,-24.091,-16.211,1.469,-2.046,-30.347
43.641,-0.639,71.306,25.6,-2.063,-48.065,-34.007,-28.178,-42.285,8.972,-12.11,-7.822
46.022,24.523,69.819,17.259,34.8,-34.62,-7.217,-21.654,9.788,2.91,5.336,20.657
45.806,27.179,63.278,12.781,44.323,-26.805,-14.833,-16.454,17.791,-6.739,-2.081,19.025
46.503,34.225,64.288,2.72,28.502,-27.035,-30.845,-20.858,7.666,6.834,-10.267,12.857
44.275,-17.664,61.278,-14.584,7.772,-20.697,-14.833,-9.133,3.485,-4.645,5.195,-1.837
45.153,52.432,69.143,0.336,14.683,-26.649,7.927,-8.125,16.874,1.56,5.747,22.415
45.397,62.336,77.194,15.55,30.944,-28.211,-3.619,-10.158,25.226,3.023,-1.242,17.796
45.572,35.031,42.809,-20.468,8.127,-33.246,-9.684,4.911,11.832,13.394,-8.745,9.266
53.711,135.57,-66.407,-4.704,-24.999,-36.935,-14.792,-4.544,4.283,-10.929,-2.195,14.407
52.856,108.813,-32.472,-34.264,5.257,-10.766,-19.142,1.928,-0.046,25.273,-1.77,-3.159
51.735,97.546,-50.402,-15.665,-28.051,-30.331,-12.206,-27.279,22.712,9.725,-15.713,-4.732
49.94,96.597,-2.844,-4.236,-0.556,-42.834,4.754,-22.557,33.851,11.744,-1.546,-11.814
48.53,59.538,-1.76,10.695,26.315,-22.615,-4.121,-8.585,37.522,16.744,-34.52,1.543
51.368,85.097,-0.751,32.042,20.697,-16.022,-22.187,-8.718,10.438,5.868,12.805,3.653
47.975,36.323,-43.992,-0.992,-11.927,-16.981,-11.707,-20.739,24.409,0.603,13.747,-10.049
50.887,79.366,-11.365,-26.456,7.274,24.472,-16.711,-8.56,23.955,0.974,-15.201,-4.193
50.91,63.036,-50.195,0.742,-24.179,-37.701,-14.826,-33.504,23.67,1.506,-1.158,-2.397
48.351,22.566,-48.977,-0.992,-30.98,-54.845,-9.186,-20.433,16.904,0.411,-39.193,8.927
50.921,90.381,-4.907,11.815,28.566,9.554,-29.978,4.111,12.299,-11.269,19.752,-13.514
49.942,73.934,-4.746,-35.562,-7.63,3.976,-13.333,-11.507,22.012,-13.428,-27.418,-17.587
51.092,51.481,-31.883,13.053,-48.563,-36.543,-20.766,-34.851,8.682,14.314,-9.375,-28.359
51.55,88.812,-24.24,16.74,2.232,6.487,-20.117,10.632,33.456,-8.201,-11.847,0.751
47.964,36.887,-15.526,2.325,-11.093,5.329,-6.61,-9.87,18.201,3.599,-15.928,-0.208
50.227,75.357,-3.9,17.424,18.718,29.048,-26.179,-10.33,10.624,-12.819,34.487,-12.196
48.996,41.478,-50.942,-16.345,-17.685,-32.365,-17.441,-6.481,2.853,21.705,32.225,-30.988
50.868,92.177,-19.294,-43.815,2.167,-25.214,-39.901,-12.16,19.138,17.522,-41.101,-12.443
48.955,63.762,-10.358,-64.124,-5.994,-16.446,-24.395,0.556,32.329,-3.368,-27.312,-13.538
48.265,28.237,-59.216,-10.193,-23.062,-41.863,1.726,-8.523,12.613,10.338,26.91,-7.601
52.606,91.165,-33.122,21.024,-2.762,-35.421,-34.419,-10.752,6.973,6.698,7.067,-10.809
51.525,97.911,-62.055,-21.969,-19.488,-66.678,-18.666,-15.216,21.237,16.687,-13.078,8.605
49.347,39.158,-61.305,11.859,-30.305,-71.503,-2.678,-34.925,23.11,26.117,-28.554,16.321
51.845,76.712,-33.192,33.413,18.88,2.451,-10.933,-14.732,27.83,-19.996,8.294,-5.047
51.217,67.654,-5.36,48.118,27.121,-22.745,-22.546,-6.055,14.514,1.177,18.361,-3.843
47.586,22.29,-61.818,-9.479,-22.874,-83.566,-9.945,-16.16,6.612,14.478,-19.305,7.315
50.182,94.858,-5.968,-51.552,3.681,9.148,0.735,-20.259,27.881,-5.796,-9.636,15.705
51.547,127.372,-31.92,-13.385,-13.246,-42.804,-38.532,-27.113,37.665,28.311,-7.542,-2.596
50.773,82.377,-52.706,-36.014,-3.513,-29.435,-22.989,-10.093,19.038,19.125,-13.491,11.598
54.993,124.863,-12.569,10.849,-10.171,-3.497,-17.497,-6.699,-18.217,25.37,-26.603,3.399
55.606,79.109,22.161,-0.488,-22.028,-18.131,17.104,14.249,-21.916,11.173,1.948,6.65
55.242,115.161,14.908,-19.464,-72.004,-33.041,-13.095,12.981,-20.379,2.648,5.514,-17.959
54.334,124.299,-30.281,-2.837,4.687,-35.447,-20.676,1.256,1.453,6.859,2.134,6.851
55.46,115.417,64.667,13.802,22.097,-4.262,-5.013,23.803,-24.09,-0.177,16.124,-0.327
53.443,108.161,-27.801,4.121,10.365,-70.698,7.42,14.338,-22.633,-9.188,2.49,-30.507
53.672,118.888,37.634,15.532,29.001,12.344,-19.726,27.494,-29.833,1.518,0.15,-8.37
51.866,139.032,54.936,-15.717,47.536,6.647,-37.071,-17.96,-36.156,1.561,-32.951,-6.909
53.595,141.197,26.664,-16.12,-8.352,23.994,-35.263,2.335,-2.578,-10.099,13.325,-28.611
54.422,126.33,-22.498,-8.003,14.498,-58.599,-22.534,-15.372,5.009,-8.287,-16.055,-5.123
56.425,104.302,44.022,8.814,5.257,-5.235,18.511,4.883,-26.386,-1.251,11.87,7.751
56.038,121.242,14.452,-3.895,-61.91,-35.395,12.897,-13.142,-29.6,-0.901,7.65,-1.034
