0,1,2,3,4,5,6,7,8,9,10,11
38.388,-53.91,-87.3,242.069,16.611,-10.931,-49.632,-47.939,-40.238,31.234,-61.137,1.208
38.479,-68.417,-116.59,222.295,23.068,-19.015,-36.814,-52.198,-19.018,14.722,-64.129,3.303
37.753,-81.554,-117.067,218.485,15.258,-33.165,-42.496,-53.977,-26.125,16.012,-53.77,-1.224
38.288,-79.039,-113.664,216.468,20.774,-6.486,-33.76,-53.231,-24.414,5.646,-58.093,-3.169
39.595,-57.628,-80.631,191.521,-14.503,-25.348,-33.472,-53.016,-28.573,8.173,-54.109,-3.912
38.452,-65.307,-101.558,217.038,7.944,-28.711,-34.134,-53.118,-31.155,6.523,-88.726,4.998
39.107,-64.589,-103.112,203.883,22.106,-18.307,-33.487,-58.796,-33.756,5.006,-87.787,0.236
39.332,-60.059,-96.894,187.49,14.125,-18.444,-32.909,-49.836,-15.999,-5.741,-67.008,0.507
38.592,-56.305,-59.329,142.983,3.831,90.684,-8.06,-20.817,-10.487,-38.042,-63.22,-8.496
38.185,-67.638,-98.647,216.832,26.661,-36.1,-46.638,-42.455,-36.303,8.561,-84.048,2.889
39.286,-43.321,-91.109,195.32,19.528,21.668,-31.387,-50.351,-25.472,1.244,-83.779,1.639
39.213,-57.285,-68.149,182.86,12.293,21.277,-18.998,-49.499,-13.0,11.888,-17.504,-14.986
39.845,-32.036,-80.883,193.082,5.709,-11.992,-32.171,-56.238,-26.241,-9.346,-69.825,6.073
39.204,-72.013,-97.717,193.498,22.729,-0.616,-41.833,-45.839,-20.64,8.113,-79.665,-5.016
39.602,-60.562,-84.88,177.929,7.921,37.687,-23.624,-57.419,-11.628,-19.668,-53.371,-7.81
40.408,-44.899,-53.398,159.909,-10.701,13.942,-23.395,-44.565,-22.967,4.951,-39.341,-5.83
39.613,-36.136,-77.374,191.264,12.564,25.038,-37.752,-68.858,-23.18,22.542,-38.456,2.437
39.76,-55.039,-82.967,159.246,-4.629,8.227,-23.299,-63.678,-25.893,-8.16,-32.48,13.342
40.983,-46.792,-69.37,163.803,0.049,10.337,-27.431,-63.135,-32.556,8.202,-47.332,0.46
41.488,-44.383,-55.095,139.135,0.375,-45.019,-29.661,-69.417,-28.142,21.384,-44.743,11.825
41.679,-50.263,-60.222,149.078,7.702,-18.655,-17.617,-59.088,-13.526,4.681,-43.504,4.007
39.919,-55.325,-84.288,175.346,-3.255,-14.058,-17.739,-62.359,-24.328,7.777,-40.716,8.035
42.31,-41.796,-50.795,137.365,-3.278,-16.213,-18.903,-54.578,-23.012,12.654,-41.645,8.847
41.913,-45.25,-36.715,125.63,-12.069,-37.784,-10.948,-52.82,-31.452,3.843,-31.803,20.956
43.603,-21.622,-25.289,113.367,-6.643,-37.664,-7.767,-55.208,-22.451,15.214,-47.218,16.316
43.028,-29.133,-26.724,119.819,-6.786,-38.133,-10.715,-59.239,-26.86,15.035,-43.444,22.83
43.063,-23.025,-20.323,118.188,-20.667,-13.6,-5.531,-45.293,-31.397,-1.227,-18.754,17.976
44.338,-8.812,-5.144,101.49,-18.997,-14.822,-3.374,-46.901,-34.937,9.355,-32.311,16.842
45.927,10.638,43.062,108.292,-26.407,-50.117,11.677,-17.24,-38.169,-12.627,-11.424,12.483
55.481,90.897,-18.306,-9.068,-11.662,-25.667,-9.063,14.929,-13.86,5.96,36.28,-9.494
56.35,91.267,-11.773,3.948,-8.668,-57.851,1.013,33.147,-17.513,-11.555,12.773,-3.113
52.431,60.396,-67.198,96.113,5.619,-10.447,-30.174,19.729,-13.848,-15.57,-70.674,7.187
41.244,-11.051,-36.351,105.649,4.76,-51.855,-34.221,-29.785,-18.466,15.384,-11.151,-4.266
37.649,-11.46,-45.991,6.073,-7.894,79.87,-13.027,-21.896,-3.101,-13.027,-81.226,5.118
39.755,-45.78,-44.372,150.239,7.38,-9.354,-23.553,-50.102,-13.49,13.906,-21.325,-3.079
39.795,-53.638,-58.282,169.84,0.698,-8.24,-21.032,-45.613,-19.034,-6.116,-44.577,-5.882
37.091,-63.242,-108.485,188.121,14.742,59.856,-14.497,-42.804,-15.645,-15.102,-43.77,-8.961
39.646,-38.549,-70.413,161.094,6.685,9.539,-25.814,-52.579,-14.445,1.35,-58.176,3.977
41.153,-12.129,-57.176,111.368,11.983,-49.856,-30.696,-14.158,-16.403,9.015,-14.837,4.782
43.096,27.295,-58.41,38.196,38.066,7.844,-3.8,23.306,-11.217,-3.955,14.978,-6.532
39.643,-52.017,-56.02,137.674,6.363,17.718,-3.567,-52.153,-3.405,-12.43,-22.55,2.643
