0,1,2,3,4,5,6,7,8,9,10,11
0.024,170.989,9.869,-29.067,57.03,-50.321,15.185,4.9,-27.645,0.745,-10.068,-7.598
3.817,125.306,-16.669,-24.349,39.805,-22.672,8.166,6.773,-42.892,13.753,-1.604,-0.226
4.876,117.26,26.623,-45.0,36.646,-31.117,24.646,2.829,-44.628,2.537,-13.467,-11.058
6.199,98.727,10.151,-22.475,45.29,-40.915,20.212,0.688,-13.024,7.045,-13.664,-16.952
8.414,74.752,28.558,-15.809,62.195,-19.336,14.523,1.505,-2.499,0.45,-11.539,-11.197
9.46,68.602,49.566,-8.403,60.914,-36.696,10.686,-4.953,-7.173,3.743,-5.274,-9.438
10.938,87.9,50.818,-26.227,68.887,-9.312,4.794,1.351,-4.728,-24.259,-23.23,-6.267
13.607,48.236,31.749,2.325,20.91,-5.801,15.983,14.76,-9.483,7.975,-2.978,-8.545
12.951,69.482,60.863,-9.44,33.89,-31.575,13.401,1.476,-15.202,-3.497,-3.134,3.963
14.925,31.146,1.952,-5.218,27.81,-20.459,-16.6,-7.717,-15.801,-5.763,-3.49,22.428
15.686,58.248,-1.137,14.996,30.626,-53.588,-18.348,-15.046,-37.533,6.803,-19.644,20.579
14.025,25.199,-13.26,26.62,30.401,-63.396,-29.724,-1.838,-26.003,1.03,-9.574,10.197
17.413,86.834,6.557,7.013,14.545,-27.235,-32.792,-15.625,-24.983,6.063,32.309,3.037
21.079,110.17,28.071,-27.366,28.138,-13.418,-11.181,54.798,-20.636,-13.432,-8.703,20.86
21.738,173.413,-45.78,-71.174,24.938,-25.489,4.013,-11.214,-28.185,-1.795,-13.081,16.178
26.677,158.565,7.651,-107.399,-12.978,-32.343,43.948,-8.29,-30.301,3.509,6.941,17.815
25.618,69.153,-55.033,108.715,-22.813,-35.689,9.013,-12.216,-38.508,13.47,-72.177,29.531
16.258,-3.239,-86.09,-15.691,-27.698,-49.902,-9.92,-4.286,-17.811,18.77,-16.361,-4.205
15.656,-1.118,-83.817,-58.927,-21.424,-44.025,1.078,-0.746,0.328,0.033,-4.624,0.608
16.322,-3.144,-74.544,-2.849,-31.335,-44.364,2.03,9.222,-3.448,5.883,2.511,3.892
16.139,-54.312,-102.839,-41.612,-5.361,-37.678,-20.921,35.719,-4.577,9.475,0.15,0.743
