0,1,2,3,4,5,6,7,8,9,10,11
0.774,164.412,18.702,-48.715,56.058,-58.765,19.108,-11.737,-25.101,-0.25,7.155,-9.256
51.633,69.484,-28.941,-27.034,-3.185,-53.427,-32.894,3.653,-21.42,5.712,5.883,23.117
51.021,69.201,-36.463,-21.279,2.971,-55.837,-37.56,-4.668,-21.669,10.332,19.194,23.223
50.284,77.599,-27.263,-18.82,-11.99,-77.976,-28.601,12.851,-18.702,-14.672,-5.45,17.108
52.44,88.878,-2.909,-7.939,-19.946,-11.116,2.142,15.261,-15.56,6.314,13.313,1.883
52.235,81.785,4.163,-23.316,-25.206,-35.268,-9.405,2.033,-12.114,4.676,-8.416,-11.266
55.025,79.219,34.741,-44.499,-11.897,3.378,-7.773,-8.399,-13.989,0.997,-4.964,-8.646
55.916,72.516,50.18,-1.506,-25.807,-27.985,12.092,9.943,-24.366,1.591,-4.485,7.246
55.58,93.39,16.475,-27.717,-6.91,-35.849,-6.887,2.988,-10.651,-6.498,0.898,30.319
55.968,74.487,6.223,-13.676,-12.646,-44.096,-22.984,-9.958,-15.762,12.097,-3.128,20.859
55.53,94.283,22.82,-11.162,-19.537,-37.154,-2.051,0.008,6.079,2.363,-12.351,-4.845
55.058,92.123,42.167,-2.775,-16.715,-34.535,3.982,-7.327,-13.429,11.152,-9.598,-7.698
55.075,102.551,29.638,-2.849,-32.596,-32.564,6.893,9.406,-21.45,2.647,-12.028,4.251
54.558,105.698,25.451,-12.334,-25.984,-35.599,8.65,9.565,-24.194,-4.25,-1.813,-0.957
55.942,69.998,26.062,-15.039,-18.528,-17.53,-15.697,4.087,-16.637,-1.773,6.321,-7.735
55.016,83.859,40.582,-11.481,-15.238,-29.596,0.512,-3.633,-0.841,18.281,-20.034,-2.365
53.995,62.005,15.047,-4.906,-15.846,-50.917,8.577,-3.896,2.745,13.277,-15.116,-10.051
53.979,74.637,24.102,-49.147,-12.833,-26.31,3.645,15.851,-18.175,-4.613,-6.785,-3.784
54.175,84.304,20.347,-17.334,-28.931,-32.476,9.446,2.774,0.38,-8.273,-1.182,-9.322
54.748,84.53,28.191,-22.323,-10.718,-20.714,10.671,-0.176,-1.881,-13.027,-5.413,-1.281
54.862,85.566,39.198,-18.412,-10.718,-19.398,-0.428,-5.642,-12.588,2.275,-2.447,5.811
54.303,93.23,31.72,-2.033,-22.668,-30.735,22.301,-1.402,-17.328,12.997,-13.176,-1.594
55.179,70.92,23.686,-38.111,4.031,-19.98,-10.292,7.295,-11.475,9.725,-3.229,2.667
55.218,65.66,49.599,-7.792,-16.405,-30.988,-0.832,9.824,-20.869,1.607,-8.975,-4.062
54.88,36.366,37.669,-23.451,-9.543,-33.194,-2.448,27.237,-23.337,-10.776,6.575,7.295
54.635,75.506,27.531,-32.054,-34.131,-14.392,-27.368,-11.371,-38.0,3.388,-8.383,-4.478
55.495,87.599,20.988,-9.125,-13.447,-22.223,-22.073,-6.888,-10.112,-8.054,-3.389,-0.499
54.61,89.549,31.823,-8.246,-31.697,-33.599,-0.367,12.197,-23.975,9.782,-6.67,13.146
53.734,92.795,24.715,-18.139,-38.887,-38.61,5.464,3.031,-23.574,9.49,-0.049,6.175
54.883,92.108,29.702,-9.706,-39.299,-35.348,-12.96,7.008,-18.231,-6.727,-12.107,-3.351
53.737,129.725,12.218,-16.44,-37.049,-36.326,15.211,1.26,-21.416,10.457,-4.55,-7.536
54.294,97.156,28.533,-28.916,-13.723,-31.985,1.462,8.001,-19.512,13.618,0.122,8.955
55.806,81.281,32.333,-26.064,-7.479,-28.354,-13.506,-10.408,-20.469,14.973,0.044,4.88
55.598,50.314,51.297,1.341,-6.78,-17.915,-12.046,10.043,-23.287,6.426,-8.184,-0.34
55.46,68.335,34.121,-25.389,-15.562,-37.66,-16.296,-2.853,-21.497,-0.97,-2.549,7.052
55.365,73.442,35.572,-10.37,10.639,-30.41,-5.361,5.899,4.619,-6.537,-5.725,5.797
55.629,85.554,25.333,-13.966,-21.828,-42.795,-8.111,3.295,-8.981,-10.688,-4.444,2.969
55.875,82.393,26.124,-20.377,-23.224,-30.162,-27.493,-2.448,-16.275,-4.266,7.835,4.134
56.144,84.612,47.567,-28.846,1.308,-27.774,-5.047,2.466,-9.038,3.821,-9.934,8.681
54.46,84.453,8.621,-1.414,8.434,-33.883,10.827,-3.355,15.136,-9.025,-20.948,-12.396
53.196,72.438,-4.841,-0.704,-18.315,-53.149,-8.809,-5.396,-5.56,-1.224,0.331,10.255
52.26,65.461,14.078,-16.157,-17.734,-35.202,30.039,10.825,7.875,-3.83,-19.448,-3.875
52.776,46.779,6.197,-29.285,-7.235,-10.784,21.814,2.56,2.047,-6.886,-9.532,2.018
53.23,113.879,-38.038,-8.801,9.898,-42.088,24.599,9.657,-4.908,-15.222,10.551,-17.265
