0,1,2,3,4,5,6,7,8,9,10,11
3.745,169.843,53.417,-130.892,46.205,-91.195,27.887,-31.248,-27.319,7.537,78.395,-16.154
49.439,111.447,46.581,-3.746,-11.088,-22.751,-17.116,-16.444,-14.293,3.08,-9.495,-0.35
47.456,89.947,25.717,26.83,-10.614,0.613,-12.797,3.112,-9.893,-25.848,-40.808,9.865
42.978,76.043,58.945,-70.325,-18.662,25.409,-0.104,12.646,-12.748,-10.628,-32.479,4.485
44.049,84.852,56.176,-32.885,-8.94,52.656,2.777,23.658,-17.863,-16.829,-45.504,11.967
47.526,110.118,54.889,-3.597,-18.036,32.314,-5.003,-0.488,-22.992,0.985,-7.412,-4.361
44.978,84.241,52.852,-29.092,-1.532,44.551,-20.239,10.123,5.044,-30.145,-49.145,-12.817
49.895,118.203,68.657,-3.224,-5.442,-22.548,-14.294,-12.76,-15.423,-1.788,4.038,-9.257
49.902,94.478,47.487,-3.443,-8.278,-34.867,-27.818,-13.828,-14.755,4.371,-1.2,-3.267
47.989,78.175,16.373,40.729,3.157,-8.169,-36.68,-23.097,-4.547,-8.132,-37.525,-1.835
48.005,90.429,19.633,41.784,2.378,-5.122,-38.5,-21.387,-8.977,-0.655,-32.497,-5.769
47.179,82.072,17.673,30.704,8.337,44.18,-17.577,-18.125,3.738,-15.369,0.33,-21.755
48.429,78.638,43.319,-9.213,16.375,49.849,-14.328,-1.59,3.269,-12.615,8.305,-18.252
47.781,63.718,23.695,14.179,13.236,34.111,-15.623,-27.002,9.213,-16.785,-13.913,-13.202
48.528,55.006,46.144,8.249,0.872,-27.212,-24.18,-7.228,-5.284,8.738,-1.286,-15.838
50.019,116.08,58.702,-3.024,31.79,-16.504,-27.292,-18.307,2.156,-0.48,13.234,-21.664
50.159,87.289,66.29,-4.104,16.968,-29.492,-17.438,-18.732,-10.927,8.69,-5.313,-9.573
51.003,65.074,64.263,-13.934,17.28,-27.954,-17.434,-2.863,-3.563,-2.592,0.997,-4.088
52.463,61.687,30.675,-15.819,-10.188,-36.521,-20.286,-6.667,-3.148,0.454,-5.142,0.878
52.335,47.251,41.01,6.844,22.91,-20.603,-26.431,-31.792,-3.708,1.876,-12.107,6.557
51.333,-1.336,48.829,10.178,36.097,20.046,-1.5,-10.755,6.45,-27.305,-9.338,13.912
52.866,24.089,47.546,21.34,38.002,8.678,-0.172,-27.812,2.819,-16.191,-0.86,8.906
52.344,-7.663,101.937,-38.763,38.85,-13.08,16.521,36.997,7.839,-24.237,-1.947,8.367
53.79,35.32,64.487,17.913,16.745,-22.87,12.14,-37.707,-15.289,-4.33,-14.725,13.576
54.465,49.49,69.972,5.603,9.226,-21.906,5.562,-3.984,-14.528,-2.709,1.018,2.055
54.656,47.819,93.863,3.336,-4.356,-24.381,-11.917,13.035,-15.578,1.203,0.691,-24.895
54.613,47.761,81.209,-3.817,1.607,-23.812,5.593,1.209,-20.58,-3.01,2.809,8.107
54.3,49.438,78.723,14.457,29.545,-43.416,-10.641,4.243,4.044,8.523,7.184,-0.93
54.649,54.671,92.08,3.211,12.863,-19.817,-11.507,5.04,-11.291,-2.878,-1.251,-1.151
55.313,65.67,67.949,-2.323,16.018,-34.552,5.128,-5.047,5.572,1.482,0.604,1.086
55.913,69.953,46.822,10.307,4.739,-40.87,5.802,-2.714,9.035,8.262,-2.805,10.193
54.732,65.107,71.211,-8.407,-5.527,-24.876,-0.568,-1.059,-8.812,-0.66,-2.355,-1.79
55.945,69.87,86.31,20.675,9.08,-33.39,-4.418,-2.629,-9.308,7.658,-5.427,5.093
54.738,84.312,94.372,-5.245,3.329,-30.974,13.011,11.502,0.418,-0.105,-0.403,-0.916
56.65,90.724,91.578,-2.24,19.505,-31.486,-12.924,-4.972,-8.221,-0.901,-1.92,6.102
56.258,105.686,77.917,10.8,12.615,-29.201,-1.326,-2.032,4.648,6.911,-3.032,7.039
56.098,87.489,81.28,10.725,13.301,-23.722,2.364,-9.198,-0.154,5.485,-5.986,1.581
54.465,79.473,46.672,63.005,20.498,-7.291,-16.636,18.759,1.641,2.576,-50.629,-6.993
53.13,85.625,15.048,-27.812,0.175,46.368,13.013,10.024,-5.134,13.767,19.02,-2.73
55.636,71.75,4.718,7.679,-8.508,-35.392,5.796,-1.473,-4.717,9.27,21.201,11.637
55.4,68.878,17.93,4.667,-10.788,-40.597,9.802,-2.132,-5.949,7.129,8.846,6.524
54.37,110.692,-3.373,-27.321,-14.36,-73.094,18.51,20.675,-10.429,16.75,-12.696,19.499
54.87,73.677,9.785,-25.204,-9.276,-41.285,3.309,-16.617,-30.987,36.765,3.567,-8.077
56.578,66.429,12.51,4.219,6.05,-41.534,5.984,6.55,-19.166,6.799,1.999,15.684
55.532,80.123,-11.64,-32.725,42.244,-24.137,17.108,-1.617,22.353,0.367,10.246,31.584
55.04,96.499,-1.436,-0.196,11.043,-27.988,26.187,21.067,4.295,-2.171,-19.074,30.304
52.548,89.572,-41.083,-1.343,-7.203,-23.522,-7.468,12.019,-28.264,38.196,-31.703,-2.716
52.945,75.89,-18.783,-39.632,10.464,25.579,2.943,-20.366,-20.48,10.508,-30.653,2.928
52.619,46.999,-10.232,-78.148,19.232,-33.161,-23.504,36.552,7.608,-3.384,1.485,-6.118
54.026,110.432,-26.364,-36.314,-13.12,-33.251,-16.585,4.247,-19.076,32.453,-16.852,1.507
53.089,125.703,-3.496,-62.329,-4.115,-8.588,8.118,-63.4,-7.425,25.921,-18.043,-9.957
54.432,111.676,-27.609,-6.811,-19.326,-29.054,-27.08,-12.373,-12.673,12.989,-3.183,-11.453
55.051,83.927,-10.551,-0.907,-14.205,-54.166,-17.574,9.282,-12.168,9.41,18.997,-5.743
53.57,74.678,5.357,-14.368,-12.801,-24.306,7.858,-5.615,-17.39,-3.133,-20.051,-21.756
55.102,39.439,24.935,6.322,5.482,-41.493,38.507,-6.75,-2.666,37.385,-4.943,16.298
54.68,54.679,-22.991,11.157,5.146,-54.162,-27.1,10.798,-1.028,7.188,1.833,-12.923
53.896,22.558,4.215,-43.974,29.164,-37.412,11.35,12.266,-19.167,-5.913,12.251,12.256
54.523,67.82,-24.783,3.667,3.22,-48.876,-15.059,4.807,-22.604,22.731,-24.493,-13.492
55.581,66.618,-11.281,-9.073,0.08,-61.612,-39.627,-13.734,-14.8,5.203,-2.801,-1.202
55.329,74.178,10.026,-24.417,15.79,-33.635,-16.386,8.627,-2.44,5.916,-14.559,1.715
55.157,67.344,0.974,-36.571,-3.479,-49.966,-2.469,15.244,4.176,21.695,-21.615,-5.492
54.412,126.41,-48.102,9.489,1.672,-41.25,-27.481,22.844,-12.154,5.513,-27.097,2.027
53.201,125.773,-30.209,-37.877,5.79,6.433,10.886,-18.614,-24.283,26.834,-29.267,-1.008
51.877,85.665,-35.772,-23.289,0.2,-5.353,7.677,-59.864,-21.926,22.293,-13.987,14.403
55.323,56.881,-1.976,-27.525,-1.967,9.688,-24.489,-9.163,-0.019,-11.929,9.452,-15.584
53.398,117.634,-23.217,-19.491,-17.029,-50.925,-15.666,13.575,-7.905,9.213,-15.697,-4.238
54.083,87.62,-17.624,-31.594,-4.288,-13.533,6.84,-32.218,-23.22,13.94,13.077,6.951
55.222,58.997,-22.156,6.612,10.304,-57.797,-22.454,32.546,-18.123,13.45,-25.494,15.228
53.64,89.75,-16.604,-45.626,-26.803,6.555,-4.584,4.849,-10.379,9.078,27.05,-22.347
52.431,26.959,4.662,-50.069,21.832,-27.743,-3.633,44.778,-9.309,10.71,-21.966,16.054
54.176,94.337,-7.813,-28.429,-9.12,-4.804,-11.062,-36.131,-8.007,37.693,12.497,-27.992
55.117,94.344,34.814,-25.495,-28.788,-20.084,-32.651,12.53,-4.732,-0.316,-4.823,-24.795
52.86,101.928,-63.644,9.445,10.107,-77.821,-20.508,9.526,-16.936,-17.033,-16.875,2.718
54.005,74.162,-10.542,-34.424,-1.328,-12.661,-4.982,-48.442,-1.175,21.564,-0.235,-18.204
53.331,3.48,21.851,-29.579,18.621,-31.912,-23.254,-8.5,19.68,15.748,-9.577,-53.698
55.042,53.708,5.455,-14.687,9.169,-47.634,11.507,-13.191,20.471,16.465,-1.2,-18.387
55.778,82.459,-0.443,-2.032,-17.176,-59.527,-19.281,-6.558,-13.284,-4.22,-16.315,1.621
54.214,74.106,26.254,-37.835,-1.05,-36.029,3.712,1.871,1.325,5.949,-9.965,-19.902
54.398,60.746,4.225,3.897,-0.399,-42.825,-6.748,-0.266,0.191,-3.457,-20.387,-22.253
