0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
38.892,19.794,72.869,-71.701,27.607,117.65,29.906,6.172,-23.495,49.622,17.469,-0.952
52.653,46.831,-64.268,42.386,18.141,-63.536,-20.797,19.786,-14.032,-1.874,-22.996,11.16
47.189,30.124,42.152,-22.924,27.536,-32.1,2.172,-12.132,-20.243,1.632,-0.99,3.202
54.83,70.385,34.948,-22.386,5.223,-4.339,32.07,14.652,-1.307,7.731,26.096,13.545
54.537,64.587,47.915,12.215,1.83,-33.966,29.464,3.506,-6.989,9.241,-5.631,27.884
55.878,60.48,9.86,12.797,16.941,-37.499,4.561,22.58,-25.238,3.879,0.795,12.967
53.262,29.085,37.453,-14.163,10.112,-19.272,22.449,-0.299,-5.556,13.974,1.583,3.436
52.681,4.945,11.302,-9.713,7.481,-54.308,0.86,5.234,20.592,1.632,-15.735,-14.64
51.654,4.237,47.322,-0.876,39.144,-37.685,-5.796,-11.247,14.829,10.199,-12.405,-7.384
54.366,14.923,-7.679,-0.146,29.998,-77.571,-9.641,-4.264,-3.443,2.444,-16.352,-6.161
51.917,-18.011,50.453,14.068,27.351,-31.071,-16.93,-16.529,-0.228,5.268,-7.196,-10.627
53.189,3.058,54.15,-12.776,16.288,-15.102,-5.748,-5.756,-16.14,-5.073,10.224,-5.638
53.831,16.27,66.214,9.762,23.604,-38.797,-6.895,-12.121,10.174,5.428,-7.707,-1.835
55.042,23.95,40.999,-0.579,-14.142,-43.037,20.961,-4.948,-11.058,-7.779,-6.877,10.648
55.174,26.556,41.644,-16.672,-5.868,-37.326,11.779,4.391,-7.014,4.34,-0.554,1.668
55.545,50.07,16.653,9.762,21.893,-28.675,-8.546,1.245,-10.144,-7.371,3.814,1.132
53.627,24.8,54.697,1.965,32.122,-33.122,-14.634,-0.25,-3.163,2.991,1.352,-4.254
54.646,31.193,44.858,-2.569,4.671,-32.121,32.747,3.959,-6.749,10.224,7.666,26.786
53.922,26.648,63.166,9.589,21.259,-30.08,16.778,-6.669,-5.652,-5.82,-13.018,27.726
54.041,5.857,37.024,-9.286,-4.687,-47.863,14.13,4.651,-8.397,-1.505,-11.123,1.931
54.345,27.96,86.404,-20.301,11.714,-28.563,14.606,19.904,-13.967,-11.621,3.19,15.092
55.774,42.176,63.187,2.572,20.816,-20.304,30.182,19.415,-16.319,-19.062,-7.699,23.838
54.692,20.076,70.478,1.218,25.333,-30.882,-3.413,-3.022,-24.97,2.425,-3.042,-1.583
56.409,34.56,42.105,-7.936,13.18,-41.469,4.974,21.96,-6.159,-10.618,-0.998,-1.087
55.975,52.495,73.308,7.618,37.885,-31.18,-4.849,1.041,-0.064,4.095,-10.13,-10.372
55.915,63.766,74.972,-3.942,24.613,-15.286,-13.918,-16.024,13.007,-5.858,-12.437,-16.081
53.767,3.053,22.417,6.628,11.249,-40.622,8.166,-3.445,0.599,2.303,2.485,0.514
53.929,22.664,47.777,-23.188,23.728,-12.241,-15.705,2.517,1.932,2.018,-22.85,-0.228
53.265,18.682,53.887,-49.066,28.602,-11.865,-22.126,13.567,-3.537,-12.158,-6.307,-15.933
53.856,33.221,54.929,4.218,39.827,-22.268,-21.62,-9.395,-8.955,-5.869,-18.094,-3.897
54.378,20.094,70.025,13.826,18.028,-23.682,0.362,-3.84,-7.02,-3.699,1.439,2.422
54.648,5.743,5.019,22.722,16.296,-67.715,-8.669,-15.811,-10.924,1.265,-19.723,1.043
52.311,-2.919,62.468,-9.791,10.29,-20.242,-10.341,-1.16,-18.453,-7.054,0.312,-1.503
