0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
17.556,-83.917,33.132,13.752,94.056,35.78,16.049,26.744,-63.711,62.158,34.328,-5.589
17.013,-102.636,-11.121,10.045,89.72,-43.986,-11.792,24.68,-36.561,-4.435,0.439,-2.086
21.259,-104.76,81.401,-34.546,100.83,52.662,32.628,33.389,-27.465,16.551,-29.048,-0.664
21.838,-90.84,66.235,34.092,39.986,-57.783,40.482,21.23,-32.772,-7.367,-4.386,5.78
20.33,-104.074,65.176,-19.638,60.79,-46.593,48.748,5.38,-36.413,-2.692,-1.797,1.487
25.92,-98.722,85.205,18.228,29.843,-17.55,28.52,12.701,-26.63,3.823,3.956,9.977
30.216,-74.655,105.269,47.036,32.203,-34.633,23.966,30.434,-12.522,-1.783,2.593,-4.429
29.663,-71.143,132.393,36.713,35.697,-34.482,60.703,18.469,-2.013,10.646,12.447,-8.598
29.42,-67.375,82.764,39.093,18.299,-17.647,12.664,-1.822,-20.339,-3.678,-4.515,-7.028
28.138,-64.016,96.107,3.532,7.214,-21.94,33.987,-6.89,-26.814,-14.032,6.841,3.439
32.143,-43.423,101.741,3.891,12.699,-4.733,40.324,3.277,-7.382,-0.815,4.216,-10.477
31.865,-47.345,85.535,2.635,-8.401,-22.354,37.254,3.211,-14.756,-13.264,1.036,-3.147
31.814,-46.334,15.291,9.595,-40.659,-32.416,-9.838,-9.105,-18.238,-11.272,-1.965,-16.078
32.465,-63.52,69.132,-8.148,6.626,-4.84,14.907,31.605,-1.67,5.779,1.272,-22.785
31.951,-85.391,39.1,-4.389,-11.003,-28.772,7.261,3.997,-10.77,3.488,15.216,-15.074
35.21,-16.35,77.765,-30.016,-6.49,-14.811,-8.119,23.631,-2.3,16.404,-2.469,-46.813
35.595,10.547,57.027,34.004,-21.981,-10.018,-8.16,-25.615,-15.813,4.459,-19.024,-44.686
37.383,26.66,84.518,-40.125,-25.969,-26.313,-16.333,-6.825,-17.799,17.454,-5.707,-51.781
39.781,52.779,66.871,19.376,-37.307,-14.262,-19.156,-6.634,-18.06,3.719,-22.25,-54.976
38.709,6.403,68.156,-18.825,-27.479,10.162,12.681,-3.613,-27.161,12.127,-1.954,-13.957
40.309,46.578,94.568,40.055,-10.417,-6.905,-4.031,-7.201,-8.246,-26.941,-2.629,-43.612
39.047,9.545,117.938,27.012,4.863,-33.738,23.952,6.993,-8.175,-5.965,1.615,-16.619
41.512,16.822,85.38,21.018,-31.076,-23.594,31.571,10.254,-27.854,11.199,-8.863,4.304
39.503,-27.207,74.448,44.226,-9.96,2.243,40.259,7.929,-19.26,-12.17,-6.949,10.537
37.209,-14.528,56.033,34.845,-23.219,-24.309,20.681,-4.901,-22.66,-6.93,-12.314,7.632
37.555,-38.116,45.336,33.375,-21.418,-27.829,19.907,3.689,-19.044,9.994,10.862,3.022
40.811,32.356,16.281,96.531,-34.922,61.535,16.668,32.208,-5.233,-31.824,-33.03,-0.99
30.489,-58.885,31.69,5.235,-21.899,-42.264,10.018,-5.583,-36.131,24.322,4.725,9.764
29.563,-36.875,16.127,14.712,-21.715,-6.282,23.915,-19.995,-23.165,-9.892,-10.14,5.929
34.164,-60.252,-17.783,63.033,-30.315,75.714,40.245,-2.165,-17.001,-17.365,21.347,3.451
30.856,-49.056,-43.366,11.835,-24.978,3.143,4.217,-34.239,-0.775,-33.456,4.542,7.989
35.041,-48.266,21.838,-46.526,-16.356,39.805,17.369,12.097,-11.402,-7.582,3.589,-5.707
40.849,54.19,10.784,50.541,-23.885,80.302,31.147,24.466,-4.746,-48.587,-41.08,-2.852
33.948,-22.044,23.916,-6.837,-16.531,-40.095,9.611,-10.053,-17.94,6.751,14.94,15.084
34.9,48.044,-0.498,-2.887,-19.665,-44.949,-3.644,-12.085,1.225,7.255,-2.594,6.609
36.397,-29.703,29.308,-39.993,-29.643,8.852,36.344,-14.058,-5.406,-1.179,-43.069,10.78
35.516,-7.7,21.342,27.234,-16.72,-35.641,9.799,5.936,3.086,-6.948,-16.653,2.503
41.608,22.773,-3.597,-4.843,10.081,1.211,19.17,-18.263,-14.422,19.769,36.061,16.507
45.029,74.389,-37.57,76.514,-32.951,16.156,13.221,-14.745,-9.545,-10.946,-12.186,-0.112
38.032,-2.776,-4.781,-1.044,-4.584,-32.477,7.5,20.499,15.537,-12.082,-16.42,5.717
34.91,7.728,9.869,-35.605,-28.316,-33.613,32.301,0.16,15.135,1.956,-3.391,-4.512
40.442,-25.773,-20.623,60.955,-41.185,-84.884,26.791,-3.932,-26.56,29.311,5.87,5.788
36.536,13.744,-19.694,2.391,-7.427,-54.415,36.206,-9.533,14.074,-16.99,17.913,-9.174
40.451,33.588,13.747,-57.323,4.636,-11.861,25.7,11.973,-0.64,8.207,2.917,-1.127
44.239,106.776,-7.932,-38.164,-12.07,6.438,16.093,4.318,0.213,-9.106,-45.348,14.065
45.726,61.246,45.938,-53.818,35.876,6.425,37.306,-2.888,-0.396,27.933,-29.678,-20.36
49.03,57.229,-45.497,-31.493,20.787,-14.519,48.199,-53.7,-39.683,39.28,-2.333,-11.152
49.667,30.855,52.519,11.708,1.65,-12.971,15.175,32.555,10.539,-2.347,-28.677,-19.839
47.533,60.94,2.859,-12.649,-1.701,-11.036,-57.066,-34.157,-5.86,9.279,-6.706,-18.485
51.018,68.545,17.302,-45.171,2.867,32.827,17.246,7.806,-3.923,-20.946,3.498,2.409
49.616,66.09,33.739,-7.652,16.393,13.229,-33.137,-1.766,10.326,-13.615,8.116,-31.191
51.033,55.338,-29.121,-32.12,-33.188,-45.096,-13.526,5.788,-4.52,-0.863,-9.54,-19.47
48.341,104.53,-37.2,33.01,-3.356,-18.136,-37.394,37.073,-7.342,4.854,-52.997,-25.15
45.617,106.133,-22.784,-45.98,40.582,31.616,-20.032,-52.311,-25.648,43.866,-43.494,-2.761
49.148,96.606,-7.798,3.808,26.829,47.448,2.638,-23.846,-27.307,18.626,-23.417,0.605
49.52,66.348,-45.34,-5.163,32.985,-61.718,6.353,-33.479,-39.405,27.834,-9.029,-8.254
44.391,92.293,-28.818,-84.103,13.079,12.187,-57.173,-7.395,17.473,-11.193,-5.451,-5.531
45.247,4.015,-12.634,1.29,13.695,-22.598,-13.791,-23.538,-21.608,14.949,-17.679,20.786
50.447,90.319,-36.653,-2.241,3.131,17.711,-11.822,4.915,3.582,-11.333,28.966,-7.474
47.05,31.65,12.751,-21.099,17.579,-15.33,-8.463,-20.902,7.025,-2.207,-12.726,-5.321
48.381,13.521,72.274,-35.207,16.636,-2.59,28.967,14.586,-10.482,-16.806,-15.222,3.141
46.28,87.183,-15.856,-10.975,39.858,-45.608,-34.631,2.429,16.582,5.207,-9.461,-11.09
44.765,89.706,-13.591,-3.679,-8.787,-28.42,-21.637,-0.721,-0.613,10.479,4.822,-0.797
48.822,88.359,-49.085,38.544,-20.188,36.23,7.531,18.777,-16.632,3.402,-11.889,4.18
40.501,-8.671,-29.543,21.684,-12.154,-5.254,-23.164,8.798,-1.982,38.786,-17.485,-34.309
43.824,56.579,-65.497,15.251,37.638,11.962,-27.194,-50.062,-29.696,42.034,-45.908,-1.548
46.798,-23.593,-67.871,17.178,2.01,-57.956,8.332,-2.827,-34.171,32.67,11.276,-0.79
46.144,16.227,-1.863,-28.89,13.212,-14.327,0.893,-13.757,15.932,2.355,-26.455,-43.085
49.163,44.454,81.224,-10.348,27.749,14.006,34.567,16.639,2.806,-2.357,32.119,-3.376
50.934,72.88,89.287,21.48,20.944,-37.166,24.775,-2.898,-5.323,7.353,-4.902,19.104
51.596,73.08,2.046,52.827,13.948,-23.864,9.569,18.807,-5.85,9.526,2.03,5.035
49.156,93.654,-57.86,28.287,10.648,-43.159,-12.66,-34.526,-32.03,5.998,-14.771,19.7
44.044,97.357,-5.11,-57.755,15.535,-42.88,-18.507,43.769,-0.846,-22.275,13.833,14.591
47.349,85.024,-85.967,104.575,-45.432,-53.893,-19.866,8.758,-18.883,-22.426,-49.416,19.39
42.716,59.932,-43.164,-50.188,38.2,-21.773,-19.912,4.252,-51.522,41.264,-29.782,-19.57
45.708,38.663,-66.136,47.866,0.332,-8.4,-5.022,-31.676,-47.366,40.402,-11.946,5.859
44.36,55.035,-14.559,-96.789,10.793,10.362,-55.343,13.832,25.185,0.06,-11.498,-7.747
47.965,94.085,25.358,-51.186,50.448,29.639,58.752,-62.052,-31.126,14.301,-54.708,9.081
46.356,20.203,-7.224,27.309,34.688,-37.31,-6.046,22.252,10.149,-13.0,-24.205,1.55
47.286,67.977,-18.389,3.247,30.075,-1.367,-27.708,-6.404,15.449,-11.365,-15.571,-5.504
47.982,49.989,-54.791,-8.391,-8.506,-68.653,-33.89,14.755,-4.838,-3.408,-3.628,8.987
40.005,-60.083,-60.918,33.876,30.851,-97.444,-16.692,-36.22,-18.47,2.261,-14.53,36.182
47.398,50.718,-25.096,4.109,6.585,-15.453,4.847,37.257,-4.555,6.154,19.331,-9.766
49.362,92.098,-57.188,61.834,-45.843,-51.02,-10.357,7.274,-17.203,-9.414,-24.802,14.077
44.937,12.233,4.314,6.838,5.732,-53.61,-16.522,22.157,13.289,33.143,16.644,-30.61
45.434,44.232,-46.15,7.39,15.095,-15.261,-55.473,-39.328,-18.2,35.679,-43.545,-11.011
46.788,-25.807,-49.999,9.715,-2.972,-81.833,16.412,-13.824,-8.555,37.543,-6.287,30.723
45.194,-39.679,-3.646,-35.923,40.184,-26.395,40.337,17.506,14.431,-3.751,-16.049,19.068
45.959,17.523,3.26,-6.729,35.283,-23.57,-12.326,-7.134,10.478,7.192,3.102,2.227
48.74,48.99,-43.18,-25.377,12.142,44.67,-2.743,13.275,-5.697,-21.487,-29.14,15.835
44.556,49.247,-81.801,-4.591,57.134,-56.124,-9.128,33.49,-17.612,-30.606,-17.987,31.46
48.427,30.461,36.142,-11.762,40.955,43.844,22.248,23.424,-0.918,-13.186,-9.888,11.859
49.965,48.471,4.718,-35.588,-10.545,-37.52,-10.485,53.821,-28.312,9.131,-33.642,-0.771
48.63,14.679,30.33,-22.364,44.131,17.211,-12.24,5.727,6.086,-15.505,-11.13,-11.196
49.066,28.162,13.053,-9.832,42.585,29.852,-2.783,1.919,-12.522,-24.679,-39.92,-3.588
46.934,73.536,16.221,-57.436,37.338,24.006,45.864,-49.136,-33.81,57.109,-37.154,4.266
46.531,57.706,8.276,-20.555,49.062,-5.782,-23.167,-1.848,1.63,-12.413,-2.64,16.967
46.986,21.217,6.081,-14.068,38.38,-39.316,6.115,-5.407,-30.83,-0.296,10.401,33.696
48.665,43.658,5.25,-41.77,19.827,-21.425,-2.064,51.293,-3.594,-16.355,-6.715,27.856
46.78,26.307,-2.906,29.413,26.169,16.95,-4.873,5.412,-22.754,-0.467,-21.049,20.113
48.54,83.38,14.172,-52.689,22.362,67.208,29.318,24.592,-22.252,38.03,1.541,7.889
40.841,46.347,2.969,-52.007,6.198,-0.458,15.767,8.641,-4.904,-3.319,3.012,5.949
48.308,87.52,-58.791,35.907,-7.521,59.622,15.471,1.044,-25.211,8.71,-26.898,18.483
43.044,213.512,-95.903,-59.572,-1.301,-20.267,-23.874,-4.164,27.809,-8.33,-18.614,30.547
48.283,112.657,-3.357,13.849,17.807,5.525,-41.922,-72.326,-17.844,24.495,-37.1,0.597
