0,1,2,3,4,5,6,7,8,9,10,11
0.016,170.74,9.099,-28.945,57.281,-50.055,14.762,4.905,-27.384,0.943,-10.605,-6.871
38.004,72.046,66.889,-19.652,50.719,23.606,-7.732,3.034,-8.16,-7.918,43.955,7.611
35.249,35.025,0.148,77.119,20.273,-0.891,12.255,-22.237,-8.354,-9.712,-63.882,14.552
36.949,34.437,27.404,50.689,16.914,-5.941,28.59,-31.573,-18.592,3.79,-34.34,30.653
37.679,59.359,23.801,49.755,29.595,-18.494,29.913,-17.398,-3.412,-0.21,-35.114,27.951
37.452,54.413,30.81,31.094,28.292,1.678,8.438,-13.507,-14.439,-11.921,-30.234,26.407
36.396,49.497,20.368,64.052,18.501,-5.73,23.811,-17.331,-7.989,-12.502,-46.527,5.88
37.992,68.451,60.849,-20.936,39.506,11.714,0.418,1.404,-9.16,-6.317,3.391,2.693
36.11,36.846,50.686,1.816,23.863,28.795,33.183,2.975,-0.298,-26.643,-20.804,21.946
35.573,38.561,23.595,72.304,16.472,4.274,19.638,-19.512,-12.485,-4.176,-50.79,18.443
37.612,57.801,42.652,9.518,38.701,12.684,-10.338,-4.516,-12.882,-10.191,-27.477,19.846
38.433,73.718,65.633,-27.577,30.353,-4.438,-7.056,6.637,-13.741,-4.629,16.485,2.95
36.362,51.823,23.516,80.676,26.9,-15.363,25.76,-9.82,-8.523,-4.581,-62.383,33.598
36.513,56.143,25.601,54.217,12.079,15.833,19.3,-16.013,-27.263,-9.61,-28.428,19.937
35.613,28.51,3.817,86.899,5.319,-18.995,20.971,-21.807,-18.743,3.466,-30.517,25.076
36.412,39.853,23.137,69.366,19.473,-8.248,12.334,-15.298,-5.1,0.957,-43.3,19.725
37.464,64.074,33.866,52.227,26.654,-1.963,24.366,-22.865,-15.139,8.045,-44.776,13.923
37.148,64.516,57.624,-48.065,27.919,10.028,6.253,8.267,-7.625,-8.36,-15.611,13.972
36.402,46.89,42.363,45.964,25.526,11.213,16.537,-16.659,3.149,-19.755,-29.826,20.364
36.382,49.809,26.239,41.966,29.287,-5.749,16.626,-12.003,-0.673,2.939,-25.707,15.992
37.416,56.582,33.445,-6.385,27.824,19.463,-1.841,0.8,-8.061,-13.565,-20.216,6.024
39.343,83.659,69.709,-7.594,46.254,-24.184,-11.222,-0.703,-8.289,2.622,4.867,8.163
39.067,79.302,74.701,-3.696,43.001,-28.662,-9.258,-2.418,-9.414,3.728,-0.495,3.902
36.378,35.19,2.979,82.021,3.437,-14.277,25.496,-27.594,-17.147,-4.232,-59.307,27.433
35.298,56.989,43.219,-6.813,21.013,73.433,39.053,-4.991,1.789,-22.978,-12.547,17.437
37.87,70.046,31.04,29.113,29.561,-8.818,8.539,-3.61,-10.77,-0.968,-27.343,16.957
36.518,41.32,32.197,56.082,28.467,-2.27,18.663,-16.007,-0.16,0.57,-39.907,17.324
37.241,52.178,35.477,66.064,18.745,-8.304,21.126,-37.606,-10.337,7.433,-51.139,15.954
37.213,63.356,55.231,-45.785,28.412,14.843,6.422,11.137,-6.538,-9.753,-12.937,12.961
36.408,44.868,37.769,54.927,24.668,6.638,14.605,-19.539,-0.725,-18.121,-34.271,23.457
36.407,40.429,30.688,49.831,22.229,-7.391,15.498,-25.759,1.175,1.513,-31.471,18.67
37.73,57.274,40.166,3.774,28.661,23.81,3.826,-1.197,-7.704,-10.534,-28.196,7.403
39.354,86.793,63.029,-11.045,28.637,-10.975,2.28,-0.689,-14.56,-0.431,14.492,7.282
39.896,85.913,77.663,3.261,36.818,-38.11,-13.4,-3.132,-12.175,3.246,5.732,7.318
39.313,62.25,52.96,25.749,28.198,-24.746,8.727,-10.98,-4.239,-0.99,-24.712,24.168
36.734,41.058,5.877,80.364,2.404,-11.175,18.946,-13.301,-7.913,-11.658,-62.085,26.3
36.358,59.151,45.542,6.146,25.075,52.815,42.644,-10.657,-6.059,-0.577,11.735,5.537
36.719,31.797,8.073,73.607,17.361,-17.721,17.539,-15.188,-8.005,-10.206,-57.296,21.32
37.293,51.248,37.545,56.456,13.082,-5.698,19.985,-18.223,-20.405,-4.177,-34.68,28.321
37.419,56.298,40.291,29.941,10.549,0.522,25.745,-16.102,-16.026,-3.212,-23.18,13.505
37.971,73.413,77.17,-19.027,41.311,15.602,4.442,9.818,-2.569,-20.579,-3.733,6.892
37.492,47.504,36.742,31.628,16.952,5.994,21.575,-9.447,-7.284,-11.011,-36.745,17.16
36.823,42.81,31.63,35.719,21.26,-0.382,23.938,-17.804,-7.179,0.232,-45.049,22.334
38.604,66.204,43.64,-6.102,38.469,4.926,-5.55,5.159,-7.686,-13.549,-4.922,9.815
42.448,65.475,40.76,-61.458,20.314,24.301,14.362,3.093,-10.759,4.191,2.908,8.46
