0,1,2,3,4,5,6,7,8,9,10,11
22.041,6.943,86.112,-320.137,50.094,125.619,69.507,-58.154,-45.945,116.214,-50.379,9.132
41.495,-43.355,6.834,-42.047,-12.061,-33.406,4.966,2.722,9.604,-8.59,-15.273,5.986
40.477,-74.351,-20.327,-16.1,-17.208,-16.635,3.224,10.618,12.548,-2.56,-11.369,2.098
45.012,-0.158,-25.839,16.047,14.028,68.003,10.108,-11.526,18.839,-50.739,16.755,-5.475
43.367,36.137,-59.452,-5.338,46.981,-3.134,29.505,-23.083,3.127,-42.672,-2.884,2.866
41.172,-11.628,-62.958,-16.453,40.315,-31.426,17.592,5.427,-2.36,-6.882,-26.17,10.562
38.766,-45.584,-63.995,7.966,21.341,-58.067,15.18,-5.185,-13.501,2.639,-4.39,8.778
37.45,-74.755,-67.562,-17.307,19.641,-1.194,13.17,3.496,-3.139,0.016,-41.62,7.077
36.799,-97.047,-41.666,6.715,9.603,14.461,1.053,5.082,-2.936,-18.569,-19.96,12.066
35.192,-114.907,-8.536,-54.36,15.62,-4.337,14.939,8.885,15.903,-8.375,-21.872,-4.585
45.076,3.526,-13.402,13.726,18.589,77.252,14.024,-7.681,17.374,-52.028,22.48,-6.441
43.361,25.642,-75.638,13.439,71.531,-34.704,32.517,-37.541,-32.168,-15.1,-28.558,-0.814
41.63,-48.46,-25.286,9.338,-16.932,-18.648,-2.242,9.908,9.845,-4.717,7.638,-5.651
40.818,-45.736,2.941,-46.02,-10.336,-10.97,8.876,3.687,11.207,-2.725,-25.051,-2.505
39.652,-74.757,-7.36,0.049,-6.76,-18.224,12.557,-10.923,17.804,-3.944,-3.203,-12.512
47.242,18.283,-28.493,73.14,11.632,4.008,-6.151,-25.634,-8.705,-5.18,45.959,5.383
41.993,-58.45,-10.245,4.976,-23.865,-35.968,16.998,0.598,-9.897,6.768,-9.067,22.319
43.556,43.439,-67.013,17.852,50.642,-69.791,14.924,-27.365,-37.06,22.067,-23.345,31.533
40.256,3.683,-61.037,-18.068,45.477,-22.9,23.211,10.661,-11.438,-10.79,-25.371,15.203
38.103,-38.72,-68.106,6.295,31.95,-24.573,6.598,8.323,-20.1,7.55,-14.303,18.436
37.053,-65.258,-86.169,-3.686,19.437,7.668,8.224,8.91,-9.497,1.038,-32.597,16.766
35.512,-89.137,-89.614,16.35,-2.135,21.97,2.519,11.111,5.214,-14.198,-22.867,15.711
35.962,-114.471,-11.868,-21.561,14.555,23.422,5.068,-7.624,4.506,-1.397,-6.559,-9.836
