0,1,2,3,4,5,6,7,8,9,10,11
0.036,170.921,10.411,-29.32,57.444,-50.6,15.332,4.53,-27.121,0.8,-9.539,-7.558
50.467,79.254,47.694,-52.073,18.973,64.192,16.192,16.041,-9.684,30.274,36.703,-10.347
54.308,86.025,0.825,23.189,-11.38,-13.599,4.662,-7.763,-6.684,-13.462,-32.581,-6.495
52.283,52.752,26.758,-60.655,-20.878,7.965,8.52,30.802,-4.137,-6.065,-4.879,-1.082
53.94,85.086,-1.481,19.281,-12.619,-1.013,3.298,-11.543,-10.455,-14.225,-17.813,-6.629
52.584,60.694,24.995,-45.317,-15.099,-1.4,8.83,25.137,-10.405,-6.541,-11.562,-12.415
53.292,85.6,-10.545,21.11,-23.525,-48.147,-2.461,-10.768,-26.514,14.57,-42.838,6.804
45.974,33.824,6.805,-35.66,-11.534,-6.341,-17.691,-4.142,-8.205,-9.405,1.065,-0.869
47.256,44.992,2.388,0.996,-2.87,-13.488,-19.347,-8.304,-5.417,-1.074,-5.94,-8.806
47.254,60.522,14.676,-16.114,6.73,-22.759,-12.8,-7.521,-7.603,-9.405,-6.237,-6.399
46.718,43.319,24.188,9.573,-5.866,-30.579,-19.552,-7.302,0.13,1.888,-15.744,2.753
46.454,33.906,-1.576,-5.041,-16.119,-33.028,-29.165,-11.768,-6.512,8.364,-17.166,-2.477
46.547,33.873,14.504,-3.561,-5.339,-27.449,-12.972,-5.894,-4.932,-3.158,-11.522,0.873
47.52,52.816,12.94,-9.715,11.246,-27.816,-25.063,-11.423,-3.65,-8.731,-7.432,-12.177
46.436,27.654,7.655,7.54,-1.235,-31.915,-33.758,-12.391,-6.186,1.974,-18.307,1.277
46.355,27.446,20.737,-7.839,-3.563,-30.352,-36.156,-9.793,-8.106,-5.478,-4.633,-8.5
46.627,35.364,9.425,20.02,-9.944,-32.414,-34.424,-16.902,-6.702,3.979,-19.386,5.857
47.031,50.671,7.234,-20.141,12.991,-19.322,-30.043,-9.328,-4.932,-13.938,-1.155,-11.626
46.601,14.604,6.154,1.405,-5.705,-34.757,-39.813,-10.012,-5.669,0.207,-21.022,0.007
46.453,34.867,31.923,-0.527,15.738,-27.964,-37.801,-15.433,-0.653,-8.257,-9.219,-7.273
46.4,29.265,13.887,-47.52,-8.561,-24.817,-31.264,-4.666,-3.342,-8.914,-5.099,-1.121
47.503,55.933,27.453,-8.377,7.39,-30.304,-32.883,-20.67,-5.653,-2.784,-10.437,-7.13
46.28,25.413,14.829,-27.075,-5.066,-8.575,-36.923,-8.54,-6.026,-7.087,-4.313,-0.973
46.428,26.741,4.305,9.605,-7.032,-21.485,-25.1,-14.783,-8.5,4.827,-9.615,-3.549
47.845,53.95,7.379,-12.506,8.237,-20.874,-28.839,-9.113,-10.552,-7.079,1.453,-12.522
46.799,26.479,6.876,6.2,-3.953,-46.815,-42.397,-17.727,-13.259,6.227,-14.26,0.054
46.878,30.224,18.367,-3.945,-3.445,-30.973,-36.323,-10.816,-10.684,-0.672,-15.047,-4.889
46.579,18.529,8.359,10.655,-3.598,-29.148,-21.315,-12.225,1.408,-3.374,-18.349,2.99
47.389,43.529,14.637,-13.118,9.989,-10.822,-23.028,-10.714,-1.612,-8.867,3.708,-8.797
47.089,38.015,27.636,-4.613,7.723,-29.661,-40.801,-9.598,1.201,-4.637,-5.429,-7.459
46.779,21.846,8.634,-10.532,-5.738,-13.414,-32.671,-7.864,-2.102,-6.143,-11.514,2.5
47.835,55.238,17.711,-11.971,12.756,-43.488,-34.458,-16.525,-10.054,0.947,-9.103,-1.273
47.111,32.497,11.42,6.748,-13.302,-39.566,-28.506,-19.993,-13.157,-0.644,-16.306,6.416
47.082,30.906,30.68,-12.286,5.171,-21.489,-27.731,-5.489,-2.192,-5.47,0.31,-10.988
46.882,30.002,10.52,-22.757,-9.086,-15.143,-29.994,-0.104,-2.999,-6.926,-16.849,-0.087
47.345,49.759,20.808,-19.791,16.699,-21.234,-32.962,0.18,-3.978,-13.892,-2.985,-15.437
46.741,32.214,1.252,-17.812,-5.388,-18.396,-39.508,-12.936,-15.591,-2.169,-26.512,4.872
46.609,18.327,12.896,-16.797,0.758,-25.527,-31.511,-8.754,-3.44,-6.269,-0.164,-10.331
47.12,42.323,24.4,2.136,-0.679,-19.194,-10.585,-12.847,-8.575,-5.653,-7.928,12.637
47.304,46.765,16.888,-13.326,18.305,-20.017,-36.404,-3.913,-5.217,-16.657,-0.283,-14.986
46.24,30.535,1.736,3.908,-6.096,-33.282,-30.936,-20.702,-6.164,4.887,-20.868,10.136
