0,1,2,3,4,5,6,7,8,9,10,11
15.547,-65.983,46.676,-191.517,110.33,32.973,10.746,-81.237,-45.381,102.387,37.525,-10.072
34.383,-81.606,68.38,-61.217,58.078,9.381,-52.578,-1.106,9.942,-23.859,7.105,-9.951
43.242,88.38,94.074,3.915,31.756,-18.604,-18.75,23.529,-10.949,-25.55,32.215,29.268
46.059,100.241,95.183,-8.253,35.824,-25.59,-11.33,-5.109,20.157,4.42,-0.839,2.464
45.67,117.821,90.941,19.574,33.908,-27.107,-8.385,2.559,11.22,1.053,-0.803,3.732
46.052,92.441,88.358,9.335,36.424,-24.474,-36.331,-13.79,7.186,0.197,-22.205,9.441
46.365,15.272,33.785,-32.768,27.961,-26.434,-53.122,-15.396,12.857,4.909,0.972,-10.456
48.069,26.534,32.371,-20.831,23.747,-26.502,-56.825,-9.308,2.682,-3.658,3.256,-8.215
48.753,62.629,57.394,-15.562,-3.182,-29.862,-34.609,-6.582,-6.707,-10.141,0.74,-15.602
49.429,52.659,33.956,-9.38,-0.22,-35.657,-30.411,-11.407,1.658,1.829,-7.134,-9.128
53.885,87.549,40.493,-43.575,54.647,4.997,5.205,-27.617,-2.346,-5.754,-3.59,-3.867
54.766,92.778,68.559,0.73,78.251,-18.682,-38.821,8.046,-6.394,1.991,-10.718,-24.054
57.84,89.508,6.251,-17.43,13.311,-40.015,-19.889,0.778,0.207,12.104,-23.523,-14.479
56.395,103.212,20.526,-17.407,23.59,-45.718,10.23,-3.366,-10.706,27.852,-10.827,-36.596
56.974,85.744,-3.149,3.933,31.039,-46.89,-3.625,28.379,-3.463,11.962,-26.405,-2.592
56.741,90.186,11.571,-10.162,41.446,-15.253,-6.625,-1.866,-11.555,26.775,9.438,-9.658
56.908,67.744,-4.564,-18.62,59.202,-38.003,-15.142,-6.46,19.894,35.096,9.846,5.154
56.334,80.285,31.836,-0.193,32.328,-49.512,3.261,4.198,9.4,19.596,-14.911,-33.199
56.897,77.469,10.242,-6.971,12.42,-42.869,-18.831,15.084,3.33,5.38,-20.226,-20.499
56.671,94.035,-0.422,-23.588,32.932,-25.374,-25.805,3.252,0.356,9.386,0.132,-16.389
55.316,96.815,38.205,-21.55,101.07,-36.233,-59.435,-29.938,-14.261,18.318,3.88,-8.231
57.568,81.895,8.419,-11.093,43.402,-47.449,-6.492,-2.125,10.79,18.727,13.629,1.033
57.674,68.118,19.767,-5.137,50.741,-35.369,-10.717,23.784,6.273,-16.107,-8.655,1.102
56.243,94.355,-0.927,-24.217,12.241,-14.849,0.277,-3.61,0.248,27.667,10.748,5.126
56.321,75.682,36.605,-3.377,30.712,-51.117,22.915,-7.426,-0.147,33.167,-8.956,0.64
57.166,69.876,27.088,-9.286,16.108,-29.492,0.685,-1.414,5.291,7.725,-1.664,-5.031
55.306,65.813,23.285,19.5,39.754,-19.431,-5.846,5.182,12.958,1.163,-44.396,-25.269
54.298,113.85,18.747,-52.022,47.862,-1.217,-3.403,-29.937,-6.964,4.677,5.39,-5.294
56.93,84.253,-1.349,2.863,-8.397,-52.087,-29.89,10.198,-8.829,11.417,-15.347,-4.048
