0,1,2,3,4,5,6,7,8,9,10,11
0.007,170.986,9.27,-28.678,57.321,-50.094,14.932,5.2,-27.231,1.001,-10.678,-7.167
3.058,102.648,-66.902,-75.422,23.903,-40.918,6.594,-15.291,-38.114,12.465,-9.793,8.51
10.494,-23.22,-31.155,-158.133,64.034,-44.497,31.015,-89.986,-25.832,22.518,19.28,-6.023
20.175,-120.759,37.179,-65.965,74.511,-18.517,25.015,-0.591,-33.779,-0.788,10.809,7.764
28.331,-126.514,66.49,-40.046,35.349,13.549,9.259,18.035,-25.873,8.118,-22.707,12.472
29.329,-126.03,89.181,-82.297,61.243,35.257,8.2,18.62,-27.933,-6.021,-11.858,14.463
33.003,-117.199,102.75,-57.761,61.16,63.445,-7.523,21.558,-28.839,-8.848,-31.734,12.097
45.803,-6.177,108.447,20.515,17.636,-22.379,27.006,14.425,-5.276,2.102,15.366,-10.508
46.417,17.126,114.26,9.446,4.889,-9.248,22.158,11.081,-19.217,-17.752,-3.813,-7.962
43.785,-1.948,30.526,83.569,-2.84,-32.585,-21.77,-23.6,-9.767,-22.886,-24.433,-1.583
40.809,-39.663,98.814,-130.652,2.552,13.398,-23.3,25.932,-23.997,-28.547,10.738,-4.726
47.774,25.21,78.407,-15.421,-8.533,-15.513,-29.465,14.782,-22.65,-6.591,-4.122,-2.103
48.532,66.502,85.859,11.94,-11.553,-24.537,-37.552,-22.393,-37.274,-1.29,-17.92,-5.16
42.613,8.566,27.678,76.043,5.603,23.474,-52.256,-5.247,-5.122,-36.522,-42.607,-21.162
34.347,3.864,74.744,43.032,25.793,-10.988,-25.873,-0.72,-6.124,-17.603,1.588,-9.448
48.421,76.17,76.407,-2.319,-12.82,-5.807,-35.809,-8.254,-24.998,8.4,18.85,-12.653
49.673,82.493,69.215,27.931,21.465,8.365,-66.06,-21.083,0.171,-26.897,-32.756,-5.533
44.91,17.655,114.256,-127.951,49.059,-0.44,-34.656,32.509,21.338,-14.964,9.953,-14.14
50.615,56.463,102.059,-12.06,47.865,-26.946,-45.423,8.115,20.15,-7.502,6.013,-21.832
49.227,58.222,49.229,72.176,51.879,0.458,-54.895,-66.712,21.469,-8.266,-63.159,-4.444
38.681,-132.651,56.069,20.015,55.418,-23.801,6.499,1.667,7.74,-9.389,-22.118,4.64
47.944,140.338,101.32,3.605,23.594,-24.979,-26.216,-11.554,3.773,9.376,0.218,5.906
48.793,147.12,117.962,18.663,26.387,-15.496,-48.33,-1.14,-13.006,-3.969,3.697,13.938
48.42,56.896,91.199,51.926,24.468,-6.605,5.714,-44.725,-23.439,4.445,-3.709,18.442
50.595,80.22,119.226,20.446,31.225,16.093,1.726,-8.91,-10.025,-18.774,22.441,12.427
47.059,78.741,93.243,87.163,20.802,14.832,-32.287,-27.007,-22.543,-22.162,-51.925,3.657
42.019,69.298,152.447,-155.016,30.137,62.46,1.83,30.641,-4.353,-14.544,18.323,7.686
51.508,73.926,82.867,14.687,4.75,-19.275,-33.358,-3.526,-22.27,3.717,4.503,10.804
51.661,147.585,114.872,8.775,-2.326,-37.589,-55.543,1.957,-22.116,-3.745,-7.909,-1.002
51.525,158.581,118.236,13.626,4.709,-9.88,-39.827,-24.657,-25.766,6.687,2.273,-6.236
52.647,165.539,115.94,15.588,14.625,-36.159,-46.623,-13.88,-15.397,-0.874,-1.384,14.039
51.767,144.117,103.658,38.913,21.833,-28.851,-24.822,-6.5,-18.589,-0.537,-4.162,20.092
53.7,54.184,90.777,34.898,33.764,-23.508,-34.997,8.184,-10.209,-15.171,-18.665,-2.466
49.738,71.99,29.505,0.059,37.585,-15.364,-18.795,-65.867,-27.811,3.653,-16.36,6.655
52.563,69.867,38.374,-29.679,4.073,-23.438,-20.661,27.914,-9.731,46.723,-17.56,-5.319
52.701,94.935,0.037,17.551,-17.648,-18.955,-63.012,-40.004,-26.626,0.245,-11.456,-3.305
51.208,40.19,25.571,-41.875,-8.397,-23.213,-41.777,-13.123,-7.63,3.696,8.096,9.543
52.677,23.303,27.099,31.641,-6.461,-15.706,-1.386,37.781,0.619,-11.471,-26.049,3.446
51.639,34.858,76.378,7.344,41.671,0.707,13.012,21.242,4.639,17.972,12.217,-6.793
50.714,93.543,44.933,10.629,-7.136,-22.757,-63.758,14.212,-23.994,9.752,7.701,-3.075
50.241,102.564,-12.953,21.672,-41.451,-10.54,-60.762,21.136,-13.636,-9.543,-16.622,6.249
49.973,121.436,0.817,-67.378,-34.413,3.67,-34.889,-51.734,-41.263,29.197,-17.981,-6.187
49.973,61.972,-39.484,-51.237,-13.35,-1.85,-25.83,-5.486,-12.388,-2.15,-13.847,-24.369
51.474,115.736,14.946,18.731,-15.693,-16.213,-70.343,28.492,-15.898,8.108,18.903,-0.606
50.966,124.58,82.292,-42.553,22.446,7.032,-16.099,-67.939,-24.588,9.886,-13.779,-7.471
53.241,52.754,24.614,18.129,-0.991,-21.5,-26.056,16.03,-13.658,1.991,-16.7,-4.337
51.805,90.316,57.957,-3.765,49.126,-10.376,7.385,-41.907,-39.204,42.105,-21.879,6.543
49.694,124.423,62.708,20.658,11.09,-10.557,-48.676,25.991,-15.959,24.362,20.339,-5.529
51.311,66.006,60.188,-4.435,-11.158,-12.404,-36.528,-31.921,-69.259,29.416,-8.88,13.232
47.567,45.614,-27.789,75.523,-15.03,37.851,-77.986,-45.287,-30.708,-16.471,-79.173,2.351
51.915,24.218,19.09,-25.235,-4.495,6.573,5.756,4.78,-3.194,41.109,0.421,-1.734
52.825,100.378,11.756,-52.693,-4.612,-8.251,-21.906,-11.15,-1.92,-10.686,-15.141,5.189
52.646,42.542,54.48,-9.293,27.631,-13.202,-35.556,-37.438,-10.072,0.313,-12.306,-1.935
51.201,77.71,20.527,22.746,-9.367,-66.105,-20.604,55.418,-11.315,-7.949,15.45,-7.936
52.627,42.879,106.592,-5.845,34.122,-4.89,-7.031,16.066,-30.124,22.875,18.23,4.344
53.284,48.134,25.677,-7.458,-16.78,-47.166,-23.444,22.778,-6.728,2.312,11.541,-35.171
49.95,58.753,-1.492,35.981,-15.238,-16.659,-67.749,-29.345,-15.281,1.655,-32.97,-2.777
52.252,33.805,23.886,27.862,-9.286,-21.213,-9.95,4.234,-13.263,16.411,-13.603,-26.614
47.301,83.542,31.514,5.831,-51.964,-38.817,14.166,-4.38,-6.018,1.302,-0.069,0.289
34.682,72.448,-28.359,286.841,-42.68,-92.287,-34.434,1.025,-27.448,4.583,-61.617,-10.906
34.32,115.816,109.351,-189.863,4.088,132.349,30.053,-46.743,-19.803,27.088,-11.187,5.22
45.276,95.523,99.526,13.445,7.815,-43.435,-16.708,-13.205,-19.49,2.121,0.417,11.167
47.76,98.983,104.486,58.198,12.832,-41.434,2.313,-8.72,-23.472,-3.085,-0.44,5.607
49.505,54.424,55.901,-53.495,-8.764,-1.455,-29.436,21.67,-37.864,25.331,-18.428,8.957
45.279,-5.256,-99.504,159.429,-10.581,-43.436,-53.025,-37.939,-12.037,34.73,-24.336,13.227
51.511,-12.252,30.854,-51.876,27.45,59.15,30.389,33.971,25.102,30.488,72.029,-21.642
53.68,89.751,26.874,29.64,5.441,-6.428,-61.429,-36.243,-23.914,-14.968,-25.304,-12.46
49.703,5.946,-3.425,15.259,-33.85,-21.433,-9.52,34.017,-19.706,-0.221,9.735,4.942
49.41,58.218,89.259,-47.53,17.989,-15.325,8.104,-0.522,-9.522,25.135,-4.291,1.474
52.19,110.305,36.119,-16.598,-21.695,-7.283,-45.739,-10.357,-18.078,7.176,-12.33,-8.434
