0,1,2,3,4,5,6,7,8,9,10,11
0.009,170.95,9.188,-28.731,57.24,-50.102,15.008,5.177,-27.214,1.033,-10.717,-7.173
25.617,31.321,15.071,-54.322,105.723,152.9,58.267,-41.256,-20.287,50.329,-29.301,24.894
41.498,92.638,4.457,-99.207,60.807,52.445,-43.895,149.626,7.434,-13.256,72.894,-9.21
43.829,102.02,-5.726,35.576,51.354,-51.764,-69.269,139.862,-16.528,5.289,16.256,-6.555
43.634,50.064,-26.632,-4.534,18.583,-27.115,-42.954,-88.354,-14.166,40.928,-28.132,23.079
40.096,-114.531,-77.477,-19.233,47.057,-64.567,-29.724,-22.789,-16.812,-2.627,-13.686,10.423
41.424,-80.946,-49.203,-80.568,76.247,-3.084,-14.893,15.099,-11.718,-43.576,-6.375,21.584
40.703,-135.733,-18.01,-53.754,44.442,-34.517,-53.5,-0.048,-8.906,-10.128,5.821,11.294
43.158,-48.635,-53.761,36.906,24.606,17.686,-70.17,-12.184,17.459,-27.353,-52.506,11.972
35.171,-89.218,-36.323,19.459,-60.615,-41.198,0.895,-21.313,-45.535,-4.236,-11.69,16.856
43.777,45.65,2.36,-34.887,-38.18,47.19,-24.291,-6.27,-2.876,-22.517,46.079,-41.104
47.95,84.928,57.869,-0.943,-20.867,-41.96,-33.908,-5.801,15.721,10.779,-3.323,-44.314
49.346,124.472,6.995,-4.333,28.593,-22.893,-18.853,-65.572,-2.743,-20.436,-9.575,-33.474
49.244,-15.196,52.523,-11.62,30.138,-40.265,-27.75,-15.217,-7.459,13.05,-14.332,11.728
46.562,-7.209,10.346,-35.975,13.011,-19.262,-47.614,-9.253,-5.412,-3.354,0.129,-23.401
47.746,128.668,-9.789,-10.726,12.113,9.577,-38.104,-39.783,13.383,-41.535,-24.412,-18.4
45.78,-31.776,2.869,-31.01,37.04,-17.637,-32.236,-8.191,-20.792,-6.179,-8.841,0.952
42.651,-19.122,-11.977,-28.229,32.081,-23.631,-8.999,-31.573,-16.217,-6.342,11.387,7.423
43.968,-37.085,-16.637,17.831,25.638,1.051,-42.436,16.795,-1.518,-19.517,-38.661,7.79
