0,1,2,3,4,5,6,7,8,9,10,11
12.394,104.638,64.44,-261.513,43.755,38.11,59.077,-83.466,-43.901,44.631,-61.832,22.339
25.289,44.781,10.286,-31.702,3.613,47.406,20.404,-11.368,-36.822,-6.719,22.953,27.825
36.241,36.176,29.707,-5.485,-13.165,-16.928,-14.655,-8.372,-41.335,-0.903,9.362,35.302
36.484,-14.282,-16.431,-11.624,-30.538,-37.067,-2.861,-9.538,-37.53,7.064,6.132,10.567
39.239,49.553,7.419,-43.237,-32.24,-29.691,-20.168,10.298,-13.868,-4.802,5.59,20.288
40.54,41.493,32.455,-0.469,-11.411,-27.35,-28.643,-4.292,-49.731,6.836,12.942,33.657
34.448,36.036,-93.583,112.191,-20.836,-68.298,-31.02,3.489,-34.845,23.93,-18.928,25.113
37.85,74.774,4.194,-43.154,4.429,17.074,20.79,-9.888,-16.335,26.755,14.129,38.909
41.312,70.431,-3.678,-32.934,-14.157,-0.401,8.209,-20.245,-8.841,2.173,-32.917,32.552
38.316,48.277,-12.274,-18.757,-10.381,-23.865,-5.048,1.939,-21.961,-11.861,-5.17,32.063
36.795,29.612,-10.602,-53.134,-23.699,-15.061,-7.352,9.46,-15.387,-10.926,-11.797,29.168
44.159,59.462,-30.055,13.313,-14.434,14.418,-7.061,-12.451,-24.934,16.082,-1.081,27.763
37.207,17.218,0.581,18.677,16.286,-49.942,-23.864,21.299,-14.756,7.536,11.506,27.926
40.003,60.44,14.396,22.729,15.041,-21.412,2.067,-14.121,-14.384,10.441,2.74,55.479
38.376,66.915,44.982,-22.047,-20.989,-19.528,2.637,-8.547,-21.863,-5.178,12.977,25.609
41.57,80.733,42.79,29.408,-12.437,-20.947,-15.83,-14.245,-29.837,14.763,2.741,-14.49
34.839,62.853,-69.33,121.573,5.468,-29.557,-12.158,1.718,-12.169,0.866,-42.599,7.441
37.264,64.214,23.555,-27.624,-9.921,-5.424,24.089,-2.647,-53.596,29.977,6.975,36.381
41.115,53.421,2.437,-18.185,-22.858,16.382,13.317,-8.781,-31.995,-15.021,-11.512,32.162
38.631,31.257,14.956,-3.222,-6.822,-21.814,5.314,-5.505,-39.813,-15.839,-7.029,27.801
42.158,64.625,-14.876,-3.038,-10.625,56.001,6.865,-2.994,-33.297,-9.443,-11.912,-4.605
37.126,65.306,3.222,3.134,-8.282,-3.281,-8.496,2.694,-30.185,-1.931,-15.484,20.898
37.174,43.471,11.917,-3.615,-26.433,-5.486,26.421,-12.071,-21.154,13.696,8.757,5.338
36.23,-39.752,-10.287,-15.45,-40.776,-35.718,14.195,6.433,-21.204,-10.794,-5.978,17.597
36.697,9.32,-1.206,-22.028,-46.314,-35.714,2.741,1.738,-20.057,-14.581,3.908,16.718
40.211,64.079,15.827,-13.98,-12.843,-9.275,22.413,-1.502,-27.733,0.514,-6.205,24.793
35.401,46.958,-45.992,66.521,-9.983,-6.375,-8.4,0.973,-13.891,-26.586,-71.846,23.189
33.473,93.524,36.998,-139.821,-2.315,72.745,37.14,1.821,-23.326,9.842,-5.799,19.733
42.26,76.446,5.579,-5.275,-9.449,4.077,12.617,-0.561,-21.38,6.797,2.819,22.71
39.603,71.834,5.764,-2.003,-4.851,-35.26,22.715,-8.651,-19.449,11.045,-3.411,42.673
37.856,33.861,11.084,-3.147,-15.915,-21.027,13.629,-2.536,-13.999,-11.517,-7.982,35.603
42.377,66.241,1.787,14.345,-14.18,30.223,9.084,2.662,-36.696,4.034,-4.209,16.074
38.363,40.161,1.822,-2.83,-8.161,-22.978,-14.338,2.879,-31.727,17.866,-2.174,4.553
41.098,48.656,-20.917,-1.54,-16.141,-13.129,6.841,4.263,-24.189,23.591,1.422,33.456
40.368,46.921,-21.565,-19.741,0.367,-31.032,3.536,-5.428,-11.015,17.599,0.386,22.131
39.468,43.146,7.03,-3.235,-35.758,-24.28,12.411,8.902,-39.031,-7.239,-6.483,21.224
42.206,72.424,-2.206,56.035,-1.992,16.723,-17.494,6.698,-26.565,6.608,-9.257,11.909
41.171,80.084,-48.808,70.593,-13.741,-20.815,0.71,-9.254,-44.445,18.124,16.909,6.957
44.472,88.057,51.762,-42.094,17.206,42.052,16.708,-49.399,-10.087,27.816,-38.939,-5.7
44.664,12.693,-16.803,-21.469,85.274,-48.352,-36.131,85.587,25.226,29.815,-6.255,5.75
43.555,96.88,-20.768,-44.973,39.78,-15.577,1.831,-94.016,-46.97,53.557,-39.615,6.547
45.521,122.127,-57.189,-16.306,8.576,4.9,-9.494,-100.819,11.023,-27.579,2.228,12.192
