0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
39.039,58.221,76.33,-130.094,82.26,165.657,61.181,-112.182,-53.917,94.242,56.514,8.476
50.483,-0.557,26.839,-52.584,-13.348,-9.177,-7.582,16.397,-7.746,-15.78,1.793,-0.582
47.736,28.525,-46.395,93.747,6.484,8.231,-68.348,-38.32,-7.309,-34.63,-90.391,-22.126
46.491,36.901,-102.79,123.656,23.563,51.456,-22.702,36.709,21.612,-8.412,26.39,-7.699
38.104,-81.892,-33.498,102.661,38.669,-91.977,5.593,-47.201,-7.068,21.732,-13.575,-0.555
47.627,-30.563,12.698,-25.073,44.766,-19.473,5.682,-58.085,-17.81,57.485,-19.873,17.742
49.436,-88.585,77.188,4.853,56.011,-12.898,34.778,8.597,-9.52,-20.077,-5.839,3.143
49.347,-39.697,15.41,-40.723,-7.642,-12.523,-29.151,13.257,-11.759,-36.765,-18.981,13.258
49.925,-37.087,36.874,-95.691,14.67,-14.014,-8.468,48.968,-14.567,-9.378,4.194,11.322
46.951,2.286,-67.646,111.38,13.565,-65.629,-50.467,-2.299,-23.419,-7.53,5.972,5.578
50.804,25.159,37.023,-7.485,5.152,-4.276,12.39,-53.605,-61.775,43.611,3.971,-6.432
49.029,-17.242,14.939,73.074,-2.484,-4.585,-15.598,19.246,-7.493,-19.01,-66.497,-6.457
34.217,-89.468,-70.75,159.938,5.819,-97.267,-40.418,-21.136,-16.193,4.211,-27.467,-7.051
28.349,-210.656,-6.427,-57.82,55.376,16.4,25.479,-10.345,3.392,19.819,-14.503,-20.825
48.404,49.576,-88.331,119.116,5.531,-52.472,-44.901,36.535,4.67,-4.904,-52.036,13.558
37.754,-39.215,-11.462,24.029,27.369,62.304,22.143,-27.075,-0.279,20.14,-37.472,-4.863
44.087,50.249,-40.413,-36.742,83.866,38.573,9.713,55.572,-7.064,-26.308,36.207,-26.065
52.865,12.686,51.121,9.213,-14.213,-37.108,44.527,23.227,-31.645,16.411,2.346,-4.464
51.588,-48.222,73.176,73.148,27.49,-62.67,25.884,-29.681,0.472,12.674,-24.278,6.314
46.451,-32.613,-26.364,23.449,54.068,-53.854,-9.964,102.301,-2.054,1.879,2.165,12.242
50.632,26.065,-49.595,58.328,25.808,35.709,-14.899,0.897,-25.27,26.733,-10.479,6.557
47.509,36.212,56.477,-101.686,32.81,86.638,30.123,-8.772,-28.925,45.833,7.152,-12.607
52.856,34.161,32.317,-1.865,-20.332,-35.678,-18.317,-1.404,-2.867,2.008,-14.383,-32.335
50.285,-45.698,38.456,24.138,33.259,-43.423,1.975,1.702,-10.212,17.711,-6.625,2.691
52.99,4.146,-20.148,17.398,48.613,-64.48,-11.947,-2.657,-0.817,1.13,-23.152,21.697
50.201,-10.838,57.198,-38.93,87.392,-28.134,6.623,16.249,-34.054,-24.116,2.752,-4.007
51.127,16.654,55.595,5.984,13.723,-14.11,-37.718,-28.666,-22.814,-8.741,-23.411,-22.86
50.812,-25.82,47.918,38.306,12.587,-42.067,43.912,2.938,0.09,-6.944,-33.365,8.293
42.278,10.721,-22.556,-23.433,12.511,-26.889,3.878,41.459,3.323,-10.536,-13.185,-9.004
49.866,70.531,-3.841,8.992,39.736,70.716,6.173,93.859,-16.925,20.146,8.65,5.242
48.076,-2.522,-8.482,-29.207,72.13,4.638,4.027,-29.163,-33.071,64.621,2.13,-20.665
46.67,47.274,-7.394,0.449,51.758,-53.834,-15.654,147.973,6.195,-29.59,6.167,21.225
49.064,18.311,-58.391,92.577,14.081,-9.545,-26.258,-24.451,-7.517,14.953,-58.803,-16.693
45.248,6.462,64.772,-182.267,60.429,12.095,16.76,34.135,21.242,-46.41,1.803,-10.443
47.373,-26.023,-26.729,115.281,33.421,-104.385,-35.199,-9.819,-9.604,19.47,-26.652,26.318
53.92,32.331,5.015,-9.389,9.823,-8.651,15.988,-12.56,-14.257,16.1,-3.463,-7.896
50.486,22.464,11.692,38.948,1.613,-19.181,-22.829,-22.326,-2.587,-8.492,-38.377,-11.274
47.282,-65.245,-2.17,-30.471,56.368,-19.899,-5.304,-16.228,5.508,4.504,12.05,4.516
48.297,-67.743,41.991,-20.58,11.834,-29.26,-2.335,19.889,-27.81,-11.909,-9.565,-13.18
46.788,-27.47,2.182,-25.649,43.763,-10.412,24.882,-68.644,-0.907,-24.609,-6.011,0.946
43.42,-13.104,2.028,15.674,21.271,-82.541,-11.972,5.149,-17.577,30.879,3.936,3.656
