0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
42.646,71.839,105.299,-95.493,40.238,197.47,34.162,-0.444,-14.016,49.524,102.055,-15.026
52.176,89.481,75.299,-1.757,-4.718,0.79,-14.267,-1.577,7.648,-24.414,3.603,8.566
51.68,90.925,78.253,5.809,-7.645,-17.599,-19.853,-14.354,-2.638,-7.191,-9.909,8.575
51.279,80.065,94.507,26.708,13.985,-28.576,-28.916,-18.487,-3.929,4.083,-1.165,11.195
49.626,22.657,74.723,1.307,15.797,-30.46,-28.232,2.577,5.727,2.533,-7.581,-1.548
48.093,15.295,55.846,-10.621,6.751,-32.541,-21.102,-12.419,13.224,1.139,7.369,9.59
51.464,84.367,88.636,-48.597,4.308,-2.142,-30.507,23.102,10.894,-20.055,0.345,3.497
53.18,122.4,99.599,6.234,12.278,-12.815,-40.957,-9.257,0.226,2.061,11.631,5.807
51.003,94.076,92.626,2.65,16.631,-15.312,-25.932,-9.755,4.87,-3.883,9.175,8.684
50.219,87.828,118.125,-23.324,15.543,-20.864,-26.811,-9.041,-4.396,13.606,-0.595,6.765
52.447,127.893,109.195,14.776,4.344,-9.986,-38.653,-12.796,0.743,-13.717,1.0,-11.002
51.252,110.796,94.045,14.953,-13.858,-12.829,-13.377,-0.093,-4.16,-7.966,-2.562,6.457
51.482,110.291,117.8,-13.609,10.034,-27.557,-20.2,20.39,10.705,-11.68,6.377,12.079
51.046,107.982,112.777,22.698,20.828,-15.533,-36.654,-12.135,-3.848,1.574,-7.479,11.475
49.679,44.494,85.714,22.011,12.25,-28.538,-20.68,-22.891,-1.504,2.156,-12.758,-4.511
49.427,3.318,97.032,27.305,11.716,-30.998,1.236,-22.709,-31.94,-1.96,0.826,8.825
50.198,46.393,102.86,-12.927,13.404,-18.051,-4.233,22.211,-5.662,-18.605,6.934,1.08
51.439,79.95,89.953,1.374,21.431,-20.792,-33.761,-9.829,9.892,-10.986,-16.847,2.862
50.721,62.204,75.265,23.011,20.928,-24.38,-54.787,-25.85,-3.638,-2.936,-13.244,14.59
47.577,10.71,72.332,3.472,29.384,-15.102,-43.973,-6.857,7.669,-14.432,-0.691,-2.067
47.873,26.85,80.096,3.47,28.861,-31.57,-43.826,-12.571,-0.202,-0.616,-3.75,4.826
49.526,25.927,73.627,26.635,27.221,-28.653,-1.223,-33.661,-16.693,15.704,-1.407,10.598
51.048,48.174,89.838,5.575,5.801,-28.486,-22.091,-6.122,-3.109,-6.352,7.287,3.348
51.09,64.51,90.885,-22.949,-1.79,-13.778,-31.661,8.769,-6.284,-12.22,-1.512,-1.482
51.143,68.796,75.615,32.752,-1.345,-16.177,-50.42,-19.567,-6.213,-11.011,-25.995,0.789
50.211,49.488,76.55,3.159,5.607,-0.945,-40.312,-19.475,-7.503,-7.174,-1.805,7.819
49.167,35.935,71.249,21.82,13.402,-10.595,-37.121,-1.874,-6.666,-15.433,17.525,12.781
48.459,52.661,49.569,-21.709,20.541,-30.986,-28.551,-6.073,14.021,4.607,0.336,11.728
55.82,106.968,-0.814,-15.715,-1.283,-36.022,2.324,6.195,-1.605,9.902,21.177,-4.015
56.044,84.365,-7.368,-10.969,-8.61,-25.161,-7.304,2.923,-7.249,10.409,4.001,6.088
54.415,91.564,4.41,-19.369,-15.202,-25.465,-4.774,-5.341,-1.388,5.191,-10.071,-7.261
55.429,69.364,-10.903,-4.88,-11.214,-35.418,-12.129,9.381,-6.532,8.643,3.86,6.246
54.169,72.185,4.079,-17.129,-12.828,-23.52,21.03,2.607,1.925,-0.317,-15.257,14.332
55.075,73.479,-9.011,-9.659,3.363,-24.606,-2.297,-4.474,-2.229,3.959,14.518,9.653
54.778,91.536,13.72,-20.726,-26.235,-45.763,5.723,1.578,-1.526,15.394,3.233,-10.941
55.844,78.81,3.551,-1.636,-12.815,-28.217,-25.484,2.179,-6.488,13.54,3.033,-13.668
54.186,94.589,20.232,-22.032,3.649,-32.017,9.742,8.425,8.757,3.354,-3.995,4.71
54.055,109.703,33.822,1.431,-4.334,-42.118,12.453,-8.729,-1.391,17.897,-6.342,12.362
55.516,81.872,2.589,-8.214,-12.252,-50.124,-13.12,8.661,-16.701,2.883,0.715,7.988
54.574,78.54,13.756,-23.703,-11.651,-52.959,16.968,4.205,-0.152,10.651,-7.563,5.405
55.819,84.908,-0.044,-5.67,-8.339,-34.151,-3.3,0.343,-18.958,7.575,1.612,16.743
54.328,83.804,8.565,-15.731,-17.094,-34.158,12.959,6.101,0.765,12.15,2.862,4.85
53.751,68.596,0.269,-9.371,-11.693,-59.551,12.68,-4.481,5.595,28.885,-9.699,1.51
54.926,77.319,-9.372,-13.541,-16.33,-51.511,-14.095,-2.324,-2.889,13.207,1.926,12.58
