0,1,2,3,4,5,6,7,8,9,10,11
0.02,170.834,9.79,-28.966,57.703,-50.32,14.97,4.728,-26.999,0.917,-10.157,-7.312
43.994,71.722,63.428,-143.723,14.981,148.91,41.071,43.814,-2.562,32.336,64.947,-16.917
51.566,99.542,30.914,-7.635,-13.374,-36.226,46.225,-0.745,-18.655,-8.622,3.24,44.724
55.678,91.68,55.665,-7.989,-1.954,6.394,39.04,-11.113,-20.438,13.317,-9.428,17.142
53.382,104.978,44.629,64.417,15.034,-28.731,-50.448,3.56,-35.742,-32.282,-15.033,8.662
50.658,89.567,-3.207,81.516,22.662,-10.799,-59.302,19.738,-38.851,-2.706,-12.622,7.112
51.497,79.799,-12.1,11.771,26.7,15.723,-37.868,69.284,-28.287,-19.69,3.454,25.39
51.236,24.886,100.724,-68.071,39.86,8.061,-25.739,2.588,-13.111,-16.354,-5.042,-5.006
50.119,67.046,83.506,101.649,27.144,0.884,-50.159,-15.038,-10.009,-23.25,-50.562,-14.063
47.942,157.063,-30.528,36.99,27.188,-14.092,-83.017,104.263,-11.802,-6.254,17.633,-6.762
51.351,133.868,29.475,50.83,16.431,28.836,-106.673,50.688,-51.152,-6.82,-48.597,-13.135
52.631,95.63,120.831,18.399,62.658,63.761,-17.537,-3.356,-35.867,45.13,48.081,-25.952
48.413,136.885,50.605,127.629,23.478,6.622,-29.821,10.457,22.34,-39.117,-71.031,-27.898
38.796,143.193,181.727,-110.46,65.012,42.562,34.345,-17.955,-15.539,22.586,7.051,4.694
51.312,24.571,-3.133,5.219,55.186,17.356,-28.938,-21.442,30.879,12.057,28.497,2.052
52.818,123.838,14.468,-9.502,-19.054,1.31,-83.781,2.253,12.525,-38.509,-1.511,-33.279
54.24,179.783,31.551,13.848,11.473,-5.284,-64.767,-75.305,-16.115,-25.15,-23.044,-16.11
50.867,76.99,16.649,-19.751,9.696,45.601,-50.718,-36.214,-31.071,25.596,-41.756,-4.836
50.779,114.991,-5.324,-106.997,22.771,13.695,-30.787,-54.31,-31.957,-6.85,4.847,-0.063
