0,1,2,3,4,5,6,7,8,9,10,11
0.029,170.459,8.745,-29.365,56.951,-50.156,14.938,4.537,-27.38,0.929,-10.628,-6.727
4.562,80.628,-78.09,-80.337,15.808,-36.002,8.968,-3.592,-39.264,20.34,0.109,8.899
18.46,85.607,-15.493,-198.356,5.457,56.567,24.287,11.262,-31.865,0.744,-21.617,1.836
27.661,20.227,-44.28,-16.709,13.202,-25.072,-19.998,-31.864,-0.788,8.901,-45.236,16.823
32.935,49.388,-32.648,3.609,36.113,16.748,29.19,-57.292,3.885,10.73,11.449,-2.782
30.311,-60.455,64.821,23.268,38.607,-33.031,35.958,-2.735,6.054,1.29,-1.221,33.849
35.983,21.91,28.007,-3.044,70.23,-5.932,52.698,-28.268,8.644,-0.899,-5.334,10.998
34.203,-3.561,31.621,34.939,17.355,-53.06,32.586,-20.541,18.018,19.033,-21.002,15.426
32.882,2.924,-34.504,24.131,38.652,-29.052,27.195,-52.705,4.904,5.567,-22.069,8.507
32.447,-75.128,51.448,-52.094,19.853,-11.387,53.08,39.739,18.35,-1.448,-11.891,17.538
36.292,41.948,-12.17,20.297,50.89,-25.248,42.521,-33.892,13.667,2.659,-26.935,1.225
33.782,26.234,-15.649,28.616,31.402,-29.136,22.452,-32.529,9.857,17.77,-23.218,12.794
27.126,-80.442,16.388,-37.032,0.012,-36.058,39.063,2.902,27.5,-1.903,0.586,11.574
31.083,-61.871,39.789,-37.999,18.516,-21.045,48.631,13.496,25.773,-17.668,-20.728,13.553
30.694,-62.772,23.457,-44.299,10.433,-41.046,35.971,31.528,13.583,3.704,-1.961,10.048
31.923,8.823,6.481,-9.984,14.189,-41.352,32.086,18.214,7.06,-7.094,-16.937,21.73
30.034,52.571,53.553,-33.4,7.463,-22.051,37.061,8.613,0.79,-23.8,4.956,27.261
35.815,79.379,42.808,-30.987,2.57,3.659,49.553,-9.274,-16.285,-10.749,-24.637,21.436
35.696,58.3,42.889,-3.942,-15.923,-42.288,41.31,14.956,-17.455,-1.29,-3.831,32.919
36.106,62.985,-8.416,43.895,16.03,-22.173,26.442,-19.495,-23.105,0.456,-20.084,35.286
33.566,59.397,-19.961,-5.008,3.48,-33.01,18.232,-27.999,-33.871,19.265,-14.294,30.389
32.131,25.886,13.871,-31.966,-11.974,-24.155,33.623,5.38,-14.233,-8.339,3.876,39.715
36.376,59.696,3.427,-1.267,1.917,13.656,43.749,-19.504,-7.553,-29.226,5.87,23.775
36.11,46.471,19.516,4.86,27.693,-29.778,35.997,-12.267,-14.125,-9.717,1.341,23.413
34.863,13.945,-19.101,22.046,3.564,-27.839,43.619,-12.425,-15.63,-3.704,-24.473,33.76
32.668,-11.06,12.611,-38.529,-12.023,-34.273,49.544,18.933,-6.376,-9.02,3.218,41.817
38.011,51.367,-36.374,34.103,-0.212,-21.451,32.159,-32.452,-19.347,8.351,-4.116,27.111
35.572,77.555,-35.995,35.375,3.304,-12.107,27.476,-41.496,-11.093,-14.209,-3.049,28.058
32.744,25.182,-29.15,29.989,32.12,-29.623,-12.274,-47.325,-19.534,9.86,-25.535,3.439
34.733,7.308,-46.618,69.88,34.715,-23.636,-7.693,-59.02,-6.348,10.777,-19.986,3.673
25.18,-120.307,8.373,-22.046,43.82,-41.525,-1.269,9.378,11.959,14.046,-2.188,-20.719
28.073,-0.595,-35.903,39.822,38.821,-36.48,-20.958,-41.442,7.778,15.466,-46.322,-13.496
33.871,60.969,-82.894,21.168,16.022,19.142,-7.955,-45.184,-2.206,20.99,-3.336,7.584
34.882,73.824,-53.084,2.047,1.412,15.278,3.725,-38.803,-17.193,-10.755,-4.778,6.824
30.885,43.416,-54.138,18.25,19.488,-0.758,-3.084,-36.933,5.892,-5.483,-8.585,-11.742
35.17,67.257,32.376,-176.783,33.201,60.751,-20.459,40.174,26.014,-25.832,-16.732,-20.136
42.649,139.715,-0.942,-77.764,-18.318,-20.851,-54.795,-35.918,-20.639,31.759,-0.127,3.55
45.737,83.271,24.569,-21.704,45.405,-48.763,-3.101,-5.391,-28.149,-0.688,-0.171,14.799
43.708,93.145,-4.059,32.564,24.34,-25.69,-35.592,-8.728,3.085,-10.226,-36.217,5.675
42.488,170.026,2.475,-44.509,-1.623,-33.142,-28.091,-50.834,7.944,-1.601,-13.919,18.605
44.784,77.332,26.039,-16.108,18.214,-38.624,-15.41,6.997,-3.462,9.983,-12.783,-18.19
42.459,142.801,-37.167,-20.945,26.666,-36.758,-42.031,21.302,9.333,-26.82,-6.894,-2.466
38.55,98.21,-58.775,-70.486,31.185,-33.515,-28.471,67.865,13.484,-32.308,-15.311,-2.075
38.813,80.757,-23.984,-59.653,22.577,-25.639,-20.103,-34.973,-24.088,25.229,-10.48,-5.133
40.416,180.838,-33.034,-26.784,63.168,-65.561,-42.908,15.191,9.578,-3.834,2.431,10.328
41.765,81.866,14.077,-65.611,46.568,-18.142,-30.444,-22.486,-33.994,48.778,-13.367,3.034
41.666,172.594,-50.233,-47.585,18.831,-33.383,-57.248,18.757,11.647,-12.969,2.114,-14.235
37.585,86.151,-81.571,84.799,24.016,-37.49,-18.203,-63.599,1.386,6.111,-62.097,10.687
27.888,35.205,-58.231,-29.255,5.545,14.141,-8.046,-15.329,18.773,-41.821,5.528,-12.873
25.317,-21.302,-41.507,16.354,-21.657,-36.377,-11.707,-11.982,3.729,12.294,-27.15,4.489
33.859,54.739,-71.012,46.384,8.428,9.684,1.266,-45.975,-18.153,29.374,6.596,7.427
