0,1,2,3,4,5,6,7,8,9,10,11
0.001,171.119,9.452,-28.496,57.475,-50.07,14.844,5.347,-27.227,0.976,-10.645,-7.224
13.293,76.712,101.664,-120.718,107.367,28.379,11.443,-56.928,-0.856,66.767,-9.179,0.7
35.732,62.54,101.68,-240.273,48.638,23.048,25.637,42.499,3.431,15.832,2.448,7.81
48.105,148.109,63.149,-5.03,27.406,-30.692,14.944,2.488,-4.846,6.227,-10.336,22.681
47.494,119.278,47.385,-7.532,36.703,-30.497,-10.032,-9.867,0.842,8.351,-7.703,-0.873
47.063,94.088,49.857,13.218,16.45,-30.06,7.459,-3.628,-2.167,4.507,-16.785,16.894
44.531,58.661,32.462,3.497,12.601,-33.227,-4.715,4.307,4.036,10.06,-3.786,1.38
44.976,75.151,38.762,-3.55,8.571,-27.192,-14.728,-4.182,-4.631,8.735,-21.417,9.47
44.414,55.943,24.655,-19.467,8.964,-33.477,-13.488,2.226,3.473,4.583,-3.57,11.742
43.236,25.602,10.217,3.028,-0.932,-28.947,-0.238,-1.739,4.93,6.672,-14.762,0.263
45.389,69.137,42.542,-51.954,2.81,-32.292,0.236,21.274,1.425,6.38,4.002,8.624
47.332,74.959,12.855,2.591,0.226,-28.739,37.133,-11.581,17.218,8.004,-17.686,2.238
48.196,113.176,47.593,-35.703,12.928,-37.946,5.435,25.949,9.028,-3.421,1.02,11.244
49.601,144.874,63.718,-13.781,31.05,-35.325,11.505,1.09,-9.79,-5.306,-1.011,26.408
50.143,142.934,50.648,-4.741,31.214,-36.704,10.673,7.267,-0.421,13.615,-4.846,15.525
51.027,139.919,38.034,-30.051,13.864,-33.703,4.498,2.24,-1.679,5.989,-5.849,18.743
52.927,138.294,33.047,-26.548,3.026,-38.326,10.882,1.487,-13.594,0.83,-1.363,12.447
50.791,67.804,-35.765,7.263,26.232,-102.773,-29.765,18.046,-0.834,4.455,-2.035,16.18
46.46,106.194,-27.78,25.665,4.602,-30.905,-28.876,27.4,1.138,-5.151,-9.871,7.549
42.867,102.1,-73.044,16.354,-59.909,-116.884,-36.28,25.007,-10.697,27.535,-3.346,3.171
51.744,126.976,1.268,-53.363,0.335,46.187,24.992,-5.159,-5.408,35.065,36.288,-2.053
52.28,54.293,-38.011,-11.35,-3.242,-90.818,-16.933,16.92,-1.021,1.72,-8.32,11.707
53.476,119.259,-3.395,-38.492,-1.271,-18.429,15.233,0.346,3.489,2.923,-1.875,3.674
53.109,111.597,-9.654,-41.636,-8.56,-37.989,10.377,15.047,7.534,5.502,-3.099,9.07
