0,1,2,3,4,5,6,7,8,9,10,11
0.083,171.242,11.777,-30.545,56.474,-51.289,15.56,4.056,-27.232,0.651,-7.851,-8.28
35.049,-4.238,-54.02,92.021,-35.047,16.074,-13.422,-35.573,-29.61,37.223,10.519,10.805
39.992,38.579,2.456,18.4,-71.35,-2.991,-21.621,-16.525,-54.068,2.334,1.491,7.368
36.189,-27.757,5.972,27.953,-53.91,-49.833,0.052,-28.52,-45.126,14.757,-18.449,32.167
36.595,9.429,35.313,-78.984,-48.037,-9.72,-14.949,30.079,-13.592,-24.576,11.695,1.654
39.174,76.035,10.719,-46.597,-45.761,2.144,-28.253,6.673,-9.425,-17.181,-5.275,5.306
38.523,223.639,8.014,41.809,-50.416,-1.115,-23.665,-24.226,-10.751,-70.499,-20.977,18.097
34.542,24.556,6.354,6.373,-28.435,-31.331,-44.542,-23.003,-39.145,8.422,-0.219,5.992
34.771,41.259,8.762,-13.756,-35.182,-5.502,-22.318,-16.648,-32.033,-13.767,15.028,14.573
35.144,88.213,14.196,-4.973,-10.11,1.829,-23.274,-30.206,-19.566,-23.566,-10.954,28.709
40.514,35.456,6.675,-5.229,-26.626,-11.011,-40.07,-17.348,-50.568,8.546,12.578,7.155
38.863,13.19,24.426,-10.672,-38.38,3.926,-30.429,-2.771,-47.305,-37.435,-17.411,16.755
37.315,129.071,-8.604,43.203,-35.97,-60.035,-69.62,-22.942,-38.937,4.533,-14.912,20.067
33.567,4.51,32.467,25.664,-28.907,-55.207,-4.599,-6.44,-39.068,8.884,-20.496,28.601
31.122,-13.762,15.047,-15.034,-18.453,-14.355,-11.89,-6.58,-22.592,-20.814,0.95,16.327
35.643,42.649,19.268,43.637,-51.816,-22.863,-23.138,-8.072,-48.554,0.832,-11.239,26.497
44.266,129.3,20.146,-5.143,-27.444,8.849,-38.398,-12.498,-27.22,-8.354,31.754,17.697
39.357,114.279,18.694,18.714,-48.6,-1.614,-52.818,-6.03,-42.963,-21.263,-16.507,6.27
33.568,45.939,50.53,12.812,-22.052,-5.684,-32.977,-5.916,-47.12,10.357,18.12,7.725
36.103,21.128,14.941,-14.69,-56.896,-18.565,-1.414,2.789,-47.72,10.027,3.532,26.967
36.723,29.041,-2.151,41.47,-29.82,-6.719,6.825,-36.014,-29.627,-19.214,3.081,21.094
40.281,60.323,17.947,-8.65,-33.353,7.156,-27.889,-3.007,-29.468,-6.343,41.843,-14.618
42.497,168.162,-46.666,-1.156,23.679,-20.633,-14.14,-41.763,-64.393,-28.263,-7.39,0.89
46.455,72.698,95.804,-61.919,54.411,10.118,33.904,5.609,-32.364,17.218,0.312,-0.303
48.659,47.488,26.079,16.829,62.12,-47.794,9.477,-6.552,-15.579,-0.629,-27.796,-17.424
44.578,126.605,-11.388,2.055,-12.078,14.574,-29.922,-16.123,-29.315,-37.431,-14.343,-2.487
39.808,75.914,-4.276,-24.766,-28.414,-12.245,-48.949,-23.059,-29.553,-7.704,-14.272,6.125
44.308,52.527,61.342,91.174,23.454,-6.294,6.785,2.521,-18.288,-0.107,-27.529,-0.783
40.874,37.998,16.909,-48.041,2.636,22.524,-25.273,7.027,-40.459,-0.791,-18.639,1.327
43.968,76.132,10.007,-27.777,-5.479,-20.973,-54.612,15.546,-13.898,-5.437,-7.19,-12.839
45.707,68.732,24.649,-26.126,55.59,-14.918,-33.472,-7.315,-27.912,-15.386,-10.597,-36.579
42.095,58.912,0.733,29.407,37.722,-40.868,-23.325,51.242,-42.991,-10.66,2.15,3.016
