0,1,2,3,4,5,6,7,8,9,10,11
0.005,171.029,9.315,-28.623,57.352,-50.091,14.928,5.252,-27.22,1.0,-10.679,-7.195
32.973,45.384,109.045,-316.952,18.882,177.378,66.766,-30.993,-51.638,91.959,11.178,14.907
50.868,5.423,18.623,-14.74,2.056,-26.669,4.669,20.006,-2.2,-27.856,-6.397,32.288
51.169,20.789,4.056,-31.587,6.547,-9.87,1.202,21.989,-7.622,-17.783,-16.771,28.764
51.1,13.454,17.273,-37.442,-3.038,-21.621,9.435,-3.514,-4.308,-4.371,7.618,23.781
51.512,-29.752,20.394,-31.478,0.592,-20.176,8.821,3.817,-2.092,-13.181,-8.458,27.148
51.28,-11.877,17.236,-19.823,6.56,-29.325,11.924,15.172,-3.871,-27.989,-0.097,24.533
52.07,27.574,-27.214,-5.907,2.304,-36.278,-13.885,-20.394,-18.486,1.357,14.315,19.042
51.658,44.834,-12.027,-26.437,9.593,-34.546,-0.3,-5.18,-12.59,-10.496,11.313,33.94
50.796,-0.25,17.232,2.975,17.154,-42.221,-9.596,8.255,-8.653,6.065,0.753,19.231
49.482,34.752,43.564,-20.027,-10.042,-24.005,0.934,6.259,-22.498,1.648,-5.781,17.549
50.725,15.251,43.103,-15.504,13.063,-13.464,25.52,8.536,-13.208,-8.813,-8.312,17.034
50.121,27.552,11.152,1.162,-0.699,-47.495,-4.863,-4.858,-16.447,-0.952,-5.122,18.127
50.562,55.836,0.391,-8.576,9.691,-23.34,11.03,-20.643,-25.034,-8.212,11.826,17.505
52.702,29.836,-18.066,-3.999,1.642,-41.888,-11.627,-18.209,-23.962,14.313,3.44,25.165
51.743,3.657,8.056,-28.684,16.237,-21.811,-8.884,-10.902,-4.179,0.877,-6.131,11.943
51.314,-19.479,10.529,-9.0,32.697,-41.271,-8.169,-17.156,-1.877,10.558,-6.072,1.09
50.295,-30.041,6.886,2.205,22.732,-26.371,-15.152,-3.876,2.728,3.463,-12.662,2.632
50.167,12.674,18.953,-69.941,-5.601,-8.048,0.359,-0.972,-4.723,-13.633,-5.947,17.356
51.301,-4.999,22.66,12.759,-4.08,-49.116,21.11,-5.449,-14.276,-4.083,-6.026,43.036
51.378,24.078,0.542,-15.239,-3.746,-38.561,7.038,-9.591,-7.914,0.122,-0.046,29.058
51.713,20.9,21.318,-14.169,-0.91,-18.714,8.193,2.734,-7.723,-10.123,-5.784,12.952
51.515,34.318,-32.423,-3.665,12.304,-19.76,-13.218,-7.748,-9.599,-11.774,11.76,24.44
50.828,-0.927,9.722,-11.991,20.717,-36.159,-1.243,-15.877,-10.403,8.585,-0.358,7.809
50.223,-11.903,6.771,-26.051,27.794,-34.77,-4.881,-6.525,-2.623,5.058,-9.612,-2.704
51.881,20.62,-13.276,-22.668,14.634,-14.172,7.691,-17.304,-4.176,-8.566,20.865,8.281
52.776,16.236,15.483,7.077,-4.724,-20.896,10.976,-16.315,-12.012,-20.933,-4.723,33.382
51.756,23.73,-10.225,-14.854,-1.363,-32.151,-6.315,-15.331,-8.984,-1.467,-0.448,27.04
51.191,9.919,18.232,-7.919,9.936,-42.265,-9.013,-16.942,-12.527,-3.786,2.959,2.981
52.138,37.588,-7.202,-9.353,-4.757,-1.404,-6.259,0.231,-12.036,-24.22,4.868,17.348
50.134,23.997,-1.265,-14.366,-0.453,-20.879,-3.278,-11.776,-4.558,-6.93,-12.98,23.44
50.602,-5.166,6.331,12.48,7.382,-36.148,5.998,-14.695,-9.617,22.937,-12.146,16.151
50.289,-4.387,14.632,-17.213,6.304,-33.452,17.869,-13.53,2.874,4.539,2.769,10.116
53.178,15.051,-6.621,1.985,12.463,-25.22,2.522,-22.558,-9.08,-2.369,14.361,18.502
51.278,-4.917,22.813,-18.876,1.273,-32.843,4.023,7.191,-11.93,-3.23,0.756,15.63
52.656,6.187,26.68,-0.724,8.047,-41.87,17.763,-14.473,-18.795,6.587,-5.385,20.227
53.15,26.666,-23.124,13.075,-0.737,-37.593,0.313,-1.409,-23.578,-5.593,3.033,39.5
51.264,42.975,8.18,-1.615,-9.103,-33.902,-7.623,-15.628,-16.744,1.251,4.462,36.087
51.002,39.028,26.338,-18.825,0.589,-32.848,5.051,3.132,-16.086,6.704,-4.397,35.769
50.951,56.13,30.753,-17.349,-17.686,-32.659,4.58,12.546,-19.279,2.805,-2.283,19.231
52.037,45.519,-9.894,3.972,-0.135,-25.213,-3.604,-16.47,-13.788,5.313,17.573,15.006
50.648,28.352,14.114,-7.956,4.412,-45.008,2.587,4.098,-10.73,1.664,-4.212,31.929
51.1,44.434,18.254,-10.211,-11.44,-32.522,3.307,-9.473,-32.309,8.044,2.743,14.649
52.969,36.879,3.336,-7.333,-6.231,-24.367,-3.586,-11.671,-25.093,-13.633,5.898,5.959
52.104,29.886,20.156,-1.75,-2.277,-34.231,-8.934,-0.663,-21.489,-7.613,-3.052,14.969
50.519,13.116,7.643,-15.576,-15.987,-22.578,-16.292,-10.611,-23.868,-9.923,6.77,5.712
50.964,-29.59,32.01,-19.84,3.306,-22.949,-18.545,9.909,-10.07,7.464,-2.69,0.246
51.555,22.114,22.72,-51.302,17.965,-14.206,-1.683,10.014,11.592,-25.059,-5.878,13.422
52.502,27.919,21.643,-31.289,11.276,-26.167,-11.073,-10.079,2.903,9.233,-4.952,9.707
51.77,37.595,26.215,1.39,1.032,-23.382,-6.052,-1.843,0.496,0.305,-20.612,4.516
51.994,29.963,-17.813,-12.794,2.682,-16.046,-4.84,-9.224,-6.235,-7.699,6.262,15.818
50.713,3.983,13.849,-19.352,17.259,-35.338,-6.054,-18.315,-14.108,9.962,-7.874,18.115
50.654,-1.264,7.456,-17.526,17.717,-35.874,-1.183,3.367,-9.8,-3.524,-6.018,3.801
52.443,42.276,-5.142,-13.572,3.738,-17.993,9.071,-7.274,-3.97,-3.347,26.973,12.679
51.206,32.091,5.429,-4.333,2.13,-21.509,-3.593,-7.965,-6.315,2.817,-3.991,31.08
50.11,10.71,17.994,-42.73,8.615,-34.816,-7.457,3.398,-4.721,-2.65,-10.007,17.002
53.024,33.364,-7.54,6.337,-4.395,-45.622,-25.096,-11.114,-22.799,1.423,6.241,10.684
50.983,26.026,2.641,-34.383,1.504,-45.598,1.585,7.384,-21.438,-4.552,8.771,21.245
52.311,51.454,22.24,-36.676,-5.435,-22.165,-3.596,8.506,-23.568,-24.394,-9.561,27.254
52.231,7.363,29.431,-21.006,-18.46,-26.111,-6.232,7.902,-19.957,-10.183,2.717,5.639
52.123,7.187,21.675,9.987,-3.889,-29.816,-3.164,-16.595,-9.151,7.973,-19.008,3.239
51.649,26.178,12.71,-29.966,-20.121,-31.128,2.213,-24.788,-11.39,8.799,1.174,12.016
52.486,32.666,9.865,-1.776,-14.356,-35.525,0.378,6.694,-24.599,-14.177,-11.424,13.386
52.822,17.61,37.52,-19.267,10.961,-35.581,3.125,14.449,9.381,-0.856,-2.886,-5.209
50.764,71.86,-10.277,-48.892,9.865,-30.617,-9.78,-51.322,-35.642,21.519,-7.823,-9.175
51.691,25.927,1.964,-2.616,28.27,-32.969,-21.446,2.623,2.069,6.452,-25.183,-1.875
49.149,101.084,-45.374,-39.18,25.829,-38.398,-10.682,-46.217,-19.35,22.104,-17.876,11.936
48.241,64.08,-44.932,-17.818,-8.195,-15.271,-29.391,2.561,-13.004,-17.494,-22.349,13.284
46.079,27.308,-29.446,-45.268,-11.427,-22.722,-33.889,7.381,-22.849,16.644,5.789,-12.369
46.655,89.511,-52.567,-50.916,40.868,-20.688,14.06,-21.803,-9.779,-59.241,-1.313,7.494
47.392,-19.071,-12.792,-38.82,33.062,-47.606,-8.292,1.728,34.298,14.725,-4.736,18.863
46.015,-21.904,-57.088,31.948,22.56,-25.021,-14.254,-16.368,25.425,2.776,-37.212,25.877
45.706,-42.057,-31.603,-32.379,44.783,-43.319,-1.087,6.909,-41.874,8.494,2.741,17.066
47.409,-27.276,-28.566,-36.929,28.375,-13.388,-4.707,2.098,-21.359,-24.91,-4.362,4.052
44.724,-37.213,-41.153,16.621,3.56,-23.448,5.207,1.528,-52.826,-30.324,-25.38,-11.67
40.836,39.94,24.622,-39.846,30.576,-34.763,11.355,33.738,-19.25,-19.216,8.67,-13.319
43.133,117.154,19.008,-36.073,21.333,-18.06,-0.245,17.774,-40.93,-19.456,-21.26,-1.19
42.723,168.614,-0.233,-34.536,32.243,-20.215,35.393,24.008,-35.582,-30.739,-7.252,26.556
47.61,118.019,-37.011,-47.035,-2.44,-9.237,-16.492,-24.309,-46.948,39.653,1.894,7.128
49.517,51.718,-35.218,-47.019,32.241,-29.639,-39.431,-18.228,-19.609,17.995,-14.923,9.384
47.734,81.837,-55.919,-34.836,41.988,-27.261,-5.72,20.567,-7.197,-48.643,-1.849,37.711
49.505,-17.559,8.786,-41.541,45.843,-35.498,0.343,-4.407,-6.863,33.271,7.327,15.428
48.586,-16.884,-35.824,-46.742,33.704,-25.236,-14.444,7.418,-8.642,-12.878,-8.19,18.686
49.355,49.658,-31.715,-55.678,29.859,-9.712,-15.174,-52.11,7.093,-19.753,-31.898,25.205
41.803,-82.952,-13.129,-51.921,20.063,-32.962,27.727,23.08,-34.184,-7.402,-2.38,10.298
42.831,-17.87,-41.749,32.419,4.008,-27.553,2.955,-11.55,-18.633,-4.087,-22.877,24.985
38.773,7.244,-24.525,-57.56,-6.182,-1.611,19.457,-0.006,-11.76,-14.991,18.228,13.697
41.863,75.003,5.062,-48.521,-15.847,-39.364,27.644,17.117,-31.571,-12.78,-1.026,8.943
44.486,-8.612,27.145,-47.957,58.899,42.854,5.902,21.834,18.055,23.926,-7.283,12.667
48.232,14.487,-0.215,-58.962,57.316,-13.376,-20.641,50.422,19.962,-8.778,-2.872,18.387
46.11,13.323,-31.135,-17.102,2.074,-24.335,9.302,0.183,-46.03,15.499,-23.985,27.213
47.208,38.224,17.677,-33.119,-16.79,0.818,11.895,-32.968,-27.492,12.216,8.449,-5.689
44.884,5.526,-37.049,52.213,-18.556,-26.509,-10.22,-4.176,-36.486,-8.021,-40.701,6.442
36.753,-5.993,-10.707,-105.24,8.636,-7.248,7.036,15.623,-0.89,-28.73,-11.228,16.377
41.035,77.31,-18.547,-23.279,17.583,-51.725,12.339,-23.548,-29.629,16.069,-12.63,30.012
39.725,90.45,13.479,-2.329,-12.333,-42.021,-7.115,-12.54,1.981,-3.457,-12.919,8.995
40.262,25.703,16.155,14.075,21.037,-31.373,21.045,-31.65,-16.877,15.885,-10.164,18.087
44.511,86.718,17.406,8.434,8.243,0.34,4.241,-15.099,-35.239,-20.582,19.826,11.519
42.904,63.254,15.935,-13.909,-9.051,-8.938,19.82,-7.747,-44.54,-7.602,-1.144,29.557
40.81,7.221,-37.955,7.067,-6.719,-41.391,2.387,-18.473,-22.148,-6.913,-10.25,27.534
39.931,22.396,-9.043,-67.205,-2.146,-26.359,8.977,25.406,-7.416,-13.288,9.259,17.813
42.258,33.65,-48.995,36.303,-4.488,-14.965,-2.164,-31.335,-34.545,-4.094,-34.585,34.496
40.523,-79.584,-92.15,-60.743,62.653,-50.379,-34.19,-24.373,-8.425,10.308,4.199,0.57
46.623,-24.697,-16.756,-113.727,48.286,20.135,-18.527,18.776,4.285,-17.221,-11.279,3.086
47.151,54.092,-35.271,-25.432,-14.365,-38.875,-16.962,-25.762,-8.019,21.456,-23.714,22.652
47.975,4.406,-38.219,-8.354,31.492,16.097,-0.487,-21.46,-2.196,-3.15,-34.625,6.296
48.592,40.252,7.918,-71.03,38.002,46.459,11.984,4.201,7.904,5.67,-4.638,-8.017
46.532,93.393,-29.65,-72.022,-6.652,-30.751,-1.993,-35.426,-7.785,20.883,-11.84,25.191
50.103,55.963,-12.662,-56.365,-12.541,-15.694,-31.535,-21.365,-13.56,-12.026,-3.579,11.013
50.121,-0.929,-4.117,16.943,1.884,-15.953,-55.57,-10.166,-20.108,-4.298,-25.889,-14.231
48.026,1.834,-35.383,-29.469,30.963,-26.83,-26.874,-12.439,-7.426,16.326,-1.439,29.956
47.719,-6.046,-43.375,-48.217,88.549,-48.815,-11.928,-14.011,-6.472,-0.302,-2.556,6.013
49.538,7.158,-11.279,-32.036,36.873,-17.193,-37.554,5.32,1.507,-24.588,-16.079,9.977
46.064,-26.09,-24.645,-61.43,32.63,-23.349,-3.735,-13.63,4.821,14.626,-0.49,16.631
47.88,39.475,-19.201,-37.349,24.346,-45.576,-36.131,98.132,-10.994,-1.355,8.201,10.474
49.436,0.978,2.035,-51.383,36.519,-35.858,-18.39,11.994,-1.049,-0.41,-5.11,-20.564
48.377,-9.675,-33.218,34.317,31.424,-30.862,-10.078,-29.66,9.313,9.945,-51.789,6.589
