0,1,2,3,4,5,6,7,8,9,10,11
47.794,80.998,-5.055,-2.403,8.189,-16.123,-6.968,-30.922,-35.553,11.908,1.327,16.511
49.578,74.894,21.549,-8.243,22.437,-30.598,1.911,-12.041,-17.359,0.908,-10.728,1.556
50.105,80.246,13.121,-16.44,25.988,-31.16,1.956,-20.957,-39.17,2.788,3.875,2.296
49.502,67.655,19.507,-7.359,20.274,-19.047,-7.087,-26.483,-27.323,-14.594,-2.493,24.808
49.186,64.921,24.371,-31.093,23.313,-15.175,-11.01,-2.048,-17.127,-19.543,0.607,19.483
49.525,61.434,20.44,-9.865,22.976,-29.325,-21.864,-12.744,-14.634,-16.111,-1.22,27.143
49.621,87.653,6.969,-29.581,31.165,-25.003,-6.087,-7.585,-32.889,-25.458,12.297,6.705
50.249,82.422,19.192,-21.458,35.687,-29.599,-21.038,-13.219,-13.816,8.525,2.035,10.259
49.786,67.565,10.757,1.934,2.551,-31.727,-13.294,-31.234,-25.788,3.648,-14.417,16.525
48.741,68.078,34.029,-25.492,12.114,-24.004,1.276,-8.232,-15.701,-27.168,10.124,30.772
49.156,91.179,35.639,-9.968,22.274,-16.654,-6.698,12.988,-22.457,-35.338,-15.025,39.203
50.25,81.115,10.31,-1.709,16.63,-19.755,-3.444,-35.683,-27.743,-6.511,-1.809,3.554
50.477,87.434,6.237,-17.365,20.349,-30.315,-6.044,-11.184,-41.339,2.008,6.903,10.866
50.389,91.03,24.978,-7.563,18.542,-29.198,-2.033,-4.617,-28.407,13.169,-6.799,20.589
49.396,69.522,23.734,7.423,7.799,-27.406,16.624,-14.39,-24.836,-0.103,-3.91,21.179
49.684,89.133,12.416,-21.533,18.414,-22.238,8.619,-5.59,-24.789,-2.983,2.803,21.825
49.423,75.042,-1.95,-0.497,6.854,-22.024,-2.607,-29.616,-20.71,-1.36,-11.21,2.212
49.54,83.755,7.042,-14.846,17.87,-38.981,11.181,-16.859,-23.663,-3.315,-4.434,9.271
49.817,79.669,9.584,-9.073,3.341,-29.762,-12.042,-18.788,-28.268,-7.099,-8.04,3.467
48.213,60.271,34.806,-36.769,11.318,-17.628,-4.318,2.975,-20.124,-31.629,-3.237,4.501
49.651,79.764,17.179,-27.286,31.977,-12.956,2.377,-7.979,-32.699,-20.576,3.019,5.5
50.292,86.557,21.707,-14.962,24.756,-29.984,7.996,-17.095,-22.147,16.324,-9.962,9.872
49.514,63.54,22.004,-4.922,27.827,-16.256,-10.082,-26.969,-23.432,-14.112,-1.182,18.449
49.173,65.294,21.449,-26.606,28.564,-17.841,-7.569,-2.764,-16.549,-18.941,3.015,25.921
49.148,55.248,23.417,-18.485,16.566,-28.802,-23.001,-8.097,-13.785,-17.784,1.777,28.509
49.736,82.735,7.781,-26.731,35.153,-26.829,-6.257,-3.096,-30.568,-28.885,9.745,12.766
50.178,86.575,22.908,-17.538,35.484,-34.431,-11.558,-10.623,-10.853,12.077,-2.326,10.539
49.509,69.04,9.323,-2.309,1.502,-27.89,-9.467,-33.705,-30.008,0.831,-10.977,20.355
48.345,72.333,36.545,-29.414,4.018,-27.113,-4.778,-0.977,-21.913,-34.551,12.851,27.771
48.711,97.423,31.098,7.755,18.971,-39.71,-1.31,-20.88,-43.698,-6.475,15.788,27.97
50.429,82.022,9.818,1.124,15.177,-27.394,-7.752,-32.587,-24.835,-4.739,-0.621,-0.162
50.571,88.794,7.291,-16.084,18.107,-32.102,-9.609,-7.737,-45.538,6.429,7.306,19.057
