0,1,2,3,4,5,6,7,8,9,10,11
0.046,170.27,8.444,-29.827,56.546,-50.125,15.05,4.365,-27.31,1.175,-10.661,-6.587
34.565,120.3,-13.227,52.928,6.51,28.076,36.569,-14.955,-32.098,43.483,34.369,15.087
38.619,90.479,45.927,-86.412,-3.144,-23.209,26.853,-8.477,-10.882,2.099,-38.178,26.724
40.678,52.219,-36.431,19.864,-11.124,0.601,10.378,6.565,-18.697,-0.774,-31.846,28.641
41.782,83.476,-27.716,-24.906,-11.032,28.282,28.475,-8.157,-21.321,9.813,13.985,23.673
43.295,102.429,-21.409,20.6,-9.106,-27.628,10.168,-16.405,-21.258,-0.25,-21.254,25.836
42.672,95.846,-37.162,5.481,-2.169,1.141,20.424,-14.027,-23.846,19.127,-0.295,25.819
42.019,94.771,-36.766,34.689,-9.663,-7.314,-0.516,-2.653,-24.285,11.805,-48.71,30.102
40.492,90.514,-1.443,-90.05,4.534,51.73,52.64,-2.497,-10.647,-32.29,6.409,12.463
42.63,76.665,-25.305,15.412,-3.486,-51.803,18.56,-4.213,-5.138,2.536,-10.695,64.614
38.744,102.666,-18.503,25.78,-36.83,-48.86,19.69,-12.486,-33.806,-15.763,-13.503,31.585
43.449,102.328,-32.732,5.044,-14.329,-9.132,18.495,-14.776,-17.171,17.967,-1.947,31.844
40.093,76.694,-49.766,21.06,2.048,16.755,13.317,4.804,-6.889,-19.343,-59.765,13.271
40.235,77.698,-34.926,-31.713,-6.16,59.452,33.206,-18.034,-34.675,10.407,35.814,-3.168
43.201,123.799,-32.764,-12.685,-1.827,-21.425,6.343,-6.733,-1.202,-3.558,-7.689,15.764
40.693,85.46,-59.357,62.206,-6.192,-11.335,-11.955,-2.542,-15.152,-4.688,-65.834,26.916
23.533,67.412,-4.404,56.963,-21.668,-28.754,-15.825,7.544,-27.878,1.116,-23.043,-1.449
20.79,90.441,-23.341,54.173,11.293,-50.447,-15.517,-21.492,-26.27,20.37,-9.313,-10.005
29.973,82.144,66.802,-175.06,3.778,65.784,50.627,11.363,-27.163,17.671,-20.634,18.777
39.456,89.136,-14.15,11.173,-41.798,-13.58,-7.521,11.67,-46.79,-6.626,-10.353,24.555
40.034,110.072,-10.946,16.285,-15.793,-27.691,-17.666,-16.282,-39.637,-1.432,-2.068,5.618
38.739,78.929,-30.895,18.777,0.261,-38.716,-4.559,-14.581,-39.377,12.028,-5.483,20.429
42.139,93.512,-36.166,4.336,-12.653,-3.473,7.569,-15.092,-29.442,17.528,-5.831,20.445
42.772,98.53,-39.47,-19.612,-10.003,-20.288,-7.254,-6.009,-13.586,10.843,-2.748,24.705
