0,1,2,3,4,5,6,7,8,9,10,11
0.049,170.518,10.794,-29.442,57.953,-50.807,16.297,3.951,-27.093,0.627,-9.244,-7.056
2.192,138.441,41.72,-14.221,86.832,-48.243,46.436,10.75,-22.033,9.469,-8.517,-3.047
4.222,108.374,68.602,-20.203,103.708,-46.53,52.566,-0.316,-31.226,6.622,-5.29,-2.704
9.251,72.766,135.568,-27.529,94.446,-38.952,51.819,-11.367,-39.612,3.37,6.974,-17.097
18.417,57.175,165.913,-28.053,54.794,-30.682,34.931,7.431,-17.015,6.395,14.192,2.981
27.519,78.654,139.002,-22.384,38.372,-28.353,40.89,-1.659,-7.956,8.424,1.182,10.255
43.519,85.326,99.728,-183.837,21.951,21.215,43.442,22.247,-14.778,33.874,0.537,9.342
55.732,87.567,33.089,-3.707,35.325,-32.892,-18.789,10.408,0.205,8.398,-9.492,-2.717
55.251,95.063,17.452,-8.423,21.185,-5.225,-0.34,10.339,-4.661,8.05,-21.585,6.058
54.499,87.022,18.459,7.444,28.913,-11.922,-0.447,-8.854,4.5,13.054,-21.125,-11.648
54.183,44.521,5.942,-9.692,10.961,-30.931,3.907,2.688,12.921,22.347,13.808,-11.332
53.838,61.428,40.488,-20.46,36.314,-8.757,0.666,2.848,14.326,-12.591,-16.935,0.99
55.465,59.982,-24.006,12.718,12.597,-52.823,-8.326,-5.023,0.197,-20.405,-24.971,3.41
55.16,78.936,29.489,1.32,30.536,-24.829,-12.7,-5.05,2.644,2.988,-4.693,-27.376
53.905,33.737,40.69,-4.124,25.97,-27.83,-4.684,-6.25,-6.107,-3.517,-2.909,0.542
53.107,24.95,-21.117,6.738,-9.225,-68.886,-7.006,-12.9,8.768,17.791,-3.478,-2.82
52.591,58.43,11.239,-5.552,30.536,-10.977,-8.828,-1.889,-1.865,4.684,-18.389,-7.272
53.075,50.842,-9.369,-21.377,30.561,20.527,6.508,29.771,15.851,-18.102,-26.433,-0.103
54.565,98.456,14.893,-13.698,24.708,-7.868,6.291,-8.912,12.017,2.789,1.383,-8.621
53.489,41.35,-4.326,-17.409,-3.215,-23.189,8.03,-15.488,11.985,12.636,12.534,-9.359
54.165,49.431,51.327,-40.705,27.298,1.203,-14.099,3.638,-0.274,-10.802,-4.742,-1.395
55.964,68.873,-8.84,-5.357,12.592,-38.871,-5.252,-4.631,-2.361,-8.059,14.107,-5.92
53.956,45.706,-16.98,-21.677,19.151,-50.652,5.048,-14.796,0.794,1.825,-18.867,3.571
53.442,86.364,-26.008,-46.456,15.996,-69.221,-7.932,27.028,16.936,-7.737,-9.209,0.734
54.726,84.401,13.948,0.772,42.84,-29.43,-22.82,8.417,-6.872,9.76,-13.069,-3.261
55.537,79.733,-32.71,11.456,3.776,-50.258,-15.61,13.38,-4.365,-11.023,-22.653,1.673
53.734,72.797,-1.918,17.441,25.585,-5.164,-31.624,-2.626,-1.452,18.133,-19.082,-1.2
53.131,50.97,-23.246,1.759,-4.029,-24.728,-10.282,-4.872,10.643,7.231,2.869,-4.869
52.856,65.852,14.83,-28.032,18.231,22.701,-10.679,4.717,7.543,-4.8,-11.183,0.953
54.872,66.234,-37.184,20.643,25.492,-28.352,-8.884,4.236,-0.77,-3.113,-4.18,-5.698
54.047,71.905,1.25,-14.14,20.52,11.785,-9.118,-12.526,-2.891,-0.747,7.258,-10.015
53.983,71.552,24.591,-8.65,18.119,-21.614,-8.342,2.862,-1.012,8.16,-9.05,4.631
55.716,76.801,-28.505,14.323,12.288,-43.585,-13.599,5.703,0.73,-5.792,-21.523,1.435
54.415,92.199,23.956,-8.315,13.52,-10.889,8.566,-11.433,3.054,3.269,0.508,3.546
54.669,58.488,-21.209,-2.231,-4.064,-52.587,-6.125,-14.691,-4.869,-11.857,-17.402,-3.605
54.996,97.882,36.615,-12.533,13.662,14.299,4.642,-2.363,3.634,-0.476,-1.398,-1.551
55.81,76.992,-13.913,-15.537,-4.053,-57.538,2.782,3.017,-3.9,-11.876,-4.123,2.129
55.417,70.223,-27.586,-2.222,16.793,-42.357,-2.179,2.21,-5.513,-19.806,-6.124,6.83
53.923,6.958,51.647,-13.556,17.579,-36.422,34.314,5.53,-14.413,-7.256,-12.617,-26.893
51.113,19.814,78.8,38.488,79.819,-27.171,32.192,12.406,-19.99,-5.137,-44.864,-22.383
48.317,86.991,40.427,-81.684,43.751,42.372,-15.28,33.694,-9.351,-1.348,-33.329,18.052
47.286,71.835,-7.346,-162.13,23.747,18.618,-50.668,60.538,19.092,-4.548,6.804,-10.241
52.896,139.832,12.716,-23.698,47.815,-13.941,-62.22,-38.806,-7.474,22.21,-27.838,-25.208
47.64,-22.422,-32.018,-4.095,3.238,-70.381,-1.209,9.993,-7.982,7.588,-3.607,16.426
47.701,142.518,-7.484,-31.601,37.118,-49.622,4.009,46.159,-0.441,-49.808,38.63,6.865
51.526,43.734,-32.248,3.207,13.06,-58.923,-15.422,-14.975,-27.455,3.344,-43.682,18.105
51.606,-14.933,24.61,-14.919,47.203,1.598,-3.484,28.926,-14.204,27.969,21.545,21.532
54.239,79.342,-12.384,-10.554,22.758,-40.023,-23.12,18.794,-23.28,23.869,-15.678,-11.623
48.054,83.317,24.312,-40.553,84.891,18.301,32.236,-35.264,-35.841,42.465,-47.526,-4.33
45.405,-73.644,31.662,4.982,88.854,-53.476,-13.545,13.513,-9.894,18.68,-13.016,21.364
50.456,61.124,-24.238,55.148,41.039,-57.38,-22.018,67.946,-4.98,18.829,-22.447,22.215
42.487,-24.608,-52.811,7.84,66.479,-24.263,-24.054,-13.47,-19.807,-3.399,-4.369,4.504
49.589,61.569,-23.793,-52.239,7.301,21.375,-24.195,14.782,-19.086,-7.382,25.381,-30.317
49.882,21.356,14.551,15.17,48.706,7.848,-35.773,6.188,-14.655,10.67,-57.659,-27.211
41.321,38.725,6.413,40.784,19.467,-24.004,-26.331,-48.629,-40.344,39.83,20.356,-4.588
48.36,16.65,68.483,-56.225,57.587,0.964,27.626,-44.046,-14.063,31.195,-21.058,1.726
53.547,4.927,6.133,28.67,36.594,-66.205,-5.214,11.638,-15.37,16.059,-22.889,5.713
48.22,74.564,-11.566,48.859,57.561,-52.006,-17.535,37.154,-18.078,-65.514,-6.63,-3.341
48.49,80.805,29.523,-66.261,67.145,30.547,26.382,-54.742,-51.472,16.591,-33.982,2.197
50.189,-1.764,27.963,29.707,56.557,-15.155,-38.641,-12.271,-27.041,-12.472,-39.241,-8.616
40.287,-86.553,-35.508,23.808,50.197,19.505,-7.291,-8.568,-26.664,-21.474,-10.769,-6.319
45.802,-16.408,58.025,-161.784,28.936,53.843,21.824,48.844,-3.998,-39.232,-24.343,1.769
50.07,92.506,-11.107,-52.287,-11.916,-2.626,-38.228,46.267,13.762,-31.7,25.289,-29.651
46.185,51.875,-116.528,87.931,-21.332,-37.172,-40.49,-60.799,1.671,19.24,-47.586,-15.325
49.827,21.267,5.776,-31.178,57.062,78.322,9.295,0.461,-2.731,-5.299,26.934,-31.409
49.765,9.099,69.83,-54.408,77.973,-16.567,15.98,-3.464,-31.875,15.77,5.496,8.585
51.646,-11.111,-15.524,80.671,38.546,-74.883,9.184,16.273,11.062,4.461,-56.344,10.481
45.057,42.917,-13.352,-70.129,20.688,21.204,41.646,13.737,15.765,-16.237,-43.013,11.911
43.862,107.183,-4.883,-58.01,-4.895,-31.535,25.536,30.231,-16.593,-35.621,1.381,12.802
50.476,82.251,52.425,-56.718,23.325,-0.343,44.187,-0.018,-23.696,13.243,-32.18,1.587
51.702,82.308,-13.074,-33.389,28.852,48.693,-0.296,32.321,-4.167,11.933,-10.599,0.292
50.511,79.574,-26.862,-97.341,35.258,27.623,-42.95,65.797,24.478,-19.33,22.664,-20.939
53.902,122.343,-0.739,-42.061,36.509,-14.484,-45.911,-43.515,-3.402,31.287,-30.535,-29.023
48.429,-2.786,-19.648,3.002,2.819,-24.724,20.192,3.473,-9.026,22.345,9.132,6.835
46.379,-38.736,-14.862,-6.193,12.207,-57.467,13.605,-11.136,-9.388,11.065,5.106,19.862
47.622,117.606,-26.204,-44.254,-7.373,-43.485,-2.767,43.671,17.175,-26.54,13.526,14.511
51.304,66.638,-19.146,11.952,5.988,21.994,9.989,-35.076,-17.929,44.091,-24.216,21.127
50.246,-7.987,-15.91,0.623,7.255,-13.2,-23.208,-2.19,-13.9,27.212,-6.375,-0.355
50.4,-22.268,35.989,-78.855,80.184,-26.907,27.66,7.254,23.171,9.084,-14.952,1.905
51.208,-3.27,18.613,14.452,68.868,-11.1,8.971,4.09,3.144,-22.898,-31.036,-21.091
51.293,69.274,17.564,-70.435,38.319,25.879,-0.186,4.139,-5.442,8.726,-10.926,-16.808
52.106,72.828,-32.396,60.496,5.912,-22.891,1.501,7.984,-2.538,24.529,-12.352,6.236
54.04,40.255,54.404,15.33,43.069,-14.617,45.835,-14.296,-8.116,49.532,-15.128,-1.359
51.921,-32.869,41.112,20.063,73.982,-29.754,25.868,10.294,9.681,0.472,-42.843,-15.386
51.639,-26.659,34.704,-12.208,73.052,-13.524,-20.304,20.894,5.53,-8.725,14.128,-17.286
51.334,75.313,-30.913,42.682,0.468,-88.286,8.951,38.255,-10.103,12.219,-23.174,18.813
47.078,24.018,-29.313,-9.185,35.175,11.504,-30.945,-9.918,-18.688,8.584,-43.954,-6.979
49.127,-12.146,35.857,-98.535,43.814,38.294,36.043,25.0,-25.498,-8.062,-39.798,14.318
51.026,66.944,17.073,-62.764,18.561,12.529,2.322,0.82,5.929,12.842,-4.065,-15.182
51.683,160.729,-56.765,-61.192,3.684,-13.865,-82.243,-26.458,6.042,2.689,-6.284,-17.155
50.903,86.724,-53.032,60.008,12.109,6.49,0.203,2.739,-5.681,14.146,-53.499,13.272
43.441,6.578,-12.093,13.078,11.546,-31.834,34.404,-29.364,-9.847,18.277,9.277,-2.23
50.641,33.86,24.355,-60.695,33.644,22.465,53.331,-33.248,-1.593,10.869,-14.896,1.123
53.302,33.134,21.963,-17.39,94.33,20.096,4.089,15.788,12.441,-10.527,-14.434,-26.861
51.101,101.536,20.001,-112.344,26.646,12.428,2.407,-46.442,-25.781,26.685,-16.578,-20.226
52.407,78.806,24.847,61.002,8.441,17.232,-45.593,0.63,-32.858,5.572,-31.015,-29.504
52.301,-14.281,4.171,-15.528,40.789,-8.259,23.714,15.284,-24.9,16.965,-5.706,-2.851
56.488,168.776,37.173,-13.757,-1.989,-27.98,-72.966,-3.305,-21.189,-25.418,6.528,-14.223
57.08,124.347,-22.364,-21.599,-18.879,-43.36,-32.355,-7.147,-12.272,12.247,-12.015,-3.846
56.255,93.015,-8.818,-37.363,5.603,-18.658,-22.183,-12.16,3.275,3.301,-12.042,-12.646
56.082,76.666,-8.373,-23.706,-20.17,-4.322,-32.002,-17.603,-28.498,4.407,-15.288,-15.757
57.186,40.859,-21.842,-32.345,51.11,-50.446,-4.008,-4.961,20.035,-0.471,-3.727,-5.563
55.356,43.155,0.209,19.808,35.351,-57.496,-3.273,29.359,-15.45,-10.037,-11.59,-5.22
54.116,126.297,-25.118,-50.579,23.326,-23.433,-11.768,2.551,-11.643,25.42,-18.415,7.319
55.873,6.336,24.637,-25.68,17.603,-41.137,11.048,-18.062,-17.403,43.453,-22.73,-25.321
54.815,19.609,33.112,39.41,19.559,-29.079,-5.271,16.749,-25.108,-2.782,-38.102,-30.117
54.04,83.064,-40.614,-13.642,40.178,-25.935,3.817,11.211,-9.151,6.814,1.764,-9.065
55.089,51.568,-16.216,-24.517,11.119,-28.29,-21.165,32.001,-15.899,-7.7,-6.817,-8.17
52.863,33.382,-21.205,-2.144,11.57,-43.417,-29.062,16.59,-19.776,11.622,-16.961,-3.803
50.133,41.029,-14.329,-53.367,-18.534,-20.674,18.011,19.036,-6.465,-2.702,-20.08,-6.038
53.03,82.359,-46.705,-10.615,0.31,-42.606,-10.401,-6.608,-11.609,-17.768,6.066,-10.487
55.106,49.032,28.986,-15.574,19.744,28.165,27.408,30.78,-0.084,3.877,-41.041,9.659
56.624,58.282,-16.914,-37.908,17.631,-9.757,-13.716,5.372,-7.241,3.683,10.047,-22.206
54.886,18.166,1.164,-0.455,21.284,0.946,1.798,11.635,-35.814,17.549,-29.514,-19.282
54.33,12.91,-15.387,23.46,32.088,-11.799,-2.701,37.685,-25.578,7.621,5.31,-15.287
52.99,82.952,-46.66,-42.123,19.64,-23.725,7.909,-46.963,-13.088,-0.773,-17.416,1.134
54.768,77.342,-17.81,6.456,24.693,-11.493,-20.925,-31.92,-7.179,2.402,-26.102,8.73
54.915,112.343,-10.091,-43.601,0.014,-10.73,-28.525,-13.382,-2.891,15.903,-7.099,-3.614
53.968,60.848,-16.507,-37.906,11.722,-13.533,-14.862,-6.423,-13.344,10.926,-28.417,-11.35
51.65,50.384,-35.374,-15.593,-21.743,-57.454,4.004,-1.338,4.167,5.396,-7.935,12.659
51.059,51.536,12.394,-38.562,-2.299,-36.052,2.343,1.608,1.164,8.007,-4.243,0.957
53.98,54.892,-12.905,-48.002,21.764,-6.293,-8.292,25.217,-18.213,7.809,-22.305,7.675
56.565,51.827,-20.797,-19.864,30.043,-9.386,-2.854,-10.032,-15.666,6.765,-3.389,-9.928
56.445,25.95,31.208,7.463,50.659,-11.54,-7.289,12.801,-5.303,-9.119,-14.049,-42.28
55.579,85.507,-12.047,-14.662,-3.895,-17.814,-31.241,10.942,-17.221,-3.498,-1.9,-15.263
53.51,70.614,-28.609,-9.544,-3.857,-31.429,-18.22,-5.52,-38.063,17.508,-7.17,-4.2
54.747,72.848,-23.152,-65.303,4.859,-5.312,-32.147,21.362,-23.552,-2.621,-8.042,-10.322
54.363,39.433,-29.7,8.894,32.028,-22.486,-44.328,18.208,-25.275,13.068,-3.524,-12.349
55.566,68.834,25.107,-35.174,-8.186,11.08,11.823,10.014,-14.359,11.507,-0.484,-35.707
55.91,70.014,-8.033,9.424,5.566,3.264,-42.887,-34.698,-4.68,0.616,-4.712,-16.667
55.757,39.172,11.49,-40.34,20.298,5.024,22.304,37.01,-10.728,1.37,-20.608,7.865
55.301,81.666,-1.753,-20.875,26.757,-24.751,-6.548,25.232,-15.086,39.751,-28.781,-7.835
56.065,15.077,12.469,-5.118,37.542,-27.567,6.175,-0.992,-6.111,42.545,-25.173,-12.494
56.351,44.659,-26.794,12.878,39.679,-15.547,-25.645,13.937,-22.967,-18.831,-24.72,-5.108
53.312,44.252,-21.446,-17.305,-1.421,2.014,-7.263,13.818,-28.181,6.062,-16.657,2.577
55.546,71.524,-35.26,-35.769,3.61,-2.415,-12.805,-2.241,-5.84,5.095,13.454,-2.998
56.613,75.827,4.307,2.824,-9.683,-15.905,-43.41,7.41,-21.915,-7.788,-9.002,-37.15
55.344,53.9,-10.664,15.474,50.673,-21.477,-12.005,-16.881,-19.691,1.146,-21.416,-23.667
56.409,50.654,14.597,-20.231,35.019,3.971,-1.355,32.87,-20.429,7.843,-6.407,-14.798
55.421,104.043,7.426,-69.157,2.874,-15.593,-23.115,0.515,-17.356,15.894,-12.026,-12.377
55.977,89.009,7.501,-40.452,13.467,-22.134,-17.422,-2.997,10.391,15.764,-31.951,-6.905
56.787,23.444,44.305,7.995,40.788,-41.416,10.781,13.527,-16.935,1.303,-8.555,-19.469
54.226,82.65,-7.974,-36.14,12.612,-39.016,2.058,15.228,21.845,-21.716,-0.195,2.075
57.926,26.659,18.554,-10.466,31.251,-31.11,17.224,-1.387,-13.597,-5.494,-1.387,4.242
56.482,88.917,35.433,-10.832,9.15,-15.805,-37.989,5.948,-12.459,-16.001,-2.32,-18.665
56.286,98.845,-0.577,-47.856,22.585,-21.96,-46.774,2.092,9.888,7.544,-9.66,5.24
56.356,97.159,-29.634,-19.933,-3.947,-46.683,-22.37,-53.879,5.84,1.65,-11.406,-8.675
55.857,-7.733,39.29,-3.878,53.069,-34.769,5.954,-2.091,-10.948,12.353,-6.041,-14.305
56.707,60.315,21.732,-4.099,10.368,-21.827,-36.646,1.473,-2.607,-2.178,-8.263,-24.76
54.737,46.039,5.478,-28.252,20.986,-13.299,-17.252,8.283,-9.157,5.5,-6.018,-20.687
56.364,65.021,-31.88,-25.466,14.686,-36.805,-18.355,17.325,-2.384,-6.092,-14.922,-14.031
55.947,56.407,-6.316,-10.792,31.084,-17.971,-4.536,-26.244,-19.515,2.943,-18.874,-12.943
54.941,-15.718,15.614,-21.877,60.539,-68.423,24.65,7.295,18.747,34.842,-21.712,-8.62
52.829,33.106,-6.617,-49.764,36.69,-25.755,2.916,20.9,9.813,-11.724,-2.54,-1.791
55.929,62.998,-41.931,-28.201,1.596,-41.623,-17.351,-1.095,-4.52,-14.68,7.869,-4.967
55.087,-14.515,12.064,11.381,63.885,-39.63,-7.368,-2.153,-1.862,11.862,-18.253,-6.895
55.672,-5.057,7.652,-34.043,73.049,-37.242,13.797,0.184,9.676,-10.701,8.867,-2.977
56.799,12.657,17.479,7.697,52.876,-42.261,14.515,-15.134,-8.98,14.046,-17.844,-20.726
56.389,38.701,27.224,-7.693,53.099,-39.137,-16.528,-16.533,39.906,9.528,-3.141,-14.971
57.477,52.062,0.843,-2.551,-0.491,-42.329,13.63,9.62,-27.03,-21.545,-16.839,-8.008
56.757,47.021,26.021,-2.454,29.052,-5.11,-0.592,-20.631,-13.011,10.984,-20.664,-22.099
55.211,34.209,-8.898,5.342,72.76,-36.786,-2.448,10.495,16.087,-2.426,-23.722,-23.124
54.285,78.865,-15.822,-37.022,21.817,-26.501,-7.285,-47.848,-3.098,13.035,-16.161,-0.172
54.579,25.123,-7.21,-24.098,13.538,-25.466,-7.399,-8.524,-10.127,-15.92,0.93,23.794
56.423,61.153,7.723,-40.419,20.804,-20.86,-55.115,18.119,1.447,3.655,7.596,-40.624
57.412,66.738,5.889,-7.871,14.549,-25.931,-47.792,-3.493,7.944,3.372,-6.925,-20.331
55.086,102.381,-34.64,-40.649,-3.856,-27.056,-21.112,11.049,17.873,-6.327,-3.327,12.186
54.394,103.234,-24.814,-19.161,-7.987,-51.811,-17.737,-1.966,15.708,22.145,1.032,3.432
53.569,81.045,-11.173,-24.274,15.266,-44.713,-22.265,-6.564,14.465,21.878,-10.527,-10.673
54.874,78.386,14.385,-66.918,21.806,-21.09,5.306,-42.716,-10.086,17.397,-21.731,-29.04
55.082,92.709,-11.942,-6.415,-11.255,-21.533,-37.504,9.54,10.983,-11.643,-21.475,-29.246
54.617,105.336,26.802,-54.439,4.469,-21.939,-36.189,-19.904,-7.153,15.462,-11.412,-12.902
54.618,100.232,3.462,45.956,48.302,-9.227,-56.79,10.954,-18.978,-11.807,-58.456,-19.607
53.973,0.338,77.589,-8.385,112.139,-2.598,21.36,26.023,-39.264,23.051,26.814,-0.953
54.093,10.564,89.835,72.687,121.045,-7.235,21.682,-20.524,-11.291,-27.717,-38.614,6.544
51.488,31.848,32.159,-142.529,26.858,29.847,9.473,30.528,11.968,-29.767,7.612,10.249
57.614,67.627,-12.423,-18.944,6.832,-46.966,-6.973,-1.547,0.62,-0.635,-7.73,-1.69
56.062,69.196,16.835,-34.374,-2.582,-20.269,-25.842,-4.661,-7.321,5.493,-17.392,-7.226
56.14,70.31,13.711,-70.972,5.927,-24.7,-10.359,-3.945,-9.823,-1.905,2.543,12.799
56.809,74.121,12.875,-7.984,-4.709,-15.431,-12.605,0.454,-11.953,-6.122,-9.475,8.73
55.962,51.095,25.92,-13.755,1.191,-15.499,5.196,-1.499,-8.597,-5.617,1.435,-3.411
57.181,68.992,12.644,-12.949,-2.192,-17.398,6.536,0.387,12.376,-8.33,12.494,0.338
55.419,45.78,1.432,-14.125,3.892,-24.569,-4.2,-10.093,4.776,9.511,-14.893,11.467
55.44,51.301,-35.875,-5.155,7.622,-13.893,-0.479,-0.638,2.928,-7.34,-4.987,2.54
55.231,59.276,-3.096,-26.462,1.628,-10.019,7.89,-12.31,10.278,5.22,8.974,-1.611
56.014,53.868,12.418,-25.359,-2.466,-22.279,8.678,2.005,13.894,-6.211,1.47,-11.847
57.233,72.154,48.406,-31.097,6.784,-4.835,-7.39,6.263,5.252,-23.037,2.813,-1.409
57.66,82.483,13.511,0.222,8.076,-37.829,-9.48,-21.929,-1.849,13.697,-14.032,4.463
56.366,99.463,7.473,-35.837,-10.954,-46.24,6.207,13.107,13.803,-10.991,-7.112,6.813
56.602,80.69,26.245,-12.139,17.907,-42.606,-11.844,2.569,-6.497,8.72,-4.766,3.858
56.736,67.093,-17.151,-0.927,-0.359,-39.954,1.353,-2.864,-4.907,-11.149,-14.218,4.542
55.713,52.407,18.459,4.82,5.002,-37.423,10.843,-2.112,3.256,16.744,-16.189,9.798
56.316,75.067,17.222,-43.229,-13.974,-18.923,9.731,19.881,2.575,-4.734,18.798,0.429
57.285,103.383,19.285,-1.594,-9.539,-24.987,6.649,-27.207,-0.5,6.4,-6.696,16.09
56.9,69.02,-2.402,-11.107,0.821,-48.577,-3.576,-2.503,-7.877,-10.009,-7.819,-1.639
55.79,55.008,25.064,-14.886,-1.259,-40.265,-1.906,-8.519,-6.72,-4.306,-4.742,-0.142
56.743,58.197,2.328,-24.259,-8.605,-48.577,-0.795,-11.427,6.579,0.507,-10.593,-3.61
55.941,50.914,12.385,1.452,18.806,-36.747,-19.903,-2.603,3.498,0.01,-19.86,8.478
56.597,63.52,-25.898,1.782,7.371,-40.413,-14.572,-15.453,-3.88,-4.811,-23.169,5.882
55.842,60.019,10.482,-20.416,-1.952,-29.146,-5.152,-5.927,0.25,4.945,-11.713,13.868
55.361,49.536,-22.649,-11.419,1.287,-29.793,-1.767,-10.696,-0.761,-9.261,-2.607,3.477
54.973,58.871,22.625,-52.687,14.086,5.854,2.457,4.305,4.134,-16.674,-5.137,-4.698
56.076,72.319,-8.33,-20.009,5.633,-47.817,-2.399,-8.949,-1.622,-14.374,-2.533,-0.831
56.267,59.242,-27.955,-10.011,15.177,-51.872,-18.527,-14.069,-4.999,-18.338,-5.679,11.033
53.9,8.387,-13.402,-24.476,30.104,-54.081,2.19,3.205,-18.938,2.231,1.158,13.862
54.749,44.362,-22.434,-8.731,22.242,-26.582,-26.565,-10.366,-15.428,4.013,-5.886,-6.915
55.006,91.189,-45.554,-14.856,5.294,-29.185,-38.658,27.697,-5.941,-1.358,32.367,-16.015
53.154,127.125,-30.075,-38.185,-10.356,-44.768,-67.611,-21.002,-8.391,-7.444,-1.023,-4.345
53.322,68.547,-22.572,-27.807,-30.241,-27.96,-42.215,-19.13,-25.721,15.228,-1.118,-32.446
53.663,73.3,3.464,4.359,21.48,-40.934,-47.784,25.096,-36.675,4.985,-9.262,-2.151
55.526,70.529,-38.068,-16.409,16.376,-36.971,0.441,-10.289,-26.072,4.346,1.193,-4.934
54.152,58.185,-26.045,-6.87,50.046,-33.121,-3.342,26.647,-33.413,-0.479,-32.085,-5.493
52.995,-7.998,28.456,19.067,26.29,-42.438,30.561,4.122,-21.964,33.112,13.812,-29.448
50.485,0.268,60.676,30.519,70.54,-16.904,50.564,21.933,-7.285,0.182,-50.236,-11.648
51.324,45.979,26.031,-56.8,62.59,78.5,26.761,25.6,-8.29,2.728,0.098,-10.077
