0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
41.922,60.753,108.623,28.069,45.291,11.151,12.872,-8.437,-11.417,38.304,48.21,-20.09
43.265,36.338,104.691,20.056,43.883,-36.597,-5.707,-11.997,-5.52,-1.692,1.069,0.51
42.438,36.14,109.22,21.558,56.696,-32.762,-5.147,-11.365,4.011,2.885,-9.533,1.939
42.778,40.725,113.721,15.824,51.237,-38.598,-11.538,-9.891,-1.384,3.433,-1.665,-1.406
42.195,20.541,95.13,4.725,50.538,-26.89,-20.146,-5.446,-0.706,-5.688,-5.185,-11.089
41.42,16.683,110.426,-14.715,58.838,-27.341,-15.813,6.152,1.849,-9.381,6.648,-3.581
42.565,37.373,101.069,11.06,41.782,-30.154,-11.585,-7.764,-12.461,-2.554,4.407,10.032
42.724,45.547,99.726,23.511,51.275,-31.879,-4.232,-17.58,-5.217,-5.18,-4.038,3.741
42.766,35.35,106.092,5.328,48.549,-32.541,-8.182,1.402,-9.386,-4.422,2.049,10.977
43.232,49.942,94.755,14.989,41.033,-36.968,-8.574,-16.338,-9.285,-6.35,-5.492,20.023
42.097,22.273,106.037,4.74,48.376,-31.977,-18.338,9.377,1.174,-3.619,-4.303,-12.538
44.446,-2.572,-26.118,-22.21,-4.993,10.773,4.276,-13.884,-1.544,-3.073,7.383,-10.121
48.416,-5.293,-2.669,-79.27,-17.301,-46.72,1.92,0.716,-10.541,22.562,-28.633,10.25
48.908,-11.232,20.909,-32.846,6.09,-16.3,-0.925,-2.279,-5.742,2.579,-12.197,-7.238
51.667,4.964,41.357,-35.583,1.756,-12.53,26.751,34.835,-7.632,-4.114,-2.643,-3.407
52.535,39.495,40.758,-12.192,12.426,-35.121,22.014,-3.297,-5.869,6.91,-6.314,-2.232
53.339,10.055,41.424,9.425,22.818,-38.347,9.563,9.835,-12.937,6.954,7.636,6.676
52.461,24.517,59.607,7.187,22.646,-43.715,20.099,5.332,-9.746,9.674,-9.928,6.697
53.384,10.13,33.46,-1.403,14.429,-57.5,4.7,10.87,-8.159,2.42,0.05,15.858
52.899,20.147,54.807,2.562,16.111,-40.386,28.896,17.397,-2.771,3.722,2.694,-2.056
52.464,16.171,62.178,-6.26,14.057,-33.612,28.743,10.726,-3.532,8.857,-6.022,-3.9
53.845,9.966,35.676,0.125,16.037,-61.49,-3.735,0.067,-12.798,0.912,-3.125,10.636
52.128,17.648,39.291,0.104,-8.65,-67.155,30.691,13.913,0.816,3.937,-10.531,-8.66
52.594,18.517,53.163,-6.369,22.413,-22.707,11.725,5.88,-3.885,2.857,-4.268,-2.866
52.739,11.077,32.063,-2.419,-8.874,-52.872,11.84,4.228,-6.234,9.408,-3.657,-8.234
53.286,23.516,38.174,-11.49,15.863,-21.369,10.347,-1.56,-11.581,-0.495,-6.372,1.167
52.092,-3.855,29.052,-0.849,-0.347,-57.028,9.718,6.296,3.661,10.254,-3.638,-22.498
52.122,23.986,49.464,-21.066,16.846,-26.324,9.365,6.154,-5.778,4.843,-5.362,-14.335
53.292,10.972,32.577,-6.873,26.203,-34.168,5.826,5.305,5.438,12.943,7.046,-6.603
52.781,24.826,52.007,-7.868,15.726,-40.959,10.598,3.201,0.811,0.656,-5.114,-8.934
53.44,9.637,25.277,1.439,12.417,-29.948,7.234,-1.158,-18.031,8.826,9.423,16.069
52.498,1.171,44.831,-7.004,6.097,-27.449,16.718,4.64,-7.817,5.359,-11.157,2.07
52.838,15.167,44.307,-18.456,6.727,-25.452,22.529,13.376,-10.346,1.044,-11.428,0.719
53.005,14.043,37.077,-6.112,15.748,-22.331,15.177,6.481,-4.497,5.653,0.109,3.753
