0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
36.08,-136.244,-92.046,3.272,-9.819,-8.025,-37.175,-56.603,9.622,23.889,2.16,-3.497
44.761,-19.151,-42.38,64.475,16.393,-11.045,-69.199,-49.831,28.543,5.024,-60.986,-12.986
40.983,-32.639,-35.474,43.809,38.577,61.36,-52.915,2.659,38.473,-12.752,5.373,-22.924
31.267,-110.049,-68.89,-1.223,-19.538,-10.346,-19.655,-21.926,-5.162,11.35,-5.265,-9.17
41.9,-67.441,-33.621,47.415,42.102,65.415,-26.053,-28.66,23.079,6.694,2.757,1.132
38.224,-66.126,-67.523,109.109,39.677,102.165,-46.304,-6.945,27.278,-21.879,-26.432,-8.046
31.415,-165.124,-60.597,-16.605,-23.293,-30.248,-36.192,-32.405,-26.382,16.383,-13.027,-14.133
42.807,2.173,-40.443,32.649,-1.832,3.902,-44.623,-22.924,22.692,-2.189,-16.357,6.187
41.726,-6.56,-49.514,41.255,-14.348,1.427,-47.435,-33.139,12.588,-9.58,-15.323,-4.185
41.749,-20.261,-50.87,-10.909,-7.973,68.215,-44.63,-40.042,24.307,-35.775,19.114,-16.787
43.412,-22.046,-22.334,36.305,-5.654,-12.479,-47.374,-29.408,2.115,5.2,-50.323,0.088
28.261,-117.69,-26.534,-8.189,2.798,-33.351,-60.231,-5.056,12.187,-1.679,-12.207,-8.27
34.541,-184.995,-78.569,-4.766,-15.999,-60.87,-23.754,-47.364,-20.391,19.415,-4.322,-4.603
41.028,-106.387,-33.462,5.999,17.831,58.51,-22.969,-11.454,25.982,-31.843,22.045,-24.656
35.678,-124.112,-86.65,12.794,-16.301,-44.938,-32.282,-47.416,8.723,-4.233,-4.711,6.053
44.55,-17.109,-16.345,34.048,13.333,-11.739,-63.371,-11.019,18.505,8.261,-29.206,-19.57
33.583,-119.947,-75.836,-0.438,-29.891,-79.845,-19.358,-34.275,-24.216,25.863,-14.306,-3.846
43.571,-60.751,-14.361,63.466,6.997,-10.102,-60.906,-32.376,3.671,4.639,-43.95,-11.036
39.254,-37.417,-59.313,93.337,-11.48,-2.051,-82.59,-25.295,0.195,-7.106,-68.986,-14.521
33.748,-174.696,-77.375,-1.053,-12.275,-34.009,-37.444,-51.734,-10.982,17.468,-1.487,-6.46
40.287,-50.745,-62.534,25.758,-33.042,1.147,-59.215,-48.013,4.884,-20.217,-16.758,-20.536
42.158,-30.74,-57.97,38.663,6.564,-0.111,-58.84,-37.363,19.653,10.089,3.429,-11.878
33.358,-125.955,-66.427,-3.869,-33.775,-47.667,-40.334,-40.253,-23.085,4.736,-13.413,-5.3
42.227,-6.75,-40.742,5.987,-36.681,17.505,-66.493,-47.745,-7.007,-15.704,-14.947,-20.631
40.037,-95.088,-9.849,-92.454,-3.155,32.563,-28.517,7.737,22.713,-30.011,-24.016,-7.406
36.763,-78.5,-49.519,77.323,-25.664,-79.002,-40.027,-14.367,-11.498,-0.75,-2.79,-8.463
32.224,-131.66,-55.239,4.25,41.057,12.866,-17.995,9.743,-6.883,0.039,-18.647,-13.932
35.305,-37.095,-80.372,-20.189,14.949,-4.66,-45.647,-39.555,5.006,11.326,-6.49,-10.115
38.478,-94.071,-21.557,-157.126,18.993,-27.338,-15.41,4.195,4.839,11.61,28.427,9.972
47.573,-21.427,-32.3,-62.29,25.226,-43.142,-1.676,-10.077,7.722,11.683,-2.129,42.326
49.318,-33.584,30.7,-17.53,50.966,-17.898,12.107,17.046,-0.368,-3.877,-20.465,38.973
41.918,36.346,-103.405,-17.086,97.179,-44.492,-35.34,0.838,8.268,-22.207,-27.072,9.815
