0,1,2,3,4,5,6,7,8,9,10,11
30.419,108.539,37.432,-173.026,58.668,226.214,58.62,26.374,-18.879,71.854,44.566,-4.35
49.935,103.673,-3.004,9.431,-37.389,-47.968,0.627,6.108,-12.612,27.611,10.018,6.881
52.211,72.884,-14.814,-1.172,-0.258,-55.734,-23.984,13.055,-25.488,-16.148,-4.337,15.091
49.217,129.78,90.186,13.262,-8.072,-33.445,-7.905,2.411,-19.862,-7.345,-5.402,0.92
50.756,79.101,14.261,19.976,1.157,-2.269,-10.272,17.893,-19.541,9.125,25.334,-2.12
48.091,108.453,57.644,15.563,6.675,-35.631,-8.108,-21.727,-1.926,-4.423,0.88,8.979
52.172,90.396,16.521,4.948,-20.231,-76.222,-29.41,15.687,-17.78,-14.881,-1.733,4.153
48.233,108.763,54.285,1.402,-29.988,-25.682,2.475,-2.441,-24.625,-12.095,-2.792,-5.585
51.491,85.576,6.186,11.322,-3.587,-20.286,-17.528,21.785,-18.393,7.935,39.523,4.013
50.643,99.086,9.52,26.641,-48.468,-42.183,5.202,3.764,-22.785,20.626,12.976,-6.565
51.044,73.11,-16.352,13.866,-10.203,-36.764,-24.051,20.203,-19.061,3.928,14.015,0.433
48.819,143.175,51.66,1.686,-7.044,-34.374,-11.293,1.901,-6.316,-0.824,-6.787,-3.168
47.482,128.295,69.847,-0.933,-17.821,-25.105,0.934,5.831,-12.527,-5.656,-6.649,-4.767
50.849,69.132,-18.933,23.511,-13.39,-55.741,-33.597,4.685,-15.304,1.754,4.695,2.229
46.502,103.709,44.024,-14.683,-13.789,-31.925,1.884,-2.483,-5.584,-1.696,-0.954,1.03
51.236,69.355,-29.275,0.486,-2.441,-79.886,-26.602,3.666,-13.462,-12.153,-13.444,10.998
51.351,89.347,2.156,18.153,-9.368,-59.381,-26.73,19.78,-6.436,-13.933,-6.694,3.912
47.287,111.199,70.259,4.346,-6.092,-27.836,-3.42,-5.585,-13.873,0.658,-5.828,-3.131
49.706,78.524,0.305,25.509,-1.896,-2.735,-16.474,23.339,-17.77,5.206,24.569,-0.17
48.596,70.797,5.766,21.944,-36.935,-47.555,4.145,-3.923,-20.605,27.726,15.451,3.249
51.747,75.981,-12.467,13.508,-14.057,-70.17,-35.703,7.913,-25.469,-13.859,-14.282,21.463
48.919,144.971,64.227,3.916,-5.958,-34.072,-14.256,1.141,-11.228,-0.117,-1.36,-1.238
48.192,132.958,71.881,8.176,-4.641,-38.078,-3.311,-16.861,-9.332,-2.752,-9.488,-11.971
50.786,86.711,2.427,33.263,0.753,-24.292,-21.572,11.569,-12.552,2.744,32.296,3.796
46.733,79.847,68.799,17.149,-5.902,-31.534,-7.258,3.855,-21.092,0.87,1.403,2.17
51.237,73.399,-15.418,12.372,5.536,-47.893,-20.787,15.637,-15.552,-8.723,10.129,7.589
49.205,121.485,56.615,1.243,-5.943,-28.416,-11.939,-11.454,-15.678,-7.911,-8.149,-0.248
52.227,74.515,-0.557,5.778,-7.448,-63.51,-27.68,15.9,-16.962,-15.444,2.218,3.963
49.888,77.636,1.616,3.246,-49.981,-62.361,-9.228,10.035,-7.489,2.408,-5.539,-13.636
51.272,83.566,-21.715,19.061,-0.677,-54.349,-27.54,9.214,-13.803,-3.594,14.61,0.369
48.892,125.06,54.375,8.926,-19.888,-36.492,-11.473,-5.536,-8.053,-7.049,-8.279,-18.725
50.917,64.984,-19.454,22.476,-18.433,-69.888,-39.412,-1.56,-18.092,-14.641,-13.852,0.821
45.989,86.567,48.032,-9.28,-20.043,-26.752,-15.083,-9.822,-26.941,-2.017,-2.502,6.573
50.607,76.022,-30.256,0.022,5.455,-3.112,-23.034,6.065,-17.434,2.113,29.718,0.461
53.547,92.983,21.938,-13.469,-5.703,-57.117,-23.434,22.391,1.26,-15.844,8.824,23.843
52.559,103.179,56.992,19.088,-1.847,-46.749,-16.672,0.97,-10.238,1.667,15.763,19.438
54.196,55.911,-0.628,-10.341,7.636,-48.451,-33.059,1.639,-12.857,4.054,2.148,20.536
54.041,86.355,12.196,-13.773,19.802,-24.744,-40.738,-38.113,-25.562,25.601,-4.93,19.905
54.721,60.941,-3.309,-31.438,6.429,-23.488,-30.966,17.895,2.282,-0.417,11.631,-7.317
54.748,102.112,-32.68,-28.066,0.777,-51.021,-24.534,-2.983,-2.179,-33.85,-12.185,4.889
52.038,73.713,0.479,-19.656,-2.552,-20.029,-37.365,-1.234,-16.916,3.15,-5.412,-5.979
53.956,82.902,-19.669,-19.349,18.777,-0.432,-14.826,-49.103,-33.082,6.904,-7.412,-7.462
