0,1,2,3,4,5,6,7,8,9,10,11
19.108,-136.262,-131.645,-23.821,51.08,134.963,27.958,53.573,-42.62,148.437,-2.226,1.983
24.896,-214.74,-169.562,56.838,2.219,-106.82,-23.259,80.621,7.886,-28.121,-19.101,-3.142
24.037,-101.476,-133.232,229.061,20.069,-108.355,-91.66,173.678,8.218,-33.374,-11.466,-6.389
3.156,108.365,-46.035,-58.313,33.526,-55.01,-11.69,0.243,-35.747,-10.396,11.097,7.664
32.201,-180.676,-104.491,158.541,31.954,-71.065,-58.937,56.997,-20.745,7.074,-31.405,22.091
33.572,-149.114,-67.595,-13.399,-44.363,-33.091,-8.611,48.902,2.985,-31.188,8.862,-16.502
45.82,58.325,18.747,-64.524,42.141,-35.229,-14.784,80.533,8.934,-88.925,44.001,-22.974
49.389,-14.241,69.76,-21.131,18.222,-46.231,28.839,32.172,7.993,4.964,14.865,-24.719
46.446,29.482,87.241,170.023,37.48,-24.613,-31.057,67.793,0.593,-23.331,-62.057,-3.028
41.736,203.272,109.954,83.734,49.09,19.414,-60.103,-29.778,-34.698,21.487,-59.126,18.342
41.101,182.492,93.149,3.755,74.304,42.47,19.16,-86.713,-33.876,27.882,-103.195,13.932
47.787,92.153,-33.615,22.985,-14.712,-40.895,-23.067,100.441,5.706,-12.384,-3.448,-6.135
48.508,125.118,58.958,-22.801,35.873,80.069,4.91,-48.718,-36.001,37.06,-4.811,-9.403
49.977,47.21,156.049,35.781,57.331,-21.89,-7.508,14.711,-10.09,12.376,-3.525,-12.533
51.337,115.695,42.598,45.851,-8.421,-63.089,-50.273,-0.444,0.948,-22.827,0.365,-1.437
51.866,40.43,113.055,5.917,1.405,-20.615,27.831,-26.627,-34.246,48.727,-17.641,-17.363
49.427,48.39,6.278,138.57,6.304,-35.246,-35.987,20.291,10.776,2.245,-71.415,-1.631
44.946,54.984,88.198,-63.932,43.482,190.858,27.336,3.119,-3.28,11.026,18.277,-25.251
