0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
28.286,-42.513,-14.492,-100.818,30.136,178.101,66.348,-81.894,-7.385,75.68,-24.889,13.343
29.757,-145.48,-83.046,26.472,6.395,-63.587,-12.756,-22.013,9.883,-4.933,-11.111,4.151
39.4,-77.512,-93.953,87.847,-5.144,0.275,9.836,-43.854,5.014,17.607,4.452,10.638
32.258,-140.366,-41.835,-50.657,9.147,-29.225,28.582,-3.125,10.146,-11.252,-25.481,18.189
37.956,-78.09,18.591,-75.32,25.903,-16.998,32.378,-37.249,20.741,13.915,-36.576,33.291
38.99,-37.627,-60.456,58.437,-3.127,-92.955,-37.19,-65.497,-0.683,44.376,-28.31,14.101
33.553,-171.977,-60.347,0.502,12.689,-52.133,-1.836,-5.58,12.77,22.345,-2.834,17.552
40.655,-101.808,-63.671,92.772,25.043,-43.071,-19.103,-60.536,-9.609,19.422,-42.556,21.428
37.966,-77.837,-76.414,63.685,-2.27,-5.817,15.429,-48.157,-1.384,5.72,12.054,21.729
41.42,-105.208,-55.611,52.57,16.976,-48.283,-10.982,-54.831,-10.991,26.009,-34.664,25.247
31.777,-217.733,-92.792,-4.287,31.592,-61.787,-19.15,-15.245,9.3,18.336,-13.729,4.484
41.126,-43.242,-30.142,-29.471,4.912,30.697,14.834,-21.782,-1.93,10.696,-57.102,23.8
38.056,-5.743,-33.484,-16.75,-1.027,-25.312,-40.302,-5.899,19.96,-10.774,-38.936,8.407
38.317,-118.467,-56.448,9.184,-24.287,-66.153,-2.382,-10.196,-4.015,6.911,-2.391,17.364
38.354,-125.805,-54.844,27.951,22.131,22.178,32.865,-60.807,-15.028,-0.141,-51.898,18.314
38.596,-113.592,-84.905,66.044,15.382,-11.1,18.431,-54.72,-15.75,11.55,-2.115,-4.32
39.05,-90.647,-28.533,62.661,3.675,14.781,39.748,-33.057,1.379,13.895,9.423,-2.074
31.855,-197.711,-37.363,4.96,8.265,-3.457,41.022,13.763,-0.257,-17.77,-32.638,11.052
38.7,-86.221,-66.255,75.311,3.466,-38.871,12.023,-47.855,-10.229,43.356,-27.887,6.075
39.469,-89.602,-37.006,71.996,3.851,-15.755,21.224,-39.763,14.069,22.451,-6.827,0.556
34.756,-187.032,-66.179,-0.746,3.205,-47.059,23.413,-27.636,4.624,20.547,12.995,12.379
37.917,-80.239,-25.299,78.88,-5.371,-57.977,33.52,-45.068,1.021,19.214,0.752,26.099
35.283,-145.486,-55.831,32.562,4.224,-65.699,22.474,-46.729,3.892,19.509,-11.247,18.705
33.127,-126.346,-80.622,52.53,-5.718,-95.025,-11.34,-44.002,-5.706,31.874,-29.445,20.844
38.658,-110.71,-68.893,96.27,-4.652,-27.686,13.809,-29.847,-13.961,30.74,-6.503,9.498
32.823,-95.185,-20.63,-20.797,-0.341,-53.258,23.849,8.629,2.952,16.874,-1.387,15.177
41.038,-98.245,-65.012,71.331,17.07,-36.437,-10.219,-63.903,-8.641,22.337,-29.751,22.826
41.613,-50.575,-80.813,56.756,18.178,9.846,-26.996,-73.474,13.299,10.519,40.783,-7.935
34.97,-149.478,-89.14,5.951,-0.521,-69.479,-31.61,-5.787,13.495,26.757,-11.101,4.666
42.207,-36.157,-38.97,-20.058,2.293,70.549,13.376,-26.675,29.803,-18.281,39.838,-0.021
40.953,-75.429,-40.027,62.036,32.017,-16.652,10.879,-72.825,25.763,4.85,5.949,19.708
34.937,-143.229,-71.896,39.03,4.478,-75.719,-1.682,-31.484,12.285,34.275,-16.881,24.047
35.21,-83.894,-85.651,45.455,-3.322,1.45,-13.219,-48.022,17.628,-3.454,-3.87,13.152
30.818,-116.19,-89.728,-24.444,14.277,37.5,-5.249,-28.862,32.665,-11.823,5.506,3.151
30.617,-158.559,-52.382,16.838,33.82,-45.623,5.402,-36.99,-7.158,31.331,-11.223,17.792
29.023,-144.508,-100.693,6.394,1.53,-66.057,-17.874,-20.233,12.78,19.114,-4.651,9.111
38.441,-63.768,9.304,-86.727,-8.289,19.501,32.681,-66.918,-8.949,18.206,-28.041,1.497
39.346,-80.619,-23.474,20.447,19.753,-56.142,-38.548,-37.702,16.561,0.663,-26.499,11.538
36.222,-58.294,-4.137,5.508,23.219,-62.075,-24.273,-14.904,11.267,14.05,-38.842,9.608
