0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
24.058,163.717,-31.712,257.396,37.73,20.842,-27.726,49.208,-35.71,19.805,-13.205,21.494
21.276,167.981,14.168,81.344,71.416,92.31,7.838,-30.724,-30.936,38.841,2.468,30.849
13.705,142.874,72.946,30.224,64.852,-21.127,4.957,12.374,-27.766,-11.046,-3.304,17.75
12.611,141.86,81.836,-8.859,76.463,-28.645,-2.67,-5.462,-18.64,-10.865,-3.094,19.423
13.387,85.584,77.411,24.398,76.199,-49.462,-28.352,16.818,-21.243,-1.141,5.697,27.895
12.408,98.97,85.872,1.155,73.193,-38.787,-12.005,10.207,-16.763,-10.854,9.087,19.223
12.442,107.066,87.633,7.468,65.294,-36.878,-16.073,4.546,-9.854,12.886,5.537,32.77
12.779,107.087,68.82,2.705,84.267,-26.855,-15.951,10.687,-27.677,18.626,0.419,31.069
13.295,100.542,80.21,8.401,76.904,-33.448,-32.484,11.698,-13.682,-10.095,8.985,21.477
21.7,160.217,85.038,105.073,37.289,73.238,13.655,-19.404,-21.563,0.12,18.27,-24.543
26.093,173.43,-27.176,221.077,7.608,-48.135,-28.572,-3.348,-40.713,0.633,-78.137,32.594
5.845,101.85,20.953,-27.428,41.32,-41.399,25.298,14.995,-44.468,-9.017,-4.247,9.601
18.284,150.628,-39.35,152.116,52.656,81.142,-23.82,-6.801,-25.689,17.828,-36.333,37.622
42.237,40.756,164.906,40.02,60.477,-25.256,3.856,16.21,-8.427,3.193,23.138,-19.784
44.247,122.706,205.121,48.9,63.548,-3.99,-10.656,-13.631,-11.599,-14.606,1.555,-9.159
44.241,62.197,160.358,38.168,46.997,-40.448,-10.053,8.31,-15.238,4.707,3.506,1.706
42.706,72.067,201.621,44.948,84.139,-24.822,3.134,-6.521,-14.662,5.76,2.962,6.284
44.328,87.689,186.661,45.979,65.092,-14.859,-11.385,-9.22,-10.817,-11.21,4.592,-10.517
43.508,76.034,209.165,57.726,82.004,-23.381,10.954,-5.964,-1.35,-6.416,-3.221,-20.467
43.941,83.962,195.202,47.669,67.643,-43.334,6.805,9.213,-15.707,-12.088,1.989,18.78
43.881,91.005,186.516,53.108,76.4,-22.687,-2.874,-22.132,-14.392,2.58,-6.351,-3.357
44.29,71.199,174.796,46.575,70.359,-36.275,-0.473,-19.247,-5.977,9.658,-3.036,1.508
43.878,72.572,189.771,50.29,63.878,-5.293,-3.156,-16.914,-15.414,-16.963,-6.628,-11.502
43.605,29.545,174.308,40.066,60.549,-21.182,-1.428,4.405,-33.141,5.321,5.767,2.375
43.054,63.894,187.817,38.746,69.546,-17.323,-6.286,-5.684,-7.544,-3.462,-8.293,-13.597
42.354,81.618,201.823,46.495,69.281,-31.417,-0.771,-14.192,-26.627,-0.648,-5.261,2.08
43.779,40.724,167.095,47.52,64.458,-25.799,-18.557,-5.233,-22.419,-8.235,21.644,-3.036
42.092,115.699,205.385,74.572,65.128,-41.33,-2.27,-24.556,-17.666,5.466,-1.952,3.066
42.612,73.636,195.396,51.514,75.846,-17.131,-2.988,-8.456,-13.105,10.663,-3.363,-17.991
42.694,64.07,217.454,45.238,84.567,-31.875,10.82,8.379,-1.165,5.849,0.247,-25.989
43.728,61.852,190.726,32.324,71.518,-20.703,-20.965,4.729,-14.798,-6.393,2.929,-20.415
44.162,64.84,175.42,38.374,47.89,-21.256,-4.539,12.049,-18.703,-0.224,-2.849,3.615
43.689,61.38,176.105,42.587,60.03,-23.353,-1.561,-5.798,-30.077,-2.701,7.032,6.133
43.852,104.631,198.909,30.085,82.284,-18.864,-11.051,-3.83,6.041,-13.101,-7.923,-18.115
43.73,82.449,179.981,52.09,54.677,-33.378,-8.402,-12.372,-24.546,21.888,5.528,-2.354
42.603,57.927,188.088,57.044,67.23,-32.901,2.366,-0.319,-19.314,13.035,-3.737,-4.929
42.384,54.019,187.947,27.967,84.449,-25.565,-13.076,-11.15,3.628,15.679,-9.059,-24.4
43.864,55.127,156.567,45.785,64.416,-27.46,-4.991,-3.77,-0.416,-4.975,4.814,-10.96
44.225,84.686,187.376,53.036,65.412,-27.673,-6.094,0.535,-17.225,4.415,3.336,2.026
44.316,77.353,175.792,36.965,50.957,-16.239,-15.809,8.023,-19.919,-22.181,5.033,-2.199
44.067,69.247,158.13,43.469,47.646,-20.963,-7.033,15.6,-7.703,-17.569,4.503,-17.599
43.762,108.563,200.333,45.646,51.638,5.638,-7.393,-8.935,-24.661,-26.078,4.47,-8.312
43.053,96.307,183.227,43.306,68.212,-39.019,-4.278,-11.923,-14.793,25.76,10.197,-2.05
44.989,103.441,177.967,36.875,89.955,-28.127,1.275,5.44,-25.815,7.627,1.064,-25.593
45.76,138.485,167.223,30.379,115.526,-42.076,5.957,34.949,-15.618,-1.857,9.499,-21.403
46.713,196.551,171.834,21.486,125.355,-35.531,2.029,14.318,-5.424,5.868,-10.132,-26.338
48.956,146.947,40.841,23.777,53.005,-6.083,-10.271,-37.302,-33.164,32.744,-39.532,22.134
45.007,45.051,-66.545,107.05,22.86,-64.577,-55.907,32.191,0.286,-31.665,-57.048,31.491
51.989,88.458,-5.596,42.509,-25.234,-62.388,10.634,17.051,-5.878,22.48,9.286,1.468
50.687,116.568,34.093,0.336,-5.142,-8.607,26.14,16.245,3.573,17.214,-22.952,-11.357
49.723,119.788,36.454,45.571,0.013,-37.139,-5.166,18.077,-7.61,-8.123,-35.939,2.849
51.583,88.327,2.752,26.599,3.311,20.491,3.666,15.201,-5.728,54.411,41.118,-2.155
48.793,102.423,28.917,59.183,-2.276,-39.07,-4.624,13.722,-7.236,-3.34,-50.458,3.406
51.592,75.042,1.84,22.03,-17.506,-63.737,15.39,2.578,0.948,14.622,-17.781,-4.88
49.897,94.786,14.196,44.476,-25.832,-14.421,9.569,12.762,10.337,3.286,-28.218,-13.791
52.443,78.664,5.763,17.194,-2.411,-28.157,1.234,19.338,-9.907,37.034,38.231,-10.348
50.933,89.988,39.2,11.685,-7.82,-38.61,21.669,-9.925,-4.852,16.155,-2.845,0.176
50.813,68.13,-25.436,49.275,-18.636,-48.21,14.85,2.062,-2.049,17.463,6.307,-7.439
48.408,73.751,28.477,0.23,-14.737,0.736,28.424,9.719,0.419,1.527,-23.338,-4.151
47.26,94.834,14.659,74.775,8.88,-23.916,-2.963,11.63,-10.926,-12.843,-64.403,6.156
51.916,64.442,1.008,18.965,-4.041,-36.823,-9.066,9.981,1.964,6.0,16.496,-3.144
46.864,87.682,22.993,12.394,7.212,13.228,17.198,18.679,4.911,-3.431,-51.839,2.789
51.575,81.031,-1.157,31.184,-13.131,-62.003,12.623,1.178,-2.223,18.461,-6.106,-1.066
51.349,111.339,38.483,14.742,-27.931,-39.681,17.82,4.767,12.013,-2.029,-8.897,-9.092
48.769,100.853,-53.386,31.128,-49.739,-80.735,-11.721,27.053,-23.826,5.12,-1.888,5.352
52.181,75.429,8.389,8.426,-6.765,-12.871,-5.526,9.623,-10.352,32.286,34.568,-1.888
51.044,90.661,32.885,10.043,-2.292,-18.047,20.728,-4.344,4.443,4.819,-12.804,0.478
51.081,103.08,-10.629,17.761,-16.768,-40.151,14.699,19.203,-0.287,11.426,11.958,-11.153
50.258,109.139,9.798,12.211,-12.707,-56.254,6.337,15.825,-1.935,8.496,-13.024,-4.171
48.513,124.458,35.637,36.269,-2.271,-33.703,-9.396,23.461,-12.387,-9.137,-33.533,15.614
51.16,66.338,0.991,21.612,6.513,5.656,-4.981,20.499,0.201,31.914,29.173,-0.013
48.366,102.832,32.325,56.906,-1.181,-39.783,-0.936,7.612,-3.618,-3.629,-40.313,7.349
50.271,84.767,-3.296,29.491,-8.22,-4.302,21.365,-3.91,-6.424,24.563,26.099,-8.072
50.031,97.26,5.125,46.891,-24.391,-15.412,3.255,9.372,9.985,1.844,-25.95,-7.216
52.251,72.003,2.351,13.48,-8.507,-45.573,-6.714,5.736,-8.393,9.077,30.25,-3.909
50.412,90.628,48.402,7.43,-1.733,-31.537,25.083,-9.446,4.312,8.431,-10.698,-1.594
50.699,74.099,-16.826,29.365,-19.199,-51.168,13.836,-6.98,1.408,9.682,10.029,-9.208
49.094,59.567,28.274,16.638,-22.027,-44.145,24.934,1.352,-13.201,14.544,-11.497,0.147
47.575,89.763,23.738,67.268,17.992,-22.049,0.252,12.652,-3.518,-11.316,-47.936,1.998
50.34,65.457,-0.45,9.408,7.218,29.389,5.36,19.014,1.541,9.684,48.036,-5.817
48.005,94.668,17.021,60.07,2.719,-3.241,9.071,10.148,-9.477,-5.585,-27.018,6.845
50.558,93.406,-15.892,48.253,-22.191,-37.787,-2.001,11.227,-10.166,14.208,-10.023,3.553
45.287,74.766,-76.761,38.785,-77.453,-99.706,-50.042,17.35,-1.475,20.017,-12.92,-2.065
52.716,84.242,12.554,11.842,-19.887,-18.733,16.119,19.741,-21.76,11.64,18.851,9.402
51.915,90.004,-1.315,-0.461,-10.409,-13.75,22.145,16.542,1.732,-0.513,-0.974,-10.647
50.615,115.903,30.835,1.325,-14.134,-14.193,11.315,15.108,-13.708,15.897,-23.089,3.616
49.858,135.192,66.545,25.607,-3.093,-49.454,11.448,19.451,-13.254,-10.883,1.415,11.98
48.235,143.841,59.778,27.36,-3.725,-14.04,-0.137,5.068,-17.703,4.524,-11.803,13.194
51.518,86.39,6.563,24.652,6.55,2.485,0.594,7.588,-3.657,46.148,14.364,-1.563
48.904,91.065,30.403,41.365,-1.576,-45.745,-3.023,-4.948,-15.245,6.813,-40.039,13.965
50.476,84.938,-6.429,18.918,-0.365,29.745,23.125,-0.45,-1.398,33.267,44.332,-9.227
50.135,90.004,11.157,44.946,-26.344,-30.56,-3.82,8.082,7.668,-8.663,-40.623,-7.783
