0,1,2,3,4,5,6,7,8,9,10,11
1.835,204.281,26.686,-35.985,36.755,-28.56,0.951,7.936,-2.934,-0.01,-2.5,-4.0
37.231,40.181,57.888,-92.464,49.187,158.507,59.429,-82.594,-17.682,57.731,13.172,6.542
44.358,7.41,-26.717,161.142,64.95,-35.755,-14.437,-83.283,-19.338,-2.974,-59.851,-1.122
31.673,-203.849,56.509,40.529,71.969,-75.308,8.103,11.045,4.784,-9.562,11.865,-5.547
32.745,-77.829,-14.253,66.482,109.779,-34.446,11.232,-78.188,-2.812,22.277,-19.096,4.372
37.939,-79.886,8.287,-94.507,63.368,69.322,18.411,63.255,24.422,-47.396,-8.918,-10.052
42.605,81.96,-26.274,162.139,36.317,-6.419,-16.583,-47.256,-20.265,-22.027,-73.341,5.556
40.226,-94.282,-17.471,-7.33,67.688,77.448,24.11,-3.65,16.32,2.119,42.147,-8.967
35.059,-166.51,15.475,29.135,73.968,-71.504,2.63,-43.753,-4.885,-5.065,3.177,10.571
35.334,-112.755,48.027,-71.683,63.902,31.004,-5.761,71.815,11.603,-54.478,-67.494,15.302
29.056,-131.648,-40.693,34.773,99.19,-58.075,-20.084,-44.681,-20.313,11.462,-9.973,17.262
28.942,-93.629,-69.433,21.087,103.621,42.283,-20.435,-17.343,19.678,-72.482,-5.923,11.27
37.775,-25.474,77.94,-209.013,57.249,68.805,31.126,18.265,37.564,-29.935,-3.829,24.696
49.003,79.551,39.86,22.653,45.697,20.174,35.934,-4.791,7.782,-19.592,-12.131,21.313
43.932,65.714,142.495,25.96,93.667,-18.565,-4.756,-12.977,16.69,11.212,-8.091,33.988
44.96,-6.918,56.968,12.128,72.538,-15.266,-14.38,-19.783,10.568,23.164,1.787,26.541
44.472,-75.001,-33.502,-3.238,46.215,-57.345,-7.443,-18.424,42.639,4.873,4.574,-8.815
44.664,-9.082,36.844,-45.655,76.313,-38.182,-31.549,-13.128,23.156,9.754,5.596,8.047
50.489,48.584,59.722,71.144,44.262,-42.964,-12.494,-47.015,-29.748,-5.208,-8.336,-5.223
46.253,5.792,107.636,42.853,71.391,-23.624,-7.32,-2.526,-2.658,-26.717,3.139,17.698
51.509,-0.226,21.883,27.495,20.823,-35.946,15.791,21.468,26.869,16.781,-5.631,26.85
49.824,68.171,54.216,51.724,74.718,5.576,-11.844,-9.721,1.49,-9.236,-9.338,0.569
46.22,59.842,139.799,18.104,76.275,-46.473,-41.946,3.294,4.144,-4.579,9.79,15.311
48.529,-49.428,15.751,-11.045,27.759,-46.532,-5.611,2.711,26.39,4.379,-4.645,-17.995
46.606,-26.535,47.455,62.289,40.553,-93.914,-41.792,-44.419,-7.676,32.092,-17.281,-7.285
42.846,-71.934,38.299,1.15,55.652,-47.646,-32.804,-46.814,-14.65,15.325,-0.73,-4.848
44.687,-63.706,36.76,52.993,55.307,-92.192,-35.033,-35.138,-17.691,17.413,-0.853,11.904
44.606,55.688,-7.865,116.72,61.371,-8.912,-43.381,-54.045,-12.529,-34.747,-21.177,-3.879
43.096,79.758,5.679,130.628,54.851,-37.684,-23.575,-60.632,-22.066,22.524,17.854,30.84
40.588,-62.74,-13.042,-83.374,30.775,26.835,-18.819,25.106,4.76,0.215,-13.67,-2.723
44.145,37.655,1.843,-1.179,16.161,-85.793,-42.604,-17.225,-15.228,30.738,-11.382,28.632
45.049,98.6,22.353,-39.159,46.829,-4.495,-18.041,9.492,-12.184,-27.929,-3.419,-2.445
44.678,25.323,18.116,34.154,22.212,-74.794,-23.239,14.661,9.318,17.198,15.92,-15.598
49.617,41.037,48.181,97.704,54.395,6.244,-15.59,11.799,-17.463,22.711,-48.188,-13.553
52.223,16.728,-1.211,35.815,53.532,-10.519,8.069,40.761,3.671,5.523,-15.652,-25.654
49.413,20.725,44.439,1.464,63.841,14.645,15.421,-19.472,-18.773,-11.284,-7.833,-1.874
49.987,68.694,4.766,31.242,50.691,-3.754,-29.259,-13.542,-37.556,22.585,-28.104,-14.528
43.306,0.535,-17.877,41.14,49.533,1.247,-8.601,-32.819,-29.162,39.797,-35.202,-0.496
41.312,169.384,-31.251,-50.152,161.593,-60.05,-16.469,8.036,-5.511,-22.482,1.833,0.395
42.766,58.729,-82.68,-12.437,77.213,-10.389,-21.59,-107.079,-52.306,11.014,-62.473,-4.768
42.091,-92.514,-7.858,-114.99,5.496,-25.761,-8.636,36.226,-7.132,-11.387,2.646,-0.752
49.075,72.565,39.111,25.823,29.477,-34.13,15.176,-88.249,-42.468,8.195,-13.075,-8.159
50.626,-48.079,69.688,0.204,17.144,-36.7,42.234,24.335,0.472,0.107,19.649,-9.69
49.684,-23.207,57.194,49.781,49.468,-28.848,7.986,-12.269,14.042,5.683,-31.092,-1.317
40.509,-101.188,-45.411,-52.489,77.855,-39.341,16.278,-18.135,2.074,-13.942,-2.138,2.775
