0,1,2,3,4,5,6,7,8,9,10,11
45.82,69.043,53.056,-89.333,54.358,130.035,58.533,12.069,14.566,40.954,20.37,-7.887
52.845,53.385,-37.615,3.805,-1.677,-56.15,15.593,-9.576,5.627,24.399,13.984,0.559
52.958,57.462,-39.846,3.999,1.136,-55.351,4.375,-14.467,3.797,30.12,14.253,1.147
52.927,59.531,-35.493,-27.183,10.747,2.102,22.654,5.272,24.115,-4.278,12.598,-9.115
51.037,63.845,-58.734,48.829,6.707,-24.247,15.521,-18.705,17.663,15.301,-24.844,3.592
40.959,51.801,-1.205,0.37,12.594,-36.424,14.162,-11.569,10.172,9.282,-12.438,-3.516
39.569,38.365,-20.398,42.695,11.227,-32.169,-1.834,-28.399,8.737,-3.862,-42.141,3.452
39.44,40.671,-26.383,24.352,25.847,2.216,2.496,-31.043,14.996,-10.026,-13.415,-4.628
39.942,46.613,-9.192,19.882,28.865,-10.275,5.109,-16.481,16.276,0.942,-24.366,-1.006
40.836,49.067,-14.361,19.202,19.729,-28.972,3.407,-9.429,15.321,2.656,-32.174,2.214
40.222,49.462,-6.029,25.364,20.039,-37.706,5.813,-16.397,13.166,-0.473,-36.703,7.121
40.791,56.124,-0.437,9.107,30.943,-20.53,-2.481,-23.667,15.386,1.335,-18.949,-2.168
40.236,43.169,-12.897,32.386,24.696,-35.283,-9.863,-19.257,3.188,7.158,-35.858,2.877
39.994,47.37,-9.119,32.968,22.624,-38.18,1.792,-22.96,7.309,9.552,-40.927,2.729
40.129,43.61,-10.548,28.189,21.464,-23.653,5.618,-23.522,13.712,7.597,-34.675,-3.425
40.582,50.511,-7.301,19.985,21.624,-20.769,13.988,-16.204,14.575,-1.071,-25.013,1.269
40.964,43.044,5.122,19.114,23.271,-31.645,-2.15,-18.139,14.262,2.542,-32.412,1.065
40.831,53.818,-5.031,28.938,24.665,-20.441,10.215,-18.63,18.815,1.993,-33.589,0.519
40.49,35.005,-8.016,26.43,18.654,-32.092,3.599,-16.094,11.271,0.219,-35.012,-1.723
40.657,48.552,-14.76,34.915,24.474,-39.402,-3.429,-23.342,14.753,0.791,-34.535,-3.012
40.409,47.675,2.42,21.856,28.278,-36.058,-5.047,-14.292,10.513,5.048,-36.735,6.875
40.582,45.434,-8.708,29.819,22.367,-36.24,-5.018,-14.315,11.479,1.543,-43.384,3.59
40.994,59.43,2.18,16.902,24.638,-33.323,-6.181,-23.0,11.821,2.443,-27.444,-3.884
40.674,51.109,-6.138,19.536,28.096,-20.57,5.444,-24.294,8.714,2.475,-31.125,0.922
40.749,40.687,-17.676,20.583,22.567,-30.764,1.166,-13.415,14.979,-4.658,-28.731,-1.403
40.568,48.85,-4.092,25.484,18.944,-29.352,2.674,-14.882,14.36,5.743,-34.627,-4.686
