0,1,2,3,4,5,6,7,8,9,10,11
0.4,161.842,9.276,-39.14,60.234,-51.32,12.18,-8.889,-28.735,-0.433,-5.786,-4.667
5.356,61.092,5.483,-43.287,109.186,-47.408,-15.146,-8.697,-29.863,-1.078,-0.128,17.274
8.033,16.975,23.981,-44.91,128.014,-47.211,-14.8,-16.194,-41.302,-2.353,7.484,19.951
10.669,-20.392,25.756,-27.06,127.741,-46.499,-9.557,6.22,-38.644,-7.772,6.445,9.612
12.234,-23.06,40.571,-20.985,135.428,-48.457,12.748,21.559,-36.062,-4.857,4.636,11.854
15.537,-27.571,41.111,-46.769,118.739,-38.861,5.328,11.462,-46.638,-6.754,9.448,8.656
19.791,-6.226,29.933,-34.908,120.071,-48.279,22.074,11.182,-48.173,-13.326,1.805,6.384
22.097,-0.11,26.544,-41.707,127.169,-46.63,-5.083,1.569,-51.202,-11.215,6.265,12.648
29.627,-17.26,11.853,-28.656,54.613,-33.004,37.662,4.822,-35.436,-1.902,-6.64,-21.462
35.092,37.308,-6.016,-138.006,94.475,-63.191,-12.25,88.502,-19.057,-16.874,26.279,-1.436
44.904,87.827,-6.955,-33.757,85.798,22.091,7.118,-92.731,-12.293,36.62,-63.158,37.476
44.353,60.627,-51.615,-21.647,-8.027,-4.555,-50.951,-14.579,-8.673,6.786,-26.327,-2.618
45.761,19.214,-11.47,-76.269,65.272,5.013,-13.885,13.485,-13.172,26.692,-22.94,9.359
48.791,2.848,31.194,-25.464,108.618,-39.783,-9.033,5.528,2.151,3.347,3.329,-5.627
47.533,14.338,-3.271,-14.866,96.58,-53.53,-29.727,-11.795,-33.68,17.115,10.625,25.417
48.186,11.42,25.369,32.66,71.681,-22.414,-18.607,26.266,-6.213,-3.276,-44.369,-17.534
43.626,89.423,2.525,-3.139,47.349,4.515,43.223,7.118,-7.155,-6.807,20.46,-9.193
48.751,-2.331,22.132,-43.532,101.774,-25.138,0.148,-4.299,13.658,15.017,4.76,-21.792
49.173,7.987,22.338,34.363,89.891,-31.425,-6.164,46.934,-9.623,8.181,-47.672,-7.453
40.475,9.533,-97.382,-8.856,25.124,-36.001,-39.273,-58.209,-0.658,43.309,-18.874,1.19
41.169,-41.922,-37.87,27.727,53.606,0.41,1.225,10.081,4.513,-2.225,-10.686,-9.559
35.199,-47.792,-17.462,-9.721,17.345,-21.017,-2.21,-75.268,2.977,0.964,-7.39,8.095
33.18,-134.89,-2.065,22.134,11.112,-19.189,15.248,7.278,-16.291,-13.868,-20.887,26.513
30.694,-127.181,-1.542,-55.245,12.534,-8.621,28.828,-7.69,9.113,-15.616,-16.498,12.425
31.631,-92.821,5.231,-23.08,49.675,-33.81,16.264,2.282,2.705,-0.237,1.233,11.732
35.048,-46.255,9.881,-30.24,6.021,-28.059,38.019,-3.01,-13.821,7.137,0.054,-11.055
45.551,103.004,-27.256,-41.263,47.515,45.522,17.323,40.154,-14.193,-37.92,30.948,4.948
49.917,69.452,-12.978,6.819,52.446,-1.564,-17.921,74.739,-8.852,30.832,-15.206,6.158
46.204,26.192,-41.232,-26.703,72.603,-24.766,9.187,-62.848,-10.702,53.331,-37.626,24.034
44.614,8.413,-27.185,-25.193,58.109,-24.833,-5.544,69.251,6.983,-8.699,-17.172,10.088
48.035,-11.832,28.484,-15.111,63.092,-14.374,-8.755,12.581,-44.133,42.232,-31.944,12.486
44.925,-36.275,-38.231,40.071,57.338,-6.561,-10.795,33.254,-0.697,-20.768,-15.179,1.611
44.702,41.322,-60.129,-23.345,28.64,5.879,-35.954,2.675,-21.732,4.073,-27.498,-20.12
45.187,32.947,-38.346,-7.752,17.734,-63.01,25.91,-19.813,-50.566,9.794,-22.701,6.22
40.9,-36.882,-56.438,-9.235,0.933,-23.157,23.238,-10.365,1.828,-6.74,-45.304,31.843
32.682,-132.185,-46.847,-55.151,-28.273,-36.744,25.431,1.21,-8.652,-7.212,4.63,7.466
34.815,-141.145,-18.757,-46.074,-25.997,-38.309,14.635,17.191,-4.334,-2.159,-10.573,-16.444
38.219,-93.716,-3.203,-26.396,-29.477,-25.52,16.158,5.778,-27.842,-13.259,0.037,4.673
38.926,-57.108,-1.803,-36.157,-19.862,-35.785,6.717,11.913,-22.059,-18.152,-1.379,3.473
40.69,-40.074,23.011,-36.55,-9.742,-30.9,11.107,14.26,-35.735,-17.202,4.248,9.383
43.46,53.107,3.42,42.24,-16.532,-38.915,-5.691,-37.081,-55.845,3.867,2.526,10.26
43.846,-11.257,8.614,-15.923,-30.222,14.293,15.748,6.705,-45.033,-22.52,-53.238,4.127
52.843,99.934,-4.949,40.154,-6.234,-39.169,20.681,25.331,-33.619,-1.915,13.245,-0.965
45.647,121.269,98.284,72.548,29.485,-12.173,14.518,19.268,-22.918,-35.301,-22.013,-16.778
39.824,144.882,84.952,68.158,32.717,-46.456,-12.351,-21.255,-44.097,-4.054,13.545,4.521
45.851,-16.568,-54.99,33.325,-19.636,-88.481,0.588,-14.724,-11.406,34.644,-0.97,7.132
47.871,38.597,-19.804,-33.495,-15.844,8.478,-47.793,20.117,-7.146,-19.06,7.65,-30.097
50.096,69.836,-28.858,-28.65,21.517,1.008,-30.02,-20.651,-18.196,5.599,-17.348,5.215
53.014,60.215,-50.52,28.181,23.406,-38.6,-9.47,-2.903,-13.944,4.564,-10.959,11.718
48.381,0.489,-34.622,12.805,84.94,-18.263,4.684,-16.835,-23.458,18.82,-36.796,-6.326
50.106,67.39,23.423,-43.544,51.246,-17.241,19.691,69.32,36.363,-7.928,27.188,-10.727
51.416,85.128,33.244,8.398,18.084,-19.073,29.252,-86.728,9.73,51.634,-36.684,18.267
51.16,-16.283,97.285,-3.747,44.503,-50.505,50.235,19.814,2.883,3.727,-8.305,-2.01
49.651,47.072,26.222,60.652,37.202,-46.574,20.297,49.906,-5.645,8.273,-44.555,15.775
43.928,102.914,-62.267,-0.083,17.711,-27.275,25.824,17.708,-12.127,-18.79,-27.694,11.785
51.254,78.976,-27.426,-11.946,38.225,54.886,36.446,-9.468,-17.793,37.331,1.7,-0.729
45.903,99.235,-29.585,-49.035,47.663,-28.868,28.456,-44.634,-20.019,-3.509,-26.704,-0.268
46.442,2.192,-85.29,-17.562,6.295,-108.703,-20.516,7.186,5.343,16.545,-7.142,30.138
47.76,-47.652,7.982,-20.2,74.102,-32.087,32.744,-15.694,19.332,34.023,-8.762,-4.151
45.634,-2.302,-92.791,43.883,-12.29,-105.507,-20.89,-1.446,9.264,13.371,-15.029,6.665
40.327,-15.856,-79.094,-33.248,-13.805,-63.345,-2.3,9.966,-6.503,2.14,-4.112,10.442
43.716,42.032,-29.517,-79.84,2.284,43.104,11.087,29.684,7.696,-27.906,-53.185,16.454
39.266,-2.544,-76.067,108.384,-8.934,-67.736,7.693,-74.708,4.368,29.45,-39.92,21.989
36.601,-70.511,-41.218,20.894,-2.212,-72.671,19.204,-39.717,-6.911,27.366,-11.071,-0.297
34.61,-98.961,-75.889,52.089,-2.187,-65.366,-17.45,-30.314,7.895,19.635,-20.555,-1.586
37.837,-8.12,-84.031,24.234,16.273,107.675,15.388,-27.581,37.556,-53.652,-36.768,0.858
38.423,-77.197,-146.376,60.002,17.57,119.235,25.512,-11.51,28.599,-17.107,-25.748,6.197
45.366,16.123,-62.802,-65.113,15.099,171.946,58.694,26.855,22.743,-59.515,12.76,-3.484
39.979,-18.01,-52.43,82.685,-45.709,-91.436,13.576,-29.572,-8.882,31.696,-37.291,11.517
41.269,-80.699,-118.733,111.478,-21.471,-115.553,-6.389,-40.416,-6.041,39.556,-16.505,32.163
36.176,-70.822,-90.858,28.556,-11.337,-50.337,25.848,-29.219,6.127,1.787,-16.038,3.253
41.521,-66.885,-105.128,19.994,5.611,86.07,37.059,-16.842,24.924,-19.05,11.696,3.389
48.777,47.247,-41.331,9.525,10.983,-9.244,26.246,-33.379,-40.733,0.516,-37.586,3.309
47.991,118.465,-43.316,-128.46,47.425,-20.483,25.814,-43.738,-8.569,3.125,-14.254,-1.064
47.586,46.826,-34.91,-0.519,54.796,-10.232,-10.816,37.177,-5.692,14.515,-21.646,-7.103
46.195,6.278,1.019,-40.966,66.855,12.605,26.33,4.362,-6.215,52.711,-40.645,14.647
48.488,42.239,-39.366,32.045,47.148,-34.506,-24.434,19.274,-17.201,16.369,-27.039,-5.429
53.515,36.664,-30.205,25.129,42.15,-61.762,-5.55,-15.121,-6.72,8.118,-34.992,11.539
47.561,74.945,-43.615,7.005,60.505,-57.62,-4.081,54.858,-14.799,14.361,-0.352,-2.635
46.574,70.194,-151.765,11.906,42.009,-112.533,-1.722,13.357,-11.622,-2.922,-21.094,20.492
49.655,87.22,-26.576,-77.977,48.113,39.318,17.705,-19.23,25.698,-3.664,-1.108,11.028
49.716,27.974,-49.164,-0.502,-0.642,-78.348,-24.813,4.858,30.922,19.906,-15.704,9.395
50.323,100.718,3.897,-51.496,-23.329,9.811,-1.936,11.143,15.473,8.333,-0.09,-13.258
50.698,98.992,31.609,26.58,4.789,-17.08,1.49,-14.207,3.788,21.772,-14.284,-13.256
48.451,63.424,0.617,4.725,7.629,-60.613,-38.205,-18.111,-3.846,23.563,-12.924,8.858
48.075,63.071,-6.204,-6.952,13.245,3.119,-25.462,-17.187,-4.461,5.053,-16.483,-3.853
50.251,121.836,2.914,7.87,-11.115,-16.611,-44.427,-34.049,7.655,28.206,-1.281,-7.118
49.195,70.785,7.097,8.311,5.442,-16.83,-28.197,-16.03,-2.864,6.677,0.565,-8.359
51.289,77.592,-46.109,-28.806,-27.939,6.501,-19.304,-6.534,15.73,12.802,1.467,9.901
52.04,95.003,2.852,-43.256,-3.314,-0.789,-6.186,-10.422,-12.416,-2.872,-18.172,-7.66
51.997,76.9,16.149,0.331,10.564,-13.838,-19.287,-28.961,-30.874,42.405,-26.085,1.284
52.906,76.6,9.682,-10.406,5.282,2.318,18.868,-42.956,-20.632,11.953,-12.585,-5.461
52.604,6.453,38.411,18.321,36.096,-33.367,25.553,17.073,-16.523,0.047,-14.25,-1.497
51.414,15.048,38.009,8.456,23.79,3.168,19.741,19.874,-8.745,-22.749,-33.851,9.674
50.532,124.895,-9.576,-57.989,60.655,-26.371,11.751,-14.449,-22.169,-3.177,-8.912,-16.1
53.046,96.696,20.971,-48.579,-6.104,-22.42,-26.038,7.515,-31.227,-18.252,3.064,-25.045
52.274,70.075,-46.889,41.528,-8.994,-64.781,-12.352,-7.737,-21.21,-15.306,-23.64,13.661
50.721,48.23,27.294,-46.31,16.347,34.485,-6.699,-4.499,-19.895,-4.55,5.116,-16.764
51.086,-6.275,43.329,-13.171,33.284,0.92,27.844,20.028,-20.976,2.999,-23.635,4.774
49.915,62.463,15.018,-41.14,56.35,-18.849,26.705,-54.747,-27.128,0.457,-36.842,-17.055
