0,1,2,3,4,5,6,7,8,9,10,11
0.623,160.295,-2.213,-33.182,49.4,-52.027,28.341,6.274,-22.556,3.18,-11.455,-9.196
45.075,118.448,16.063,-107.05,90.738,234.798,-16.956,42.36,-47.059,31.022,48.389,-18.246
52.868,81.578,-33.027,-37.332,41.447,21.963,-34.489,-37.126,-43.791,54.9,3.771,16.599
52.72,56.704,37.394,63.004,120.897,19.742,-33.704,19.982,33.123,-38.98,-64.458,8.319
56.864,85.637,50.365,19.624,54.954,-2.688,6.722,3.627,-7.541,10.567,-11.835,18.38
53.627,70.392,-13.444,7.449,40.028,47.143,2.545,-15.984,-22.535,6.817,-21.747,12.423
55.324,89.909,49.416,-49.634,78.428,49.594,17.937,-3.776,4.514,-41.203,30.582,8.529
56.157,104.515,61.046,2.366,69.93,-24.4,13.571,-27.282,-2.634,-0.064,-18.418,3.556
52.261,36.106,77.821,-32.161,33.29,19.331,3.889,22.378,2.66,-18.005,17.058,0.772
55.709,107.027,49.018,-3.008,58.068,-10.471,21.087,11.185,-16.991,-12.385,-28.138,25.821
56.855,108.045,52.005,-21.34,71.615,24.957,-1.946,-8.415,-7.127,20.545,6.584,1.141
55.972,90.765,74.525,37.48,59.698,-33.836,12.523,-12.476,7.739,-5.679,-20.756,3.369
54.997,102.585,55.332,-9.915,49.752,-12.774,15.423,6.162,-15.216,-2.225,12.65,4.148
57.565,81.016,50.445,-25.695,55.061,-31.25,-23.937,13.228,-9.054,-4.95,-2.592,29.081
58.297,107.178,55.508,4.705,81.344,-36.346,-17.219,14.44,-7.582,-7.601,12.353,22.966
56.916,122.818,24.119,18.84,65.01,-36.928,9.627,4.409,-14.45,6.749,-34.811,12.762
55.931,132.031,-12.566,-79.145,42.712,13.571,28.029,-13.411,-7.817,36.941,-4.886,25.964
57.163,116.346,18.606,-8.925,42.173,-41.902,7.503,25.551,-20.191,9.54,-14.935,18.173
