0,1,2,3,4,5,6,7,8,9,10,11
0.194,166.854,12.221,-33.255,61.422,-51.831,14.596,-2.471,-25.325,0.624,-7.258,-10.985
4.72,94.481,66.148,-13.847,118.343,-43.475,39.043,7.968,-29.349,9.321,-5.372,-4.836
6.736,66.517,87.637,-0.659,129.824,-55.703,37.277,10.641,-36.093,-3.472,-0.846,-9.289
10.309,37.255,147.801,-19.705,128.211,-39.841,53.652,-9.018,-56.008,1.242,4.111,-10.538
13.291,-3.119,132.873,50.007,136.365,-42.078,4.762,9.458,-46.228,-3.267,-15.783,-13.872
12.516,-32.423,94.341,-7.764,174.622,-33.054,-29.697,-7.887,-12.233,5.103,-4.615,-36.625
14.652,-46.683,113.617,-11.759,150.344,-32.233,-7.493,-7.606,-33.506,0.641,-3.5,-37.877
19.143,-14.649,170.965,30.361,84.51,-8.965,12.229,7.767,-35.889,-13.087,-3.515,-20.93
20.393,-5.224,196.678,43.116,67.038,-13.83,58.584,10.621,-49.079,-12.46,-1.941,24.593
22.453,-54.182,173.811,38.601,93.465,-12.969,10.138,-2.207,-49.001,-14.324,-16.328,23.007
20.038,-60.556,124.797,-7.296,120.794,-24.108,-46.234,-0.462,10.313,-10.18,4.315,-36.08
37.861,43.405,-5.486,-13.434,34.535,52.252,27.114,-35.103,-12.133,25.596,5.76,0.175
35.794,2.814,7.812,-16.4,20.664,-33.816,44.641,-11.88,-26.323,1.172,-11.281,13.028
35.753,-34.121,24.732,-14.059,9.692,-34.587,55.693,7.624,-29.104,-0.365,-7.587,19.061
44.028,43.993,-29.959,51.511,24.982,-8.865,26.208,-25.253,-20.992,24.918,-3.109,19.359
34.629,-30.592,21.213,-19.295,14.901,-34.188,53.8,14.163,-23.562,-26.864,-4.877,19.71
42.125,39.625,7.251,6.012,25.505,46.273,47.71,-11.235,-9.071,-29.094,18.324,0.856
38.197,-21.016,24.011,19.438,-36.315,-44.992,12.227,4.953,-43.054,-9.638,-8.952,2.434
36.761,-16.984,21.21,16.015,-12.362,-25.026,27.018,-10.668,-48.235,-9.682,-4.457,-4.12
44.247,59.601,-4.005,26.851,21.93,-17.716,14.865,-8.306,-23.721,15.65,-14.268,-3.561
40.744,11.039,56.49,-2.871,-32.841,10.442,18.656,6.716,-30.609,-13.014,-0.006,-23.943
41.144,41.918,16.694,-10.248,2.0,-25.642,17.001,-18.206,-44.997,-2.089,-12.011,-6.252
41.482,12.231,72.631,19.204,-27.915,-37.542,1.817,-14.724,-46.875,-8.41,5.116,-16.597
39.696,10.347,79.685,37.59,-18.366,-13.665,11.713,2.211,-34.447,-14.87,-14.534,-21.721
40.914,15.707,38.177,-51.392,20.901,16.054,47.863,7.073,-15.532,-13.711,-31.749,-14.908
39.13,-20.494,60.65,34.658,4.851,-40.825,-1.982,-3.183,-15.936,-3.749,-4.633,-25.584
36.193,-26.374,26.798,13.678,35.969,-35.659,14.811,-7.796,-9.315,-11.105,-13.477,-24.934
34.975,-60.232,65.994,-30.174,32.118,-42.603,41.064,40.674,-22.474,-5.311,-1.282,-2.358
39.671,33.473,24.099,-37.402,40.083,-3.278,2.988,18.149,42.437,-14.28,8.542,2.312
44.194,37.678,35.91,-8.001,43.075,-9.592,35.804,-7.802,-8.954,-7.13,-20.307,-0.882
41.689,24.401,67.948,-7.089,25.435,-32.783,11.006,-10.241,1.693,12.498,-25.177,-23.827
40.856,36.309,37.205,-2.949,17.307,-10.747,14.394,-16.526,-20.447,-10.4,-30.503,-1.388
37.19,-18.411,11.266,-14.285,5.249,-30.289,14.929,-21.068,-55.263,-5.936,-5.833,0.059
35.139,-20.986,5.597,-2.796,-15.77,-20.029,11.19,5.982,-50.187,-32.157,-14.171,13.671
39.866,3.122,65.556,-94.224,19.152,8.531,22.197,-3.49,-1.054,-19.567,-6.071,-0.105
42.654,4.915,83.274,-38.102,15.716,-15.097,16.592,4.048,-0.337,4.037,-13.709,-24.427
45.02,55.291,43.238,40.553,18.639,-37.044,35.991,-14.673,-13.16,9.205,-40.84,-6.172
44.843,30.81,13.91,33.745,35.759,-8.039,26.411,-8.371,8.951,10.259,-1.882,-26.18
38.926,-29.408,9.332,10.527,31.737,-17.822,33.783,-7.175,-3.751,-21.684,-29.31,-10.327
35.728,-41.509,3.795,5.701,32.98,-39.504,10.38,-11.434,-2.584,9.129,-21.427,-25.881
44.95,40.112,-14.908,-3.595,30.235,-0.925,15.901,2.159,-17.187,19.548,5.571,-6.618
40.199,-0.198,9.719,-3.703,15.426,-33.485,26.059,-11.75,-17.977,3.579,-27.574,1.709
39.025,18.214,-10.142,22.559,19.454,-24.391,46.353,-17.503,-30.192,-6.966,-14.289,19.032
37.474,-20.471,12.624,-25.677,26.785,-35.407,45.674,26.359,-16.447,-15.439,8.399,10.883
36.604,-14.906,-10.929,18.57,27.211,-35.033,11.042,15.352,-0.789,-9.007,-24.955,2.037
41.424,16.659,-1.43,15.787,45.357,51.527,40.12,-21.394,-20.428,8.742,8.502,-2.156
35.784,-40.773,2.873,14.926,24.78,-32.002,37.586,1.308,-30.018,-26.908,-15.5,26.869
33.34,-43.114,12.99,-7.086,34.789,-27.862,32.898,2.93,-1.367,-15.488,-9.009,-12.997
33.909,-48.303,47.401,-31.467,37.888,-33.253,34.541,20.448,-11.988,-13.311,-11.038,6.964
42.53,45.236,-16.655,30.73,35.484,6.874,15.275,-14.458,-20.519,2.205,-2.937,3.708
38.524,-15.678,39.403,-51.282,26.603,-27.626,36.526,16.711,-18.007,1.935,-12.821,20.93
38.838,-13.944,-11.109,-1.99,38.245,-49.642,22.795,-7.03,-4.18,-9.507,-3.746,11.342
43.872,14.833,-9.06,-17.76,19.918,1.373,30.259,-20.285,-17.225,5.129,-7.157,-9.363
41.366,-0.555,9.112,30.696,8.306,-35.04,18.703,0.973,4.547,-6.907,-28.839,15.244
34.36,-45.593,71.772,0.878,3.596,-56.214,13.853,7.3,-23.429,5.181,0.845,-18.037
43.432,54.282,-0.305,21.364,29.073,-12.917,3.515,-20.325,-20.236,10.999,-4.756,15.523
40.692,8.741,14.965,10.771,-0.274,-28.422,-8.083,3.874,15.786,-3.61,-20.472,10.571
37.983,43.729,-11.543,42.044,17.388,-32.441,24.469,-48.036,-24.52,7.197,-22.049,19.444
37.857,34.556,-23.567,10.947,34.186,-33.834,-0.531,-45.757,-0.221,3.721,-9.247,5.257
36.264,-18.625,42.8,-59.922,23.917,-26.732,3.015,26.008,22.912,-12.599,10.245,7.16
40.447,34.108,27.038,9.815,55.985,16.493,-9.826,17.987,5.239,-25.718,1.242,10.565
47.062,46.506,80.827,-0.074,59.947,-7.572,17.623,47.324,-5.73,21.45,47.595,-24.711
46.803,39.06,89.483,21.693,45.013,-59.528,4.731,22.316,3.11,37.227,-16.915,-26.183
44.676,46.22,-23.285,-18.948,11.469,-14.757,-61.163,-21.427,12.336,-0.771,-26.556,-26.503
40.567,-15.367,-37.319,51.737,14.261,14.532,-29.191,-6.744,-4.257,-1.781,-45.452,-3.94
43.777,46.924,10.84,-38.526,32.196,75.45,-2.654,5.101,-5.468,14.528,-31.616,-30.692
32.387,-1.625,-43.638,17.378,16.764,-12.253,11.343,-46.715,-8.365,-12.175,-5.481,-17.136
45.856,23.311,-18.181,42.774,27.267,10.728,-36.187,6.341,-9.797,1.909,-23.175,-13.529
35.101,36.566,-0.779,-71.992,-12.319,-17.95,-6.184,18.79,-14.047,-17.597,11.799,-9.78
38.308,93.131,2.266,-15.268,-18.027,-8.405,-8.047,-27.847,-20.658,-6.272,-32.051,-0.537
43.521,28.324,44.331,-24.48,55.489,66.816,12.867,35.75,-0.334,22.442,4.167,-33.601
48.066,20.53,41.369,3.143,44.842,-0.1,-12.426,16.179,-4.353,32.233,32.315,-24.853
47.91,140.584,81.523,27.057,-13.202,-2.256,18.561,-38.107,-0.512,-36.399,-17.918,-9.292
47.774,27.641,128.54,19.185,32.796,-44.427,47.234,8.559,5.457,5.742,-1.875,4.468
49.26,57.945,96.194,23.057,16.751,-33.492,35.211,-13.635,8.908,7.655,-14.493,-2.448
45.154,27.884,-1.513,40.183,20.804,-11.233,-19.593,-1.697,7.793,0.443,-60.05,-18.852
