0,1,2,3,4,5,6,7,8,9,10,11
0.111,171.492,8.776,-30.289,55.994,-48.148,14.187,4.865,-25.325,0.722,-12.397,-5.494
1.34,181.012,-9.751,-27.478,61.905,-53.412,18.132,-7.888,-23.538,9.993,-12.742,-0.07
2.467,185.301,-28.976,-31.533,66.492,-49.364,4.86,-13.301,-26.534,4.809,-3.983,6.078
4.295,160.703,-1.626,-49.08,45.115,-17.094,-5.296,-35.921,-11.87,0.56,-20.817,-0.69
7.051,114.991,-3.638,-42.373,59.165,-30.954,-6.371,7.981,-19.92,-18.753,-9.915,9.128
8.491,155.397,23.261,-28.192,-3.074,-34.561,-25.706,-9.372,14.859,12.94,-13.197,12.112
9.242,96.862,16.189,-16.317,15.626,-40.925,-18.415,-9.417,-13.088,16.937,-8.142,-4.679
9.434,48.841,17.325,-28.318,43.281,-36.059,7.414,-0.485,-37.66,0.912,-5.143,5.295
10.673,47.085,15.232,-32.304,29.591,-35.562,-12.165,2.266,-24.506,-5.489,2.869,-5.672
11.519,60.539,31.482,-17.308,20.263,-38.814,2.853,1.308,-11.768,7.094,-7.536,-13.972
13.448,70.3,46.987,-34.999,6.282,-20.885,4.843,-25.301,-9.421,18.091,-6.602,-10.042
15.2,38.346,40.002,-25.003,8.391,-22.299,-19.485,-1.692,-19.668,-2.656,-12.196,-0.36
17.331,36.842,37.877,-14.756,14.306,-26.776,-25.474,0.803,-4.122,9.698,4.053,4.401
18.149,42.627,55.604,-11.12,14.818,-29.334,-18.182,-3.89,-7.585,-0.592,9.016,9.188
18.515,23.067,43.091,-10.496,18.634,-17.937,-30.439,-6.106,0.679,-14.107,5.795,-9.742
19.053,21.323,48.458,-31.518,0.65,-27.36,-5.191,-1.991,-12.6,10.343,-4.073,-4.012
20.649,11.775,28.552,-5.668,0.366,-30.136,-12.415,6.315,-2.765,-0.573,1.638,1.767
20.722,23.117,28.457,-28.415,0.32,-24.989,-16.843,2.156,-0.527,-1.232,1.164,0.894
22.028,22.34,36.91,-11.171,4.097,-29.463,-13.444,-3.461,-4.28,7.21,-4.252,-0.441
22.189,27.751,49.492,-23.128,3.847,-27.324,0.82,-13.627,-1.39,11.389,-8.132,0.284
23.278,40.298,40.607,-22.835,3.043,-25.536,-22.06,-12.764,-1.262,-6.173,11.731,5.575
24.543,65.63,26.4,-9.067,14.614,-34.609,8.915,-18.14,-23.044,4.395,-0.159,-1.985
25.975,33.562,6.224,-27.346,35.976,-41.496,-17.164,-5.962,-21.729,21.723,-5.597,-12.274
25.858,40.837,-4.281,1.722,14.358,-57.656,-19.454,-18.686,-9.0,15.501,-15.523,11.287
25.904,23.241,22.654,-13.187,12.769,-36.707,8.136,8.023,-0.176,-5.596,-3.747,6.84
26.212,18.934,20.734,-16.846,14.853,-34.385,-13.82,9.757,2.017,-3.761,3.689,-2.384
26.863,56.27,-0.167,-22.398,18.634,-11.142,-15.593,-12.239,-17.701,-43.724,2.525,-5.866
26.847,38.654,30.973,-8.421,12.225,-37.629,-0.62,-22.03,-9.527,10.765,-6.922,-9.189
28.462,38.517,44.714,-4.021,29.298,-36.364,-17.429,-14.308,-9.391,-7.113,-0.077,-1.778
28.757,18.334,45.605,-19.349,1.334,-26.224,-35.423,-13.097,-34.085,4.276,4.014,12.373
30.132,-14.089,45.417,-25.051,21.518,-27.255,-46.868,11.108,-12.225,-2.706,3.884,6.241
30.256,9.018,53.104,-3.118,15.077,-46.803,-23.225,9.419,-1.484,3.621,2.999,9.831
29.246,28.978,43.53,3.399,9.024,-26.745,-15.21,-0.933,-9.838,8.087,4.63,5.664
30.201,30.34,60.0,-15.202,15.715,-25.432,-19.454,-8.778,-10.586,8.428,5.366,9.355
31.252,1.356,58.6,2.291,27.113,-34.878,-25.294,6.494,-5.42,-2.155,8.424,1.726
32.05,12.34,44.594,-5.547,27.142,-28.451,-37.048,3.145,-6.141,-5.313,5.869,23.457
32.163,5.64,52.752,-9.635,30.502,-39.366,-38.799,-12.845,-10.488,13.003,9.689,16.277
32.715,35.662,73.968,-1.836,31.126,-27.751,-33.206,-5.269,-6.021,-9.639,12.699,6.926
32.89,14.368,66.069,-20.029,30.841,-25.276,-43.151,-5.978,-20.106,5.756,6.949,22.778
34.188,12.526,64.9,-21.151,26.651,-19.565,-32.844,-19.103,-20.136,-0.374,2.67,29.003
34.903,21.678,41.386,-14.552,14.685,-27.533,-43.212,-7.122,-14.891,-12.131,6.004,16.495
34.983,2.027,35.613,-27.364,-16.174,-30.681,4.898,5.548,-9.136,5.004,-6.546,-0.437
36.259,6.668,28.053,-22.342,-2.041,-31.888,-9.544,15.992,-9.309,-2.012,-2.672,15.634
36.749,11.619,44.759,-29.043,-2.947,-24.868,-2.801,-11.512,-4.888,12.877,-9.467,-6.226
37.241,9.696,17.028,-0.681,2.477,-54.473,-25.185,-17.08,-7.164,1.222,5.867,20.876
37.04,31.803,43.104,-3.52,1.304,-29.706,-6.108,3.535,1.504,-2.962,-0.911,-1.988
37.451,12.288,40.368,-3.083,15.304,-40.203,-16.007,0.077,-4.651,0.084,9.321,19.925
