0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
44.995,151.873,66.123,7.627,6.413,43.204,-14.992,-17.764,1.479,66.016,41.477,-29.262
45.987,141.87,75.919,-6.763,13.555,-22.535,-36.907,-27.816,10.469,5.488,-14.336,-12.049
46.699,84.748,88.891,4.571,-5.803,-19.604,-15.282,-3.755,-8.646,-7.038,-6.519,-13.001
45.725,49.88,48.187,2.648,-21.769,-43.066,-9.423,-21.468,-11.299,12.759,-8.436,-12.506
46.264,44.481,64.258,8.287,-17.235,-14.231,-8.249,-14.103,-8.731,-8.06,-9.682,-25.953
46.523,35.422,69.47,1.501,6.337,-27.854,-25.421,-7.681,7.5,1.767,-9.841,-26.928
46.247,41.44,76.168,5.495,-9.768,-29.607,-22.084,-19.185,-10.917,4.766,-24.31,-25.526
45.548,23.156,74.621,24.031,-16.095,-33.42,-8.293,-11.257,-12.018,-4.101,-4.817,-22.589
45.697,29.212,80.745,27.056,-15.938,-24.078,3.943,-9.509,-20.035,3.534,-24.457,-9.113
45.945,74.911,70.671,4.654,2.122,-25.157,-33.641,-23.809,12.248,-0.542,9.937,-30.082
44.992,14.8,88.491,26.443,26.938,-35.416,-46.345,-12.811,-11.291,-3.132,-5.607,-14.14
45.113,6.007,85.961,-10.084,21.496,-13.056,-19.194,-12.56,-2.377,-3.237,0.497,-22.802
46.746,70.818,84.572,12.75,6.374,-42.484,-30.691,-4.728,1.373,1.996,0.193,-24.218
46.364,56.566,94.924,4.318,-3.002,-23.73,-32.639,-1.843,-9.079,7.004,-6.145,-51.936
46.128,64.257,93.673,2.638,-12.614,-14.202,-38.553,-12.877,-22.714,-2.216,-9.001,-33.352
46.152,64.047,89.392,11.45,-6.895,-16.406,-26.99,-21.575,-15.103,-1.411,-11.8,-29.262
45.193,13.356,107.715,13.591,13.047,-20.651,-1.445,-15.114,-9.266,-9.116,-10.519,-29.16
45.425,9.943,98.052,-11.694,4.169,-29.224,-21.695,0.556,-11.056,-1.274,0.408,-38.384
46.019,31.224,89.613,2.618,4.62,-13.268,-40.194,-11.521,-15.323,-18.888,-2.124,-29.574
