0,1,2,3,4,5,6,7,8,9,10,11
0.049,170.425,10.478,-28.484,58.278,-49.64,16.39,5.278,-27.126,1.475,-10.828,-5.596
36.922,78.529,41.434,-22.327,25.265,123.506,30.573,-3.55,-2.622,39.04,82.192,-17.203
39.351,62.395,44.251,24.181,5.958,-20.288,-20.671,-13.38,-19.683,-6.12,7.228,-3.323
37.65,21.423,21.467,0.47,-2.642,-8.429,-11.296,-8.12,-7.961,-7.047,-38.827,4.515
40.558,67.698,38.115,5.152,6.18,-13.138,-5.001,-4.489,5.295,-7.909,10.85,-10.642
41.043,80.363,53.072,28.506,15.452,-38.921,-11.028,-15.889,-13.541,5.622,-13.828,-4.224
39.049,22.169,10.22,43.613,-24.683,-47.091,0.09,-31.562,-11.062,13.312,-26.3,13.167
39.403,30.259,46.127,12.153,4.864,-9.788,-4.384,-6.273,-11.441,-16.263,-22.916,4.965
37.787,23.568,66.35,-69.139,-2.818,15.854,4.573,30.425,-1.772,-23.349,-10.95,-9.846
41.122,91.613,69.571,22.616,28.995,-45.466,-25.79,-7.071,-6.115,-11.908,-12.643,0.987
39.342,35.577,13.637,33.248,-22.275,-27.666,-3.837,-10.598,-9.922,-0.072,-19.169,12.825
38.717,32.181,11.977,16.959,-11.191,-14.334,-5.465,-2.563,-0.973,-2.73,-32.702,-2.835
40.622,65.97,45.872,10.307,8.211,-12.565,-10.787,-9.647,-8.558,-2.626,17.091,-9.682
39.211,52.574,40.428,-14.309,3.457,-29.581,-12.484,-11.414,0.512,2.482,-6.012,-11.392
38.192,14.713,8.144,45.602,-20.274,-33.216,5.182,-11.508,-6.879,-10.867,-30.356,4.616
40.773,65.673,33.415,-8.858,-8.954,-15.919,0.352,-8.984,-0.275,7.036,11.599,-12.491
40.47,87.641,89.403,11.48,20.156,-40.758,-9.11,-1.253,-3.983,7.61,-7.545,-14.399
41.818,102.542,99.399,-3.397,32.646,-32.661,-0.344,4.348,-1.013,8.148,-3.352,-12.633
42.007,96.295,86.291,25.346,23.258,-39.456,-4.316,-12.133,-3.378,5.148,-24.983,0.218
41.819,53.257,29.265,26.312,-11.367,-26.545,-15.825,-9.055,-6.127,5.023,-29.367,1.404
40.294,33.487,48.058,-22.762,10.962,4.984,-3.741,6.463,-4.279,-4.004,12.939,-5.535
