0,1,2,3,4,5,6,7,8,9,10,11
0.134,167.87,9.903,-32.179,59.233,-50.809,13.186,-0.098,-27.242,0.243,-8.536,-7.851
34.593,-76.843,66.795,2.147,91.285,11.767,18.357,-9.028,-15.889,23.867,50.156,-6.704
36.951,-26.475,70.312,49.536,17.777,-63.929,12.211,-17.656,-35.515,5.329,9.217,23.908
38.342,51.316,87.982,19.139,11.289,2.421,30.664,-2.186,-7.389,-21.73,-16.008,17.008
39.092,114.042,112.663,61.481,0.644,-40.242,36.633,-13.032,1.96,11.356,-6.64,14.263
37.362,144.649,124.578,77.339,1.292,-20.347,37.274,-12.301,3.59,-13.155,2.259,-2.079
35.542,158.663,157.464,71.437,4.55,-3.827,36.773,39.113,-2.337,-24.843,-9.755,1.013
35.698,282.999,152.1,50.212,-36.914,-27.507,11.345,16.368,-17.937,5.867,-20.079,4.838
35.672,177.715,139.383,30.617,7.536,5.778,-22.427,-79.906,-27.362,31.609,-40.254,-0.196
38.528,109.932,137.475,37.086,51.05,13.71,-26.806,-15.501,10.381,-20.069,-9.486,-12.224
35.472,78.563,141.058,120.398,52.745,-45.871,15.835,-38.773,-21.032,1.582,-35.45,6.169
33.218,-41.328,127.541,7.023,64.031,-10.389,4.531,6.882,-6.813,-12.356,-32.944,-2.022
34.166,22.284,90.434,54.853,19.346,-16.629,10.259,27.613,-18.719,-5.776,18.902,20.814
33.305,44.428,136.203,91.721,48.606,-41.073,7.262,13.277,-16.635,-9.49,-1.814,13.721
30.157,70.816,166.923,128.645,61.053,4.505,27.814,3.488,-17.449,-12.803,-23.581,22.991
27.214,44.16,192.369,24.61,81.9,-0.408,35.375,3.782,-17.755,-8.276,-32.729,31.308
28.39,110.266,178.691,111.878,64.61,-44.729,3.492,25.391,-19.47,-2.284,-3.25,21.547
31.837,-4.166,149.627,-57.056,53.511,15.142,44.205,-5.006,-12.911,21.272,-3.935,18.33
35.365,1.774,128.225,96.995,75.099,-16.214,7.634,-28.214,-0.734,-23.537,4.192,4.828
34.047,27.271,138.716,39.395,95.747,-18.329,3.328,-17.807,7.118,-7.107,8.895,21.351
35.348,21.168,148.823,47.778,88.371,-2.094,-13.713,17.019,11.157,-7.216,-26.869,-8.234
30.988,-64.378,136.498,26.694,103.824,-37.676,-14.988,-14.741,-9.888,46.636,-2.153,-15.932
33.149,38.85,157.322,113.289,76.909,-46.119,-9.283,-21.866,-16.494,-7.38,-9.513,-0.609
35.527,76.957,182.217,70.989,87.236,-20.295,-8.784,-16.093,-3.438,4.121,-18.662,7.748
36.567,-73.817,87.909,-36.198,48.375,-0.183,-2.644,0.268,-2.025,-15.027,-17.4,18.539
36.689,-114.526,-14.64,55.57,-3.96,-29.236,15.156,-43.5,-21.403,-11.712,-11.377,18.191
35.521,-70.293,-26.92,-5.047,-4.306,7.147,-2.682,-0.849,19.799,-41.002,-24.23,15.694
30.021,-219.355,-34.56,-16.193,44.003,-20.752,5.235,0.083,-1.317,18.412,-18.639,7.612
29.478,-199.9,43.48,-17.205,60.456,-20.267,14.311,-12.602,-17.39,1.319,-30.357,10.215
36.002,-112.973,-2.288,-34.252,-0.854,62.593,27.941,-6.804,15.071,-57.489,-29.241,-9.616
34.961,-160.256,17.591,-12.935,20.396,-53.806,-29.152,15.359,9.908,-30.851,14.541,-4.503
37.17,-81.4,45.461,44.767,21.002,-11.114,-5.578,-60.691,-26.224,5.222,-32.722,3.562
35.397,-144.037,33.857,-34.957,7.896,-24.482,26.813,17.382,-5.263,-29.891,-11.115,15.749
37.332,-114.269,10.204,51.352,-12.575,-40.518,11.053,-42.96,-35.44,6.423,-38.271,16.672
33.688,-133.426,-6.647,36.248,0.244,-6.567,9.507,4.74,-7.332,-26.153,-3.382,-5.754
32.726,-183.217,11.911,-3.614,25.355,3.203,26.949,12.066,-8.212,-11.693,-30.058,13.327
35.758,-149.794,8.713,-6.218,24.506,3.101,10.375,-4.831,-7.067,13.33,35.239,-9.206
37.077,-128.028,13.759,44.384,31.063,-20.408,-8.191,-40.562,0.422,7.921,-33.722,11.27
33.964,-221.291,-4.714,20.844,43.69,-1.988,4.874,10.615,-0.644,-14.586,-8.043,3.236
37.504,-126.804,58.548,-31.718,29.496,-21.066,-7.016,12.257,-20.761,-6.533,-6.161,8.974
37.565,-117.45,6.679,-10.009,21.442,-32.487,23.725,-5.951,14.337,0.433,-17.172,1.625
38.588,-111.463,53.418,-3.582,21.249,-50.616,-6.252,41.073,-15.059,-7.371,53.923,6.0
38.927,-111.605,58.02,17.298,28.558,-42.177,17.855,6.547,-19.176,24.888,-9.979,17.513
38.079,-74.233,19.229,10.87,5.542,-8.929,45.53,0.245,-10.849,-44.113,-29.394,46.997
40.169,-119.289,33.684,1.145,17.645,-3.63,0.884,10.473,-3.512,-28.852,26.769,7.433
38.433,-96.236,19.667,12.276,-5.604,-52.193,9.188,-11.827,-11.626,-5.191,-3.445,9.4
37.598,-144.591,28.265,-11.276,7.261,-26.953,20.765,18.182,-4.805,-4.73,-10.988,10.69
38.817,-31.073,99.816,22.343,10.526,-13.162,17.107,55.311,-14.947,-53.17,29.263,7.397
39.657,-14.62,118.305,43.32,13.276,-52.251,13.471,32.826,-25.352,-46.32,27.745,16.486
40.31,-30.722,121.522,45.824,11.433,-48.094,24.735,31.533,-24.7,-42.364,13.02,16.413
42.829,-43.012,78.551,28.479,0.198,-42.049,16.012,8.093,-35.741,4.537,5.787,22.3
43.584,-14.674,91.351,9.885,12.78,-13.431,19.1,10.599,-23.308,9.895,18.186,19.63
44.245,-18.876,63.545,36.75,2.462,-18.564,-1.225,15.761,-25.302,-12.065,21.338,15.444
43.992,0.606,66.256,15.367,0.793,-21.629,11.987,0.45,-11.131,2.621,3.609,11.32
43.704,-21.936,58.842,-23.547,7.202,-22.646,6.293,3.146,-3.563,-12.939,-3.579,3.109
44.409,-9.895,52.336,-0.674,11.063,-17.069,9.085,4.374,0.502,0.339,-16.906,9.129
43.364,-9.805,60.753,-18.338,23.955,-25.891,9.086,-12.756,-2.481,-6.654,-2.212,25.439
44.448,0.235,45.624,28.844,13.301,2.511,-0.138,12.47,-10.378,-17.793,-11.648,17.058
43.158,-6.345,45.869,14.51,13.478,-25.933,9.99,-7.961,-10.393,8.908,-3.476,15.111
42.81,-28.089,22.832,58.311,3.503,-1.61,-10.903,12.158,-14.824,-8.747,-4.775,9.962
43.906,0.843,32.06,55.485,33.174,19.641,3.031,-21.078,-7.835,16.562,20.752,-0.681
42.919,-5.362,22.21,55.35,-23.492,-16.905,-12.258,8.287,-12.124,-15.792,-4.138,3.649
44.777,11.953,9.793,76.247,19.757,8.579,-6.04,-32.989,-10.616,16.525,-3.146,3.474
38.41,-35.804,10.228,-5.001,-2.564,-40.068,11.42,0.344,5.244,-3.125,5.315,3.95
43.51,6.206,43.175,4.688,3.831,-8.155,3.238,-11.339,-9.936,3.304,-9.716,0.219
43.028,13.127,48.727,-15.635,-2.701,-28.9,16.582,6.185,-2.546,-4.973,1.427,0.308
42.914,18.463,43.857,33.433,10.417,8.636,0.475,-0.323,-9.543,-20.139,-46.948,16.33
29.005,-141.52,128.657,10.019,83.529,-18.319,6.299,1.478,-14.488,0.93,16.099,-8.827
31.473,-184.676,99.607,6.33,84.963,-11.017,19.895,3.998,-1.057,-2.175,-10.563,-3.228
35.252,-167.929,75.382,72.785,97.077,-71.878,-18.747,-6.52,-12.01,-5.348,-7.433,-7.41
37.44,-178.153,14.785,-85.364,19.867,-4.493,-12.731,19.821,-21.894,-17.597,16.402,-9.479
47.91,-7.057,51.96,-131.236,12.675,0.815,15.304,67.803,-10.448,-26.779,16.333,-0.91
52.455,55.635,19.788,-11.591,17.568,-18.57,21.55,-9.414,-11.902,26.352,-9.288,16.504
51.437,44.66,2.35,-3.29,6.952,-35.677,21.904,15.394,0.858,-8.558,-25.551,-5.287
54.464,67.111,12.939,13.49,5.713,-8.313,-1.752,14.025,-23.859,-0.161,25.429,-6.012
51.9,45.091,-7.302,18.961,-9.968,-26.121,3.745,-8.341,-8.038,1.397,-10.614,-3.141
50.921,104.611,-40.483,-4.729,-36.777,-21.555,-4.482,18.172,-36.81,-18.68,-1.671,-11.009
51.133,-8.534,-8.169,-3.985,-0.751,-72.265,24.555,-12.374,-9.604,18.981,-14.649,6.384
48.698,4.185,-15.462,2.865,47.514,-71.464,35.921,-40.168,17.77,6.145,10.719,-2.348
50.082,0.185,-48.666,46.5,37.597,-9.093,39.142,-23.484,8.706,-4.266,-14.328,1.517
50.205,-20.561,-30.697,-8.09,8.596,-23.917,31.024,-10.92,-7.27,-2.334,36.497,-23.972
52.967,67.938,0.097,-17.288,-6.679,17.269,-14.878,19.64,-7.194,-33.286,7.628,-30.306
52.541,78.503,-1.197,-0.509,-52.58,-37.058,-5.483,18.279,-33.819,7.459,25.712,-7.59
50.469,90.853,-41.64,24.803,-35.84,-50.89,-12.661,8.63,-53.717,14.181,-15.163,-0.434
48.424,84.882,-86.447,-5.98,23.203,-44.096,12.126,-42.48,-47.73,0.752,-7.38,13.389
48.853,32.36,-1.509,-52.615,-10.833,9.335,6.184,11.63,-39.282,-21.461,-7.899,-18.464
52.676,62.366,-32.732,21.786,23.549,20.262,0.108,14.033,-21.577,12.224,15.026,1.16
51.249,78.563,-0.636,-34.766,-36.196,-34.02,8.2,-26.199,-28.38,0.622,-11.59,7.895
51.855,37.532,-26.424,36.054,11.029,15.54,11.565,12.828,-11.548,-17.535,-34.798,13.37
51.98,47.225,-5.811,-31.067,-27.47,-28.317,15.867,-2.812,-42.378,4.374,19.482,-36.13
51.776,55.61,-37.692,7.318,-18.977,-74.666,-14.051,10.79,-34.186,-19.429,-24.096,-1.436
49.817,54.871,-44.913,-15.673,3.527,-28.911,34.004,-65.54,-52.352,1.924,-24.293,-1.158
51.634,26.078,-13.994,2.7,-6.176,-25.253,46.412,-26.735,-23.589,-16.876,11.67,1.174
52.236,34.793,-23.168,-0.267,-3.901,-58.453,5.038,-0.184,-8.518,-1.94,7.809,12.646
52.483,81.027,-16.35,34.19,-3.809,-48.325,-21.91,17.352,-16.832,-1.207,-12.998,20.7
49.426,78.758,-19.46,-18.979,-10.07,-76.731,10.503,31.426,-11.143,-4.195,5.003,-0.207
50.835,100.082,-31.17,12.692,2.682,-55.296,0.624,28.852,-23.21,-23.749,-21.849,4.963
53.7,108.064,-8.855,-1.063,3.255,-17.449,-21.533,16.019,-9.747,-0.381,23.039,8.93
53.148,41.434,2.367,7.056,-3.623,-39.757,21.326,14.541,-15.787,6.52,1.302,-9.557
49.853,74.652,7.569,-22.185,22.658,-22.052,38.646,-48.752,-30.236,-3.567,-32.435,7.368
50.202,9.696,-15.31,12.14,37.21,-30.604,64.541,-9.272,9.386,-11.535,-5.0,15.184
53.177,19.242,-3.04,17.402,19.764,20.673,30.276,15.492,19.486,-16.727,8.296,9.574
51.59,25.47,0.408,-13.706,8.334,-30.572,66.028,-9.242,-22.847,33.432,-7.398,38.09
51.181,45.736,-21.068,-2.068,-19.582,-63.942,24.639,-7.129,-7.715,24.844,-12.389,27.229
51.24,28.954,-14.463,-21.392,6.823,-28.682,35.303,1.993,2.628,13.202,-13.668,30.67
48.936,26.758,10.448,-54.397,6.702,-17.428,16.111,32.846,3.48,3.743,-21.074,6.223
52.492,57.807,7.133,-41.858,-5.727,10.063,-19.095,20.235,-10.616,-23.33,-23.81,-24.328
50.628,78.667,-47.685,-8.716,-8.583,-43.838,1.249,18.291,-27.978,-19.322,7.807,-9.922
50.232,49.406,-17.375,-11.928,6.352,-39.086,2.713,47.548,-26.274,-25.651,-10.082,0.731
51.415,87.622,-31.153,-32.903,-28.857,-55.161,-9.246,16.834,-33.309,-9.091,-0.279,-20.189
50.357,67.503,19.219,-30.922,16.756,-5.989,-11.821,18.761,-38.545,-6.525,-45.728,-0.375
50.841,38.104,-12.56,-14.273,-9.318,-20.314,21.09,-22.019,-24.975,25.319,26.49,-33.816
54.357,56.08,-7.868,20.174,-4.4,-53.375,0.619,12.213,-23.393,5.481,-15.695,-12.189
49.116,72.778,-79.912,-40.956,0.66,-27.256,8.299,-86.859,-19.214,10.754,-33.328,-1.507
50.66,6.608,4.623,-24.711,-34.171,-23.095,8.348,29.647,-35.268,-21.816,-19.758,-5.054
50.065,-14.131,22.956,-51.321,-12.286,-23.224,24.458,37.86,-8.062,-17.761,-17.509,-13.703
52.4,84.808,-33.109,-30.399,1.429,-72.004,-9.252,41.237,-7.588,-11.268,-8.884,1.908
52.472,114.071,-16.375,14.315,1.375,-0.639,-7.863,3.111,-15.242,6.462,-9.749,15.264
48.134,61.044,-29.4,-6.739,-6.938,-82.381,15.93,24.136,-15.734,-7.239,-10.212,-3.957
48.021,104.808,-56.194,-0.555,8.984,-84.881,16.995,37.619,-8.46,-18.037,-17.484,20.23
52.743,96.816,11.766,14.826,10.163,-45.195,-9.666,1.311,-21.557,1.783,27.454,-3.739
53.567,33.003,30.867,-9.179,8.361,-35.354,36.021,52.961,-5.809,-5.199,4.767,24.787
51.946,77.925,10.54,-25.473,1.537,-31.117,13.793,-3.075,-7.505,-1.496,-11.533,-2.355
51.429,48.016,33.823,1.367,-12.977,-22.964,27.673,4.031,-27.96,-1.347,-18.389,-6.931
48.396,28.849,4.562,-39.201,-14.396,-28.621,12.139,13.82,1.534,12.837,-20.266,8.39
49.852,30.282,13.067,-10.577,7.255,-39.31,31.104,-19.673,2.836,31.887,0.502,17.881
50.102,-5.523,33.775,28.527,-13.06,-35.214,31.133,-0.889,-44.032,-12.952,-23.1,4.04
48.381,13.999,10.426,-5.387,-25.677,-20.526,-4.493,-0.803,-32.065,-12.264,-13.023,-8.006
47.519,23.007,-2.848,-20.464,-43.616,-17.206,-29.068,-3.619,-13.451,-21.999,-25.318,-15.088
46.613,12.322,-12.525,-44.112,-0.227,0.41,12.846,-5.847,16.281,-4.723,-13.52,12.16
46.609,41.579,-61.672,-14.308,30.619,-47.353,3.361,-9.911,25.613,-21.516,-10.34,26.884
47.931,8.461,21.115,2.927,-35.975,19.711,24.721,6.908,-3.856,-39.98,-6.848,-1.073
49.355,-4.568,45.187,-24.579,-24.251,-0.764,22.713,25.571,-22.367,-4.667,24.497,-10.12
50.474,35.112,-1.228,69.261,-29.206,-31.29,-9.092,-18.733,-51.802,-16.859,-29.987,-0.588
