0,1,2,3,4,5,6,7,8,9,10,11
0.043,171.863,10.622,-29.79,56.458,-50.743,14.478,5.422,-26.574,1.345,-8.986,-7.534
40.231,95.091,-79.402,-13.34,-1.06,242.34,39.043,-14.893,-9.818,78.213,97.893,-18.582
50.764,65.621,-46.292,3.58,-15.298,34.502,-3.606,-8.381,-22.229,12.059,-2.402,8.21
52.276,116.286,-37.178,-0.932,-43.107,-9.472,-32.829,24.491,-32.402,3.375,-21.321,-16.128
49.351,104.473,-50.457,-37.658,-29.174,48.957,-18.606,-45.978,-42.844,23.134,-47.403,-2.961
52.484,106.285,13.636,-38.765,-44.733,-15.542,24.75,-32.994,-32.863,25.678,-4.669,1.953
52.167,82.902,-18.481,29.889,-39.828,-53.199,-25.115,0.689,-23.702,-13.143,-30.14,16.37
51.813,102.366,-11.094,-37.096,-29.317,-0.759,11.485,-41.444,-6.907,16.852,-1.732,3.285
50.902,94.63,-46.263,4.77,-43.734,-52.026,-37.678,4.588,-23.62,-3.495,-30.619,-4.503
51.54,97.189,-17.077,-24.271,-52.685,-47.396,-18.268,27.904,-16.178,11.029,-11.595,-3.998
51.69,94.288,-46.821,-9.652,-30.954,-36.739,-40.709,3.882,-10.56,2.398,-0.972,4.46
49.647,94.296,-35.89,-68.832,-45.248,5.885,-42.153,27.969,1.03,-2.812,-21.414,-16.88
50.068,107.44,-81.664,27.236,-27.582,-24.795,-44.292,-7.814,-6.079,-3.469,-22.4,7.345
49.212,111.197,-28.877,-79.572,-56.217,44.544,-11.36,6.359,-16.733,-16.81,-4.204,-21.416
51.124,118.111,-38.754,-26.757,-16.808,-47.059,-6.613,-18.824,3.583,25.333,-8.287,40.817
53.182,108.094,-26.048,16.336,-15.734,-6.808,-21.798,26.694,-5.291,30.7,-12.383,6.483
50.815,117.402,-32.609,-46.619,-42.692,-12.897,-18.507,-44.308,-22.215,40.151,-1.678,-12.332
52.589,52.606,23.097,-15.199,-12.049,-35.187,-5.191,-5.147,29.341,5.359,-26.717,-52.287
52.33,61.884,-7.659,-18.979,-4.15,-16.844,-15.434,1.262,12.331,0.388,-32.325,-46.824
49.243,131.626,-40.027,-8.385,-57.229,-4.97,-32.687,-23.02,12.186,-10.297,-32.213,4.253
48.913,104.925,-48.81,-28.408,-56.38,-3.412,-7.171,7.301,-4.475,14.64,7.628,-0.047
49.038,122.622,-33.683,-38.233,-40.241,-13.489,-32.627,-13.98,0.654,11.038,-20.954,-22.333
50.572,131.817,-52.946,-10.474,-22.706,7.779,-31.26,11.474,-31.509,22.519,-15.692,0.136
50.485,114.181,-8.115,-60.314,-44.26,35.05,-11.393,-13.111,-39.61,24.477,-13.443,-30.231
51.738,105.814,-42.777,17.281,-36.245,-25.131,-41.287,49.478,-35.926,-19.387,-24.343,-8.461
52.204,93.706,-6.34,-25.696,-38.98,-14.545,-11.278,33.821,-26.768,34.585,6.885,-14.74
50.102,100.309,-64.32,3.89,-33.113,11.047,-39.934,13.795,-43.39,28.433,-20.05,-16.459
50.089,49.383,-37.178,-19.236,24.53,-12.182,25.725,-4.223,10.765,59.281,17.011,-6.078
50.233,39.039,-22.901,2.289,11.262,-29.587,6.496,-7.562,41.362,22.725,-26.542,-17.736
52.288,83.506,-41.094,-6.455,14.869,-41.809,5.738,28.134,-6.004,21.169,0.419,28.161
51.236,140.777,-41.114,-2.492,-59.268,-35.615,-29.688,25.522,-7.517,-12.883,-22.992,-5.992
49.961,89.139,-52.148,-1.6,-29.991,31.495,-32.156,-2.526,-5.92,-6.18,23.129,-12.615
50.113,136.324,-67.629,-5.94,-35.465,15.817,-22.042,33.022,-20.343,6.946,-10.257,-19.504
49.82,109.456,-70.938,-2.363,-25.53,-25.099,-38.973,29.868,-20.405,18.427,-4.985,-2.451
50.721,33.681,-32.124,13.957,11.821,-31.308,12.597,15.926,-18.438,32.133,-37.563,1.38
47.416,47.878,-27.317,-100.158,-6.916,70.372,15.013,0.378,-11.237,-20.321,-16.797,-0.366
52.155,54.743,13.883,-29.457,-18.912,-5.195,8.251,17.964,-27.935,-23.091,9.515,-24.15
51.505,124.302,-40.988,-24.472,-19.551,-70.319,-16.689,13.376,-40.734,-26.862,1.717,-7.405
50.593,83.187,-19.618,-18.892,-29.98,-66.626,-23.743,2.983,-17.709,-8.407,4.891,4.104
49.788,92.587,-27.899,-24.461,-57.258,-67.155,-12.607,1.069,-18.345,5.762,-18.006,-7.747
50.891,87.024,-33.602,-19.934,-30.773,26.69,-16.242,-18.411,-15.587,-20.187,-8.44,-8.374
52.022,134.385,-22.682,-27.239,-49.262,-16.519,-30.123,-27.342,-10.766,6.749,-22.253,-13.514
51.858,92.27,-11.272,-26.314,-36.591,20.748,-2.846,-38.185,-29.207,2.857,-11.929,-0.255
51.954,79.972,4.983,-49.725,-17.814,-15.113,14.298,-21.716,-19.187,6.529,-16.773,-14.2
53.044,102.465,-20.429,-3.722,-40.531,-31.052,-44.229,-15.739,-21.367,8.89,-16.558,8.436
53.757,68.809,25.019,-2.321,-25.165,-47.789,28.102,-1.379,-7.49,33.361,-14.316,-9.024
53.107,62.256,0.083,5.224,-30.129,-49.911,-9.446,9.381,-29.471,1.871,-15.54,8.647
52.538,79.763,-9.734,-1.195,-25.848,-11.619,4.593,-2.935,-4.628,17.747,-10.965,-9.506
52.543,111.495,-24.667,-17.925,-36.04,-25.1,-24.682,-5.258,-33.263,19.015,-5.537,-4.427
51.428,115.567,-15.575,-52.01,-19.618,-21.217,18.771,-34.405,-6.954,-11.001,-3.237,-9.518
49.467,86.871,-8.431,-54.866,-43.351,-7.827,4.708,0.796,-1.31,-12.094,-23.608,1.285
50.574,55.01,6.565,-36.909,-15.258,-8.937,14.097,-16.672,3.901,2.383,-34.666,4.035
52.346,62.727,-2.609,-8.128,-2.539,24.621,12.06,-5.437,-3.416,4.874,-7.533,3.246
53.474,86.877,-1.092,-30.382,-5.621,-9.418,-6.135,-25.083,0.828,12.227,-4.591,-24.982
51.73,57.774,-7.954,11.842,-14.768,-67.16,-3.93,2.894,-1.92,2.528,-23.524,-1.655
49.923,84.304,-19.39,-8.03,-43.097,-14.847,11.174,-0.346,-12.47,0.636,2.347,-7.109
50.863,72.685,-16.697,-40.86,4.458,6.564,3.873,52.815,-11.212,-4.457,-12.775,-3.708
52.869,46.145,11.912,-1.101,-20.044,-18.873,-1.589,6.301,-14.317,30.539,-12.86,-3.396
50.409,132.115,-34.036,-51.982,-22.416,-3.951,1.587,-1.87,-56.109,-4.057,-27.742,-22.613
52.316,54.805,0.204,24.859,-25.712,-6.584,18.044,-6.634,-34.191,36.223,-18.445,-2.559
51.635,93.001,-16.683,-25.23,-13.386,14.394,3.051,26.149,-26.784,-6.12,3.392,-0.726
53.251,50.312,30.619,-6.944,-10.279,-38.375,42.837,6.79,-12.384,43.332,-13.235,2.056
52.194,94.265,-25.484,0.472,-24.798,-28.894,-16.996,12.18,-2.169,5.152,-19.109,-5.713
52.506,91.447,-11.308,-26.677,-14.45,8.279,3.609,9.706,-39.946,34.018,11.996,-7.629
51.251,71.556,-17.896,-8.449,-12.24,-64.123,-10.75,0.65,-22.712,-4.865,-11.36,9.053
52.761,104.673,3.041,-10.966,-25.094,-23.685,-14.869,20.484,-7.55,1.653,-9.164,16.291
51.989,93.985,3.685,-9.514,-43.919,-1.856,-30.466,-1.048,-24.694,1.194,-35.195,-7.704
52.78,96.471,2.9,-25.248,-36.022,10.932,-19.397,-2.58,-8.341,20.92,-12.872,-14.393
51.87,101.524,-22.95,-51.96,-28.707,-15.171,-19.134,15.02,-17.11,-22.302,-21.093,12.145
51.95,66.784,5.044,-9.515,-24.98,-44.917,2.995,-7.644,-30.101,11.517,7.321,23.549
51.686,50.372,23.128,4.929,-13.821,-32.631,30.772,-12.767,-12.403,5.245,-1.587,23.029
52.605,27.118,34.302,-3.784,30.738,-18.691,23.584,5.328,0.92,14.93,-5.74,-0.17
53.822,48.389,34.194,-1.495,11.201,-55.07,42.446,17.354,-2.108,22.857,-9.576,4.516
53.476,125.871,-21.618,-32.742,23.847,-53.491,-6.774,15.084,-21.255,-27.373,1.978,2.514
53.154,96.994,6.732,-10.797,-25.909,-23.942,8.634,-25.221,-37.346,20.247,-11.912,14.979
53.193,67.918,23.09,-52.08,0.634,-20.242,22.508,-3.091,-33.321,9.397,-4.975,7.377
