0,1,2,3,4,5,6,7,8,9,10,11
0.268,176.785,7.853,-37.42,60.377,-55.115,14.89,13.943,-29.78,4.715,-5.481,-8.245
30.068,140.787,29.003,-202.852,62.953,205.384,42.501,-27.014,-58.977,31.601,-7.305,-5.953
39.015,130.162,-26.629,78.686,26.128,34.818,-53.546,31.244,-65.716,-8.866,-16.63,17.006
40.148,118.643,21.799,27.589,69.89,57.078,-9.009,13.985,-51.015,27.815,-6.515,3.226
33.154,62.728,21.849,-180.426,74.788,42.133,33.098,-6.2,-20.374,-7.863,-14.112,-6.255
38.148,107.691,-12.179,-56.092,68.03,24.135,-31.462,31.596,-16.637,-26.294,-26.534,19.924
41.478,110.292,41.194,-89.286,86.409,22.814,-4.17,1.94,-31.253,6.311,18.377,17.002
41.559,84.343,15.0,98.554,67.626,-16.104,-64.278,2.193,-30.688,-18.284,-64.727,-21.215
34.48,97.708,-89.225,-60.43,56.675,42.249,-26.319,-66.926,-21.917,18.787,-20.411,15.883
39.806,44.628,1.995,-0.472,58.619,34.076,-14.725,3.946,-14.601,-31.483,-30.102,30.431
39.87,106.935,-49.391,34.805,5.348,11.609,-98.331,6.002,0.424,-45.99,-20.469,-8.398
38.405,81.118,-36.391,45.672,44.91,142.618,-44.496,7.941,-11.662,-6.933,-21.262,1.083
41.337,126.314,66.268,-65.667,72.874,105.881,7.826,-6.712,-45.232,18.12,42.946,-10.825
43.025,105.164,15.959,90.22,44.928,12.08,-39.97,2.258,-41.938,-21.107,-70.373,3.777
41.942,79.827,60.631,-167.209,43.672,143.197,26.656,31.538,-2.325,13.616,-3.272,-7.239
50.615,90.248,-9.435,-49.861,16.609,-31.023,19.592,2.29,-14.006,-4.025,-9.23,-10.408
50.912,68.082,-34.936,2.46,-3.403,-48.84,7.292,8.513,-9.037,30.344,-40.157,-7.455
50.985,92.605,-8.174,-61.203,11.457,11.498,9.128,21.052,2.44,-20.33,-23.236,-9.544
47.162,81.515,-35.946,19.872,-13.302,-90.721,-6.007,5.735,-1.132,9.301,-17.162,-0.357
48.407,107.756,37.243,12.096,5.69,-0.969,5.808,8.678,-7.998,8.516,14.862,-1.307
49.843,123.835,41.809,-78.465,31.005,89.352,35.84,-4.409,2.702,-5.163,-10.817,-5.627
50.406,88.321,64.932,-6.185,13.504,-19.048,-19.025,0.915,-9.937,-1.713,-16.804,2.699
51.806,72.671,-36.044,-3.471,7.46,-44.479,0.619,0.769,-16.433,19.566,-14.262,-9.222
50.867,78.188,8.624,-34.627,-8.413,-23.696,11.259,0.462,-10.482,4.059,-4.549,-17.156
50.831,61.635,-23.548,14.332,-10.873,-32.536,16.863,-0.414,-0.962,20.145,-20.914,-2.323
50.334,87.931,-20.422,-49.908,17.731,35.261,12.585,24.234,15.691,-34.686,-26.053,-3.411
48.209,109.836,23.448,-24.267,-23.359,11.853,27.564,26.886,-12.969,-0.776,0.554,1.904
48.111,141.883,81.028,8.453,45.011,-24.981,23.345,9.22,-2.39,-17.616,-8.157,9.336
46.06,129.018,100.297,41.116,59.794,-13.872,1.847,4.986,10.727,-14.163,-24.715,29.345
51.04,125.771,19.5,-34.086,28.387,80.43,32.592,-4.466,-2.602,12.098,8.296,2.807
51.564,92.408,-26.264,-7.64,18.926,-20.538,7.686,10.831,-6.182,13.328,-0.932,2.161
50.989,97.631,-2.624,-39.185,5.72,-32.758,22.181,3.628,-25.748,1.524,-4.566,-2.475
51.151,68.356,-29.299,-2.554,-11.77,-48.04,9.612,8.083,-15.232,17.793,-36.956,-9.249
52.088,101.21,-23.913,-41.113,11.573,29.607,11.133,9.284,0.248,-25.103,-1.954,-0.107
