0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
50.005,15.223,-43.317,90.431,20.028,-14.686,11.961,-16.712,2.27,18.656,20.448,14.902
42.114,-94.725,-0.145,76.879,-1.134,-58.46,23.893,-2.792,-2.044,11.772,-0.168,4.734
47.581,-13.784,33.837,70.746,13.303,-17.69,17.376,-3.452,-6.016,-0.79,14.718,8.484
47.493,6.439,-26.476,98.616,36.59,-79.721,2.038,-21.183,1.503,2.022,-31.951,-10.669
40.895,-13.479,19.203,91.375,23.022,-14.275,24.527,19.448,-5.693,-1.294,-8.504,-12.182
41.568,-28.171,84.253,-63.824,58.261,25.974,55.792,6.235,-6.477,-3.425,-59.983,-8.392
47.176,41.86,-20.571,46.58,-3.826,-66.408,-1.056,-9.461,-19.411,14.368,-12.371,-5.997
46.651,-18.807,39.1,84.341,26.947,-54.766,10.747,-25.698,-5.707,14.221,-17.958,18.747
43.747,1.893,1.585,72.628,29.267,-37.543,-2.292,-38.765,-3.541,5.768,8.633,13.586
42.077,-43.535,24.195,-46.75,44.819,-5.104,12.76,18.711,-12.243,-28.144,-37.466,14.887
44.096,2.516,-65.172,171.19,39.675,29.593,35.574,-28.062,-3.941,-30.391,8.823,6.545
31.892,-85.077,53.19,40.354,35.668,-63.954,2.332,-5.998,-11.412,1.862,7.928,5.984
34.781,-61.159,113.151,-42.219,25.798,25.945,50.889,15.484,-35.981,0.55,-49.196,17.381
42.414,-7.909,-15.123,154.022,2.913,7.375,60.523,-35.98,-27.944,2.777,26.271,7.855
51.078,27.222,-57.916,77.749,3.602,-56.693,2.509,-3.655,-3.784,-8.468,-12.592,10.058
42.118,-121.565,2.01,97.314,-36.586,-106.226,28.541,5.677,-25.629,8.834,-23.305,20.092
47.206,-15.719,-6.306,47.609,-2.307,37.075,45.997,13.141,1.691,-9.159,32.984,6.512
43.996,-20.763,-29.015,152.94,16.471,-128.719,-26.283,-34.54,-14.532,3.051,-18.732,9.561
39.455,-2.061,64.561,108.664,24.011,65.247,12.167,-13.341,-21.498,-25.997,-6.348,4.628
39.757,-18.971,136.725,-102.523,48.321,35.262,34.022,11.099,-12.181,-13.192,-57.229,31.511
44.821,26.276,-24.58,41.108,1.019,-18.32,32.0,-19.515,-11.812,-21.231,3.763,13.845
46.477,15.81,-16.026,68.836,27.851,26.893,-11.876,-42.179,-0.676,-0.703,3.685,-5.051
40.019,-50.954,-22.637,35.005,13.554,-22.97,-15.698,-68.805,-11.734,-1.068,6.689,17.061
47.256,45.904,-24.776,67.508,14.741,-72.366,-3.867,-46.616,-34.17,21.743,-4.352,14.014
47.275,27.117,-32.455,101.94,32.609,-47.277,9.98,-24.383,-20.913,29.881,3.505,5.058
41.712,60.146,66.051,4.888,22.637,-26.392,-1.647,11.073,25.336,-1.657,6.645,6.852
45.332,-1.459,-17.926,63.668,9.686,-84.233,-5.002,-24.295,-2.62,23.618,4.766,20.936
45.725,6.329,8.876,53.355,20.024,-37.733,9.845,16.085,17.219,-20.99,-4.217,10.612
44.372,-20.72,0.001,-63.124,19.807,-9.978,19.533,22.021,10.707,-7.331,-38.909,17.562
43.926,-68.042,47.952,86.504,-11.649,-66.627,32.988,-0.603,-28.332,9.125,-15.028,11.666
48.765,47.035,35.7,59.757,24.183,-25.279,22.942,-7.865,-5.706,-18.439,0.132,10.306
48.267,-0.3,-7.782,99.214,33.323,-90.266,11.344,-31.128,-7.464,0.659,-29.123,-6.338
41.287,-15.645,46.581,111.415,16.254,-68.815,42.671,25.245,-26.05,9.51,25.909,-9.992
44.641,27.341,74.769,-4.904,62.437,83.911,34.605,16.04,-0.97,-16.394,-22.811,2.967
46.737,57.31,7.53,52.823,-10.322,-79.136,15.129,-11.677,-28.977,17.469,-33.949,-6.463
47.074,-22.554,17.954,68.296,42.579,-24.351,27.677,-13.198,-16.319,17.863,14.65,3.547
44.234,-18.392,20.668,18.763,37.767,18.413,13.191,-10.462,11.563,-51.264,-23.907,11.793
45.79,-1.369,-16.999,42.842,42.766,43.245,20.006,-31.291,-0.45,-63.674,1.349,8.649
45.432,8.015,-43.775,140.287,29.257,-68.148,6.799,-69.698,-18.358,23.568,-21.906,15.432
36.087,-94.717,68.139,13.93,32.383,-46.241,-0.92,9.417,-27.654,-13.293,8.709,27.02
41.27,-30.765,47.666,103.802,48.728,36.754,31.702,5.944,-7.073,15.873,25.468,-1.462
40.721,-3.755,59.201,-9.54,31.964,56.236,64.156,10.19,-4.659,-35.236,-72.024,28.24
46.572,2.238,6.904,-18.622,34.134,84.729,41.734,30.238,13.39,-26.201,-30.708,-0.431
40.722,-56.294,29.29,138.43,15.941,-57.38,13.624,-20.159,-7.521,8.402,-1.595,-16.354
47.215,48.026,39.91,63.29,63.646,-9.914,2.856,-13.597,4.719,5.736,13.61,28.159
43.079,-40.77,-49.584,142.333,-3.799,-130.587,-7.348,-17.263,-15.012,19.389,-24.367,16.688
40.071,-25.773,21.59,158.23,4.702,-20.903,31.424,-18.333,-24.926,24.495,26.498,-2.638
42.233,1.973,15.755,154.061,47.235,87.211,31.247,7.331,3.99,-0.067,7.24,3.31
44.557,-30.23,36.182,116.894,40.62,-26.91,2.794,-18.007,-18.357,46.324,33.032,5.298
39.769,-66.406,3.864,12.612,23.427,10.32,-0.139,-27.462,3.814,-48.093,-17.457,25.966
40.428,-16.981,-25.818,87.104,34.342,-108.715,-29.222,-44.182,-37.961,39.745,4.504,40.103
40.874,20.719,11.538,-79.701,57.11,4.084,-13.112,-6.955,-11.539,-8.072,-15.42,29.263
41.877,43.78,52.047,-0.067,45.321,-24.928,-38.194,-17.174,26.753,1.359,-6.957,24.831
44.545,15.357,-28.62,46.136,-9.364,-82.367,-4.388,-46.725,-2.663,46.417,-6.199,15.96
46.33,17.84,-8.515,-73.447,15.686,-5.012,-2.261,-10.007,5.572,-11.529,-4.497,-6.796
51.05,44.409,-40.621,16.449,18.446,9.282,-5.809,-40.837,-1.34,21.068,-9.968,2.724
45.943,-12.97,-36.108,79.001,-11.977,-22.739,-7.434,-28.667,-19.019,-29.347,-46.795,5.65
47.827,104.923,7.069,-12.574,-17.014,56.406,-6.443,-68.345,7.817,-48.147,37.42,-34.486
48.037,32.001,-26.631,86.044,-1.897,25.942,-29.4,9.492,-8.884,-21.658,-55.581,-10.799
41.178,-33.293,-86.587,103.54,-3.271,5.21,-20.211,-39.906,-11.061,22.245,9.865,18.258
45.063,22.98,-8.718,-151.664,-12.076,102.348,-8.954,36.816,-9.388,-31.543,2.582,-23.789
50.865,15.45,41.805,-6.502,10.405,-21.535,-47.82,-12.544,-24.083,15.951,3.197,-25.782
51.643,5.866,-8.998,27.736,-7.185,-28.097,25.841,-26.923,-6.527,-7.752,-1.337,-33.522
43.447,-55.487,-27.073,105.163,-20.931,-40.702,-7.006,8.835,-5.625,-14.644,-26.668,-21.793
50.622,38.958,27.766,70.413,48.978,-39.487,-5.083,-23.956,-32.692,38.477,-16.475,-25.807
44.188,183.017,-10.088,54.348,9.095,12.856,-56.614,-76.335,10.988,16.798,-85.489,14.95
37.747,10.422,-116.187,122.17,1.857,11.907,-11.476,-32.506,8.508,-4.119,-20.693,1.556
48.11,4.278,-91.663,93.478,3.005,-29.619,-9.192,-27.18,1.877,-8.674,-14.562,-7.41
32.08,-164.257,-96.031,28.662,-27.903,-60.343,4.898,-25.33,-0.874,4.889,-6.045,1.666
40.272,-8.412,-109.952,188.819,21.015,88.298,8.603,22.064,21.817,-29.976,23.791,-16.697
26.064,-51.923,-26.826,121.626,35.829,-64.154,-35.947,38.978,-0.359,4.849,-3.379,-2.292
33.98,-0.382,-98.575,206.893,39.284,8.273,-16.197,-30.924,-5.836,40.839,-10.673,20.365
39.809,-32.369,-69.542,-83.228,-2.488,155.224,39.623,46.581,-4.44,11.361,40.771,-3.56
35.282,-4.795,-106.082,167.938,-14.892,-33.349,-6.577,-22.184,-0.953,11.668,-48.483,10.991
29.283,-16.447,-72.079,21.805,15.335,130.151,32.323,-17.248,1.46,0.354,-94.106,15.972
45.978,17.576,-85.368,43.766,-3.546,1.907,19.899,-29.573,-12.525,6.769,61.491,-0.651
42.585,65.807,-48.384,2.583,29.504,24.952,16.811,41.145,1.39,-31.78,-93.25,10.448
28.809,-5.126,-13.908,83.933,18.993,-98.193,-24.902,32.016,3.757,-21.962,-5.228,-4.47
41.2,15.341,-76.059,93.627,-6.866,-71.566,-25.173,-24.04,-28.544,30.909,12.005,10.132
38.288,-4.08,-80.504,80.71,-0.554,-19.812,9.782,-42.632,15.742,-39.182,-49.021,17.831
46.904,51.619,-63.663,-72.468,24.691,142.543,20.642,54.835,28.926,-34.689,4.522,-3.73
48.353,-22.376,-10.144,-20.396,33.658,-32.106,-2.821,-36.328,-5.167,45.485,-19.334,15.595
47.771,-77.942,13.614,-37.814,50.526,-33.706,0.997,32.496,-7.592,-0.102,1.53,6.563
51.122,-9.98,19.062,-13.242,33.956,-29.362,-0.327,-4.297,-62.107,-11.678,2.479,-21.325
47.93,-28.925,-48.955,129.705,38.55,-61.519,-36.063,-18.477,-17.672,1.351,-70.739,0.176
33.066,-13.117,-61.934,110.175,-7.054,-67.308,-10.848,-26.03,14.882,8.945,-31.004,1.653
38.365,-50.732,62.721,-221.453,39.372,83.278,38.187,5.268,7.763,-3.032,-33.799,13.603
