0,1,2,3,4,5,6,7,8,9,10,11
1.575,137.329,8.675,-53.695,71.312,-38.829,14.64,-20.061,-29.312,15.065,-17.921,-3.13
33.618,-41.988,10.832,79.314,2.349,2.634,-22.739,66.517,-11.988,-1.712,-4.341,-29.385
32.283,5.686,53.014,37.35,74.145,-14.77,-37.622,56.313,-34.787,5.209,-12.864,-20.321
33.871,43.272,8.465,25.608,107.343,-57.287,-29.766,54.057,-20.854,-1.09,-27.932,-13.908
37.936,-28.66,-44.927,-19.928,77.192,-81.197,-22.235,33.244,-11.208,-1.759,-2.81,-20.324
38.87,12.987,1.612,-9.627,74.594,38.16,-42.073,-5.289,4.142,4.239,-76.49,3.894
33.825,-14.128,16.153,9.97,49.783,50.477,-13.3,48.522,-1.829,8.629,-4.192,-34.962
36.735,-24.07,-6.011,70.831,25.347,-49.97,-19.712,1.235,-32.642,24.146,-7.021,-9.883
40.882,63.664,20.509,82.748,28.082,-7.769,-33.215,-57.673,-12.026,-12.194,-1.601,16.516
35.375,-2.991,67.228,56.962,59.068,-52.08,-33.031,-48.002,-44.85,24.776,-15.973,6.771
34.839,31.077,55.69,33.355,33.792,74.312,-33.923,10.608,-10.317,-34.843,-62.977,4.797
34.612,8.574,10.015,50.725,14.141,90.361,14.055,17.979,-26.594,18.174,2.976,-28.383
32.214,18.747,91.729,47.224,62.123,30.318,-4.398,-18.498,-14.834,4.83,32.833,-29.511
40.966,3.824,35.257,87.032,46.977,65.44,20.36,5.145,3.297,-9.271,31.514,2.895
32.526,22.253,63.308,102.977,83.376,-63.231,-39.284,-35.318,-32.645,6.742,-25.682,-16.956
35.775,50.222,-6.694,20.637,58.372,35.399,-3.054,79.786,-13.393,30.38,54.508,-32.281
35.289,37.361,63.746,47.362,63.966,-68.126,-25.11,-32.528,-36.109,26.193,-19.866,5.081
37.114,15.118,20.673,81.933,-10.395,-86.475,-9.31,10.377,-25.759,3.913,-6.735,-38.271
32.009,35.886,42.874,135.534,60.221,-64.259,-45.356,-26.767,-31.907,23.236,-16.169,-8.327
31.943,25.415,4.457,127.014,57.913,2.994,-24.287,-53.853,-39.533,28.813,2.636,-5.003
35.281,-18.91,-0.223,144.08,-4.315,-44.692,-6.194,3.2,-27.505,21.221,-16.222,-26.878
41.239,69.212,-23.974,85.616,36.902,-17.539,-41.747,45.668,-7.521,-13.595,-26.002,-0.769
38.618,12.571,-11.275,22.704,60.823,-95.173,-16.768,15.751,-4.909,10.751,2.352,-24.913
39.67,-0.936,21.251,58.633,12.167,-77.986,-30.679,21.323,-13.239,15.899,-4.271,-11.557
39.853,62.99,10.325,61.357,55.382,-24.389,-67.116,-8.671,-0.228,-4.113,-9.854,14.695
35.907,45.009,40.998,75.835,35.594,-72.567,-49.791,-0.289,-26.984,29.942,-23.514,6.822
40.121,82.088,26.535,74.524,50.527,35.917,-39.959,-28.255,-16.08,3.045,28.244,5.19
41.015,79.684,9.963,50.524,-2.044,-59.936,-18.426,57.121,-23.145,-9.025,2.971,-3.551
37.509,132.256,74.458,51.406,74.457,-41.79,-48.225,29.449,-10.751,8.773,10.22,6.681
45.892,96.814,37.061,77.638,36.581,-3.7,-5.003,42.093,-5.61,11.291,7.84,15.589
40.162,85.089,-19.418,82.382,18.518,-28.163,-24.648,-22.847,-20.826,2.421,-53.85,-6.855
54.484,60.708,0.807,-12.587,-12.562,-38.01,19.444,5.89,1.881,14.577,17.123,-8.266
53.969,78.295,3.813,-12.418,1.054,-38.968,18.591,-5.773,22.692,13.775,-14.742,-13.629
54.076,77.448,15.864,-23.935,-17.568,-58.686,13.537,17.299,8.586,13.117,-16.744,-6.939
55.159,85.155,15.025,-1.702,-6.364,-65.425,-7.142,36.228,0.671,-7.594,-2.2,0.596
54.687,82.017,20.487,0.354,-4.6,-21.785,23.15,-1.526,1.351,30.527,-6.469,-13.061
54.164,67.357,12.261,-15.142,-8.746,-45.35,23.813,1.49,8.021,24.439,-0.655,-10.075
53.101,119.264,49.972,-2.667,8.6,-38.767,-1.074,28.93,6.413,-6.017,-0.318,-15.881
55.372,90.749,20.208,0.334,14.839,-13.3,13.528,3.32,-1.11,22.554,-2.08,-1.904
54.31,77.317,13.176,-5.375,4.942,-40.461,12.533,-4.926,16.207,19.684,-10.025,-11.98
54.239,70.434,12.536,-15.143,2.236,-55.826,25.353,-0.934,11.868,21.038,-3.63,-0.94
54.078,97.773,51.238,2.551,14.509,-30.128,4.855,28.415,4.433,0.897,-15.623,-6.423
54.99,97.365,27.318,6.729,8.36,-68.19,-18.571,36.204,-14.927,-8.541,9.621,3.313
54.141,114.138,56.478,-7.322,13.165,-6.253,10.238,-21.664,-17.093,39.427,-18.034,4.304
54.349,57.202,4.303,-8.039,-6.005,-42.655,22.905,-1.916,10.246,10.47,-2.64,-10.371
53.564,119.252,47.399,4.389,19.632,-38.763,11.908,32.053,8.902,-3.959,-10.197,-20.772
56.018,54.051,-2.51,2.586,1.3,-55.303,-7.805,5.085,-4.944,18.839,-7.703,3.722
54.805,55.524,11.8,-29.495,26.412,-33.544,6.781,-5.355,14.435,11.15,-23.303,-9.119
56.555,97.125,9.657,-16.461,-14.678,-41.429,-0.391,-2.858,25.004,13.231,-12.452,-12.456
56.745,87.449,13.3,-12.564,-5.392,-40.913,6.821,1.747,17.977,4.018,0.514,-25.669
56.923,64.268,14.091,-14.476,8.794,-59.551,-4.921,21.286,16.953,-6.491,-14.373,-0.421
56.848,67.034,21.552,-3.962,7.733,-28.03,-3.666,8.643,7.261,9.288,1.876,-8.015
55.691,68.47,25.576,-19.65,4.1,-38.826,16.298,7.012,14.378,12.087,5.413,-12.299
57.434,74.535,13.956,-4.335,-2.397,-50.854,-11.57,16.496,15.081,-6.031,-9.067,-2.957
55.356,66.296,23.729,-26.703,0.861,-33.396,12.081,12.246,28.735,9.395,-7.272,-18.174
56.348,69.566,39.792,-26.842,10.102,-29.725,15.986,15.003,23.707,3.981,-5.961,-31.394
57.363,66.503,10.494,-11.192,10.578,-57.317,-16.527,18.564,15.206,11.096,-4.146,-6.189
55.91,76.497,19.172,-24.731,-0.983,-34.98,8.705,4.429,28.764,13.021,-8.016,-10.773
55.593,74.141,13.55,-22.112,13.069,-50.465,17.512,3.229,23.596,19.979,-5.881,-19.26
56.009,74.891,30.976,-14.768,0.234,-44.663,8.201,4.678,16.765,15.584,-5.033,-32.188
56.44,63.341,6.748,-9.946,-5.765,-53.337,-7.454,-5.865,4.102,15.242,-20.041,-3.736
55.49,65.242,3.294,-18.599,1.995,-24.715,-3.493,-3.699,10.816,4.153,-2.135,-9.925
55.561,59.118,8.663,-10.914,13.791,-22.423,7.017,-7.225,14.482,3.137,-4.868,-4.438
55.889,60.218,21.238,3.843,19.951,-65.057,-7.513,9.548,17.509,5.853,-5.854,-19.69
54.813,64.062,103.142,-2.968,61.035,-28.984,3.815,-5.091,12.751,17.735,-3.431,-9.578
56.742,36.161,69.747,-6.056,34.13,-28.866,-5.973,0.745,0.819,9.479,2.838,-3.379
56.846,57.272,81.497,20.726,49.059,-45.464,-14.592,11.085,-9.829,-3.342,13.001,19.219
57.799,51.954,51.004,12.54,40.536,-28.034,-14.527,-9.525,-0.825,4.494,-15.735,-8.291
56.531,55.655,79.973,15.944,63.458,-21.504,-18.286,-30.849,4.292,-7.92,4.975,-1.72
54.857,46.938,111.669,52.789,51.818,-29.278,-4.645,10.074,-5.673,-18.817,-7.315,-7.136
53.583,11.358,42.645,-0.361,44.962,-21.985,-15.901,6.279,-8.019,19.719,-3.916,-18.743
52.535,93.469,27.812,-10.997,116.959,-41.953,10.733,-9.431,-19.173,-8.34,-22.226,-41.175
53.641,25.852,64.452,9.566,73.847,-5.381,12.119,-35.065,8.955,7.884,-2.823,-2.972
52.86,1.655,97.514,24.134,99.266,-54.261,18.9,13.7,-8.072,6.859,-9.41,-17.654
53.146,16.671,61.311,-6.041,67.84,-32.715,4.37,17.036,-27.328,-1.611,-7.109,-26.778
51.71,24.835,52.198,26.076,52.884,-5.494,-5.22,-40.12,10.506,-11.478,-32.074,-11.121
49.275,-13.723,68.439,38.986,66.418,-3.205,19.954,-23.981,4.495,-39.919,3.381,-4.27
50.667,47.611,40.238,-55.629,87.475,4.989,-9.193,50.686,13.149,-45.212,-19.669,-17.527
54.156,62.409,29.297,-25.891,54.846,-9.65,6.039,-35.505,-33.568,27.718,-12.993,-5.636
52.583,61.631,-15.187,50.759,93.059,-59.304,-22.5,34.414,-11.918,-20.59,-17.618,-7.314
51.351,55.069,-23.411,4.544,71.317,-1.7,4.229,-20.843,-32.638,13.868,-39.06,-4.604
53.775,52.892,35.939,-55.847,54.497,18.716,0.254,4.938,-30.24,-13.332,6.183,-13.737
55.539,47.197,73.85,12.284,65.321,-27.342,-2.848,9.071,-10.403,-15.822,19.544,22.568
55.212,77.228,88.518,16.449,73.505,-32.576,13.514,34.335,-18.005,1.563,-12.739,24.975
52.025,71.405,-3.897,3.295,33.976,-12.707,-8.408,-13.211,-23.731,-17.458,-25.749,-1.004
51.937,58.263,44.188,-23.789,74.667,27.198,28.184,-63.883,-32.176,-2.959,-0.145,-10.451
53.538,-32.163,87.326,0.933,70.058,-37.582,35.475,36.546,-22.951,-11.191,-13.609,-35.579
51.39,41.147,44.386,72.403,36.356,-13.198,-1.598,-1.761,-12.672,-28.393,-49.148,-4.479
49.589,22.086,2.373,-19.364,32.184,28.288,6.1,10.272,-2.021,-14.662,-20.181,-7.066
49.327,114.17,-15.538,15.435,92.44,-4.813,23.987,-28.961,-15.277,-22.699,-35.485,3.219
52.331,40.438,59.287,-40.33,73.498,39.403,14.153,32.486,-20.904,10.063,-13.366,-23.752
52.744,86.587,32.446,-19.225,73.299,2.646,-6.804,-7.667,-31.187,25.762,-50.33,-14.262
53.789,15.316,29.541,-4.588,74.265,-5.227,10.715,-13.241,1.785,19.265,2.91,-9.523
50.444,38.213,-5.036,91.738,47.456,-62.615,-30.575,-39.362,16.465,-8.781,-16.984,-0.102
55.181,32.051,90.366,-6.838,55.343,1.442,5.456,4.682,-36.189,15.092,11.957,0.081
54.175,64.832,73.126,58.37,53.366,-26.424,19.291,19.007,-14.153,-22.577,-21.791,8.077
54.3,59.135,41.53,-22.504,47.336,11.76,-2.473,7.709,-35.472,-13.89,-7.461,-16.31
55.379,42.554,54.346,-9.168,71.692,-25.086,-12.15,-6.55,1.727,-0.938,12.449,19.852
55.14,8.289,33.828,37.827,44.669,-26.181,19.406,28.521,-32.499,-4.443,-33.591,-10.427
49.165,24.618,-31.564,17.07,31.696,-51.812,11.488,-24.195,-19.051,11.631,-31.525,4.413
49.271,-30.136,-18.291,44.615,14.417,-24.421,35.327,-40.268,-19.498,7.991,2.753,-2.24
52.214,37.129,17.276,-6.588,-36.829,-10.671,1.13,1.867,-10.381,-4.506,27.748,-6.786
51.83,41.932,-12.133,11.595,15.647,-34.913,0.396,-20.003,-8.754,3.346,-12.735,2.929
51.623,-46.13,44.45,14.525,14.701,-41.405,24.61,-16.134,-17.797,14.616,3.424,-11.544
52.772,-9.931,22.44,37.665,24.174,-40.157,7.584,-43.893,-1.608,6.412,-3.694,-2.236
51.166,-14.541,24.958,-1.15,20.219,-52.476,11.105,-21.412,-6.789,4.407,-5.502,-2.734
53.46,26.601,33.422,-4.72,6.37,-12.107,5.381,10.458,2.675,-18.433,-11.566,-7.35
52.837,27.702,57.298,-28.046,25.711,-21.073,13.339,5.403,13.243,-9.02,-6.468,-16.828
54.211,35.818,-8.515,65.399,33.283,-49.93,-6.918,3.186,-10.851,-17.203,-54.766,7.937
51.819,103.175,-29.865,7.82,-21.724,-62.584,-34.919,82.107,17.432,16.386,-9.89,-1.726
52.658,59.292,-20.359,-9.076,-6.124,-60.588,-6.88,17.067,8.51,34.411,-16.259,0.445
55.771,47.116,25.334,-30.074,8.599,-55.463,-6.278,30.629,6.731,19.794,-7.598,-22.156
56.691,51.92,20.289,-3.843,15.453,-36.88,-32.39,-5.716,-28.625,10.525,-1.733,-13.015
54.299,11.498,5.906,32.227,19.788,-47.643,0.308,-2.721,5.446,30.776,-24.613,-2.13
56.043,77.267,50.503,-14.014,34.492,17.228,8.083,1.69,-13.291,16.588,16.732,-23.919
56.624,44.443,43.244,-4.184,-2.286,-28.722,36.887,-17.521,-30.159,0.656,1.734,-4.143
56.052,73.933,45.001,11.344,-33.919,-34.136,-0.906,47.131,-20.37,-16.972,-15.663,-21.9
49.292,111.924,58.942,-67.087,46.5,-2.407,31.364,-74.648,-41.006,4.875,-29.815,3.445
53.769,4.578,77.15,-64.655,35.696,-19.455,9.459,19.994,-25.131,-10.786,0.923,-5.82
56.086,75.356,30.914,9.576,-13.691,-17.103,-10.928,-9.687,-21.74,-5.714,-26.313,-12.842
53.356,40.923,21.56,25.565,14.956,-69.653,14.87,16.845,-5.699,27.788,-22.515,-9.636
52.987,33.888,-0.238,14.766,11.175,-32.642,13.367,-0.38,6.773,27.909,3.486,-7.045
54.506,18.83,3.743,-15.347,16.218,-8.175,11.122,-28.757,-0.172,9.996,-2.597,-11.613
56.025,43.726,51.203,-28.105,31.436,-37.152,10.408,0.091,-11.715,7.396,-4.113,-13.579
55.592,45.278,5.717,11.971,6.038,-12.623,-7.496,-6.159,-19.17,-0.551,-30.986,-13.794
54.876,53.26,38.948,-6.785,49.111,-2.274,-26.808,-14.475,-14.175,8.781,-8.242,-13.829
55.821,20.12,35.592,6.963,27.995,-32.483,33.646,-1.729,-9.65,2.875,-6.115,7.58
53.93,37.465,24.933,26.637,35.135,-34.516,23.596,33.697,15.765,17.424,-24.148,5.997
55.117,38.35,-1.086,-5.071,40.097,-56.378,9.075,-32.26,-15.86,27.469,-0.362,4.044
57.054,21.62,48.795,15.083,37.023,-34.839,31.417,3.09,-12.982,5.855,17.199,-18.848
55.586,46.219,56.459,3.101,15.884,-33.59,39.994,19.684,0.525,10.159,-28.52,-42.308
54.193,37.006,12.821,-14.62,23.02,-36.618,31.1,1.281,23.896,4.475,-17.157,-6.217
53.78,33.447,-8.123,-21.002,19.459,-75.374,8.363,9.453,36.856,34.101,-29.477,-3.356
53.233,70.995,-11.618,-37.096,20.88,-31.956,11.671,7.461,29.542,6.16,-15.638,14.288
52.799,66.08,-10.463,-9.77,9.404,-32.608,-9.655,4.595,13.522,12.933,-22.294,4.889
54.643,20.159,0.153,2.749,16.465,-5.369,5.271,-14.398,-4.048,20.587,-16.497,5.271
56.34,51.7,4.962,17.764,22.198,-12.539,24.694,10.888,-18.037,14.914,-2.543,17.571
54.839,63.168,15.008,-19.769,2.06,-13.017,-26.257,1.532,-15.056,28.757,-31.65,2.011
55.124,76.086,-7.465,-23.916,9.559,-5.701,-24.151,1.514,-5.295,7.633,-15.604,-0.406
54.356,75.657,-8.465,-35.885,26.147,-7.134,3.154,-55.526,-23.173,32.131,-24.437,-6.732
55.768,35.946,36.64,12.119,35.743,-17.047,51.346,14.318,7.143,4.634,-18.863,5.473
54.112,8.231,6.236,-8.848,35.434,-10.11,17.681,7.972,6.381,1.116,-6.388,12.465
56.53,16.803,23.536,-0.235,21.503,-45.097,27.868,-13.181,-24.596,7.492,9.585,8.403
55.517,11.244,74.755,-10.171,13.024,-42.885,69.501,23.188,-13.901,-12.169,-3.332,4.968
55.537,25.201,34.259,30.319,7.12,-39.013,36.122,23.187,-6.001,13.874,-24.576,-14.065
49.812,117.737,-0.148,-3.021,16.409,-36.678,16.057,12.626,-10.177,15.199,-22.151,1.179
52.406,54.277,-17.371,-16.938,1.214,-32.728,12.18,3.691,1.628,46.736,-1.421,0.402
51.282,35.62,-38.768,7.787,-15.245,-75.257,-21.77,10.13,2.535,28.861,-25.259,7.546
53.854,76.146,0.822,30.225,19.724,-58.986,-9.644,20.777,-13.409,2.087,-16.398,17.363
51.219,17.458,-28.548,15.581,-2.348,-40.849,1.017,-8.839,-3.502,32.217,-34.085,4.214
45.529,50.438,-96.468,-0.928,-8.331,-109.443,-20.579,4.943,-1.336,30.305,-17.207,25.502
51.467,63.379,-14.038,-19.554,8.703,-5.033,10.953,24.67,0.19,11.939,1.494,-5.448
54.459,45.568,-23.568,11.808,2.266,-51.715,-1.535,3.377,-3.327,27.802,-4.951,-3.476
55.144,94.223,8.858,-21.764,-20.484,-25.195,-42.317,-15.951,-16.442,8.515,-8.11,-16.235
54.472,5.39,53.333,-58.534,44.363,-27.825,-34.959,14.397,3.385,-9.035,8.529,11.046
54.909,51.654,80.346,20.47,67.467,-4.67,-42.594,1.19,15.563,-8.568,-32.175,2.087
55.897,38.761,84.518,15.493,83.248,-23.785,-19.01,3.522,8.905,-5.891,15.485,-2.581
54.88,39.228,53.787,4.82,21.476,0.463,-44.326,-1.009,-22.882,-33.239,-13.254,5.621
55.259,37.999,116.328,44.236,81.559,-13.695,-29.65,-1.326,-4.517,-14.142,-22.871,-20.653
51.759,-0.574,55.444,81.676,43.159,-25.65,-11.344,19.386,-34.247,-10.174,-24.282,-11.892
56.954,120.502,38.297,-18.856,25.071,-2.597,22.859,-28.751,-5.123,28.052,-2.301,0.761
57.613,72.136,58.446,3.979,19.377,-45.227,29.771,-12.306,17.994,1.208,-9.509,-24.178
56.944,47.172,23.31,-11.834,15.028,-67.23,3.01,21.437,8.668,1.479,-13.955,3.322
56.461,79.38,-1.637,-15.593,-6.215,-32.041,1.311,-43.043,-3.13,20.346,-13.578,-12.312
57.669,70.07,58.556,-2.699,16.009,-43.552,27.997,18.562,11.397,7.398,-8.704,-5.681
58.038,70.806,56.968,-12.758,56.809,-45.16,47.421,23.716,20.506,11.021,-16.711,-22.65
58.557,39.132,55.239,4.111,32.699,-58.926,20.95,6.389,20.99,37.963,-19.26,-32.744
58.237,86.496,36.053,13.046,12.68,-34.5,2.271,29.206,-1.504,11.749,-15.449,-17.431
58.554,44.482,26.441,8.361,33.387,-54.613,6.104,20.055,-2.797,15.59,-24.3,-15.992
57.122,58.758,28.489,-13.416,38.826,-26.677,30.988,-23.233,-2.714,23.468,-11.356,-9.765
57.384,53.388,40.453,-0.596,44.3,-43.585,-2.775,4.108,15.885,15.314,-15.329,-13.398
56.388,89.83,9.843,11.242,6.426,-31.122,18.416,11.896,-12.521,30.154,-24.691,-16.392
56.154,100.194,25.292,-36.591,30.387,-30.04,50.057,-21.475,-3.646,15.972,-14.89,2.659
57.182,80.142,13.927,4.813,13.201,-33.066,-12.981,3.868,-2.435,26.239,-14.0,-21.625
57.792,56.905,35.899,-9.002,29.111,-26.029,25.928,-4.977,4.309,22.582,-13.076,-14.5
56.699,93.061,24.169,-14.282,25.261,-23.589,-3.1,20.721,4.617,0.202,-9.382,-17.201
57.332,57.761,28.963,-24.191,47.573,-39.622,25.889,-23.97,17.893,24.279,-9.082,-10.856
58.38,92.37,71.853,-1.107,21.135,-34.056,10.352,14.37,21.759,2.594,-16.216,-29.1
58.686,83.223,46.839,2.232,36.296,-14.042,3.79,-7.316,18.567,13.161,1.648,-14.065
