0,1,2,3,4,5,6,7,8,9,10,11
0.083,169.415,7.18,-30.784,55.598,-50.532,16.358,3.454,-27.107,1.348,-10.924,-6.815
18.511,59.983,70.159,60.444,13.659,0.464,31.469,57.835,-27.076,-15.532,-8.739,-6.941
21.52,46.888,91.997,-193.231,-6.612,23.455,36.348,-6.578,-37.707,18.015,-16.535,-8.393
35.491,49.801,20.737,12.867,-2.951,-21.832,-19.439,-22.446,10.426,10.932,-35.033,-22.686
38.349,56.005,24.465,-8.219,-11.347,0.143,-9.672,-10.411,4.073,-0.003,-25.44,-21.351
35.91,56.249,6.943,64.87,-20.141,-7.656,-37.45,9.809,-18.726,0.684,-37.125,-0.255
26.772,37.769,-9.726,15.4,-39.43,-8.493,-23.176,14.659,-24.28,22.955,-8.629,-3.031
24.295,0.422,-34.539,-25.509,-47.943,-13.157,-23.531,5.402,-18.026,-1.008,-25.468,-4.262
33.567,50.298,4.691,12.704,-15.969,63.457,-11.804,5.062,-15.196,-12.442,-34.929,-1.543
25.904,17.845,-29.039,36.711,-36.702,-5.541,-24.496,12.535,-16.102,5.269,-9.272,-9.907
25.226,7.661,-30.469,8.725,-32.171,43.097,0.067,14.012,-2.847,-13.828,-23.968,-1.771
34.468,73.185,12.337,31.017,-8.782,32.655,-26.846,-6.727,-24.423,14.041,-36.564,6.989
24.799,40.904,-15.501,-11.066,-38.642,29.335,-25.283,25.503,-19.021,4.409,-49.96,-3.503
22.317,19.273,-24.596,48.2,-44.475,-69.521,-16.596,25.996,-23.62,-2.668,-11.894,9.489
32.777,63.383,21.241,2.624,-3.607,60.839,-9.786,13.722,-10.58,-14.647,-8.738,-12.228
25.683,46.713,-35.264,13.42,-32.25,-6.932,-18.995,23.209,-20.589,19.08,-2.7,8.096
27.02,12.268,-32.988,53.211,-26.569,2.174,-23.373,0.7,-14.677,4.66,-17.642,9.038
32.749,57.154,1.527,34.655,-14.051,41.95,-18.241,0.952,-8.804,-3.9,-20.808,-2.032
25.156,21.203,-30.197,36.301,-35.998,16.242,-14.95,6.557,-13.186,4.694,3.452,3.608
28.841,34.185,-20.254,34.7,-29.387,1.185,-31.264,-16.597,-19.102,-0.549,-27.251,4.93
32.216,56.802,15.11,0.368,-21.491,27.999,-15.571,10.139,-13.792,-6.305,-43.675,-0.181
27.164,13.07,-29.24,31.181,-23.171,12.442,-29.152,1.617,-9.074,-8.486,-21.755,-1.691
34.165,76.281,47.303,-10.469,-3.76,25.113,-35.276,-4.125,-20.04,-19.796,10.726,-6.423
34.541,58.273,34.768,18.525,2.0,-17.51,-55.223,-16.692,-24.46,-14.662,-1.949,10.869
33.403,42.454,18.566,-2.213,-16.406,-24.664,-3.719,-8.82,-3.542,1.494,-17.524,-4.129
36.534,6.178,7.816,-30.057,-30.963,-16.362,12.903,18.691,-7.648,-14.607,-6.774,12.454
39.789,7.287,-0.069,-35.093,-35.359,16.394,12.253,3.531,-15.946,-4.605,-13.384,10.176
41.879,45.054,6.85,-34.65,-35.252,15.609,5.742,14.908,-13.975,-9.809,-16.789,4.476
40.865,-13.139,-45.026,37.628,-42.647,-10.543,-0.686,7.097,-13.674,-2.119,-29.532,11.387
31.583,-32.189,-71.786,26.724,-55.786,8.672,-6.09,52.121,-3.641,-23.953,-27.063,9.548
30.737,-25.321,-31.064,-9.445,-44.233,81.506,29.263,-21.412,-35.816,21.155,-28.316,17.657
39.63,3.068,-52.77,23.471,-42.961,29.38,-0.161,5.081,-15.344,-6.173,-36.618,17.007
30.276,-1.042,-69.014,52.361,-48.524,-27.028,-14.244,22.052,-14.03,-10.377,6.96,8.257
32.478,-50.649,-47.694,18.636,-37.516,42.17,10.032,-4.143,-15.998,-5.099,-19.455,19.894
37.399,-11.397,-46.504,-1.816,-42.97,71.762,13.963,20.894,-1.261,-33.867,-11.204,1.415
29.833,5.939,-49.389,32.437,-39.337,8.574,-6.395,14.729,8.404,-21.881,-23.093,-1.568
30.011,-41.79,-41.379,-27.06,-37.846,32.476,12.697,-6.958,-16.612,-0.874,-33.822,14.807
37.212,9.346,-48.04,-16.749,-44.766,62.754,10.394,-0.468,-2.148,-12.77,-21.249,2.324
30.91,-17.7,-56.955,38.824,-45.127,17.487,-3.719,23.357,-7.985,-11.138,-15.093,7.649
31.0,-43.929,-44.855,-11.431,-39.039,47.962,19.926,-4.242,-15.744,1.166,-23.376,13.469
39.918,13.999,-42.698,33.287,-45.539,5.756,2.217,2.464,-9.898,-6.58,-29.745,5.107
31.911,-15.854,-41.805,14.983,-38.67,8.633,-5.057,23.409,-15.352,-5.613,-37.418,11.642
31.315,-22.42,-34.429,-31.713,-30.834,31.357,0.982,-14.131,-22.474,9.502,-46.468,15.682
38.704,-1.199,-54.629,14.334,-42.725,56.353,10.38,5.503,-1.808,-26.472,-7.811,3.091
30.712,-13.575,-48.355,58.256,-57.886,-31.738,-16.38,15.859,-23.293,-8.097,-6.432,6.929
33.196,2.671,-43.926,12.299,-38.539,4.297,6.872,-2.13,-17.72,4.393,27.195,3.438
38.821,12.202,-21.524,3.921,-41.415,0.061,8.114,12.82,-16.116,-12.698,7.624,10.479
36.81,12.664,-5.711,-3.48,-31.184,-47.48,5.897,-12.076,0.4,11.457,-17.817,-10.461
36.831,7.72,-18.874,1.551,-37.223,-57.856,1.449,1.413,-8.621,-12.759,2.097,14.834
39.633,18.833,30.695,-100.477,-32.99,-6.638,17.467,10.231,-5.992,1.885,-4.212,2.669
46.499,43.068,38.357,-40.195,6.294,2.463,-14.54,3.71,-16.406,-3.199,-27.999,13.248
45.357,61.892,41.881,-62.607,-18.603,52.273,-40.118,27.713,-0.804,-32.23,-51.733,-29.656
41.617,17.508,-18.315,-2.281,-35.038,-38.347,15.571,-5.877,-22.788,-16.682,-7.61,6.683
43.655,-17.929,2.348,-72.782,63.872,-43.808,26.634,15.878,26.489,-10.736,5.441,1.998
47.584,2.061,47.401,29.706,-0.922,14.467,31.795,10.397,7.896,-2.447,-54.297,-27.45
33.948,-37.184,-11.508,-4.177,-23.586,-16.017,6.148,-0.282,3.172,-15.823,-22.769,-7.598
35.755,-40.003,47.322,-25.528,23.34,-18.769,19.79,28.372,4.963,10.408,-29.371,23.633
39.83,18.021,-16.089,20.6,-33.198,20.14,0.509,10.466,-17.135,-6.764,-2.419,11.504
37.429,1.916,-22.171,2.006,-30.674,-30.363,-8.205,2.146,-6.988,6.491,-0.385,6.229
46.694,25.841,60.375,18.967,-6.251,12.383,-3.589,-1.454,-1.105,6.826,-9.768,-41.315
44.496,-5.199,69.304,59.615,2.018,-33.081,8.898,13.932,-2.58,0.107,-7.883,-31.655
42.527,-24.552,91.808,32.792,-5.976,-5.969,72.658,-2.87,-22.332,12.541,-18.534,11.837
43.337,7.526,36.264,-5.11,-17.519,-3.876,15.995,3.11,-16.106,-1.415,-39.397,11.21
39.1,-4.005,-2.399,3.162,-34.184,15.661,25.101,2.683,-24.941,-5.821,-26.972,22.054
37.379,-51.306,-61.345,-29.869,13.735,-14.113,-11.215,7.116,-7.111,-2.196,-10.709,-3.703
35.809,-79.323,-30.867,-6.875,24.732,-57.592,-14.508,0.759,0.482,11.042,-5.416,9.41
38.603,-11.146,12.471,-76.782,-0.99,1.924,13.415,25.994,-2.646,-16.224,4.467,8.833
42.063,-41.229,-0.784,33.198,-15.452,12.468,9.672,16.112,8.467,11.385,-58.066,-25.134
30.987,-25.029,-53.898,55.464,-51.963,-3.408,4.515,24.987,-10.64,-24.812,-11.24,14.049
31.375,-42.701,-35.206,-8.597,-36.906,40.869,17.439,-5.115,-17.587,1.264,-24.178,17.809
36.359,-21.799,-24.275,-78.195,-39.269,49.663,17.772,17.488,-0.637,-23.196,-12.093,4.434
36.331,-14.89,-14.144,-7.326,-47.91,-38.499,22.715,18.892,-15.107,7.321,-8.367,17.101
44.508,46.11,52.73,17.153,-12.706,13.8,27.833,13.161,-18.722,2.803,-36.397,10.111
43.144,-16.369,46.46,16.262,8.866,-16.371,51.095,-1.033,9.187,2.317,-13.777,18.003
45.289,68.196,7.63,40.565,-25.457,-2.661,3.138,-0.443,-8.258,-2.203,-23.281,7.02
43.587,64.406,11.553,-19.881,-30.945,26.319,0.032,29.416,-6.48,3.006,-32.013,-13.868
38.596,104.126,33.138,-136.443,-4.789,31.867,-6.146,-47.88,5.829,21.808,-4.816,-22.093
46.69,24.281,53.294,-2.418,-10.075,-14.332,48.401,-10.535,22.906,16.164,-36.877,-7.553
42.764,-15.547,26.788,117.045,3.082,8.547,38.811,28.701,34.025,-14.859,-60.765,-31.586
36.462,30.27,-27.819,2.978,-48.124,-8.517,5.011,-10.379,-21.916,14.39,8.162,9.761
39.08,16.262,-25.251,6.217,-38.334,14.322,14.024,4.803,-6.483,-13.853,-8.835,10.154
34.829,1.073,-0.809,14.178,-37.053,-59.07,20.933,0.729,-6.384,3.676,-11.302,8.763
37.926,30.296,26.867,-77.203,-28.231,-2.31,26.774,-10.167,0.101,1.127,-11.644,1.839
45.277,13.109,62.33,70.415,4.83,-3.981,27.466,23.339,9.662,-5.475,-33.318,-22.096
40.128,37.707,-5.064,-1.385,-20.659,11.421,6.049,11.173,-16.45,0.29,-7.39,-3.121
38.661,-10.452,-12.745,-56.71,-12.942,-23.021,1.212,-7.844,-16.491,11.985,-27.052,5.991
