0,1,2,3,4,5,6,7,8,9,10,11
13.65,155.397,155.347,-281.459,57.661,10.392,58.089,-45.251,-29.347,47.903,21.159,-11.681
42.53,97.186,78.029,-165.205,42.183,28.179,5.567,-57.256,-14.452,1.655,10.73,-0.265
51.577,-18.728,79.982,57.469,43.231,-21.678,24.186,31.454,-8.556,-4.479,-29.947,-2.676
48.425,26.051,120.572,-56.067,87.128,16.468,36.548,23.051,10.403,-0.061,4.845,8.236
50.503,18.276,45.974,27.538,64.929,-40.228,7.328,17.704,6.072,7.656,-8.71,19.367
53.566,-28.628,81.14,27.835,55.257,-12.344,35.486,-7.261,-11.292,5.826,23.093,3.466
52.652,14.177,127.427,38.728,82.973,-29.288,-1.664,17.69,14.126,-12.297,-12.107,-6.037
51.771,19.448,49.732,-11.261,79.005,-30.131,-7.025,37.567,-19.584,10.932,6.575,9.23
52.426,21.008,35.346,-0.14,39.584,-40.906,-1.197,-31.655,-23.399,25.69,5.789,13.738
52.485,74.915,102.459,30.777,10.761,-15.992,-21.154,18.211,-9.451,-31.747,-11.428,-0.612
50.429,72.962,105.757,-9.956,87.296,-20.687,8.95,-62.024,-20.261,5.211,-22.61,-20.422
49.734,42.331,62.62,10.383,26.994,-3.503,7.85,1.261,3.023,1.219,-10.224,2.182
52.395,37.035,77.08,19.223,38.316,19.613,-8.0,9.678,3.869,7.476,9.913,-11.563
50.836,79.919,127.489,25.344,86.647,-14.34,-25.815,-38.716,-22.672,16.836,-17.968,0.991
51.088,-22.977,109.369,33.767,69.267,-37.402,15.762,13.73,-7.443,21.803,7.968,-14.507
48.575,30.064,22.231,45.005,31.955,-65.731,13.248,-5.096,4.673,-9.678,-21.19,-2.929
47.787,67.948,144.548,-52.415,69.75,11.449,7.632,-4.034,-5.931,-30.616,13.061,-9.629
50.767,53.353,100.007,34.632,62.198,-28.909,16.474,25.28,-23.62,16.578,-28.507,-17.696
52.463,27.96,80.731,24.96,49.795,-25.159,-21.161,15.412,-16.85,28.699,22.46,-24.708
50.884,-44.108,61.557,19.477,20.929,-50.475,-15.814,0.086,-13.417,-3.863,-13.409,1.467
51.558,19.694,92.776,17.066,44.156,0.63,10.183,12.298,-1.056,-24.756,8.406,-19.049
52.319,26.169,87.384,20.508,49.406,-19.4,-9.786,-0.522,-17.208,4.326,29.418,-0.492
52.298,6.23,65.945,41.24,20.441,-47.294,23.64,6.955,-20.623,2.106,-13.604,-6.36
50.985,-3.476,87.507,-7.493,46.828,-10.597,7.062,12.573,-16.153,8.166,-10.403,0.596
48.527,84.199,134.858,3.957,79.871,-2.569,-7.443,-44.758,-23.305,-7.958,-0.041,0.003
50.18,-1.385,44.564,21.95,32.928,-39.592,15.225,41.668,-5.043,24.293,-9.46,20.062
47.329,79.404,136.601,-64.524,49.499,-1.114,20.364,0.742,-14.616,-35.134,16.501,1.189
50.114,38.418,22.457,45.517,40.011,-44.106,27.445,10.963,-31.682,-4.04,-15.996,-17.428
52.849,11.342,87.164,11.719,51.281,-49.909,14.773,7.557,-10.115,-0.52,15.028,14.547
52.232,11.455,59.123,1.357,54.479,-45.357,-16.327,32.501,-26.275,9.488,2.841,1.045
52.267,33.061,79.434,13.613,61.037,-32.719,24.962,3.62,-7.897,9.774,11.034,5.394
52.193,24.19,99.379,52.514,56.78,-15.144,4.072,24.911,-37.142,-2.481,2.069,24.549
50.843,43.179,39.597,21.938,-14.408,-32.991,-3.118,-15.708,-35.626,10.823,3.203,6.071
53.077,40.662,97.384,10.557,32.896,4.037,-15.448,42.031,-30.088,4.192,21.503,-4.94
50.392,81.34,132.476,28.391,77.803,-11.929,-32.002,-34.953,-20.894,16.606,4.467,-2.173
51.181,-71.617,63.717,23.284,38.176,-58.749,29.685,17.117,10.259,6.402,-17.693,-8.294
49.328,11.444,40.682,54.221,48.734,-46.385,12.664,3.405,13.946,-15.526,3.032,-8.861
48.477,86.251,178.449,24.909,81.167,-14.584,50.333,16.239,-17.425,-35.727,14.204,1.105
49.904,41.126,162.607,37.179,68.456,-22.284,43.558,-9.513,-8.457,10.56,-35.264,-7.661
52.344,-25.123,65.368,30.616,72.45,-60.756,5.629,-16.328,-0.446,16.735,-5.812,4.911
49.515,28.89,89.663,41.834,99.644,-39.869,-3.857,21.341,25.265,-33.868,-0.372,8.441
52.614,37.862,54.707,46.443,30.018,-3.823,-23.578,-48.595,-4.594,24.468,-11.124,5.351
52.417,48.428,89.153,31.595,55.623,-21.97,-5.866,-34.528,2.268,-1.084,-9.476,3.085
53.118,19.82,114.149,48.248,43.988,-9.391,16.661,5.676,-23.208,5.613,6.819,1.644
51.346,42.796,122.801,73.365,5.165,-42.165,36.991,29.239,-29.058,-18.319,-2.291,-2.429
43.095,14.721,178.176,138.551,102.813,-25.113,-28.288,-17.034,-22.11,14.658,-21.898,-16.601
44.97,110.576,193.798,13.998,112.582,31.123,13.917,-41.151,-16.186,-0.625,-18.775,0.045
53.114,76.969,102.187,-44.151,27.536,23.788,35.908,54.288,-2.473,-20.188,-9.226,6.732
55.943,98.762,23.605,-15.268,-18.548,-23.672,12.798,9.924,-24.795,1.027,-4.648,0.716
55.23,91.876,26.831,-24.038,-47.908,-46.958,0.646,1.819,-27.876,7.677,-17.582,-15.646
56.518,97.889,20.76,-16.664,-28.856,-48.56,-4.513,12.449,-29.539,1.605,7.261,-7.202
56.281,90.065,22.382,-16.48,-50.245,-45.296,20.867,10.295,-29.013,-10.198,-18.651,-2.261
56.577,84.552,13.503,-13.244,-22.961,-52.027,7.85,8.657,-34.5,-4.502,-1.925,1.347
56.238,93.045,25.069,-15.24,-51.052,-36.124,12.29,8.062,-22.307,5.377,-3.646,-18.077
56.941,116.857,24.937,-15.528,-37.673,-48.889,20.459,18.781,-31.554,-8.577,-20.102,-16.264
56.048,99.385,17.826,-5.307,-24.314,-26.711,10.846,5.538,-29.332,-2.49,-2.045,-6.534
55.085,92.32,8.763,-18.249,-31.888,-36.797,18.539,2.341,-11.094,-0.883,1.538,-8.058
55.276,103.61,25.429,-8.557,-27.535,-20.643,12.839,13.654,-23.038,-8.848,1.631,4.524
54.869,88.973,9.435,-28.318,-54.713,-44.559,10.465,-0.955,-26.92,-0.243,-13.543,-9.923
55.816,81.588,16.656,-6.679,-32.907,-51.876,0.656,6.988,-31.072,-9.825,-8.074,5.019
55.997,89.312,21.528,-21.253,-43.61,-34.629,3.176,5.933,-24.841,12.777,-6.609,-5.84
56.479,98.806,-1.337,-22.619,-19.5,-58.689,0.651,14.517,-22.954,-5.888,-10.69,10.167
56.23,114.908,3.824,-25.872,-31.849,-29.789,30.317,6.731,-24.903,-0.214,2.752,-11.96
55.903,94.326,0.195,-22.963,-30.631,-46.467,-4.502,7.67,-22.864,-4.911,-4.536,0.269
55.705,95.919,16.352,-19.01,-24.578,-56.402,-2.792,14.069,-16.198,-16.054,-5.321,0.45
55.154,88.232,5.756,-21.693,-45.577,-47.093,12.407,2.55,-25.778,8.709,-7.882,-18.14
56.22,82.329,10.296,-17.979,-33.4,-41.975,4.252,2.897,-31.103,-1.038,4.721,-3.272
56.199,73.102,21.644,-5.236,-28.912,-49.816,9.611,12.197,-29.711,-4.665,9.061,0.874
55.606,89.278,18.724,1.273,-49.312,-22.688,15.375,-0.934,-28.617,-5.14,-11.405,-8.938
53.159,52.885,15.09,-19.507,-24.83,-49.789,-15.432,-4.888,-24.814,-1.906,-14.62,-9.989
54.087,72.952,12.785,-7.052,-43.658,-41.101,-0.933,1.063,-40.283,17.798,-3.415,-14.987
55.065,66.015,-9.952,-12.211,-17.512,-59.834,-20.813,-10.466,-15.985,0.376,-11.686,-0.465
54.041,100.203,63.896,0.565,-3.286,-14.613,-3.403,6.196,-13.534,-9.0,-11.885,-13.044
54.162,77.103,4.619,-9.952,2.185,-60.774,-33.239,4.272,-0.552,4.717,-3.931,-14.203
55.016,88.87,-9.589,20.494,-33.835,-38.252,-2.102,-22.551,-14.234,3.884,-31.17,11.562
55.714,74.507,-9.837,-8.643,-28.333,-27.149,13.484,-12.893,-15.876,15.406,7.561,8.246
54.874,78.736,-14.062,-6.961,-22.111,-60.826,-20.081,-5.884,-11.479,-2.063,1.377,-3.32
54.271,139.366,72.414,25.949,-3.015,-42.518,0.937,-23.289,-10.761,1.774,-16.461,-4.246
53.283,79.121,-5.214,-7.24,-13.798,-64.805,-33.255,-4.291,3.035,6.744,-3.336,-20.536
55.842,65.136,-17.936,-13.91,-25.408,-43.834,-13.617,7.019,-36.081,-1.536,-19.746,12.176
54.791,75.742,3.206,-17.852,-28.147,-14.659,4.383,1.208,-27.629,20.949,-21.108,-2.433
56.116,37.521,42.01,-45.574,-16.562,-15.722,23.161,-6.676,-14.755,8.374,-16.33,-16.144
57.539,20.807,54.312,10.951,42.777,-53.795,64.977,15.502,25.453,14.161,5.04,-3.555
56.747,2.379,85.32,7.97,21.841,-60.969,82.912,15.133,36.685,19.116,-13.618,-11.84
57.596,9.414,61.828,19.512,40.838,-74.326,66.084,2.552,17.542,17.301,-11.107,2.871
55.76,46.64,4.007,17.502,11.292,-81.592,22.188,22.094,3.057,-6.461,-12.795,-1.15
55.682,22.67,65.335,-1.448,23.357,-24.772,45.043,-3.501,-15.354,8.863,-17.17,-14.701
56.211,-1.744,22.671,7.713,60.746,-63.689,32.477,-12.039,30.097,24.167,-0.779,-22.504
56.316,6.883,36.157,6.862,51.247,-28.177,30.477,3.669,36.223,2.038,1.344,-35.001
54.568,36.614,6.396,17.803,4.686,-43.125,18.16,30.088,23.144,7.146,-13.959,-20.115
52.993,55.905,-15.657,-5.382,-19.487,-69.725,-13.224,-1.579,0.351,3.744,-10.508,-3.443
53.425,64.58,-18.423,5.448,-7.048,-64.489,-4.563,5.152,-0.74,12.874,0.296,1.623
53.808,60.475,46.743,-48.499,-0.041,-15.791,56.562,-27.265,-4.37,13.757,-25.349,-18.57
55.355,76.355,-13.484,-18.757,-3.278,-44.719,-2.363,23.151,-23.292,6.284,-24.981,-8.859
54.919,82.189,-10.727,14.927,-29.052,-33.221,-12.38,4.08,-12.564,3.672,-20.191,-10.952
52.931,68.224,12.726,-45.047,2.233,-8.542,39.009,-4.426,-26.839,16.6,-29.452,-4.696
55.304,0.345,10.506,-9.877,61.613,-32.876,49.025,17.125,5.962,15.595,13.072,-4.276
53.192,-4.304,-7.495,39.919,37.203,-37.164,49.794,10.889,0.184,19.266,-27.623,5.955
54.963,77.233,-11.489,20.015,-2.72,-4.17,8.459,34.02,-45.325,8.447,10.733,-21.217
49.819,95.529,-88.001,-28.946,13.177,-34.354,16.733,-22.235,-9.673,8.588,-20.2,2.562
54.782,26.763,0.065,15.714,21.415,1.354,49.55,15.211,-17.255,24.948,9.934,19.252
51.023,77.917,2.032,-77.811,-3.894,-7.978,17.914,-9.142,9.861,1.64,-18.924,0.619
51.25,106.845,-88.459,-17.708,13.818,-32.25,-5.694,16.373,-24.586,0.717,16.629,1.742
54.265,92.445,-5.416,-45.53,-15.365,1.83,-4.754,12.305,-7.97,27.276,7.397,-22.986
55.195,102.857,43.581,-19.979,-26.905,-29.26,25.046,-11.424,-7.764,8.245,-14.525,-12.055
56.278,66.137,29.431,-1.775,-25.98,-44.099,11.027,7.91,-14.963,1.266,17.307,-12.074
56.149,71.028,48.06,-1.205,-35.961,-46.686,38.069,4.083,-9.483,18.507,-6.99,-0.395
57.107,75.23,24.87,-0.002,-15.284,-53.356,7.572,12.393,-15.829,5.5,-8.798,9.695
53.804,73.723,2.449,15.326,-17.343,-4.823,3.297,21.411,-5.216,-0.709,-37.634,-15.015
51.259,71.795,-55.425,-2.802,-16.52,-77.882,-22.867,15.071,-21.699,-6.894,-12.653,11.927
47.852,79.058,-72.712,-1.954,-50.566,-74.626,-21.564,-3.079,-15.058,20.707,-6.884,3.949
51.253,83.301,-55.184,5.406,-26.478,-93.616,-32.437,13.504,-16.618,-1.359,-7.498,13.865
52.52,121.363,-25.501,-30.689,-17.513,-17.697,-8.936,-4.269,-40.787,13.248,-12.217,-9.208
52.643,85.994,-56.911,-8.845,0.235,-24.701,-6.326,29.835,-36.648,-4.327,-25.126,-10.686
52.757,57.337,20.883,-19.146,-3.909,42.949,34.366,6.798,-24.635,11.307,-50.607,-10.165
55.981,73.002,17.892,-31.657,-22.019,-43.153,-3.595,5.993,-17.367,5.433,-9.552,-10.603
54.706,55.437,21.701,11.216,-54.069,-55.876,8.26,8.057,-7.334,7.226,-13.754,-28.42
56.385,40.421,40.65,7.962,-16.283,-39.639,33.63,9.816,-34.531,7.491,-3.237,-15.016
52.272,34.622,-22.461,66.983,-24.789,-58.829,9.083,-3.163,-22.241,7.394,-20.399,-9.93
51.54,92.638,-32.138,-79.956,9.85,20.288,26.371,-45.668,-27.052,-7.599,-31.038,-11.757
55.544,74.459,13.871,-19.838,-23.753,-53.345,-4.782,5.247,-6.037,8.653,-2.347,-9.089
55.963,95.567,12.28,-5.528,-27.726,-51.756,-0.042,9.289,-0.931,7.594,-23.063,-22.727
55.339,96.436,-9.088,-6.432,-35.185,-34.257,-29.156,3.304,-22.251,6.363,-14.933,-3.989
52.888,82.62,-11.326,-2.176,-40.005,-38.873,28.838,13.041,-34.858,13.182,19.203,-7.328
52.882,82.749,-57.311,-12.647,-15.639,-60.552,-24.596,9.431,-27.92,15.359,24.73,2.94
52.132,70.486,-51.672,-6.473,-34.069,-35.351,-30.046,-11.004,-24.29,21.227,-21.15,5.634
53.526,129.08,-55.516,-52.482,3.212,-15.225,10.515,-0.04,-21.093,-0.659,3.433,-27.834
55.989,67.637,8.845,-45.458,-20.155,-22.974,6.702,15.926,17.847,12.639,6.84,-20.197
56.729,72.91,12.147,-1.221,-19.162,-29.326,4.823,6.386,-7.858,9.443,-14.994,-23.156
56.26,60.305,7.016,-5.497,4.568,-10.44,8.087,-4.073,6.029,8.945,20.323,-36.056
55.921,60.254,28.228,-15.227,-25.24,-55.144,5.724,-0.617,15.26,21.163,-19.132,-35.533
55.083,76.009,-8.002,0.455,-29.233,-68.204,-28.634,14.808,-9.693,9.081,-1.784,-2.622
54.726,46.357,18.12,-1.354,-0.343,-19.163,18.773,28.508,-30.065,9.206,-25.271,4.469
54.558,77.209,7.533,-30.504,-23.496,-12.82,10.061,22.602,-7.927,-11.262,19.429,-16.008
55.382,98.578,-7.435,-5.961,-24.784,-50.404,-26.019,19.454,-16.891,5.169,-20.657,-1.701
55.242,77.436,-3.778,-40.067,1.057,-7.895,9.101,-8.078,-7.03,21.796,0.624,-21.088
53.589,94.053,-34.698,-2.497,1.802,-51.422,-11.056,11.35,-21.672,-4.53,8.807,-7.775
53.584,80.238,1.885,-28.584,-11.243,-28.161,7.195,2.286,-37.559,21.404,-12.783,3.32
53.627,62.155,30.621,-64.365,2.314,-16.732,34.718,-44.723,-8.805,16.24,-22.122,-25.215
56.408,13.072,33.618,4.871,52.565,-40.687,45.907,5.349,32.271,4.03,-11.454,-19.192
55.471,3.488,12.516,10.293,45.992,-35.512,64.344,-0.078,3.237,11.123,-39.9,-2.837
56.09,8.983,15.518,-1.405,49.189,-23.992,45.274,8.041,26.821,4.767,7.59,-13.672
55.865,39.518,8.71,18.48,34.842,-56.589,5.935,30.912,23.694,17.357,-16.458,-25.558
53.849,93.321,-7.184,-20.599,-7.029,-23.026,2.07,40.322,-21.622,14.061,-20.653,-23.25
53.752,96.518,-29.496,-50.922,-17.701,-8.507,-4.389,-10.874,-15.665,12.896,-9.373,-6.814
