0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
26.778,231.563,191.99,-114.137,77.696,110.872,35.683,-38.008,-11.843,16.334,12.264,-16.53
48.142,48.429,72.615,-81.963,112.425,34.562,-17.33,12.702,4.992,10.068,19.4,5.77
51.15,151.971,15.009,30.371,28.582,-11.067,-64.405,-4.328,-10.871,-16.942,-24.483,-27.981
51.38,88.876,71.901,-26.747,67.633,54.918,3.776,-3.703,-12.104,-6.645,-2.662,-14.121
49.658,93.736,175.215,71.811,104.202,1.962,3.855,-18.406,-9.864,-14.274,-53.408,-2.646
45.567,204.58,39.899,23.992,-20.448,-20.342,-67.125,81.203,-44.213,-0.509,-17.907,-24.556
46.188,192.6,96.228,-81.517,81.431,41.173,14.018,-107.723,-53.691,125.18,3.047,13.643
52.169,134.873,55.11,38.315,39.621,35.33,-53.009,-17.893,1.933,-34.866,-9.813,-29.322
47.177,103.903,123.23,25.085,50.423,-22.946,1.029,-13.539,-2.257,-2.97,-0.283,11.178
46.743,79.561,121.37,-1.169,60.699,-26.132,-4.156,16.126,-2.416,-13.756,-16.038,-1.28
49.342,36.89,102.457,-50.795,38.694,4.647,18.927,31.725,0.928,-9.081,-8.018,2.583
53.481,63.96,117.699,39.279,90.993,-44.311,-7.43,-3.42,10.831,6.84,6.307,-2.489
53.9,177.224,183.899,36.893,101.363,-19.652,19.371,-7.181,7.426,-12.8,-9.793,20.414
53.092,184.322,47.647,39.236,26.334,-11.491,-45.248,-45.591,-5.194,-26.866,-21.505,-14.604
52.796,151.651,38.724,3.928,46.722,22.156,-39.407,20.32,-15.229,-12.575,-27.577,-7.656
51.312,113.299,103.787,-13.478,96.542,-30.889,-0.933,-49.398,-34.43,31.505,-5.571,3.194
51.76,118.054,49.32,-5.129,14.889,1.11,-22.308,-4.226,21.939,-26.683,-15.867,0.305
52.34,144.059,56.239,8.588,36.954,10.324,-36.224,-19.605,-2.429,25.96,-6.302,-10.965
51.487,28.259,144.326,19.053,68.607,-26.141,-10.387,20.043,-47.109,3.412,5.708,-20.265
51.769,113.706,154.967,58.667,72.526,2.723,-0.843,-12.957,-19.747,-17.197,-29.434,-1.172
50.873,146.913,65.737,20.647,63.977,-1.292,-5.042,-60.211,-9.718,7.862,-13.331,-14.818
47.26,89.202,118.671,23.669,45.371,-24.526,-17.5,-6.721,-7.06,-9.699,5.708,2.575
48.233,72.674,139.967,5.543,68.977,-1.14,-9.163,31.518,-14.397,10.982,-27.669,4.907
51.899,116.172,46.856,15.96,28.64,17.838,-75.627,-2.812,-1.646,6.291,1.665,-25.871
54.43,150.464,99.464,12.687,70.093,17.199,-24.857,-14.207,1.55,11.818,25.811,-33.845
53.528,113.406,135.251,35.688,70.003,-23.332,-30.408,11.673,-7.941,3.06,-11.514,-19.505
53.177,135.115,79.427,12.81,4.539,-14.989,-22.194,-20.711,2.071,0.767,8.96,2.879
53.622,145.398,93.835,14.303,16.192,-20.04,-24.227,-28.832,-4.551,2.257,-13.363,10.445
53.342,119.612,53.979,-14.195,23.07,-22.627,-13.537,-9.829,-18.642,-4.156,-7.288,21.235
53.395,95.785,87.21,-3.259,22.948,-7.283,-40.705,-3.164,-21.789,-7.312,2.403,-6.577
53.496,79.534,123.888,56.11,60.214,-20.902,-21.484,-14.126,-17.419,16.204,2.99,-5.592
54.743,153.338,147.886,10.919,89.567,-33.09,-7.006,5.785,19.506,-2.071,10.866,25.594
54.953,161.633,96.941,40.1,61.108,-32.724,-64.596,-37.344,-9.191,10.177,-28.708,-12.973
55.005,187.573,67.236,38.164,52.718,-3.967,-75.099,-34.321,7.017,-22.324,-35.848,-21.077
47.223,89.593,107.022,32.033,51.108,-21.477,-8.215,-16.027,-0.896,-9.906,0.061,14.935
50.048,102.136,137.103,45.093,64.976,5.858,15.168,24.433,4.941,-13.712,4.29,-14.467
50.01,134.964,99.909,-37.928,47.88,2.609,-45.809,9.562,3.838,-6.507,-23.017,-27.438
51.893,122.69,133.301,-54.451,26.345,-39.459,-20.78,7.248,-12.833,12.127,-0.032,-7.829
53.472,123.522,134.159,52.563,73.087,-26.092,-31.368,7.084,-13.018,-10.819,-19.261,-8.199
52.677,140.454,74.371,-5.342,29.31,-14.07,-46.597,-15.086,16.415,10.979,19.787,-4.594
51.796,123.02,56.672,4.634,23.159,-14.273,-19.34,-41.278,-4.272,4.089,-15.471,-12.796
53.284,102.992,87.342,-0.686,24.904,-5.467,-26.513,-25.822,-3.316,-8.875,-2.541,-15.479
50.307,119.902,163.929,58.372,95.776,-17.989,14.623,-14.706,-12.125,-1.561,-36.327,19.685
48.184,96.095,131.503,32.951,51.031,-38.26,-5.573,-11.469,-2.884,5.714,-6.105,6.173
47.531,89.925,126.3,6.426,45.683,-26.777,-16.21,-2.838,-9.858,-9.744,14.42,-4.299
49.894,155.16,109.35,16.98,70.735,-35.543,-25.958,29.972,-19.869,-0.457,-12.399,-21.632
54.561,104.003,114.616,14.267,75.39,-20.95,-22.998,5.915,-12.863,12.158,13.953,-17.767
54.204,122.863,82.558,5.153,33.765,-11.194,-46.231,-39.927,-24.376,-29.547,3.323,-13.169
52.021,79.847,155.691,22.034,107.959,-8.974,-24.007,17.581,31.253,-13.291,-9.574,-17.713
52.203,132.466,96.208,-32.998,40.637,64.867,-24.753,8.58,-26.832,31.493,30.209,-28.871
55.656,83.607,36.453,9.594,-16.855,-57.04,-5.694,15.219,-15.65,26.664,-16.25,-17.866
54.802,88.476,5.137,-33.415,16.701,-21.553,18.867,-9.777,10.921,31.404,-13.8,-3.861
55.032,99.841,44.999,-26.61,35.827,-24.823,6.948,3.272,4.926,22.565,-21.918,-7.827
56.045,105.395,7.91,-24.962,-10.327,-23.009,6.628,-17.216,-0.436,21.972,-22.467,-8.058
55.882,127.82,8.858,5.462,-0.461,-21.862,-10.703,-12.067,-10.111,9.816,-16.148,-18.726
55.67,108.61,26.42,-24.33,2.862,-26.055,20.358,-0.535,-17.685,35.046,-15.119,-13.736
56.003,91.463,49.462,-5.872,-1.95,-31.904,-8.646,0.827,-26.956,19.357,-18.295,-29.418
55.209,89.297,8.741,-2.244,3.053,-48.285,-35.092,9.201,-22.324,5.508,-1.251,-23.499
55.818,82.54,14.42,-13.128,36.159,-58.895,14.258,-3.45,21.213,35.023,4.636,-16.867
55.956,126.922,28.16,9.142,48.805,-41.448,25.008,4.528,48.726,15.376,-25.877,6.436
56.397,101.699,26.18,-0.108,4.579,-24.613,9.172,10.513,4.438,15.282,-1.915,-14.629
53.151,110.454,-6.052,-12.869,-20.026,-50.556,-3.757,8.437,-2.379,16.348,12.425,-8.051
54.795,147.546,38.337,-37.228,8.035,-13.901,-13.526,-18.326,-10.289,7.233,-20.324,-9.995
56.33,93.436,39.699,-4.426,2.138,-24.013,20.279,9.451,-4.705,19.367,-6.477,-27.872
56.655,104.26,51.43,6.525,11.652,-34.397,11.82,0.032,-0.909,23.705,-3.856,-19.736
54.877,130.757,19.497,-27.542,-47.994,-35.367,-20.229,5.504,4.374,2.853,1.308,-26.446
55.65,127.531,34.934,-12.858,-21.531,-19.756,-12.542,-16.335,-21.875,6.96,-13.6,-23.623
55.007,131.629,15.156,-6.905,-19.002,-26.599,-35.135,1.864,-11.169,4.49,-12.096,-25.225
56.37,87.001,19.794,-13.578,21.873,-44.131,0.253,2.759,1.97,24.511,-17.515,-1.436
55.845,69.674,23.7,-4.995,29.948,-43.327,8.147,16.106,10.766,16.444,-6.665,-2.198
54.42,127.208,3.88,-43.77,21.119,-15.837,2.905,-8.362,-14.583,10.595,-31.413,-17.161
56.043,102.54,11.405,-21.952,-1.678,-36.259,-33.337,9.381,-9.097,8.041,-18.468,-27.946
55.078,124.142,3.38,-19.834,5.393,-13.805,3.857,-7.902,-37.541,11.107,-14.013,-12.204
54.135,111.425,12.95,-36.534,31.906,-14.355,3.523,-27.596,-14.605,19.129,-23.084,-13.905
56.465,79.692,19.533,-22.123,26.012,-49.716,23.429,10.198,2.897,5.523,-6.654,2.533
56.536,77.23,29.638,4.106,20.37,-33.395,-2.058,8.934,8.51,5.607,-21.534,-18.178
55.416,128.138,14.438,-3.057,-5.432,-10.702,-15.142,-20.423,-12.838,11.376,-21.176,-13.708
55.091,129.55,0.884,-34.828,26.526,-11.867,7.988,-19.794,-5.458,14.63,-13.733,-10.416
54.601,112.174,-0.618,-18.156,1.933,-16.321,-10.966,2.051,-17.586,16.687,-13.201,-25.953
55.228,80.38,13.898,-23.812,35.948,-31.369,-1.494,-18.27,8.472,32.506,5.446,-12.512
54.729,64.711,18.981,18.86,16.358,-42.776,17.613,26.857,10.726,8.121,-7.283,0.834
54.469,108.465,25.834,-29.335,-5.893,-17.123,-16.705,-10.57,-23.375,4.939,-13.205,-9.684
53.846,98.774,3.893,-11.185,-17.355,-33.156,-19.52,8.186,-9.294,6.527,-3.661,-23.489
52.689,111.571,-3.94,-26.766,-15.403,-54.554,-3.329,12.193,-4.189,10.433,4.148,-12.848
52.854,118.92,-7.361,-21.825,-16.098,-55.573,0.462,-1.058,2.736,7.647,0.719,-11.524
52.726,113.913,-4.243,-38.4,-23.216,-58.656,1.761,18.183,4.078,0.834,-14.018,-5.492
53.025,102.339,-6.581,-32.23,-12.437,-56.245,-2.596,3.501,2.294,-2.552,-10.327,-12.876
55.698,74.861,20.483,-29.743,15.333,-39.755,13.95,9.721,-1.707,27.323,-3.091,-6.71
54.456,126.114,-7.147,0.783,-16.359,-33.071,-22.1,4.397,-5.139,4.9,-9.073,-30.46
54.153,127.349,9.497,-35.95,14.03,-12.372,15.141,-3.244,-3.095,3.514,-22.846,-21.772
54.641,112.557,-1.765,-9.278,1.127,-29.853,-27.649,16.831,-3.897,0.447,-8.255,-27.172
53.886,93.967,3.309,-17.151,33.975,-48.447,-2.387,17.483,14.671,31.547,-27.099,-12.351
51.564,104.483,28.874,10.948,37.115,-8.809,-51.244,11.92,-12.214,-4.266,-16.064,-12.066
45.132,97.982,104.759,-18.021,50.48,-31.67,-31.977,7.231,-16.165,-4.332,-3.15,17.899
49.621,30.098,112.87,-52.905,77.974,-1.738,13.299,36.02,-5.122,11.211,23.877,5.998
52.35,107.089,75.64,13.064,48.42,-30.071,-37.047,-2.096,-14.761,-1.912,2.318,-8.392
51.807,153.208,36.779,3.843,3.333,-1.585,-72.125,-9.388,-7.108,-6.219,-32.618,-27.847
50.807,158.565,56.949,-2.457,63.234,-8.029,-27.542,-26.525,-42.751,50.266,-34.313,-14.542
47.842,125.479,45.498,-25.007,65.49,-10.086,-28.673,-7.903,-60.489,25.828,-27.096,-16.125
49.174,36.458,64.575,10.728,107.8,-9.256,-23.219,-21.319,-10.371,24.671,-7.947,2.571
49.006,39.727,85.611,8.942,101.728,-25.531,-17.907,3.036,22.847,5.537,-3.536,-14.19
48.448,80.615,46.135,33.932,26.574,-32.032,-37.973,27.218,-7.173,-10.794,20.294,-23.496
44.044,117.878,87.611,43.239,25.868,-29.902,-42.617,-19.696,5.582,2.182,-2.466,-7.726
43.219,58.36,69.104,12.68,9.639,-23.108,-31.324,-9.011,-19.015,-7.805,-0.748,4.566
43.952,98.738,57.187,8.769,2.939,-24.459,-43.756,-9.203,-16.968,0.681,-4.334,8.285
47.932,51.859,102.708,-93.245,56.675,18.184,14.72,20.301,-20.345,11.575,3.191,-1.828
51.683,129.095,34.374,1.246,12.081,9.992,-59.793,-35.184,-6.353,-10.143,-37.853,-21.706
49.575,156.024,49.992,-17.429,80.08,3.831,-12.421,-26.796,-22.346,1.392,-28.616,-1.56
48.887,105.608,47.188,-7.003,44.236,-9.27,-51.949,39.079,-37.083,27.845,8.121,-15.556
49.142,78.442,47.158,-9.956,72.417,-15.88,-11.234,-18.386,18.012,31.931,-9.943,16.453
50.885,83.76,47.313,8.352,44.084,0.347,-52.295,8.934,-16.842,-9.242,-15.943,-22.056
45.178,84.489,66.9,-21.344,20.174,-13.949,-31.033,16.818,-0.435,16.82,9.076,-5.336
50.618,58.894,120.809,-71.148,79.545,7.174,3.505,56.14,18.168,11.5,28.365,-3.35
51.908,108.295,87.378,12.235,104.097,-35.756,-11.702,3.143,-5.433,-12.541,2.472,2.19
51.15,174.822,29.973,13.23,-1.568,8.476,-60.908,-23.532,-24.752,-9.73,-39.076,-12.7
49.66,164.492,54.96,0.894,67.092,5.342,-36.611,-15.325,-60.019,47.422,-39.977,-11.409
49.574,105.405,49.599,27.403,35.703,-18.381,-68.505,21.269,-26.526,7.99,-7.013,-29.154
47.764,71.161,60.92,-24.212,88.945,-23.914,0.292,-50.294,-18.168,41.422,-19.469,-3.21
48.625,47.371,122.549,23.61,100.846,-35.217,-29.003,-17.13,37.127,11.761,-4.593,-23.895
47.666,46.868,87.19,22.646,89.865,-20.448,-24.136,2.866,19.608,4.009,-31.358,0.159
47.069,46.081,39.276,25.436,24.898,-33.706,-43.092,2.69,0.705,-23.662,2.655,-19.621
46.798,112.222,73.985,20.722,16.263,-32.842,-37.045,-24.136,-17.39,0.556,-9.085,1.298
43.897,87.31,71.515,14.711,9.226,-25.597,-40.081,-11.205,-15.163,0.906,-2.154,-0.962
42.909,127.681,86.274,19.456,14.358,-22.965,-40.504,-10.815,-8.474,-4.176,-12.364,7.328
41.705,95.934,100.095,15.392,28.291,-17.429,-19.639,-11.554,-6.709,1.975,-5.404,-3.593
43.459,89.9,50.975,58.279,9.823,-12.811,-31.481,-4.382,-9.566,3.498,-32.985,9.738
41.166,103.806,66.449,-183.566,51.101,40.028,5.217,-69.517,13.851,0.196,6.179,4.802
49.657,72.984,41.799,129.811,21.296,1.812,-76.557,26.079,-15.989,-25.684,-89.448,-20.049
40.438,54.715,-2.714,-77.394,34.711,38.975,-24.88,38.611,-16.285,27.101,-69.002,13.541
