0,1,2,3,4,5,6,7,8,9,10,11
23.57,96.128,92.782,-365.729,84.131,153.424,61.456,-25.512,-50.285,71.961,-96.351,16.499
40.538,81.037,-31.942,-21.732,63.309,50.675,20.174,32.68,-18.107,-19.113,-70.588,17.366
47.72,59.994,-92.277,84.878,62.082,-59.267,-10.603,8.491,-37.506,56.93,-17.055,6.795
42.708,73.512,-58.118,-13.729,54.115,46.144,29.289,8.298,-15.725,-27.917,-52.884,8.594
54.147,56.104,15.834,23.002,69.839,-31.559,24.761,-34.812,-33.755,48.934,-3.912,-1.992
51.933,-21.927,47.19,-7.924,61.108,-25.32,15.885,15.024,-4.691,-15.794,-20.701,8.667
52.366,12.798,-13.165,-30.827,68.851,-27.394,41.324,-12.661,-15.177,-43.428,-0.697,1.03
54.579,35.573,3.167,12.406,58.332,-32.952,34.51,-28.461,-28.275,-1.018,2.256,-5.647
53.728,38.288,9.558,6.915,71.499,-44.106,26.568,-25.173,-29.268,-6.13,-3.988,-9.586
52.424,32.388,-30.774,6.556,64.661,-57.056,12.953,-10.229,-16.558,0.406,-1.946,-16.128
53.939,62.795,-24.145,-6.886,66.841,-31.132,26.562,-28.974,-32.211,-7.866,1.854,-24.009
53.662,70.217,16.241,-23.339,86.934,-29.575,-4.786,5.516,-0.247,-15.897,-12.683,-14.633
54.883,80.517,-3.763,7.871,50.755,-30.349,2.041,-30.864,-20.332,4.217,-18.175,-1.811
53.314,56.76,-10.997,-11.52,51.534,-6.754,1.82,-25.479,-13.744,-30.97,-15.623,-19.433
52.579,72.485,-17.191,-27.493,43.379,-38.443,11.246,-19.107,-21.918,-23.494,-3.123,-26.003
54.14,61.02,0.971,16.177,55.733,-16.407,18.342,-40.189,-19.352,-11.791,-11.653,-17.074
51.903,15.738,-1.778,-18.168,39.582,-8.922,26.726,-24.483,-20.065,-37.26,-12.849,-18.981
51.9,62.622,-44.679,-14.322,36.032,-34.231,19.691,-8.904,-27.301,-26.062,-4.951,-27.649
53.879,88.449,-22.698,-23.376,49.379,-13.377,20.622,-35.432,-17.809,-4.389,0.256,-11.366
52.164,97.27,-30.501,30.253,24.463,-23.72,0.203,-9.626,2.057,-31.235,-24.555,-16.46
50.539,98.643,-65.405,0.755,36.657,-42.885,24.959,-21.529,-29.252,3.807,-16.538,2.643
55.018,65.727,-1.184,-1.647,57.318,-36.593,24.728,-27.176,-39.512,30.171,-3.675,-1.013
55.356,81.137,21.407,8.8,87.109,-61.539,39.759,-1.801,-37.393,6.336,-7.499,19.484
53.402,9.887,-16.949,25.598,71.473,-66.562,29.429,-30.198,-22.685,9.569,-10.601,9.516
52.969,52.824,-19.214,-15.741,58.363,-44.803,18.723,-28.496,-30.31,4.048,-15.775,-7.551
54.523,42.08,-19.74,14.283,66.278,-54.197,19.679,-34.388,-22.227,10.07,-19.211,-7.015
52.068,-12.184,22.462,-44.204,57.032,-34.223,18.199,20.083,-4.088,-29.755,-14.862,-24.799
54.19,53.088,1.493,-25.892,74.927,-39.573,11.878,-6.92,-11.217,4.121,-13.33,-27.968
54.702,92.766,22.07,11.726,49.461,-25.147,-3.437,-10.502,5.372,-9.545,-23.2,-30.866
53.676,77.784,-6.041,-12.64,50.807,-10.431,30.665,-16.152,-26.241,-8.699,-7.805,-14.465
53.262,37.023,-12.46,-0.11,56.929,-50.328,20.058,-20.18,-11.824,8.077,-10.699,-10.528
54.091,58.374,-8.738,-10.719,58.769,-46.886,15.514,-17.798,-25.132,22.487,-18.642,-17.749
53.146,62.469,-26.535,-19.126,60.39,-36.362,8.71,-18.398,-25.388,-18.494,-16.447,-7.434
53.87,65.238,-13.675,9.554,43.044,-37.452,18.522,-44.733,-32.73,-9.654,-17.464,-13.993
52.894,64.534,-15.642,-18.863,55.125,-8.401,27.376,-3.5,0.704,-45.012,-13.097,-24.776
51.39,28.958,-0.815,-35.851,39.44,-35.073,35.445,20.634,2.087,-23.88,-16.049,-25.868
54.357,80.804,-26.187,19.998,40.27,-29.726,20.523,-40.265,-27.732,13.782,-25.76,-3.51
51.502,21.759,-31.993,17.499,36.519,-23.975,25.436,-22.605,-33.367,-13.407,-18.355,-18.321
50.257,30.607,-28.58,-53.298,33.269,-17.523,25.624,24.725,-5.935,-49.806,-4.224,-8.5
53.973,67.817,-15.074,-11.801,48.09,-12.798,20.535,-30.84,-29.617,-7.584,-5.676,-12.858
52.857,95.385,-19.777,16.269,34.679,-49.412,9.688,-22.992,-13.944,-5.597,-42.825,-6.369
48.796,87.399,-60.111,7.776,21.565,-28.898,40.507,-21.801,-18.494,-15.684,-23.872,14.992
53.865,61.883,-8.179,5.315,57.601,-28.344,25.94,-37.707,-30.962,38.297,-8.025,-6.265
53.968,71.973,-16.433,4.809,61.582,-50.39,6.92,-21.755,-37.634,-5.48,-3.855,-12.127
55.286,114.606,21.778,-36.472,44.376,-20.462,-22.162,-14.579,9.545,-23.456,-1.192,-6.117
55.854,46.969,24.395,-9.661,40.326,-26.114,-26.975,-6.361,-7.167,-5.134,-28.446,-18.881
54.482,-0.469,63.136,-36.845,52.887,-10.67,18.714,-12.089,-3.106,-15.878,4.715,-2.698
55.605,21.89,76.416,15.941,84.995,-32.277,19.626,-1.469,-12.961,-15.072,-23.921,1.794
51.537,78.744,1.619,-10.952,115.568,-24.725,34.003,-18.735,-31.537,-49.733,-0.009,0.505
54.528,3.908,99.199,-13.505,63.859,8.118,28.564,37.459,-14.212,-36.078,14.223,1.574
54.723,38.464,131.518,5.461,95.948,-32.878,5.938,17.568,-33.686,-2.0,1.439,-9.887
56.022,80.829,75.494,3.146,93.709,-37.024,-35.541,7.165,-2.032,9.297,3.983,-11.529
55.045,51.158,7.919,10.186,64.997,-27.951,2.402,-12.07,19.406,2.33,-41.108,-20.994
52.528,60.21,-45.886,-7.093,82.723,-54.188,29.645,-43.369,-20.908,-17.585,-29.981,-15.771
51.444,27.77,-4.918,-23.834,50.591,-4.41,17.58,-19.524,-1.928,-41.113,-2.868,-30.398
50.684,18.952,16.518,-61.749,66.585,-38.713,6.236,30.388,-26.762,-20.852,4.006,-19.289
54.911,-4.478,26.794,-19.187,64.726,-31.763,13.704,2.937,-14.393,-3.916,-5.083,-8.915
55.09,32.002,28.732,26.416,40.092,-24.667,-11.604,-29.182,1.035,-14.39,-30.104,-9.081
54.2,38.965,31.279,-46.962,105.814,-44.01,16.771,-17.04,-13.823,-9.686,-1.454,-30.485
54.296,52.136,18.765,8.858,91.594,-90.165,-18.383,17.345,-28.567,9.65,-0.974,-23.093
54.756,56.449,6.263,37.149,73.971,-32.296,-30.788,-18.177,-12.806,2.148,-22.669,-20.05
54.534,77.598,27.911,-43.054,67.43,11.592,-26.524,-12.192,12.987,-6.432,-6.228,-14.373
52.694,121.147,-18.91,-2.291,93.457,-21.638,-32.622,53.008,-3.092,-5.488,4.754,-5.233
53.17,22.7,25.33,-2.615,86.545,-14.691,-10.119,-9.528,2.14,-3.648,-24.52,-0.522
52.796,24.503,3.881,-19.505,52.451,-37.159,11.33,-12.805,-20.347,-10.761,-1.063,-4.818
54.915,55.161,0.312,-22.636,33.985,-26.398,-0.264,-8.123,-17.716,-7.903,-29.302,-11.057
57.279,102.049,24.498,-20.859,44.99,-22.456,-51.653,-10.988,13.715,8.947,-21.001,-25.814
56.567,46.01,107.754,-8.04,61.782,5.657,-12.345,19.154,-13.741,-17.005,28.809,-14.007
54.592,51.539,92.711,6.519,101.054,-27.542,-34.457,3.618,9.715,-10.884,0.503,-6.95
53.617,37.758,46.871,10.15,79.857,-31.872,-7.086,-10.338,19.72,10.179,-31.325,-18.181
53.311,31.748,-5.193,7.038,45.308,-41.527,-4.312,-33.21,-11.2,11.592,-18.316,-11.0
53.064,36.556,20.24,-66.918,63.955,-40.777,-2.134,21.02,-7.111,-6.817,0.897,-27.002
56.386,118.177,-8.782,-16.804,49.304,-29.962,-6.959,-49.85,3.795,-20.815,-7.402,4.702
54.9,70.092,21.43,-30.879,32.21,-29.293,-28.591,-1.687,-6.781,-9.815,-7.903,0.769
54.769,112.43,-28.256,-15.094,59.352,-30.216,-45.471,3.68,-8.242,-10.195,-18.049,-8.611
54.538,24.576,10.797,23.072,60.009,0.614,-30.828,-17.149,-1.118,-13.116,-44.375,-5.293
50.863,90.86,-50.445,-66.25,116.208,-23.979,-7.343,26.348,27.19,-59.234,10.013,-24.095
53.049,-5.952,15.709,-23.372,97.546,-54.111,-29.689,-16.043,-20.699,5.801,-1.465,7.187
54.959,17.621,47.499,-26.093,109.714,-34.286,9.631,-8.104,-4.034,-12.848,0.383,17.824
