0,1,2,3,4,5,6,7,8,9,10,11
0.216,167.337,14.299,-32.929,61.566,-53.078,19.596,-2.251,-23.481,0.754,-5.887,-10.012
4.193,97.044,64.589,-20.852,131.262,-60.604,58.584,-7.123,14.509,15.726,-14.808,-18.023
6.541,59.852,79.055,-2.424,149.378,-50.535,52.412,12.532,0.943,13.339,-18.758,-14.619
8.446,36.817,105.676,7.619,160.787,-42.247,62.701,9.309,-7.207,21.634,-14.37,-25.541
10.943,-1.098,117.548,15.625,167.502,-63.227,46.512,8.863,-14.278,-3.533,-6.653,-18.909
12.884,-21.753,122.213,27.526,162.318,-50.795,37.614,11.307,-19.108,3.405,-4.541,-17.61
15.429,-40.868,160.503,8.425,156.549,-41.739,51.099,-2.4,-23.007,2.705,1.761,-27.712
18.953,-56.293,172.263,43.866,135.632,-38.822,24.339,17.198,-16.739,1.358,0.565,-20.631
19.703,-68.441,170.19,31.124,130.262,-46.672,33.575,9.304,-14.708,-3.785,1.24,-18.044
20.724,-36.969,186.392,40.586,103.042,-34.145,14.225,1.292,-15.906,-13.2,4.583,-23.041
22.629,-57.987,177.111,38.985,102.318,-30.479,14.807,-0.537,-11.632,1.005,2.478,-16.232
28.361,-66.746,160.582,-59.209,80.134,13.688,20.725,2.816,-13.919,-13.809,-21.774,7.032
34.721,-56.831,78.72,7.165,70.619,54.184,-1.823,-30.314,-6.906,-56.709,-9.547,7.221
37.867,-2.167,107.773,32.339,40.14,7.944,-10.948,-6.642,-10.181,-28.852,14.916,-6.318
37.08,-33.954,95.605,81.383,55.146,-5.933,-11.318,-27.759,-17.216,-21.409,-16.723,7.819
36.061,-41.564,90.116,34.951,63.277,25.348,-6.956,11.155,-17.135,-32.716,7.234,7.083
36.451,-14.888,126.457,13.441,38.371,28.461,11.21,2.017,-29.881,-38.662,9.587,7.733
37.616,66.795,88.412,57.393,54.057,-40.285,-3.029,-39.036,-36.173,-7.444,-16.129,21.373
37.978,-15.566,107.431,10.24,52.579,15.651,-0.804,-0.185,-31.748,-13.886,3.903,13.641
37.311,36.44,67.291,71.082,43.185,-3.187,-14.421,-46.706,-29.461,-20.403,-29.957,21.231
36.153,-54.548,63.478,45.98,50.37,-1.756,-21.354,-8.145,-12.671,-18.144,5.719,17.669
37.758,-0.444,88.271,9.245,53.44,47.838,-2.036,-16.323,-15.432,-29.607,9.205,6.784
38.36,8.358,115.478,57.18,28.7,-9.12,-24.133,-24.634,-56.194,-17.191,3.859,6.92
38.525,-27.38,71.737,22.192,46.459,-6.846,-17.936,-8.724,-38.272,-17.999,8.776,10.105
36.776,1.176,83.191,34.895,27.804,-19.376,-15.537,-12.226,-27.7,-16.954,-15.442,26.472
38.021,-45.421,65.814,39.81,34.478,12.538,-13.836,-12.672,-18.286,-23.136,6.033,-0.424
32.998,-72.03,77.469,50.552,32.086,-44.18,-19.561,-17.76,-14.908,0.591,-10.62,-2.297
36.613,-2.904,58.487,40.257,50.745,32.902,-19.505,-44.486,-12.837,-19.199,6.35,6.222
35.172,-39.868,76.962,-17.131,31.53,34.348,-19.227,1.535,-22.649,-49.51,-18.465,7.513
37.956,-23.685,94.185,-5.076,41.945,38.606,-18.004,15.846,-16.531,-31.771,3.376,8.405
36.185,24.351,113.769,66.725,23.061,-57.023,-3.648,-35.997,-57.953,1.587,-8.785,40.193
40.486,-17.883,41.213,-2.481,37.82,14.604,11.704,-15.944,-19.801,-14.448,2.43,9.394
43.978,3.099,37.186,-46.436,34.286,-17.65,-10.507,-10.449,-26.348,-9.786,6.021,2.808
46.082,5.18,57.826,2.142,44.36,-22.305,-39.348,-10.933,-16.422,0.206,-9.258,12.828
48.771,93.639,55.047,17.31,44.199,-15.878,-18.97,-6.384,-27.897,-0.039,22.417,10.084
47.755,55.409,45.476,40.675,46.022,-15.892,-43.438,-37.02,-36.36,0.852,-20.925,4.085
44.491,-23.23,45.133,-24.908,33.835,-21.96,-31.312,5.352,-42.237,-16.995,18.923,11.805
46.309,58.335,77.33,-42.491,-0.587,-24.683,-50.336,36.869,-22.16,-17.93,18.106,7.096
47.088,62.421,40.989,34.797,47.803,-17.394,-49.586,-58.293,-28.801,11.936,-25.374,15.595
45.75,97.881,15.081,-12.112,54.634,-14.317,-36.211,-35.943,-1.213,-47.641,15.496,18.999
44.365,-13.978,42.205,11.763,34.879,-34.946,-30.838,-15.436,-29.761,-11.035,-1.39,16.917
44.223,-5.961,58.465,-26.708,39.122,-18.871,-30.458,9.463,-24.338,-11.365,1.856,2.464
44.001,109.384,54.849,35.71,41.393,-3.146,-26.863,-48.083,-53.749,-9.583,-23.864,14.245
37.448,1.274,128.786,23.33,2.778,-14.296,8.68,3.442,-61.233,-25.903,1.071,22.933
37.14,-1.724,89.876,34.217,31.365,-20.512,-9.689,-11.578,-48.022,-8.602,9.365,46.28
42.125,-27.894,63.833,9.437,47.056,14.475,-18.246,0.325,-22.982,-32.705,18.303,17.474
39.748,-53.764,89.804,-30.884,56.382,-15.782,-13.71,-20.718,-32.652,-27.252,11.974,9.886
46.315,1.933,122.381,-20.473,66.524,-7.544,-28.766,17.166,-6.011,-35.461,-3.987,-8.26
45.234,27.623,42.365,-2.931,29.772,6.062,-64.32,-26.072,-34.275,-10.239,-14.005,-4.486
44.674,-34.387,17.224,-15.098,75.944,-38.901,-45.918,-25.317,-48.322,14.63,13.387,5.852
47.936,15.124,86.975,-9.853,96.222,-16.892,-6.724,4.306,18.536,-16.536,11.934,1.383
48.198,49.001,93.524,24.636,54.18,-22.232,-11.972,-0.804,-16.693,-6.294,3.682,8.354
46.894,31.837,104.155,40.598,79.469,-21.411,-14.486,3.723,-13.075,-4.946,-28.25,13.704
41.92,-15.237,80.171,-63.03,63.002,4.326,-26.694,-5.691,-29.353,-13.012,-7.057,11.862
45.879,-29.208,56.087,-7.925,83.758,-36.308,-37.028,0.342,-35.599,-6.256,6.351,-3.358
43.949,27.139,61.683,44.451,47.88,-28.025,-54.816,-10.225,-34.437,-41.067,-23.296,-2.804
43.587,-30.241,107.901,-33.512,66.016,-3.126,-10.544,13.721,-24.719,-3.365,20.472,-3.876
44.899,27.097,42.052,0.458,26.022,2.592,-53.67,-20.822,-33.145,-12.15,-14.202,-3.654
44.113,-9.635,20.314,-19.542,52.457,-32.51,-50.965,-30.049,-48.607,10.535,10.645,-3.558
47.561,16.461,74.663,-15.576,86.07,-3.723,-13.262,-1.364,15.3,-29.032,5.495,14.072
48.355,41.231,108.975,2.697,66.066,-25.312,-8.071,-5.935,-7.345,-7.5,-0.222,12.406
47.985,27.592,76.065,14.569,18.776,-20.01,-38.426,-14.124,-35.922,-12.793,-2.237,1.708
45.665,-1.206,104.203,43.069,60.915,-21.732,2.279,-4.371,-19.435,-5.032,-24.482,18.745
