0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
34.074,-65.695,0.032,-53.18,23.695,27.252,-17.488,-14.778,-6.271,35.225,42.245,1.725
37.534,-68.408,20.493,-32.176,19.985,-32.435,-21.287,-10.917,3.402,-6.491,6.772,8.087
39.589,-34.714,27.777,-34.388,25.51,-36.849,-22.66,-4.593,4.617,1.742,3.818,16.147
41.182,-33.08,35.094,-27.011,31.883,-28.228,-25.549,-9.51,-4.944,-4.035,5.546,16.306
44.301,0.076,65.739,-64.601,41.673,-35.999,-14.527,15.926,-9.804,-5.577,28.434,34.449
47.95,60.169,61.114,-13.604,46.825,-29.938,-13.935,-0.382,-7.629,-2.721,12.5,51.674
48.144,42.396,50.123,-5.147,32.323,-35.201,0.718,-15.1,-12.552,-1.654,4.23,51.05
48.619,44.965,60.182,-16.245,38.389,-37.481,-6.173,4.013,-8.979,-0.08,11.591,47.655
48.534,48.017,63.057,-9.182,38.557,-31.134,7.158,-7.905,-10.878,-7.706,1.964,55.33
49.195,56.987,56.736,0.814,42.412,-40.243,-2.147,-1.962,-4.453,-1.251,0.34,48.703
53.708,65.914,-33.162,-8.096,9.729,-24.838,-7.094,11.263,15.792,11.391,10.405,8.132
54.34,57.509,-11.623,-3.156,1.904,-12.429,1.079,17.864,1.766,4.869,15.31,6.839
53.278,61.136,0.259,-15.033,-2.097,-22.406,-0.445,-3.053,-4.263,-3.93,6.398,3.474
54.009,84.431,-33.326,-1.231,-2.269,-64.772,-10.978,4.677,-1.586,-10.208,2.455,12.779
53.157,69.494,-18.87,-6.891,-5.049,-44.238,-6.214,-2.151,-4.98,-7.837,11.272,1.081
52.137,61.501,-16.134,-10.352,-16.324,-51.763,-7.761,0.449,1.831,-8.753,3.38,8.267
53.653,78.641,-17.247,-22.824,6.086,-1.432,0.051,7.603,10.545,0.57,13.382,8.836
52.689,67.035,-12.949,-17.161,6.263,-30.324,-0.037,11.585,-0.058,1.767,-1.913,15.84
54.003,83.004,-31.338,0.31,-5.327,-30.971,-9.583,4.406,0.388,6.18,20.584,1.23
52.725,75.506,-10.119,-15.174,8.057,-40.677,-10.794,-5.919,4.069,3.704,2.578,2.462
52.755,68.204,-7.284,-5.264,-4.064,-44.557,-2.916,0.164,4.628,-5.332,0.735,1.764
54.105,78.35,-37.235,0.49,-0.231,-47.772,-11.246,12.991,-5.441,0.281,9.643,7.183
51.866,72.143,-4.725,-21.458,4.566,-29.461,3.586,6.573,4.814,9.029,-2.212,6.5
52.622,73.655,-23.339,-17.12,-3.091,-38.06,-12.787,7.262,2.545,-15.171,9.543,2.168
53.54,78.938,-41.893,0.168,-3.157,-45.468,-19.319,0.564,8.319,2.255,14.298,-8.219
52.656,68.105,-15.423,-21.635,11.054,-55.311,-11.109,-3.422,3.891,-6.703,0.042,-0.566
51.875,63.174,-11.7,-19.189,-7.847,-57.592,0.021,-15.566,-1.812,-6.413,0.064,2.764
53.959,81.983,-35.679,0.092,6.197,-47.603,-3.448,13.195,8.295,9.01,16.56,4.831
52.485,60.315,-10.526,-19.106,0.422,-28.007,-0.019,-1.186,-10.942,6.486,-0.374,15.274
52.75,58.792,-16.418,-11.248,-11.675,-24.154,-16.942,-3.224,-14.241,-10.289,11.926,7.275
53.812,75.163,-30.71,-1.708,-9.334,-25.481,-13.987,9.177,-8.626,-3.758,26.096,8.246
52.469,68.585,-20.444,-22.624,3.503,-48.052,-18.755,5.356,0.989,-6.01,6.016,9.06
53.085,56.889,-9.343,-11.094,7.091,-22.72,-10.215,-7.392,-4.703,4.411,10.192,4.435
53.607,80.403,-40.72,-6.891,-1.658,-43.423,-26.336,8.564,7.275,0.163,19.03,3.237
51.591,71.677,-24.49,-19.359,-5.443,-48.644,-14.67,-12.168,-4.803,-9.896,-1.324,11.69
52.505,59.374,-44.525,-15.908,-4.73,-47.719,-22.0,-13.119,-2.322,-11.92,5.411,8.562
53.545,81.424,-41.388,-0.031,-5.59,-51.752,-22.682,2.037,1.853,-1.797,23.193,10.457
52.557,65.979,-27.615,-17.247,2.961,-44.24,-18.828,-18.284,-1.729,-12.8,-1.357,-0.447
52.612,55.11,-22.724,-20.243,1.137,-32.486,-2.957,4.661,14.2,-5.124,1.552,11.254
53.773,86.46,-28.225,3.207,-9.287,-30.273,-4.144,3.629,-7.465,2.327,23.726,20.414
