0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
23.359,273.269,119.861,-184.966,43.348,109.19,18.502,-13.787,-9.75,16.022,34.464,26.092
38.182,96.273,90.685,64.089,27.302,17.342,-7.481,-28.975,-14.344,9.063,-13.747,-2.239
39.845,104.806,89.718,53.684,30.741,-10.331,-12.352,-16.561,-0.308,4.131,-50.029,9.987
36.832,61.618,50.073,89.763,30.024,19.942,-4.21,-24.868,-5.344,-9.419,-36.91,-4.223
37.11,52.603,72.491,52.429,29.879,18.118,-12.92,-22.562,-5.486,-12.202,-33.964,-7.481
38.524,81.566,56.117,74.116,19.647,13.044,-14.792,-15.047,3.434,-10.578,-36.113,0.938
37.022,71.175,50.25,108.669,13.59,-9.886,-31.876,-27.793,-29.517,-5.232,-40.54,2.786
37.889,88.849,75.499,52.591,21.221,20.902,-16.222,-10.032,-10.01,-10.457,-50.251,15.396
39.369,91.987,106.225,20.878,43.261,-0.64,-14.302,-10.473,-3.4,2.14,-27.404,-5.029
40.88,121.394,104.891,7.736,41.474,22.049,-25.702,-3.963,2.539,-26.686,17.916,-9.577
41.554,146.684,130.397,12.328,40.224,-17.312,-34.515,-4.782,-3.307,-10.663,-8.173,0.857
48.259,146.828,91.224,-33.658,15.451,40.587,-47.117,35.884,-28.457,9.136,13.959,0.291
47.292,64.156,29.208,30.509,-4.315,-61.71,-52.137,27.848,-32.639,4.995,2.053,15.871
47.35,91.577,49.335,62.219,-8.173,-16.104,-44.745,19.93,-36.206,-10.751,0.24,8.207
41.065,135.499,133.1,5.289,43.273,-23.981,-38.126,3.211,-6.211,-6.388,12.748,-5.277
41.247,141.58,118.373,36.552,41.546,-1.018,-28.11,-26.551,-16.336,-32.136,-23.592,-4.672
46.978,132.557,107.461,43.529,12.396,-25.114,-19.586,-8.601,-31.179,-15.166,3.892,-2.044
44.774,95.567,58.455,40.042,8.192,-3.635,-31.247,6.399,-22.176,14.685,-4.209,6.69
41.196,138.727,126.334,17.568,48.267,-24.529,-27.302,-9.357,0.556,3.257,-3.428,1.867
39.986,113.443,97.924,5.131,18.927,-6.407,-35.274,-5.565,-22.506,-7.802,-9.617,4.068
41.596,166.082,115.499,18.315,47.979,-1.001,-4.185,-6.274,-6.197,-18.353,9.947,1.474
41.063,140.001,141.143,26.706,55.123,-26.03,-33.943,-6.519,-12.088,-4.448,-9.751,-1.617
44.661,115.443,74.633,7.024,28.672,22.782,-20.067,24.627,-2.581,-3.606,-8.863,-1.378
40.54,116.32,116.389,6.204,39.341,-5.156,-28.041,-1.94,-6.698,-5.218,15.491,-3.733
41.644,126.74,136.134,33.987,42.195,-20.749,-26.527,-2.359,-15.162,-9.404,-4.878,-8.251
41.048,139.142,135.378,20.194,36.89,-11.201,-28.732,-6.443,-8.148,-4.959,-5.671,-20.448
40.184,130.476,120.579,19.104,45.552,16.842,-21.708,-15.092,-0.997,-8.852,4.578,-14.555
41.471,154.526,140.113,22.23,44.669,-16.144,-32.055,-9.616,-5.45,-5.779,2.824,-12.511
41.922,144.554,127.962,14.692,35.818,-22.331,-30.355,-8.405,-14.368,-8.507,7.348,0.019
41.859,146.837,63.487,27.12,44.572,-43.348,-14.453,-2.238,-34.953,-0.565,-0.73,10.402
42.927,148.396,112.366,-14.965,45.496,-30.833,-8.497,23.17,-23.784,4.696,-8.469,16.541
46.391,194.766,80.949,22.939,48.769,-20.61,-5.308,-28.341,-56.51,-8.364,-18.186,13.779
53.412,90.609,0.466,-126.325,5.404,21.373,-8.042,-21.74,-21.372,-23.033,10.705,6.654
57.961,65.293,18.05,-5.503,7.191,-29.882,17.914,9.744,-30.419,-15.947,-4.215,8.098
57.666,60.444,9.637,-11.6,3.127,-58.581,19.852,14.518,-27.77,1.781,-9.42,7.633
57.723,62.069,8.975,-3.82,7.982,-35.215,16.557,1.813,-28.067,1.869,6.884,13.997
