0,1,2,3,4,5,6,7,8,9,10,11
0.783,164.754,18.764,-49.154,54.025,-59.235,18.836,-11.684,-25.775,-0.851,7.955,-8.927
34.16,32.549,8.453,-13.076,-33.473,-9.441,-17.815,-6.078,0.273,6.72,6.067,16.429
41.546,88.83,25.239,-1.919,0.993,-6.732,-30.079,10.942,24.305,-7.846,4.718,5.117
41.699,92.778,22.097,2.969,8.508,-21.561,-40.727,-4.714,19.976,-8.8,-12.792,4.994
40.622,90.315,28.977,11.766,6.3,-29.232,-39.827,-0.259,20.97,-1.965,-4.57,3.458
42.087,99.095,34.911,4.441,1.085,-6.771,-24.535,-7.688,20.726,-12.695,-8.062,10.812
42.669,85.389,26.658,21.438,2.109,-26.992,-19.666,-2.577,21.572,-4.666,-3.56,5.063
41.727,101.144,38.06,8.324,7.891,-14.566,-19.182,-4.325,26.609,-4.483,-4.2,9.086
41.482,94.56,33.651,-0.217,1.015,-20.64,-31.057,20.382,23.39,6.785,-10.87,1.947
41.915,109.706,33.159,-4.476,5.455,3.309,-29.739,-7.185,22.688,5.877,-3.266,9.374
42.507,85.247,36.21,5.161,-0.47,-23.581,-43.316,5.854,15.027,-1.381,-13.323,2.412
43.596,108.682,34.812,9.374,12.383,-15.143,-32.346,-0.334,19.845,-3.297,-1.452,18.184
41.393,89.323,25.486,1.438,-1.665,-19.864,-40.108,4.887,9.66,22.682,-15.045,11.463
41.601,91.212,32.663,19.87,0.747,-17.843,-17.852,-18.198,17.623,-0.499,-6.736,2.048
41.247,62.045,24.351,9.12,-2.79,-15.535,-23.345,-3.678,20.997,-10.77,-6.546,-2.528
42.484,90.39,41.38,1.181,16.126,-8.71,-33.442,-2.918,26.237,-7.998,-1.535,6.655
46.35,101.327,40.486,-39.365,-11.843,39.607,-39.729,-4.028,2.503,-3.231,-7.077,-7.007
49.41,52.989,45.307,-61.714,38.476,2.556,-24.483,-32.307,-11.128,-1.825,-2.114,21.075
52.286,88.509,126.796,33.064,55.586,-27.635,14.284,10.139,-17.331,-15.327,-0.422,-2.629
48.918,109.019,34.648,51.514,22.052,-16.377,-56.853,32.895,-7.809,-10.505,24.294,-3.765
50.092,84.754,58.579,31.511,78.279,21.822,-32.125,43.655,-25.659,38.576,-24.172,9.354
