0,1,2,3,4,5,6,7,8,9,10,11
0.006,170.985,9.473,-28.644,57.565,-50.087,14.688,5.118,-27.285,0.913,-10.534,-7.194
10.683,-38.574,-59.749,-121.692,74.875,-8.807,-16.913,-44.556,-45.852,42.274,7.112,-9.333
18.29,-135.884,-54.336,-90.719,55.423,-34.263,-20.608,-13.775,-35.726,0.937,1.085,-21.436
22.05,-156.278,-47.584,-54.59,25.066,-31.839,-28.242,-3.689,-31.359,-7.594,1.012,-23.177
23.808,-167.838,-36.976,-57.29,19.222,-31.066,-29.86,-6.815,-27.335,-5.559,0.706,-22.977
26.051,-179.483,-23.358,-62.957,16.457,-30.176,-34.677,-4.06,-19.822,-5.891,7.895,-20.626
27.59,-173.288,-23.612,-47.997,0.917,-29.826,-39.606,-2.204,-16.273,-6.377,4.446,-16.793
28.54,-174.504,-22.167,-45.769,3.286,-30.248,-43.163,-6.865,-16.434,-4.863,2.377,-13.385
29.953,-173.619,-14.506,-55.527,-2.093,-35.415,-44.558,-1.957,-12.587,-4.465,12.49,-14.414
31.324,-170.239,-17.928,-38.655,-4.102,-32.836,-47.184,-4.543,-8.472,-9.637,1.794,-13.229
31.612,-161.557,-16.249,-42.98,-11.984,-23.441,-42.491,-4.239,-13.158,-7.649,1.17,-15.75
32.306,-149.066,-14.217,-48.898,-12.529,-28.84,-42.572,-3.218,-12.106,-9.923,7.139,-13.606
32.993,-146.366,-14.174,-33.532,-9.05,-24.153,-45.903,-8.572,-15.529,-14.496,-0.911,-13.061
33.064,-141.53,-11.3,-42.747,-19.445,-28.895,-43.807,-5.672,-20.203,-11.511,8.017,-15.178
33.761,-132.014,-10.058,-42.93,-7.433,-26.275,-50.294,-3.686,-15.731,-6.829,-0.923,-10.674
34.468,-117.905,-12.252,-37.311,-13.376,-24.475,-47.982,-5.87,-17.738,-7.973,7.983,-12.377
34.503,-118.91,-2.975,-44.737,-20.273,-27.799,-43.444,-6.52,-24.847,-9.959,6.342,-13.174
34.894,-103.559,-11.729,-38.911,-23.627,-21.354,-41.468,2.845,-30.536,-8.492,3.327,-10.209
35.65,-95.632,-3.772,-44.188,-17.686,-23.721,-41.405,-0.036,-34.342,-10.447,9.583,-9.848
36.286,-79.009,-3.732,-39.942,-15.107,-19.404,-39.107,-17.254,-41.001,-20.506,6.14,-13.331
44.879,-5.232,-2.163,-13.502,-24.135,-39.556,-32.67,-5.403,-14.981,6.314,2.378,-5.789
44.348,-1.224,-5.96,-31.767,-26.202,-25.959,-23.528,-8.548,3.518,1.734,-2.754,0.152
42.868,-30.665,-0.251,-29.709,-21.337,-27.467,-38.198,-7.597,-15.884,-8.338,0.383,-3.784
48.359,69.078,58.945,-35.278,-21.956,-18.903,-21.434,8.215,-27.273,-16.313,2.019,-1.25
51.794,30.556,33.93,-23.414,-8.951,-16.027,-36.001,10.603,-28.737,-4.984,-5.573,1.245
52.145,28.496,32.85,-8.042,30.051,-32.392,-35.239,-2.521,-23.055,-10.435,-4.975,-3.006
51.831,0.759,47.642,-23.651,29.578,-27.24,-22.929,-20.91,-27.414,3.865,-3.318,4.151
52.504,38.569,42.468,-8.578,26.806,-27.681,-27.352,24.003,-22.998,-13.286,-9.446,2.355
52.018,92.204,19.081,-0.607,48.6,-7.051,-54.485,-10.161,-21.593,1.026,-9.187,9.548
50.776,165.507,32.482,-27.921,69.934,-39.193,-20.687,-5.424,-12.591,-8.586,-1.513,-6.277
52.517,49.881,37.722,9.8,39.331,-33.148,-16.984,2.723,-20.269,-5.219,-15.126,1.651
50.372,43.395,44.042,-25.838,22.291,-26.947,-38.518,-9.988,-2.628,-0.264,0.706,2.758
51.955,130.106,13.769,-24.334,35.601,-30.838,-24.264,27.686,0.617,-31.885,9.114,1.078
51.681,53.647,34.956,1.225,38.921,-35.167,-48.197,5.957,-16.161,-4.764,-1.385,-5.814
50.814,150.594,48.605,-23.886,70.921,-36.911,-9.978,21.623,-3.46,-19.595,6.656,-11.528
