0,1,2,3,4,5,6,7,8,9,10,11
2.969,176.714,29.298,-41.973,24.457,-34.376,18.441,-15.199,-5.392,10.536,-2.014,-3.215
35.476,105.179,134.299,-88.934,70.701,145.677,55.294,48.15,3.983,13.262,62.942,1.865
42.594,123.687,104.3,15.424,43.513,-22.535,25.513,-12.625,0.273,-0.877,-4.591,38.692
42.499,114.319,100.388,-2.077,39.407,-25.514,25.349,8.343,1.705,-9.993,3.833,35.733
41.748,114.716,105.297,41.066,40.494,-14.788,24.925,7.927,-11.792,-10.192,-28.043,44.039
41.234,131.083,126.118,11.243,49.364,8.339,34.203,8.799,-4.2,3.454,15.33,28.799
42.181,123.116,115.41,26.343,48.653,-19.884,23.598,8.018,-2.797,-9.1,-11.175,37.572
38.571,106.046,80.027,37.453,38.139,-13.517,22.675,18.973,0.466,14.063,-9.921,28.117
40.591,122.661,120.835,3.903,63.855,2.619,20.438,3.379,5.062,6.29,8.286,21.291
42.209,122.601,116.851,5.299,50.285,-33.98,19.278,4.73,1.96,9.489,4.912,25.144
39.81,127.469,124.317,-16.504,53.184,13.01,26.369,8.127,-5.389,10.058,-10.818,40.537
37.902,87.106,74.782,32.777,36.164,-12.585,-2.785,4.788,-13.016,6.24,3.908,38.114
41.625,112.068,109.375,2.572,55.89,-15.253,15.901,8.654,2.608,0.544,13.755,25.377
42.323,132.453,107.577,30.337,52.531,-14.9,24.334,7.298,1.91,-6.089,-14.327,36.72
44.284,156.993,96.074,10.502,68.637,31.461,34.915,-0.913,-14.566,-6.837,-0.717,19.455
44.895,162.062,102.248,-10.207,69.117,-8.675,22.856,5.448,0.068,-21.369,-17.807,24.754
48.52,177.757,111.159,-1.741,7.692,4.721,-5.935,22.514,-41.741,-6.197,27.524,18.828
48.221,211.725,75.071,38.386,20.85,-12.542,-35.58,-23.818,-38.75,-8.194,-29.076,11.231
45.639,174.835,83.349,-41.982,44.3,-13.758,-3.168,-16.089,-31.495,16.499,-0.786,20.664
46.797,152.984,77.37,-20.279,43.578,-3.643,4.926,23.026,-21.416,-7.108,-11.384,20.551
46.892,177.229,72.345,-8.699,53.253,-14.103,-11.749,-5.665,-13.641,16.234,-22.312,20.349
46.679,145.531,66.075,-28.141,55.48,-7.561,-10.488,34.475,-5.69,-12.517,3.41,29.305
45.849,198.285,86.443,47.52,6.042,-8.717,-49.96,3.853,-46.551,-17.034,-26.507,-8.952
48.612,163.589,29.456,-53.845,31.348,74.474,-8.894,-14.586,-32.616,23.584,-34.978,13.526
51.598,101.369,-44.638,37.501,-22.846,-89.147,-54.824,12.272,-1.514,-8.197,-18.425,1.039
54.009,152.242,20.867,-18.507,8.16,2.561,5.156,25.667,-22.015,4.278,19.656,-21.579
54.672,132.549,37.0,-0.4,21.786,-45.377,30.097,36.357,-34.621,4.538,-0.562,-10.206
56.958,104.695,-8.609,-38.622,17.232,-38.732,37.445,15.907,-8.327,0.916,-12.77,-12.747
56.437,82.569,35.927,-10.719,5.326,-37.46,49.377,-3.013,-4.107,6.912,-14.385,-18.162
